Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsThrownAway,RunPassOptionPercentage
Mitchell Trubisky,BUF,QB,3,3,3,0.3333,,1,0.3333,0.3333,-0.173,3,,,20,6.6667,0.15,6.6667,60,,,No,Yes,1,0.3333,1.2722,-0.0907,No,0.6667,2,0.6667,0.3333,,0.3333,0.3333,3.0333,2.4,20,57.6,No,Yes,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,9,,
Tommy DeVito,NYG,QB,3,3,3,0.3333,,1,0.3333,1,0.395,3,,,21,7,0.2857,7,15,,,No,Yes,2,0.6667,1.3584,0.2139,Yes,,,,,,0.3333,0.3333,3.2,2.8,15,59,No,No,1,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,3,2,
Dak Prescott,DAL,QB,23,23,23,0.4783,3,5,0.2174,0.2273,-0.224,23,,,153,6.6522,0.098,3.6087,560,1,2,Yes,Yes,6,0.2609,10.3454,-0.1889,No,0.4783,15,0.6522,0.1304,0.1739,0.6522,0.1304,3.1826,2.9333,25.4545,33.1,No,No,5,8.12,8.12,8.12,8.12,8.12,8.12,8.12,6.12,6.12,6.12,6.12,9.65,7.65,8,1,
Deshaun Watson,CLV,QB,16,16,16,0.4375,2,3,0.1875,0.3125,-0.1463,16,51,0.125,61,3.8125,0.0492,1,372,,1,Yes,No,8,0.5,8.8146,-0.0509,No,0.5625,9,0.5625,0.125,0.1875,0.75,0.3125,3.7687,2.8125,23.25,16.9,No,Yes,3,1.44,1.44,1.44,1.44,1.44,1.44,1.44,0.44,0.44,0.44,0.44,2.05,1.05,7,,
Spencer Rattler,NO,QB,22,21,21,0.3333,3,4,0.1905,0.25,-0.2036,21,,,92,4.381,0.0652,3.1905,397,1,1,No,Yes,11,0.5238,10.5783,0.0201,Yes,0.4286,11,0.5238,0.1905,0.0476,0.5714,0.2857,3.4952,2.4273,24.8125,41.4,No,No,4,6.68,6.68,6.68,6.68,6.68,6.68,6.68,5.68,5.68,5.68,5.68,7.6,6.6,7,5,
Carson Wentz,KC,QB,1,1,1,,,,,,-0.4301,1,,,,,,,26,,,No,No,,,0.1595,-0.1595,Yes,1,1,1,,,1,,1.5,,26,39.6,No,No,,,,,,,,,,,,,,,3,,
Mason Rudolph,TEN,QB,12,12,12,0.5,,3,0.25,0.3636,-0.0913,12,29,0.0833,106,8.8333,0.1604,10.5,272,1,,No,No,4,0.3333,4.2261,-0.0188,No,0.4167,6,0.5,,0.3333,0.75,0.5,2.6167,2.325,24.7273,91.7,No,No,3,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,9.3,9.3,8,1,
Joe Milton,NE,QB,1,1,1,,,,,,-0.3644,1,,,,,,,28,,,No,Yes,1,1,0.7633,0.2367,Yes,1,1,1,,,,,5,2.6,28,39.6,No,No,,,,,,,,,,,,,,,1,,
Aaron Rodgers,NYJ,QB,51,50,50,0.42,3,17,0.34,0.3958,-0.0811,50,43,0.04,446,8.92,0.1525,7.92,1098,2,2,No,Yes,20,0.4,21.0358,-0.0207,Yes,0.52,28,0.56,0.04,0.26,0.72,0.38,3.014,2.43,22.875,64.3,No,Yes,17,23.84,23.84,23.84,23.84,23.84,26.84,26.84,21.84,21.84,21.84,21.84,28.3,26.3,17,2,0.02
Baker Mayfield,TB,QB,34,34,34,0.5882,4,11,0.3235,0.4412,-0.0507,34,83,0.1176,268,7.8824,0.1194,3.7647,739,2,4,No,Yes,11,0.3235,15.1364,-0.1217,No,0.3824,18,0.5294,0.1471,0.0588,0.6471,0.2941,3.1559,2.6455,21.7353,41.9,Yes,Yes,11,14.72,14.72,14.72,14.72,14.72,14.72,14.72,10.72,10.72,10.72,10.72,17.4,13.4,17,,
