Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsThrownAway,InterceptionsTotal,RunPassOptionPercentage
Gardner Minshew,LV,QB,17,17,17,0.6471,1,8,0.4706,0.5625,0.0768,17,27,0.0588,225,13.2353,0.2844,14.4118,350,1,No,No,6,0.3529,6.7661,-0.0451,No,0.2353,10,0.5882,,0.0588,0.8235,0.3529,2.8824,2.7833,20.5882,113,No,Yes,8,13,13,13,13,13,13,13,13,13,13,13,15.25,15.25,10,,,
Tua Tagovailoa,MIA,QB,18,18,18,0.6667,2,9,0.5,0.6111,0.1686,18,49,0.1111,268,14.8889,0.2724,13.5,458,1,Yes,No,5,0.2778,7.0119,-0.1118,No,0.2778,11,0.6111,,0.1111,0.7778,0.4444,2.8333,2.54,25.4444,91.2,No,No,9,13.72,13.72,13.72,13.72,13.72,13.72,13.72,12.72,12.72,12.72,12.72,16.4,15.4,11,,1,
Caleb Williams,CHI,QB,38,38,38,0.3421,4,10,0.2632,0.3235,-0.09,38,18,0.0263,289,7.6053,0.1073,5.1053,928,2,No,No,11,0.2895,20.1216,-0.24,No,0.5526,29,0.7632,0.1053,0.1579,0.5789,0.2368,3.6447,2.6455,27.2941,43.4,No,No,10,16.56,16.56,16.56,16.56,16.56,16.56,16.56,13.56,13.56,13.56,13.56,19.45,16.45,17,4,3,
Hendon Hooker,DET,QB,1,1,1,,,,,,-0.7119,1,,,,,,,8,,No,No,1,1,0.4701,0.5299,No,1,,,,,1,,3.3,3.2,8,39.6,No,No,,,,,,,,,,,,,,,3,,,
Marcus Mariota,WAS,QB,2,2,2,1,,1,0.5,0.5,0.108,2,,,25,12.5,0.2,12.5,52,,Yes,Yes,2,1,1.6128,0.1936,No,,2,1,,0.5,,1,5.25,4.05,26,95.8,Yes,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,3,,,
Tyler Huntley,MIA,QB,8,8,8,0.5,,4,0.5,0.5,0.0026,8,,,80,10,0.025,4.375,171,,Yes,Yes,3,0.375,3.7949,-0.0994,Yes,0.375,4,0.5,0.125,0.125,0.75,0.5,3.325,3.4667,21.375,45.8,No,No,4,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.2,1.2,1.2,1.2,3,2,5,,1,
Geno Smith,SEA,QB,45,45,45,0.6444,3,18,0.4,0.5,0.0394,45,92,0.0889,456,10.1333,0.1491,8.5778,1015,1,No,No,15,0.3333,17.7368,-0.0608,No,0.3333,29,0.6444,0.1111,0.1556,0.8222,0.2667,2.86,2.6933,23.0682,66.5,No,No,18,20.24,20.24,20.24,20.24,20.24,23.24,23.24,18.24,18.24,18.24,18.24,24.8,22.8,17,1,2,
Drake Maye,NE,QB,10,10,10,0.3,,1,0.1,0.1111,-0.3586,10,,,33,3.3,0.0606,-1.2,210,,No,No,2,0.2,3.4758,-0.1476,No,0.6,5,0.5,0.2,0.1,0.9,0.2,2.59,2.6,23.3333,1.2,No,No,1,0.32,0.32,0.32,0.32,0.32,0.32,0.32,-0.68,-0.68,-0.68,-0.68,0.65,-0.35,13,1,1,
Justin Herbert,LAC,QB,38,38,38,0.6053,5,18,0.4737,0.5526,0.093,38,50,0.0789,502,13.2105,0.2331,14.6579,912,5,Yes,No,11,0.2895,14.9984,-0.1052,Yes,0.3684,21,0.5526,0.0263,0.2632,0.8421,0.3421,2.8632,2.4727,24,122.3,Yes,Yes,17,39.08,39.08,39.08,39.08,39.08,42.08,42.08,38.08,38.08,38.08,38.08,44.1,43.1,17,,1,
Patrick Mahomes,KC,QB,24,24,24,0.5833,2,7,0.2917,0.3478,-0.078,24,40,0.0417,250,10.4167,0.168,9.1667,635,3,No,No,4,0.1667,9.3665,-0.2236,No,0.3333,17,0.7083,0.0833,0.3333,0.7917,0.2917,2.8375,2.825,27.6087,75.3,No,No,7,20,20,20,20,20,20,20,18,18,18,18,22.5,20.5,16,1,2,
