targets,yards_per_coverage_snap,draft_season,missed_tackles,catch_rate,team_name,tackles,coverage_percent,jersey_number,dropped_ints,player_game_count,eligible_season,grades_tackle,yards,receptions,forced_incompletion_rate,grades_coverage_defense,interceptions,snap_counts_coverage,grades_run_defense,snap_counts_pass_play,penalties,forced_incompletes,team,coverage_snaps_per_target,stops,declined_penalties,position,longest,missed_tackle_rate,grades_defense,yards_per_reception,grades_defense_penalty,player,franchise_id,yards_after_catch,avg_depth_of_target,pass_break_ups,qb_rating_against,coverage_snaps_per_reception,assists,grades_pass_rush_defense,player_id,touchdowns
58,0.7,2022,9,74.1,IND,51,97.1,20,0,17,2022,70.4,402,43,3.4,64.3,3,629,80.2,648,2,2,IND,10.3,14,0,S,47,12.5,70.3,9.3,68.6,Nick Cross,14,242,7.3,2,105.7,13.9,12,51,97514,6
19,0.7,2022,2,57.9,CIN,10,98.6,23,0,5,2022,38.7,95,11,5.3,68,0,140,66,142,1,1,CIN,7,4,0,CB,27,14.3,68.2,8.6,21,Dax Hill,7,47,8.5,1,88.7,12.1,2,81.8,97519,1
5,2.3,2023,1,60,SEA,0,91.3,42,0,4,2023,26.7,41,3,20,43.9,0,21,64.2,23,0,1,SEA,3.6,0,0,LB,17,33.3,48.4,13.7,72.4,Drake Thomas,29,12,6.6,1,86.3,6,2,55.8,97525,0
81,1.4,2023,5,53.1,CHI,38,100,29,1,16,2023,56,596,43,12.3,58.4,2,442,63.7,442,5,10,CHI,5.2,8,1,CB,61,10.4,58.9,13.9,37.9,Tyrique Stevenson,6,136,11.6,10,83.2,9.9,5,,97562,4
0,0,2024,0,,NYG,2,1.5,94,0,17,2024,76.7,0,0,,59.1,0,4,57.7,268,1,0,NYG,,2,0,DI,,0,58.9,,68.6,Elijah Chatman,21,0,,0,0,,1,59.8,97568,0
16,0.8,2024,2,56.3,LA,7,93.5,30,0,13,2024,46.1,66,9,12.5,43.4,0,86,46.8,92,1,2,LA,5.2,4,0,CB,12,20,44.2,7.3,80,Josh Wallace,26,50,9.8,1,87,9.2,1,61.8,97676,1
3,0.3,2023,0,66.7,DET,10,100,12,0,8,2023,53.5,41,2,33.3,57.2,0,133,40.4,133,0,1,DET,40,1,0,S,32,0,52.2,20.5,80.1,Brandon Joseph,11,15,11.7,0,109.7,60,1,,97680,0
19,0.6,2023,1,47.4,NE,9,100,28,0,6,2023,50.9,76,9,26.3,63.9,0,131,44.8,131,1,5,NE,6.6,2,0,CB,13,9.1,61.1,8.4,82.6,Alex Austin,19,37,13.7,5,75.8,14,1,,97683,1
66,1.3,2023,7,75.8,BUF,36,86.1,42,0,17,2023,67,392,50,0,39.1,0,323,74.2,375,0,0,BUF,4.6,15,0,LB,27,13,58.5,7.8,83.7,Dorian Williams,4,218,4.6,0,110.2,6.1,11,71.7,97694,4
11,0.2,2023,3,63.6,CLV,17,97.9,33,0,14,2023,69.5,64,7,9.1,71.3,0,278,81.7,284,0,1,CLV,24.1,3,0,S,23,11.1,77.2,9.1,83.5,Ronnie Hickman Jr.,8,54,17.3,0,79.4,37.9,7,61.6,97702,0
32,1.1,2024,5,71.9,MIA,17,100,36,0,10,2024,30.1,244,23,9.4,54.8,0,230,56.8,230,2,3,MIA,6.8,9,0,CB,46,20,55.5,10.6,84.3,Storm Duck,17,59,9.9,1,104.2,9.5,3,,97705,1
30,1,2024,4,83.3,LA,23,92.3,48,1,12,2024,82.3,218,25,6.7,56.5,0,239,77.6,259,0,2,LA,7.5,8,0,LB,21,11.8,69.4,8.7,85,Omar Speights,26,140,3.8,2,96.9,9,7,63.6,97723,0
1,3.7,2024,1,100,MIA,0,17.6,50,0,4,2024,28.6,11,1,0,30.3,0,3,60.3,17,0,0,MIA,3,0,0,ED,11,100,51.7,11,75.1,Mohamed Kamara,17,12,-1,0,112.5,3,0,68.8,97731,0
1,0,2024,2,0,BUF,1,3.1,56,0,12,2024,50.9,0,0,0,43.5,0,3,59.1,97,0,0,BUF,3,3,0,ED,,66.7,68.8,,83.6,Javon Solomon,4,0,13,0,39.6,,0,71.3,97821,0
83,1.3,2022,6,62.7,CLV,47,100,23,1,17,2022,47.3,604,52,7.2,48.4,0,503,55.8,503,8,6,CLV,5.7,12,3,CB,41,9.5,47.9,11.6,18.2,Martin Emerson Jr.,8,170,12.9,2,108.7,9.1,10,,97872,6
26,0.5,2024,4,73.1,NYG,39,97.8,31,0,13,2024,79.4,204,19,3.8,58.1,0,440,76.6,450,2,1,NYG,16,8,0,S,42,7.8,65.8,10.7,85.2,Tyler Nubin,21,78,6.8,1,95.7,21.8,8,60.7,97895,0
1,34,2024,0,100,DEN,0,50,56,0,2,2024,75.1,34,1,0,52.2,0,1,48.9,2,0,0,DEN,1,0,0,LB,34,,24.2,34,67.9,Levelle Bailey,10,30,4,0,118.8,1,0,60,97956,0
3,0.6,2023,2,100,SEA,7,8.9,58,0,17,2023,51,20,3,0,71.8,0,36,45.7,405,3,0,SEA,11.7,11,0,ED,13,18.2,60,6.7,54.4,Derick Hall,29,32,-4,0,94.4,11.7,2,67.6,98130,0
1,0,2024,0,0,WAS,0,77.8,58,0,4,2024,,0,0,0,64.3,0,7,62.4,9,0,0,WAS,6,0,0,LB,,,65.4,,93.6,Jordan Magee,32,0,0,0,39.6,,0,58.2,98155,0
1,0.7,2023,0,100,SF,0,66.7,41,0,4,2023,79.9,5,1,0,68.4,0,8,68.9,12,0,0,SF,7,0,0,LB,5,0,71.5,5,74.9,Jalen Graham,28,0,5,0,87.5,7,2,53.3,98165,0
0,0,2024,0,,BUF,2,0.6,90,0,11,2024,40.4,0,0,,62,0,1,40.1,163,0,0,BUF,,1,0,DI,,0,41.4,,84.9,DeWayne Carter,4,0,,0,0,,0,48.7,98175,0
95,0.7,2022,4,45.3,HST,40,100,24,3,19,2022,57,456,43,15.8,84.4,7,709,55.9,709,3,15,HST,7,14,0,CB,56,8,80.4,10.6,68.9,Derek Stingley Jr.,13,218,13.3,11,39.6,15.5,6,,98253,3
0,0,2023,0,,GB,3,1.3,96,0,13,2023,50.1,0,0,,54.9,0,2,47.7,158,1,0,GB,,1,0,DI,,0,50,,59.5,Colby Wooden,12,0,,0,0,,0,60.7,98312,0
1,2.8,2022,0,100,CLV,3,7.6,91,0,4,2022,55.5,14,1,0,64.2,0,5,54.5,66,2,0,CLV,5,2,0,ED,14,0,60.2,14,0,Alex Wright,8,8,6,0,118.8,5,1,67.2,98318,0
5,0.9,2022,2,80,KC,5,5,56,0,19,2022,60.7,29,4,0,59,0,34,56.7,678,0,0,KC,6.4,15,0,ED,15,20,69.8,7.3,92.5,George Karlaftis,16,18,3.2,0,90.8,8,3,70.3,98319,0
1,1.2,2024,0,100,DAL,2,4.1,94,0,11,2024,28.3,7,1,0,62.2,0,6,47.2,147,0,0,DAL,6,1,0,ED,7,0,50.8,7,87.7,Marshawn Kneeland,9,9,-2,0,95.8,6,0,53.4,98344,0
1,1.7,2022,3,100,NYG,2,1.9,05,0,12,2022,29.1,10,1,0,63.1,0,7,65.6,365,6,0,NYG,6,8,1,ED,10,50,69,10,25.2,Kayvon Thibodeaux,21,4,6,0,108.3,6,1,72,98444,0
1,0,2024,0,0,SF,0,95.8,48,0,3,2024,57.1,0,0,0,76,0,23,57.5,24,0,0,SF,21,0,0,LB,,0,72.9,,72,Tatum Bethune,28,0,32,0,39.6,,1,66,98532,0
8,1,2023,1,75,NO,5,81.3,58,0,7,2023,50.1,51,6,0,49.5,0,52,64.1,64,0,0,NO,6.1,1,0,LB,15,14.3,55.2,8.5,87.6,Anfernee Orji,20,41,2.3,0,91.1,8.2,1,47.6,98568,0
1,0.8,2024,0,100,KC,1,100,50,0,1,2024,76.2,3,1,0,65.7,0,4,54.7,4,0,0,KC,4,0,0,LB,3,0,60.3,3,67.5,Swayze Bozeman,16,2,1,0,79.2,4,0,,98634,0
27,1.2,2022,0,77.8,BUF,18,98.7,05,1,9,2022,88.7,266,21,7.4,61.4,0,229,78.6,232,4,2,BUF,7.9,8,0,CB,28,0,64.5,12.7,36.5,Kaiir Elam,4,63,10.2,2,120.1,10.2,3,76.6,98693,1
20,0.3,2023,7,55,CLV,12,85.7,43,0,13,2023,37.3,63,11,10,48.1,0,264,63.2,308,2,2,CLV,12.6,5,0,LB,16,22.6,51.9,5.7,21.4,Mohamoud Diabate,8,54,3.4,2,77.7,22.8,12,51.7,98780,1
3,1.4,2024,0,66.7,GB,1,100,59,0,2,2024,49.3,15,2,0,53.1,0,11,68.8,11,0,0,GB,3.7,0,0,LB,10,0,60.7,7.5,71.6,Ty'Ron Hopper,12,8,1.3,0,78.5,5.5,0,,98781,0
1,0,2023,0,0,MIN,0,77.3,20,0,4,2023,,0,0,100,63.6,0,17,61.8,22,0,1,MIN,17,0,0,S,,,63,,80.7,Jay Ward,18,0,4,1,39.6,,0,54,98833,0
43,1,2022,5,67.4,NYG,29,98.9,28,0,14,2022,48.2,347,29,11.6,61.7,1,358,58.4,362,1,5,NYG,7.8,8,0,CB,36,13.5,62.2,12,85.7,Cor'Dale Flott,21,113,9.7,4,90,11.6,3,68.8,98834,1
1,0.8,2023,0,100,ARZ,1,100,26,0,1,2023,73.3,9,1,0,43.2,0,11,,11,0,0,ARZ,11,0,0,S,9,0,41.2,9,68.4,Jammie Robinson,1,11,-2,0,104.2,11,0,,98836,0
19,1.8,2023,1,84.2,MIA,16,99,24,0,6,2023,78.4,174,16,0,30.1,0,103,70.9,104,4,0,MIA,5.1,3,1,CB,22,5.9,33.6,10.9,81.4,Cam Smith,17,38,9.1,0,122.4,6,0,60,98837,1
26,0.6,2024,1,73.1,LA,25,93.5,39,0,17,2024,78.1,162,19,0,61.6,4,275,52,294,4,0,LA,9.7,10,3,S,19,3.2,58.5,8.5,6.9,Jaylen McCollough,26,58,7,0,75,13.3,5,70.2,98845,2
22,1,2024,1,72.7,CAR,25,96.3,36,0,7,2024,74.5,200,16,4.5,58.6,1,206,66.9,214,1,1,CAR,8.8,4,0,S,39,3.4,60.1,12.5,39.7,Demani Richardson,5,78,9.9,0,96.8,12.1,3,51.1,98852,1
