targets,grades_pass_block,grades_offense,yards_after_contact,explosive,grades_pass_route,draft_season,elu_rush_mtf,breakaway_attempts,designed_yards,team_name,yprr,breakaway_percent,grades_pass,fumbles,first_downs,elusive_rating,jersey_number,breakaway_yards,player_game_count,eligible_season,total_touches,scramble_yards,yco_attempt,yards,grades_run_block,receptions,zone_attempts,scrambles,grades_run,penalties,attempts,elu_yco,elu_recv_mtf,team,declined_penalties,ypa,drops,position,grades_hands_fumble,longest,routes,player,franchise_id,rec_yards,gap_attempts,run_plays,avoided_tackles,grades_offense_penalty,player_id,touchdowns
27,50.6,58.2,157,5,66.2,2020,9,2,242,CIN,1.21,12.8,,2,13,32.8,31,31,8,2020,97,0,2.12,242,60,23,28,0,55.4,0,74,157,6,CIN,0,3.3,2,HB,37,16,155,Zack Moss,7,187,41,85,9,87.5,40341,2
8,33.5,52.8,145,2,49,2017,6,1,232,CLV,0.73,10.8,,2,10,21.2,27,25,11,2017,77,0,2.04,232,57.3,6,35,0,58.5,1,71,145,2,CLV,0,3.3,1,HB,33.4,25,74,D'Onta Foreman,8,54,32,87,6,17.6,11844,0
0,61.3,80.7,158,10,55.2,2018,0,0,-8,MIN,0,0,77.5,9,26,0,14,0,18,2018,42,239,2.23,231,60.1,0,3,29,82.5,10,71,5,0,MIN,0,3.3,0,QB,56.9,19,2,Sam Darnold,18,0,1,456,7,31.9,29048,1
0,,91.2,137,8,,2020,0,0,-5,LAC,,0,90.2,6,23,0,10,0,18,2020,38,311,1.99,306,60.1,0,2,31,72.4,1,69,19,0,LAC,0,4.4,0,QB,59.2,41,0,Justin Herbert,27,0,4,438,8,90.2,28237,2
6,81.6,65.3,221,8,34.2,2024,16,4,249,MIA,0.1,28.9,,1,11,73.2,25,72,15,2024,71,0,3.25,249,43.2,3,44,0,75.8,0,68,221,0,MIA,0,3.7,2,HB,55.7,20,78,Jaylen Wright,17,8,20,81,16,82.2,146934,0
0,,72,170,8,59.9,2019,10,1,183,MIN,0,9.1,67.5,4,26,41.1,13,24,10,2019,51,82,2.54,265,60,0,12,16,79,5,67,107,0,MIN,0,4,0,QB,80.1,24,1,Daniel Jones,18,0,8,255,13,56.4,39395,2
0,,85.9,293,21,,2018,0,0,9,TB,,0,83.6,14,23,0,06,0,18,2018,21,389,4.37,398,60,0,5,46,70.9,3,67,15,0,TB,0,5.9,0,QB,42.1,28,0,Baker Mayfield,30,0,1,447,14,70.1,46518,3
0,60.9,82.4,163,12,57.7,2022,0,0,23,SF,0,0,76.3,7,33,0,13,0,15,2022,22,300,2.47,323,60,0,3,44,90.2,2,66,10,0,SF,0,4.9,0,QB,63.7,16,2,Brock Purdy,28,0,0,374,11,65.6,77672,5
45,46.1,68.3,172,8,80.7,2015,13,2,311,LV,1.01,18.3,,1,13,46.7,08,57,14,2015,106,0,2.61,311,30.3,40,44,0,67,1,66,172,6,LV,0,4.7,0,HB,70.8,40,258,Ameer Abdullah,23,261,22,75,13,88,9487,2
1,,80,180,11,51.5,2023,0,0,-21,HST,0,0,77.6,8,19,0,07,0,19,2023,19,336,2.77,315,60,0,0,46,73.3,5,65,-1,0,HST,0,4.8,0,QB,76.3,28,4,C.J. Stroud,13,0,1,429,9,60.9,129759,0
8,47.8,42.7,134,2,60.2,2022,6,1,183,LV,0.54,9.3,,2,4,29,03,17,8,2022,71,0,2.06,183,71.7,6,37,0,40.8,0,65,134,4,LV,0,2.8,0,HB,28.8,17,56,Zamir White,23,30,28,76,6,80.3,83665,1
6,77,62.8,210,10,70.2,2024,14,3,291,ARZ,1.26,17.9,,1,16,91.8,33,52,13,2024,69,0,3.33,291,57.6,6,16,0,59.4,0,63,210,5,ARZ,0,4.6,0,HB,53.4,20,47,Trey Benson,1,59,47,74,14,80.4,131705,1
0,,71,130,8,,2021,3,2,179,PIT,,16.6,65.7,6,19,11.8,02,48,11,2021,44,110,2.1,289,60,0,14,18,76.8,4,62,76,0,PIT,0,4.7,0,QB,63.2,30,0,Justin Fields,25,0,8,196,10,37.9,82118,5
29,31.9,73.3,193,9,73,2019,11,4,307,BUF,1.38,23.1,,0,18,49.6,26,71,20,2019,83,0,3.16,307,47.5,22,49,0,78.5,0,61,193,2,BUF,0,5,0,HB,86.3,19,231,Ty Johnson,4,318,11,115,11,89.7,45769,1
52,52.3,79.5,235,9,89,2019,17,4,285,BLT,1.53,39.7,,0,18,108,43,115,17,2019,107,0,3.98,290,52,48,33,0,81.9,1,59,235,12,BLT,0,4.9,0,HB,87.2,51,264,Justice Hill,3,403,17,121,17,53.7,45865,1
10,59.8,72,208,6,51.6,2017,13,3,270,WAS,0.2,25.9,,0,16,65.3,26,70,19,2017,69,0,3.47,270,41.4,9,31,0,86.3,1,60,208,0,WAS,0,4.5,0,HB,57.4,28,136,Jeremy McNichols,32,27,28,103,13,34.6,11917,5
8,54.1,72,139,4,72.9,2024,10,0,207,LA,1.81,0,,0,12,40.6,22,0,14,2024,65,0,2.4,207,58.9,7,31,0,70,0,58,139,1,LA,0,3.6,0,HB,85.4,12,32,Blake Corum,26,58,26,68,10,78.6,129574,0
18,57.2,54.1,140,4,46.4,2021,7,2,159,IND,0.81,20.1,,0,14,31.3,27,32,17,2021,72,0,2.5,159,67.5,16,31,0,56,0,56,140,2,IND,0,2.8,2,HB,84.5,17,122,Trey Sermon,14,99,25,66,7,84.9,57372,2
10,18,52.6,136,0,52.5,2024,9,0,183,KC,0.31,0,,3,14,46.3,42,0,18,2024,63,0,2.43,183,47.9,7,24,0,59,0,56,136,3,KC,0,3.3,0,HB,23.9,9,85,Carson Steele,16,26,24,110,9,86.9,145632,0
6,33.1,52.4,100,3,59.9,2022,3,1,182,MIN,0.65,13.7,60,0,9,8.6,32,25,13,2022,62,0,1.79,182,58.3,6,32,0,54.3,1,56,100,0,MIN,0,3.3,0,HB,85.7,25,65,Ty Chandler,18,42,20,67,3,82.7,62942,0
17,36.5,69.5,114,0,67.3,2023,5,0,150,CHI,0.76,0,,0,17,29.2,23,0,13,2023,71,0,2.07,150,58.8,16,19,0,76,0,55,114,5,CHI,0,2.7,0,HB,84.5,9,136,Roschon Johnson,6,104,31,66,5,87.9,99467,6
28,38.2,68,138,3,57.6,2019,10,1,205,CAR,1.14,12.7,,1,12,50.8,06,26,11,2019,79,0,2.51,205,58.1,24,32,0,76.1,0,55,138,6,CAR,0,3.7,0,HB,56.3,26,130,Miles Sanders,5,148,21,65,10,86.1,40555,2
0,,70.1,206,18,60,2024,0,0,14,NE,0,0,64.9,9,22,0,10,0,13,2024,9,407,3.81,421,60.2,0,1,45,82.9,2,54,3,0,NE,0,7.8,0,QB,48.6,41,1,Drake Maye,19,0,0,219,11,56.1,143969,2
0,,83.1,66,14,58.9,2013,0,1,16,SEA,0,5.5,82.4,9,17,0,07,15,17,2013,29,256,1.25,272,60,0,3,24,62.6,10,53,5,0,SEA,1,5.1,0,QB,65.2,34,1,Geno Smith,29,0,3,367,3,47.4,7820,2
19,77.2,71.3,135,6,72.8,2017,5,2,202,SF,1.6,18.3,,1,12,33.2,23,37,4,2017,65,0,2.7,202,57.3,15,36,0,68.1,0,50,135,3,SF,0,4,0,HB,51.2,19,91,Christian McCaffrey,28,146,12,57,5,83.7,11763,0
11,62,80,163,9,81.8,2023,5,4,308,TB,2.6,33.4,,1,17,49.7,44,103,12,2023,59,0,3.26,308,59.1,9,17,0,76.3,0,50,163,4,TB,0,6.2,0,HB,56.2,36,42,Sean Tucker,30,109,33,64,5,79.4,123056,2
9,46.3,62.3,120,3,52.7,2017,5,0,164,NO,0.74,0,,0,11,21.9,21,0,14,2017,57,0,2.5,164,58,9,31,0,68.2,0,48,120,0,NO,0,3.4,0,HB,85.1,14,77,Jamaal Williams,20,57,14,56,5,83.5,11889,1
4,43.7,72,289,7,48.6,2022,11,2,318,HST,0.03,45.9,,1,7,170.2,31,146,12,2022,48,0,6.28,318,43.9,2,26,0,81.9,1,46,289,2,HST,0,6.9,0,HB,50.1,92,59,Dameon Pierce,13,2,19,59,11,3.1,83659,2
0,,79.5,101,6,,2012,1,0,8,PIT,,0,77.5,5,16,2.3,03,0,12,2012,24,153,2.2,161,60,0,4,22,68.7,3,46,13,0,PIT,1,3.5,0,QB,57,19,0,Russell Wilson,25,0,0,316,4,74.3,7077,2
0,,54.9,90,5,58.4,2023,0,1,44,TEN,0,8.2,54.6,10,20,0,08,15,12,2023,25,139,2,183,60.2,0,3,20,58.2,5,45,32,0,TEN,0,4.1,0,QB,30.1,21,1,Will Levis,31,0,7,237,4,54.4,83542,0
