Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,TargetsContestedTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Keon Coleman,BUF,WR,6,No,No,No,6,No,No,,13,1,,,0.1667,33,,1,,,33,-12.4675,,1.427,1.427,0.2,,0.1667,0.8333,1,,,,,,,,,,,,,,,,
Jayden Higgins,HST,WR,3,No,Yes,No,3,No,No,,17,2,1,0.5,0.6667,33,,2,,,16.5,-8.8587,,3.4919,3.4919,0.6667,1,,1,1,,,,,,,,,,,,,,,,
Skyy Moore,SF,WR,3,No,No,No,3,No,Yes,,17,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Darius Cooper,PHI,WR,3,No,No,No,3,No,No,,13,,,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,
Jack Stoll,NO,TE,3,No,No,No,2,No,No,0.5,15,1,,,0.5,7,,1,,,7,-7.3078,,1.7121,1.7121,0.3333,,,,,0.5,,,,,,,,,,,,,,,
Tre Harris,LAC,WR,7,No,Yes,No,7,No,Yes,,17,,,,,,,,,,,,,,,,,0.4286,0.5714,,,,,,,,,,,,,,,,,
Luke Schoonmaker,DAL,TE,1,Yes,Yes,No,1,No,No,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Jameson Williams,DET,WR,8,No,No,No,8,No,No,,17,1,,,0.125,45,,1,,,45,-15,,1.9676,1.9676,0.1429,,0.375,0.625,1,,,,,,,,,,,,,,,,
Jahan Dotson,PHI,WR,4,No,No,No,4,No,No,,17,3,,,0.75,42,,3,,,14,-9.3724,,6.0018,6.0018,0.75,,0.5,0.5,1,,3,1,,,,,,,,,,,,,
DeVonta Smith,PHI,WR,6,No,No,No,5,No,No,,17,1,,,0.2,10,,1,,,10,-7.5,,1.2822,1.2822,0.1667,,0.6,0.4,,,,,,,,,,,,,,,,,
Theo Johnson,NYG,TE,8,No,No,No,7,Yes,Yes,0.2857,15,2,1,0.5,0.2857,14,1,1,,,7,-6.8698,0.5,2.9405,2.9405,0.25,1,0.4286,0.2857,,,,,,,,,,,,,,,,,
Jalen McMillan,TB,WR,4,No,No,No,4,No,No,,4,1,,,0.25,42,,,,,42,-15,,2.8952,2.8952,0.25,,0.25,0.75,1,,,,,,,,,,,,,,,,
Mitchell Evans,CAR,TE,4,No,No,No,2,No,No,,17,1,,,0.5,10,,1,,,10,-7.7685,,3.1301,3.1301,0.25,,,,,1,1,1,,,,,,,,,,,,,
Luke Musgrave,GB,TE,3,No,No,No,3,No,No,,17,,,,,,,,,,,,,1.5429,1.5429,,,0.6667,,,0.3333,,,,,,,,,,,,,,,
Aaron Jones,MIN,RB,9,Yes,No,No,6,No,No,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Farrell,SF,TE,4,No,No,No,3,No,Yes,,17,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Christian Kirk,HST,WR,6,No,Yes,No,6,No,No,,13,3,1,0.3333,0.5,29,,2,,,9.6667,-8.0583,,4.6734,4.6734,0.6,1,0.6667,0.3333,,,,,,,,,,,,,,,,,
Puka Nacua,LA,WR,7,No,No,No,7,Yes,Yes,,16,1,,,0.1429,8,,1,,,8,-7.5106,,1.3809,1.3809,0.1667,,0.1429,0.8571,,,,,,,,,,,,,,,,,
Woody Marks,HST,RB,6,No,Yes,No,5,No,No,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Proche,TEN,WR,1,No,Yes,No,1,No,No,,9,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,2,No,No,No,2,No,No,0.5,13,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,
Jason Brownlee,KC,WR,1,No,No,No,1,No,No,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Carter Runyon,LV,TE,2,No,No,No,2,No,No,,10,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,3,No,Yes,No,3,No,No,,4,2,,,0.6667,65,,1,,,32.5,-11.4472,,4.5735,4.5735,0.6667,,,1,2,,,1,,,,,,,,,,,,,
Cade Otton,TB,TE,9,No,No,No,9,No,No,,16,2,2,1,0.2222,7,,1,,,3.5,-6.1943,,2.7827,2.7827,0.25,2,0.5556,0.3333,,0.1111,,,,,,,,,,,,,,,
DeMario Douglas,NE,WR,4,Yes,No,No,4,No,No,,17,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Xavier Weaver,ARZ,WR,2,No,No,No,2,Yes,Yes,,9,1,,,0.5,25,,1,,,25,-11.4887,,2.156,2.156,0.5,,0.5,0.5,1,,,,,,,,,,,,,,,,
Eric Saubert,SEA,TE,1,No,No,No,1,No,Yes,,11,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Ray-Ray McCloud,NYG,WR,2,No,No,No,2,No,No,,6,1,,,0.5,17,,1,,,17,-11.6653,,1.988,1.988,0.5,,,1,,,,,,,,,,,,,,,,,
Tucker Fisk,LAC,TE,1,No,No,Yes,1,No,No,,10,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Jimmy Horn,CAR,WR,1,No,No,No,1,No,No,,13,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Brian Robinson,SF,RB,2,No,No,No,2,No,Yes,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Kamara,NO,RB,7,No,No,No,4,No,No,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Hunter,JAX,WR,5,No,No,No,5,No,No,,7,2,,,0.4,44,,2,,,22,-10.7559,,6.5139,6.5139,0.4,,0.8,0.2,1,,1,1,,,,,,,,,,,,,
DK Metcalf,PIT,WR,9,No,No,No,9,No,No,,15,4,2,0.5,0.4444,94,,4,,,23.5,-11.6841,,7.445,7.445,0.4444,2,0.3333,0.6667,2,,,,,,,,,,,,,,,,
Mark Andrews,BLT,TE,8,No,No,No,7,No,No,,17,2,1,0.5,0.2857,22,1,1,,,11,-8.9735,0.5,3.3455,3.3455,0.2857,,0.7143,0.1429,,0.1429,,,,,,,,,,,,,,,
Parker Washington,JAX,WR,9,No,Yes,No,9,No,No,,16,3,,,0.3333,41,,2,,,13.6667,-9.1281,,6.5081,6.5081,0.375,1,0.3333,0.6667,1,,1,1,,,,,,,,,,,,,
Breece Hall,NYJ,RB,7,No,No,Yes,3,No,No,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Sherfield,ARZ,WR,2,No,No,No,2,No,No,,12,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Tyquan Thornton,KC,WR,5,No,No,No,5,No,No,,14,,,,,,,,,,,,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,
Julian Hill,MIA,TE,9,Yes,No,No,6,No,No,,14,1,,,0.1667,12,,,,,12,-8.6661,,1.709,1.709,0.1111,,0.1667,0.1667,,0.6667,,,,,,,,,,,,,,,
Blake Corum,LA,RB,1,No,No,No,1,Yes,Yes,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,2,No,No,No,1,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omarion Hampton,LAC,RB,2,No,Yes,No,2,No,No,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Palmer,BUF,WR,4,No,No,No,4,No,No,,12,2,,,0.5,21,,1,,,10.5,-8.229,,4.1389,4.1389,0.5,,,1,,,,,,,,,,,,,,,,,
Chris Moore,WAS,WR,5,No,No,No,5,No,No,,14,,,,,,,,,,,,,1.931,1.931,,,,1,,,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,1,No,No,No,1,Yes,Yes,,10,1,,,1,12,,1,,,12,-9.0461,,1.6712,1.6712,1,,,1,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,8,No,No,No,8,No,No,,17,5,1,0.2,0.625,71,1,5,,,14.2,-8.4906,0.2,8.2702,8.2702,0.7143,,0.25,0.75,1,,2,,,,,,,,,,,,,,
Isaiah Williams,NYJ,WR,8,No,No,No,8,No,No,,15,,,,,,,,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,
Adam Thielen,PIT,WR,5,No,No,No,5,No,No,,16,,,,,,,,,,,,,,,,,0.8,0.2,,,,,,,,,,,,,,,,,
Elijah Higgins,ARZ,TE,5,No,No,No,4,Yes,Yes,,17,1,,,0.25,6,,,,,6,-7.093,,1.5928,1.5928,0.2,,0.5,,,0.5,,,,,,,,,,,,,,,
Jonnu Smith,PIT,TE,7,No,No,No,7,No,No,,17,,,,,,,,,,,,,,,,,0.5714,0.2857,,0.1429,,,,,,,,,,,,,,,
Harrison Bryant,HST,TE,1,No,Yes,No,1,No,No,,12,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,2,No,No,No,2,No,No,,14,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Mason Taylor,NYJ,TE,7,No,No,No,6,Yes,Yes,,13,1,1,1,0.1667,4,1,1,,,4,-6.0667,1,1.5036,1.5036,0.1429,,0.6667,0.1667,,0.1667,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,3,No,No,No,3,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,11,No,Yes,No,11,No,No,,14,2,,,0.1818,25,,2,,,12.5,-8.9803,,4.6706,4.6706,0.2222,,0.0909,0.9091,,,1,1,,,,,,,,,,,,,
Chris Manhertz,NYG,TE,1,Yes,Yes,No,1,No,No,,17,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Blake Whiteheart,CLV,TE,5,No,No,No,2,No,No,,16,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,2,Yes,No,No,2,No,No,,7,2,,,1,33,,2,,,16.5,-10.1196,,3.857,3.857,1,,,1,1,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,1,No,No,No,1,No,No,,17,1,,,1,15,,,,,15,-10.4097,,1.8304,1.8304,1,,,1,,,,,,,,,,,,,,,,,
Dyami Brown,JAX,WR,4,No,Yes,No,4,No,No,,14,1,,,0.25,4,,1,,,4,-6.0498,,4.32,4.32,0.25,,0.25,0.75,,,1,1,,,,,,,,,,,,,
Elic Ayomanor,TEN,WR,8,No,Yes,No,8,No,No,,16,3,,,0.375,24,,2,,,8,-7.3962,,4.8564,4.8564,0.5,,0.25,0.75,,,,,,,,,,,,,,,,,
Andre Baccellia,ARZ,WR,2,No,No,No,2,No,No,,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ty Johnson,BUF,RB,7,No,No,No,5,No,No,0.8,17,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,
Van Jefferson,TEN,WR,4,No,No,No,4,No,No,,16,,,,,,,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,8,No,No,No,5,No,No,0.8,17,1,,,0.2,14,,,,,14,-9.9318,,1.7048,1.7048,0.125,1,0.2,,,,1,,,,,,,,,,,,,,
Derrick Henry,BLT,RB,5,No,No,No,2,No,No,1,17,1,,,0.5,2,,,,,2,-6.3947,,1.284,1.284,0.25,,,,,,,,,,,,,,,,,,,,
Zach Charbonnet,SEA,RB,6,No,No,No,2,No,Yes,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,5,No,No,No,4,No,No,0.75,15,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,
Jared Wayne,HST,WR,1,No,Yes,No,1,No,No,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,13,No,No,No,11,No,Yes,,17,1,,,0.0909,15,,1,,,15,-10.6391,,1.5984,1.5984,0.0909,,0.0909,,,0.9091,,,,,,,,,,,,,,,
Rachaad White,TB,RB,7,No,No,No,6,No,No,0.8333,17,,,,,,,,,,,,,,,,,,0.1667,,,,,,,,,,,,,,,,,
Elijah Moore,BUF,WR,1,No,Yes,No,1,No,No,,9,1,,,1,19,,1,,,19,-11.9321,,1.9735,1.9735,1,,1,,,,,,,,,,,,,,,,,,
Malachi Corley,CLV,WR,2,No,No,No,2,No,No,,13,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,
Xavier Worthy,KC,WR,8,No,Yes,No,8,No,No,,14,1,,,0.125,41,,1,,,41,-15,,2.1077,2.1077,0.125,,0.125,0.875,1,,,,,,,,,,,,,,,,
Darren Waller,MIA,TE,5,No,No,Yes,5,No,No,,9,,,,,,,,,,,,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,
Pat Freiermuth,PIT,TE,5,No,No,No,4,No,No,,17,1,1,1,0.25,12,,,,,12,-8.6661,,2.9441,2.9441,0.2,,0.75,0.25,,,1,1,,,,,,,,,,,,,
Isiah Pacheco,KC,RB,2,No,Yes,No,2,No,No,0.5,13,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
Calvin Austin,PIT,WR,5,No,No,No,5,No,No,,14,3,1,0.3333,0.6,47,1,3,,,15.6667,-9.8389,0.3333,5.1387,5.1387,0.6,,0.6,0.4,1,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,8,No,No,No,7,No,No,0.7143,17,1,,,0.1429,-2,,,,,-2,-6.198,,1.2578,1.2578,0.125,,0.2857,,,,,,,,,,,,,,,,,,
LeQuint Allen,JAX,RB,5,No,Yes,No,3,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland,CHI,TE,6,No,No,No,6,No,No,0.1667,16,,,,,,,,,,,,,,,,,,,,0.8333,,,,,,,,,,,,,,,
Jeremy Ruckert,NYJ,TE,4,No,No,No,3,No,No,,17,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Kalif Raymond,DET,WR,4,No,No,No,4,No,No,,15,,,,,,,,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,
Darnell Mooney,ATL,WR,7,No,No,No,5,No,No,,15,,,,,,,,,,,,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,
Isaac TeSlaa,DET,WR,3,No,No,No,3,No,No,,17,1,,,0.3333,34,,1,,,34,-14,,2.2536,2.2536,0.3333,,0.6667,0.3333,1,,,,,,,,,,,,,,,,
Allen Lazard,NYJ,WR,4,No,No,Yes,4,No,No,,10,1,,,0.25,12,,1,,,12,-9.0461,,3.1286,3.1286,0.25,,0.5,0.5,,,1,1,,,,,,,,,,,,,
Hunter Renfrow,CAR,WR,3,No,No,No,2,No,Yes,,6,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,11,No,No,No,11,No,No,,17,2,,,0.1818,29,,1,,,14.5,-9.5049,,3.1208,3.1208,0.2,,0.7273,0.2727,,,,,,,,,,,,,,,,,
Jaylin Noel,HST,WR,1,No,Yes,No,1,No,No,,17,1,,,1,21,,1,,,21,-11.2393,,2.2414,2.2414,1,,1,,1,,,,,,,,,,,,,,,,
Zay Jones,ARZ,WR,1,Yes,No,Yes,1,No,No,,8,1,,,1,10,,1,,,10,-7.5,,2.8174,2.8174,1,,,1,,,1,,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,14,No,No,No,12,No,No,1,17,2,1,0.5,0.1667,3,1,1,,,1.5,-6.062,0.5,2.908,2.908,0.1429,,,,,,,,,,,,,,,,,,,,
Kyle Monangai,CHI,RB,4,No,No,No,4,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefon Diggs,NE,WR,6,Yes,No,No,6,No,No,,17,2,,,0.3333,32,,2,,,16,-9.7773,,2.6818,2.6818,0.3333,,0.3333,0.6667,1,,,,,,,,,,,,,,,,
Jaydon Blue,DAL,RB,1,Yes,Yes,No,1,No,No,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Sinnott,WAS,TE,3,No,No,No,3,No,No,,16,,,,,,,,,,,,,,,,,,0.3333,,0.6667,,,,,,,,,,,,,,,
Dylan Drummond,ATL,WR,3,No,No,No,2,No,No,,9,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,7,No,No,No,4,No,No,0.5,17,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,3,Yes,Yes,No,2,No,No,0.5,16,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,12,No,No,No,10,No,No,0.7,17,2,,,0.2,11,,,,,5.5,-7.013,,4.8183,4.8183,0.2,,0.1,0.2,,,1,1,,,,,,,,,,,,,
Curtis Samuel,BUF,WR,3,No,No,Yes,3,No,No,,6,,,,,,,,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,
Tanner Hudson,CIN,TE,2,No,No,No,2,No,No,,13,1,,,0.5,12,,1,,,12,-8.6661,,2.8233,2.8233,0.5,,0.5,0.5,,,1,1,,,,,,,,,,,,,
Kyren Williams,LA,RB,6,No,No,No,3,Yes,Yes,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payne Durham,TB,TE,1,No,No,No,1,No,No,,17,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Will Shipley,PHI,RB,2,No,No,No,2,No,No,0.5,15,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,
Tucker Kraft,GB,TE,2,Yes,Yes,No,2,No,No,,8,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,
Cam Skattebo,NYG,RB,2,No,No,No,1,No,No,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dont'e Thornton,LV,WR,10,No,No,No,10,No,No,,15,3,,,0.3,77,,2,,,25.6667,-10.7427,,4.9158,4.9158,0.3333,,0.3,0.7,2,,,,,,,,,,,,,,,,
John Bates,WAS,TE,5,No,No,No,2,No,No,,15,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Trey McBride,ARZ,TE,11,No,No,No,11,Yes,Yes,,17,,,,,,,,,,,,,,,,,0.7273,,,0.2727,,,,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,4,No,No,No,4,No,Yes,,14,2,1,0.5,0.5,21,,2,,,10.5,-8.6794,,3.2463,3.2463,0.5,,0.5,0.5,,,,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,10,No,No,No,10,No,No,,17,2,,,0.2,16,,2,,,8,-7.4308,,6.0714,6.0714,0.2222,,0.7,0.1,,0.2,1,1,,,,,,,,,,,,,
Noah Brown,WAS,WR,2,Yes,No,No,2,No,No,,4,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,
Emeka Egbuka,TB,WR,8,No,No,No,8,No,No,,17,4,,,0.5,112,,2,,,28,-11.94,,6.8533,6.8533,0.5714,,0.5,0.5,2,,,,,,,,,,,,,,,,
Kyle Pitts,ATL,TE,8,No,No,No,7,No,No,,17,3,2,0.6667,0.4286,7,,3,1,0.3333,2.3333,-6.3416,,4.5742,4.5742,0.375,2,0.4286,0.1429,,0.4286,1,,,,,,,,,,,,,,
TreVeyon Henderson,NE,RB,3,Yes,No,No,3,No,No,0.6667,17,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,
Jayden Reed,GB,WR,2,No,No,No,2,No,No,0.5,7,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
Devin Neal,NO,RB,5,No,No,No,5,No,No,0.8,9,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,
Oronde Gadsden,LAC,TE,11,No,Yes,No,10,No,Yes,,15,2,1,0.5,0.2,19,1,1,,,9.5,-7.5141,0.5,4.5155,4.5155,0.25,,0.5,0.1,,0.4,1,,,,,,,,,,,,,,
Dante Pettis,NO,WR,2,No,No,No,2,No,No,,8,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Chris Godwin,TB,WR,7,No,No,No,7,No,No,,9,,,,,,,,,,,,,,,,,0.5714,0.4286,,,,,,,,,,,,,,,,,
Terry McLaurin,WAS,WR,4,No,No,No,3,No,No,,10,,,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,
Harold Fannin,CLV,TE,12,Yes,Yes,Yes,9,No,No,,16,2,,,0.2222,30,,2,,,15,-10.8196,,5.4714,5.4714,0.2,,0.3333,,,0.6667,,,,,,,,,,,,,,,
Dallas Goedert,PHI,TE,6,No,No,No,5,No,No,,15,,,,,,,,,,,,,,,,,,0.2,,0.8,,,,,,,,,,,,,,,
Cedric Tillman,CLV,WR,9,No,No,No,9,No,No,,13,1,1,1,0.1111,7,1,1,,,7,-7.0645,1,1.4421,1.4421,0.1429,,0.2222,0.7778,,,,,,,,,,,,,,,,,
Arian Smith,NYJ,WR,4,No,No,No,4,No,No,,16,1,,,0.25,18,,1,,,18,-10.8991,,1.3794,1.3794,0.25,,0.25,0.75,,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,3,No,Yes,No,3,No,Yes,,15,,,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,
Calvin Ridley,TEN,WR,2,No,No,No,2,No,No,,7,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,
Raheem Mostert,LV,RB,1,No,Yes,No,1,No,No,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Coker,CAR,WR,6,No,No,No,6,No,No,,11,1,,,0.1667,,,,,,,,,,,0.2,,0.6667,0.3333,,,,,,,,,,,,,,,,,
LaJohntay Wester,BLT,WR,1,No,No,No,1,No,No,,16,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Jaylin Lane,WAS,WR,5,No,Yes,No,5,No,No,,15,2,,,0.4,49,,1,,,24.5,-12.2048,,4.2135,4.2135,0.4,,,1,1,,,,,,,,,,,,,,,,
Bo Melton,GB,WR,1,No,No,No,1,No,No,,9,1,1,1,1,5,1,1,,,5,-6.3628,1,1.4465,1.4465,1,,1,,,,,,,,,,,,,,,,,,
Jalen Tolbert,DAL,WR,6,Yes,Yes,No,6,No,No,,13,1,,,0.1667,5,,1,,,5,-6.3628,,3.4804,3.4804,0.1667,,0.1667,0.8333,,,1,1,,,,,,,,,,,,,
Drake London,ATL,WR,5,No,No,No,4,No,No,,12,2,,,0.5,29,,2,,,14.5,-9.6071,,3.3329,3.3329,0.4,,0.25,0.75,,,,,,,,,,,,,,,,,
Alec Pierce,IND,WR,11,No,Yes,No,11,No,No,,15,3,,,0.2727,96,,3,,,32,-11.5346,,7.5039,7.5039,0.3333,1,0.0909,0.9091,2,,,1,,,,,,,,,,,,,
Olamide Zaccheaus,CHI,WR,4,No,No,No,3,No,No,,16,1,,,0.3333,18,,,,,18,-10.8991,,1.5941,1.5941,0.3333,,0.6667,0.3333,,,,,,,,,,,,,,,,,
Theo Wease,MIA,WR,2,Yes,No,No,2,No,No,,3,2,1,0.5,1,34,,2,,,17,-10.3393,,5.5733,5.5733,1,1,,1,1,,1,1,,,,,,,,,,,,,
DJ Giddens,IND,RB,1,No,Yes,No,1,No,No,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Rodriguez,WAS,RB,4,No,No,No,3,No,No,1,13,1,,,0.3333,14,,,,,14,-9.9318,,1.6867,1.6867,0.25,,,,,,1,,,,,,,,,,,,,,
Raheim Sanders,CLV,RB,2,No,No,No,2,No,No,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Warren,IND,TE,12,No,Yes,No,10,No,No,,17,1,,,0.1,4,,1,,,4,-6.0667,,1.3496,1.3496,0.1111,,0.7,0.2,,0.1,,,,,,,,,,,,,,,
Dee Eskridge,MIA,WR,1,No,No,No,1,Yes,Yes,,13,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Sam LaPorta,DET,TE,3,No,No,No,2,No,No,,9,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,13,No,No,No,13,No,Yes,,17,4,,,0.3077,49,,4,,,12.25,-8.2794,,9.7229,9.7229,0.3333,,0.3077,0.6923,1,,2,2,,,,,,,,,,,,,
Mitchell Tinsley,CIN,WR,4,No,No,No,3,No,No,,17,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Brycen Tremayne,CAR,WR,3,No,No,No,3,No,No,,16,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Sterling Shepard,TB,WR,5,No,No,No,5,No,No,,13,,,,,,,,,,,,,1.4584,1.4584,,,0.2,0.8,,,,,,,,,,,,,,,,,
Khalil Shakir,BUF,WR,8,No,No,No,8,No,No,,16,2,,,0.25,31,,2,,,15.5,-9.5902,,3.6993,3.6993,0.2857,,0.875,0.125,1,,1,,,,,,,,,,,,,,
Tez Johnson,TB,WR,3,No,No,No,3,No,No,,16,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,14,No,No,No,11,No,Yes,0.8182,17,3,2,0.6667,0.2727,16,2,1,,,5.3333,-7.4183,0.6667,5.8749,5.8749,0.2143,,0.0909,0.0909,,,1,,,,,,,,,,,,,,
Rico Dowdle,CAR,RB,7,No,No,No,4,No,No,0.75,17,1,1,1,0.25,,1,,,,,-5.8271,1,1.3488,1.3488,0.1667,,,0.25,,,,,,,,,,,,,,,,,
Chris Olave,NO,WR,9,No,No,No,8,No,No,,16,4,1,0.25,0.5,68,,4,,,17,-9.1696,,10.7283,10.7283,0.5,1,0.375,0.625,2,,,1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Ricky Pearsall,SF,WR,5,No,No,No,5,No,No,,9,4,,,0.8,90,,3,,,22.5,-10.8642,,11.7326,11.7326,0.8,,0.2,0.8,3,,,1,,,,,,,,,,,,,
Jerome Ford,CLV,RB,4,Yes,Yes,No,2,No,No,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
