Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AlignmentBackfieldRoutesPercentage
Rasheen Ali,BLT,RB,10,No,Yes,No,7,No,No,0.2857,15,,,0.7143
KhaDarel Hodge,ATL,WR,1,No,Yes,Yes,1,No,No,,11,,1,
Jonathan Mingo,DAL,WR,1,Yes,Yes,No,1,No,No,,6,,1,
Cooper Kupp,SEA,WR,24,Yes,Yes,Yes,24,No,No,,16,0.375,0.5833,0.0417
Tommy Tremble,CAR,TE,17,Yes,Yes,Yes,15,No,No,0.5333,17,0.4,0.0667,
Ja'Marr Chase,CIN,WR,34,No,Yes,No,34,No,No,,16,0.4706,0.5294,
Adam Trautman,DEN,TE,13,No,Yes,No,7,No,No,0.8571,17,,0.1429,
D'Andre Swift,CHI,RB,13,Yes,Yes,No,7,No,No,0.1429,16,,0.1429,0.7143
Ben Sims,MIN,TE,4,No,Yes,Yes,3,No,No,0.3333,9,0.3333,0.3333,
Tahj Brooks,CIN,RB,1,No,Yes,No,1,No,No,,12,,,1
Robbie Chosen,WAS,WR,4,No,Yes,No,4,No,No,,3,,1,
Kayshon Boutte,NE,WR,32,No,Yes,No,30,No,No,,14,0.1,0.9,
Hunter Long,JAX,TE,16,No,Yes,No,13,No,No,0.5385,9,0.3077,0.1538,
Sal Cannella,CLV,TE,3,No,Yes,No,3,No,No,0.3333,2,0.6667,,
Chris Brooks,GB,RB,10,No,Yes,Yes,8,No,No,0.125,17,,0.125,0.75
Christian Watson,GB,WR,11,No,Yes,No,11,No,No,,10,0.2727,0.7273,
Tom Kennedy,DET,WR,3,Yes,Yes,No,3,No,No,,6,0.6667,0.3333,
Justice Hill,BLT,RB,17,No,Yes,No,14,No,No,,10,0.0714,0.0714,0.8571
Anthony Firkser,DET,TE,6,Yes,Yes,No,5,No,No,0.2,7,0.6,0.2,
Tyler Conklin,LAC,TE,8,No,Yes,No,8,No,No,0.375,10,0.375,0.25,
James Conner,ARZ,RB,5,No,Yes,No,3,No,No,,3,,,1
Shedrick Jackson,LV,WR,2,Yes,Yes,Yes,2,No,No,,5,0.5,0.5,
Kyle Williams,NE,WR,10,No,Yes,No,10,No,No,,17,0.1,0.9,
Jonathan Taylor,IND,RB,27,Yes,Yes,No,21,No,No,,17,0.1429,0.0476,0.8095
Troy Franklin,DEN,WR,13,No,Yes,No,13,No,No,,17,0.5385,0.4615,
Jordan Mason,MIN,RB,26,No,Yes,Yes,13,No,No,0.1538,16,,,0.8462
Tre Tucker,LV,WR,61,Yes,Yes,Yes,60,No,No,0.0333,17,0.25,0.7167,
Michael Pittman,IND,WR,27,Yes,Yes,No,27,No,No,,17,0.4074,0.5926,
Malik Washington,MIA,WR,27,No,Yes,No,27,No,No,,17,0.5556,0.4444,
Greg Dortch,ARZ,WR,10,No,Yes,No,10,No,No,,12,0.8,0.2,
Terrell Jennings,NE,RB,1,No,Yes,Yes,1,No,No,,6,,,1
Tip Reiman,ARZ,TE,6,Yes,Yes,No,5,No,No,0.6,4,0.2,,0.2
Tyrell Shavers,BUF,WR,9,No,Yes,No,9,No,No,0.1111,17,0.3333,0.5556,
Javonte Williams,DAL,RB,22,Yes,Yes,Yes,14,No,No,,16,0.0714,0.0714,0.8571
Courtland Sutton,DEN,WR,23,No,Yes,No,21,No,No,,17,0.1429,0.8571,
Audric Estime,NO,RB,7,Yes,Yes,No,6,No,No,,6,0.1667,0.1667,0.6667
Charlie Kolar,BLT,TE,13,No,Yes,No,9,No,No,0.8889,17,0.1111,,
Zach Ertz,WAS,TE,26,Yes,Yes,Yes,25,No,No,0.48,13,0.44,0.08,
Darnell Washington,PIT,TE,13,No,Yes,No,8,No,No,0.75,16,0.25,,
Davis Allen,LA,TE,6,No,Yes,No,6,No,No,0.5,17,0.3333,0.1667,
Dalton Kincaid,BUF,TE,14,No,Yes,No,14,No,No,0.1429,12,0.5714,0.2857,
Hunter Henry,NE,TE,40,No,Yes,No,35,No,No,0.4571,17,0.3143,0.1714,0.0571
Jakobi Meyers,JAX,WR,35,No,Yes,No,34,No,No,,16,0.4118,0.5882,
Jahmyr Gibbs,DET,RB,26,Yes,Yes,No,19,No,No,,17,0.1579,0.1053,0.7368
Cody White,SEA,WR,1,No,Yes,No,1,No,No,,9,,1,
Zavier Scott,MIN,RB,3,No,Yes,Yes,1,No,No,,11,1,,
Gabe Davis,BUF,WR,7,No,Yes,No,7,No,No,,6,,1,
Ian Thomas,LV,TE,18,Yes,Yes,Yes,12,No,No,0.5833,15,0.0833,0.3333,
Zay Flowers,BLT,WR,45,No,Yes,No,45,No,No,,17,0.3111,0.6889,
Michael Wilson,ARZ,WR,53,No,Yes,No,53,No,No,,17,0.3585,0.6415,
Xavier Hutchinson,HST,WR,18,Yes,Yes,No,18,No,No,,17,0.0556,0.9444,
Jakobie Keeney-James,GB,WR,4,No,Yes,Yes,4,No,No,,1,0.5,0.5,
T.J. Hockenson,MIN,TE,46,No,Yes,No,43,No,No,0.3256,15,0.4419,0.2326,
Stone Smartt,NYJ,TE,7,No,Yes,No,7,No,No,0.4286,8,0.4286,0.1429,
Tim Patrick,JAX,WR,12,No,Yes,No,11,No,No,,16,0.4545,0.5455,
Josh Reynolds,NYJ,WR,21,No,Yes,No,20,No,No,,5,0.2,0.8,
Noah Gray,KC,TE,19,Yes,Yes,Yes,17,No,No,0.6471,16,0.0588,0.2941,
Brian Thomas,JAX,WR,27,No,Yes,No,27,No,No,,14,0.2222,0.7778,
Chimere Dike,TEN,WR,32,No,Yes,No,32,No,No,,17,0.7812,0.1875,0.0312
Devin Culp,TB,TE,2,No,Yes,Yes,1,No,No,,11,,1,
Tyrone Tracy,NYG,RB,23,Yes,Yes,No,18,No,No,,15,0.1111,0.1667,0.7222
Michael Mayer,LV,TE,22,Yes,Yes,Yes,20,No,No,0.35,13,0.35,0.25,0.05
Jelani Woods,NYJ,TE,3,No,Yes,Yes,3,No,No,1,4,,,
Marvin Harrison,ARZ,WR,36,No,Yes,No,36,No,No,,12,0.0833,0.9167,
DeAndre Hopkins,BLT,WR,18,No,Yes,No,18,No,No,,17,0.2222,0.7778,
Mo Alie-Cox,IND,TE,7,Yes,Yes,No,5,No,No,1,17,,,
Bryce Oliver,TEN,WR,2,No,Yes,No,2,No,No,,3,,1,
Ollie Gordon,MIA,RB,4,No,Yes,No,3,No,No,,17,,,1
Austin Hooper,NE,TE,22,No,Yes,No,18,No,No,0.7778,16,0.1111,0.1111,
Justin Watson,HST,WR,2,Yes,Yes,No,2,No,No,,3,1,,
Rashee Rice,KC,WR,22,Yes,Yes,No,22,No,No,,8,0.2727,0.6818,0.0455
Britain Covey,PHI,WR,1,No,Yes,No,1,No,No,,6,,1,
Jaylen Wright,MIA,RB,2,No,Yes,No,2,No,No,,10,0.5,0.5,
Keon Coleman,BUF,WR,19,No,Yes,No,18,No,No,,13,0.2778,0.7222,
Lil'Jordan Humphrey,DEN,WR,12,No,Yes,No,12,No,No,,10,0.3333,0.6667,
Jordan Addison,MIN,WR,46,No,Yes,Yes,44,No,No,,14,0.3864,0.5909,0.0227
Tyler Lockett,LV,WR,48,Yes,Yes,Yes,48,No,No,,17,0.7083,0.2917,
De'Von Achane,MIA,RB,26,No,Yes,No,20,No,No,,16,0.2,0.15,0.65
Mike Evans,TB,WR,17,Yes,Yes,Yes,17,No,No,,8,0.2941,0.7059,
Xavier Smith,LA,WR,4,No,Yes,No,3,No,No,,16,0.6667,0.3333,
Kenneth Walker,SEA,RB,13,Yes,Yes,Yes,11,No,No,,17,0.1818,0.0909,0.7273
Sean Tucker,TB,RB,2,Yes,Yes,Yes,1,No,No,,17,,,1
