Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage
Khalil Shakir,BUF,WR,105,No,No,No,101,17,No,No,9,0.5294,0.1683,147,4,0.7228,0.2475,10,8.6471,2,39.6,-7.7877,0.2353,28.4913,28.4913,0.2,16,0.0198,5,,1,0.0099,4,0.2353
Sterling Shepard,TB,WR,115,No,Yes,No,112,14,No,No,5,0.3571,0.125,238,,0.5089,0.4911,7,17,5,39.6,-9.6769,,35.2845,35.2845,0.1414,13,,5,3,3,,,
Chris Blair,ATL,WR,1,No,No,No,1,,No,No,,,,,,,1,,,,,,,,,,3,,,,,,,
Mitchell Tinsley,CIN,WR,50,No,No,Yes,44,16,No,No,4,0.25,0.3636,252,2,0.1136,0.8636,13,15.75,6,39.6,-9.5335,0.125,33.4369,33.4369,0.4211,17,,3,2,3,0.0227,,
Brycen Tremayne,CAR,WR,32,No,No,No,31,3,No,No,2,0.6667,0.0968,42,,0.3871,0.6129,3,14,,39.6,-9.3081,,7.5244,7.5244,0.1579,16,,1,,,,,
Jaxon Smith-Njigba,SEA,WR,128,No,No,No,123,34,No,No,11,0.3235,0.2764,480,4,0.2033,0.7967,33,14.1176,9,39.6,-9.2259,0.1176,86.6536,86.6536,0.3864,17,,9,4,5,,,
Jalen Cropper,DAL,WR,1,No,No,Yes,1,,No,No,,,,,,,1,,,,,,,,,,3,,,,,,,
Sam LaPorta,DET,TE,61,No,No,No,51,9,No,Yes,2,0.2222,0.1765,60,1,0.549,0.1961,3,6.6667,,39.6,-7.0919,0.1111,13.0703,13.0703,0.1957,9,,1,,2,0.2549,,
Jackson Hawes,BUF,TE,31,Yes,Yes,No,17,3,No,No,1,0.3333,0.1765,40,1,0.2353,0.0588,2,13.3333,1,39.6,-9.2195,0.3333,5.6814,5.6814,0.1154,17,,1,,,0.7059,,
Dee Eskridge,MIA,WR,24,No,No,No,23,2,No,No,,,0.087,22,,0.2174,0.7826,1,11,,39.6,-8.5222,,3.5426,3.5426,0.1,13,,,,,,,
Brittain Brown,CHI,RB,4,No,Yes,No,4,1,No,No,,,0.25,4,,,,,4,,39.6,-6.6619,,1.3496,1.3496,0.3333,2,1,,,,,,
AJ Dillon,PHI,RB,6,No,Yes,No,4,,No,No,,,,,,0.25,,,,,,,,,,,7,0.75,,,,,,
Ross Dwelley,DET,TE,12,No,Yes,No,8,2,No,No,1,0.5,0.25,7,,0.375,0.125,2,3.5,,39.6,-6.4342,,4.8873,4.8873,0.2857,10,,1,1,1,0.5,,
Raheim Sanders,CLV,RB,4,No,No,Yes,4,1,No,No,,,0.25,3,,,,,3,,39.6,-6.5094,,1.3793,1.3793,0.3333,4,1,,,,,,
Tyler Warren,IND,TE,151,No,No,Yes,135,29,No,Yes,16,0.5517,0.2148,276,3,0.5111,0.1407,25,9.5172,1,39.6,-8.3613,0.1034,59.8271,59.8271,0.2397,17,0.0444,15,4,7,0.3037,1,0.0345
Will Mallory,IND,TE,1,No,No,No,1,,Yes,No,,,,,,1,,,,,,,,,,,2,,,,,,,
Albert Okwuegbunam,LV,TE,6,No,No,No,6,1,No,No,,,0.1667,19,,0.5,,1,19,,39.6,-10.5955,,2.4895,2.4895,0.2,1,,,1,1,0.5,,
DJ Giddens,IND,RB,9,No,No,Yes,5,2,No,Yes,,,0.4,-5,,,,2,-2.5,,39.6,-5.8491,,4.0538,4.0538,0.2857,9,1,,,1,,,
Chris Rodriguez,WAS,RB,34,No,Yes,No,25,,No,No,,,,,,0.12,0.04,,,,,,,,,,13,0.84,,,,,,
Theo Wease,MIA,WR,8,No,Yes,Yes,7,2,No,No,1,0.5,0.2857,30,,0.1429,0.8571,2,15,,39.6,-9.9543,,3.6503,3.6503,0.2857,3,,1,,,,,
Olamide Zaccheaus,CHI,WR,116,Yes,Yes,Yes,106,22,No,No,5,0.2273,0.2075,256,4,0.4434,0.5472,11,11.6364,4,39.6,-8.5076,0.1818,40.1365,40.1365,0.2619,16,,2,3,5,0.0094,1,0.0455
Alec Pierce,IND,WR,144,No,No,Yes,136,34,No,Yes,12,0.3529,0.25,694,1,0.1176,0.8824,31,20.4118,12,39.6,-10.6966,0.0294,79.705,79.705,0.2833,15,,16,5,5,,,
Jalen Tolbert,DAL,WR,74,No,No,Yes,72,13,No,No,4,0.3077,0.1806,206,1,0.4444,0.5556,7,15.8462,3,39.6,-9.5474,0.0769,25.95,25.95,0.2167,13,,2,2,3,,,
Drake London,ATL,WR,142,No,Yes,No,134,37,No,No,11,0.2973,0.2761,445,3,0.2985,0.694,31,12.027,6,39.6,-8.6618,0.0811,72.7682,72.7682,0.3333,12,0.0075,14,4,5,,,
Jaylin Lane,WAS,WR,70,No,No,No,64,13,No,No,6,0.4615,0.2031,201,4,0.3906,0.6094,7,15.4615,3,39.6,-9.5515,0.3077,19.3767,19.3767,0.2453,15,,3,3,1,,,
LaJohntay Wester,BLT,WR,7,No,Yes,Yes,7,,No,No,,,,,,0.7143,0.2857,,,,,,,,,,16,,,,,,,
Bo Melton,GB,WR,19,Yes,Yes,Yes,18,7,No,No,2,0.2857,0.3889,114,,0.4444,0.5556,4,16.2857,1,39.6,-9.5523,,11.1096,11.1096,0.4667,9,,1,,,,,
Ben Skowronek,PIT,WR,12,No,Yes,Yes,9,2,No,No,,,0.2222,19,,0.6667,0.3333,1,9.5,,39.6,-8.2297,,4.2084,4.2084,0.2222,16,,,1,1,,,
Beaux Collins,NYG,WR,14,No,Yes,No,13,3,No,No,1,0.3333,0.2308,53,1,0.4615,0.5385,3,17.6667,1,39.6,-8.7375,0.3333,9.8704,9.8704,0.3,9,,,1,1,,,
Jake Tonges,SF,TE,71,No,Yes,No,58,11,No,No,5,0.4545,0.1897,91,,0.2931,0.1552,6,8.2727,,39.6,-8.2681,,23.4206,23.4206,0.2,16,,4,1,1,0.5517,,
Trey Benson,ARZ,RB,16,No,Yes,Yes,16,,No,No,,,,,,0.0625,0.0625,,,,,,,,,,4,0.875,,,,,,
Roman Wilson,PIT,WR,45,No,No,No,43,8,Yes,Yes,3,0.375,0.186,166,1,0.093,0.907,7,20.75,6,39.6,-9.9093,0.125,12.4086,12.4086,0.2286,13,,3,,1,,1,0.125
Julius Chestnut,TEN,RB,8,No,Yes,No,6,2,No,No,,,0.3333,18,,,0.1667,1,9,,39.6,-7.1403,,2.9093,2.9093,0.2857,17,0.8333,,,,,,
Wan'Dale Robinson,NYG,WR,169,No,Yes,Yes,166,38,No,No,12,0.3158,0.2289,516,3,0.6807,0.2892,28,13.5789,11,39.6,-8.5986,0.0789,83.5762,83.5762,0.2946,16,0.0301,13,4,8,,,
Ryan Flournoy,DAL,WR,78,No,No,Yes,73,12,No,No,5,0.4167,0.1644,181,3,0.3973,0.6027,7,15.0833,3,39.6,-9.4069,0.25,25.5121,25.5121,0.2143,15,,4,3,3,,,
Nikko Remigio,KC,WR,2,No,No,No,2,,No,No,,,,,,0.5,0.5,,,,,,,,,,14,,,,,,,
Deebo Samuel,WAS,WR,127,No,Yes,No,119,23,No,No,12,0.5217,0.1933,241,6,0.6807,0.3109,18,10.4783,2,39.6,-8.1736,0.2609,51.7459,51.7459,0.2323,16,0.0084,7,1,2,,1,0.0435
Devin Duvernay,CHI,WR,11,Yes,Yes,Yes,9,3,No,No,,,0.3333,56,,0.3333,0.6667,2,18.6667,1,39.6,-10.1002,,3.3533,3.3533,0.375,17,,,1,,,,
Mike Gesicki,CIN,TE,73,No,No,Yes,71,11,No,No,4,0.3636,0.1549,117,1,0.7465,0.2113,9,10.6364,1,39.6,-8.7027,0.0909,25.5658,25.5658,0.1803,13,,3,1,4,0.0423,,
Clyde Edwards-Helaire,KC,RB,2,Yes,Yes,Yes,2,,No,No,,,,,,,,,,,,,,,,,2,1,,,,,,
Rashod Bateman,BLT,WR,76,No,No,No,72,16,No,Yes,4,0.25,0.2222,220,3,0.1111,0.875,12,13.75,4,39.6,-8.419,0.1875,26.7085,26.7085,0.2712,13,0.0139,1,1,3,,,
Grant Calcaterra,PHI,TE,44,No,Yes,No,31,4,No,No,2,0.5,0.129,37,1,0.3226,0.0968,3,9.25,,39.6,-7.9763,0.25,7.4906,7.4906,0.1111,15,,1,1,1,0.5806,,
Stephen Carlson,CHI,TE,3,No,No,No,3,,No,No,,,,,,0.6667,,,,,,,,,,,2,,,,,0.3333,,
Josh Jacobs,GB,RB,67,No,No,No,47,7,No,Yes,,,0.1489,-22,,0.0213,0.0426,2,-3.1429,,39.6,-5.7047,,10.7803,10.7803,0.1458,15,0.8936,,,1,0.0426,1,0.1429
Cade Stover,HST,TE,27,No,No,Yes,21,4,No,Yes,4,1,0.1905,7,2,0.0952,0.0952,3,1.75,,39.6,-5.857,0.5,5.8688,5.8688,0.1739,9,,1,,,0.8095,,
Tee Higgins,CIN,WR,156,No,No,Yes,150,35,No,No,15,0.4286,0.2333,585,3,0.1267,0.8733,31,16.7143,12,39.6,-9.6286,0.0857,74.1699,74.1699,0.2846,15,,15,6,4,,,
Jaylen Waddle,MIA,WR,104,No,No,No,98,27,No,No,5,0.1852,0.2755,420,4,0.2245,0.7755,25,15.5556,5,39.6,-9.4234,0.1481,54.5961,54.5961,0.3293,16,,2,3,2,,,
Scott Miller,PIT,WR,36,No,Yes,Yes,33,3,No,No,1,0.3333,0.0909,37,,0.3333,0.6667,3,12.3333,1,39.6,-8.3053,,6.7402,6.7402,0.1,13,,,1,1,,,
Jeremy McNichols,WAS,RB,83,No,Yes,No,52,5,No,No,1,0.2,0.0962,-3,1,0.2308,0.0192,,-0.6,,39.6,-6.0649,0.2,7.1894,7.1894,0.082,17,0.75,,,,,,
Jerome Ford,CLV,RB,87,No,No,Yes,58,5,No,No,4,0.8,0.0862,8,3,0.0172,0.0862,3,1.6,,39.6,-6.2945,0.6,7.6399,7.6399,0.0794,13,0.7931,1,,1,0.1034,1,0.2
George Pickens,DAL,WR,167,No,No,Yes,160,35,No,No,10,0.2857,0.2188,577,3,0.1,0.9,27,16.4857,12,39.6,-9.3814,0.0857,98.6405,98.6405,0.2574,17,,8,12,12,,,
Rico Dowdle,CAR,RB,86,No,No,No,52,6,No,No,2,0.3333,0.1154,-1,2,0.0962,0.1923,5,-0.1667,,39.6,-6.4704,0.3333,9.3435,9.3435,0.1053,17,0.7115,1,1,1,,3,0.5
