Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage
Nyheim Hines,NO,RB,3,No,Yes,No,3,,No,No,,,,,,,,,,,,,,,,,4,1,,,,,,
Luke Musgrave,GB,TE,67,Yes,Yes,Yes,61,7,No,No,5,0.7143,0.1148,70,3,0.3279,0.1803,3,10,1,39.6,-7.8178,0.4286,14.382,14.382,0.1429,17,,4,,1,0.4918,1,0.1429
Christian Kirk,HST,WR,92,No,No,Yes,88,16,No,Yes,6,0.375,0.1818,161,2,0.7045,0.2955,11,10.0625,3,39.6,-7.5631,0.125,33.0686,33.0686,0.2192,13,,4,2,3,,,
Mitchell Evans,CAR,TE,41,No,No,No,35,2,No,No,2,1,0.0571,8,1,0.2857,0.0857,1,4,,39.6,-6.4009,0.5,2.869,2.869,0.087,17,,,,,0.6286,,
Jalen McMillan,TB,WR,18,No,No,No,17,2,No,No,2,1,0.1176,13,2,0.1176,0.8824,,6.5,,39.6,-6.7518,1,2.7525,2.7525,0.1429,4,,,,,,,
E.J. Jenkins,PHI,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,2,,,,,1,,
D'Ernest Johnson,NE,RB,6,No,Yes,Yes,3,,No,No,,,,,,0.3333,0.3333,,,,,,,,,,6,0.3333,,,,,,
Theo Johnson,NYG,TE,156,No,No,No,132,26,No,No,14,0.5385,0.197,252,9,0.5076,0.1591,22,9.6923,2,39.6,-8.625,0.3462,56.1541,56.1541,0.2261,15,0.0606,7,5,7,0.2727,,
Jahan Dotson,PHI,WR,121,No,Yes,No,118,14,No,No,1,0.0714,0.1186,255,,0.4492,0.5508,9,18.2143,5,39.6,-9.4447,,26.1175,26.1175,0.1556,17,,,,2,,,
DeVonta Smith,PHI,WR,152,No,Yes,No,147,35,No,No,15,0.4286,0.2381,675,5,0.5034,0.4966,29,19.2857,15,39.6,-10.2653,0.1429,75.9406,75.9406,0.2917,17,,11,6,3,,1,0.0286
Giovanni Ricci,DET,TE,6,No,No,No,4,1,No,Yes,,,0.25,2,,,0.5,1,2,,39.6,-6.3701,,3.4838,3.4838,0.25,3,,,,1,0.5,,
Jameson Williams,DET,WR,171,Yes,Yes,Yes,164,33,No,No,16,0.4848,0.2012,553,12,0.2439,0.75,24,16.7576,9,39.6,-9.8004,0.3636,67.5564,67.5564,0.2705,17,0.0061,3,3,6,,,
Luke Schoonmaker,DAL,TE,57,No,No,Yes,44,9,No,No,7,0.7778,0.2045,108,3,0.3182,0.0227,4,12,4,39.6,-8.8461,0.3333,15.4351,15.4351,0.1837,17,,4,1,1,0.6591,,
Nate Adkins,DEN,TE,26,No,Yes,No,17,4,No,No,3,0.75,0.2353,15,2,0.0588,0.0588,3,3.75,,39.6,-6.3527,0.5,7.0405,7.0405,0.2105,9,0.0588,1,1,1,0.8235,1,0.25
Tre Harris,LAC,WR,74,No,Yes,No,67,12,No,No,3,0.25,0.1791,214,1,0.4328,0.5672,9,17.8333,6,39.6,-9.5911,0.0833,21.5614,21.5614,0.2182,17,,2,1,2,,,
Jack Stoll,NO,TE,25,No,Yes,No,16,3,No,Yes,,,0.1875,4,,0.25,,2,1.3333,,39.6,-5.5812,,4.2425,4.2425,0.1667,15,0.1875,,,,0.5625,,
Russell Gage,SF,WR,7,No,No,No,7,,No,No,,,,,,0.5714,0.4286,,,,,,,1.5422,1.5422,,1,,,,,,,
Darius Cooper,PHI,WR,36,No,Yes,No,32,2,No,No,,,0.0625,38,,0.4062,0.5938,1,19,1,39.6,-9.2885,,9.0051,9.0051,0.1053,13,,,,,,,
Mecole Hardman,BUF,WR,1,No,No,No,1,1,No,No,,,1,46,,,1,1,46,1,39.6,-15,,2.5818,2.5818,1,2,,,,,,,
Shane Zylstra,DET,TE,34,Yes,Yes,Yes,28,2,No,No,,,0.0714,23,,0.3929,0.25,2,11.5,,39.6,-8.7031,,4.5048,4.5048,0.0833,5,,,1,1,0.3571,,
Jalen Royals,KC,WR,12,No,No,No,11,1,No,No,,,0.0909,21,,0.1818,0.8182,1,21,1,39.6,-11.2393,,3.4294,3.4294,0.1,7,,,,,,,
Malik Heath,GB,WR,31,No,Yes,Yes,29,1,Yes,Yes,1,1,0.0345,8,1,0.4828,0.4483,1,8,,39.6,-7.5106,1,1.7034,1.7034,0.0435,11,,,,,0.069,,
Jayden Higgins,HST,WR,118,No,No,Yes,112,25,No,Yes,6,0.24,0.2232,391,1,0.2589,0.7321,19,15.64,8,39.6,-9.2231,0.04,47.6569,47.6569,0.2632,17,,4,4,3,0.0089,,
Skyy Moore,SF,WR,21,No,No,No,19,2,No,No,,,0.1053,51,,0.3684,0.6316,2,25.5,1,39.6,-11.2553,,4.4155,4.4155,0.1429,17,,,,,,,
Travis Homer,CHI,RB,1,Yes,Yes,Yes,1,,No,No,,,,,,,,,,,,,,,,,8,1,,,,,,
David Martin-Robinson,TEN,TE,13,No,Yes,No,8,1,No,No,,,0.125,14,,0.125,0.125,,14,,39.6,-10.2817,,1.6234,1.6234,0.125,15,0.125,,,,0.625,,
Dameon Pierce,KC,RB,3,No,No,No,2,1,No,No,1,1,0.5,-5,1,,,1,-5,,39.6,-5.8711,1,1.873,1.873,0.3333,5,1,,,,,,
Blake Corum,LA,RB,55,No,No,Yes,36,6,No,No,4,0.6667,0.1667,22,4,0.2222,0.0278,,3.6667,,39.6,-7.1239,0.6667,9.306,9.306,0.1224,17,0.75,,,1,,,
Julian Hill,MIA,TE,47,No,Yes,Yes,20,4,No,No,1,0.25,0.2,32,1,0.25,0.05,3,8,1,39.6,-7.6665,0.25,7.7252,7.7252,0.1053,14,0.05,,1,2,0.65,1,0.25
Tyquan Thornton,KC,WR,78,No,Yes,No,72,17,No,No,6,0.3529,0.2361,611,2,0.3333,0.6667,16,35.9412,15,39.6,-13.5006,0.1176,47.4987,47.4987,0.2787,14,,4,3,1,,,
Breece Hall,NYJ,RB,96,No,Yes,Yes,65,5,No,No,3,0.6,0.0769,16,2,0.0615,0.0923,3,3.2,,39.6,-5.2786,0.4,9.7384,9.7384,0.0714,16,0.8462,1,1,4,,,
Trent Sherfield,ARZ,WR,21,No,No,No,16,2,No,No,,,0.125,35,,0.4375,0.5625,1,17.5,1,39.6,-9.1938,,3.9676,3.9676,0.1176,12,,,,1,,,
Evan Hull,NO,RB,8,No,Yes,No,5,,No,No,,,,,,,0.2,,,,,,,,,,6,0.8,,,,,,
DK Metcalf,PIT,WR,130,No,No,No,127,35,Yes,Yes,15,0.4286,0.2756,530,3,0.2047,0.7953,29,15.1429,9,39.6,-9.0534,0.0857,71.9923,71.9923,0.3571,15,,12,7,5,,,
Mark Andrews,BLT,TE,99,No,Yes,Yes,90,17,No,No,5,0.2941,0.1889,184,4,0.6889,0.1889,11,10.8235,2,39.6,-8.6265,0.2353,44.2063,44.2063,0.2125,17,,2,7,8,0.1222,,
Parker Washington,JAX,WR,122,No,Yes,No,110,29,No,No,10,0.3448,0.2636,535,5,0.5364,0.4636,21,18.4483,13,39.6,-9.8055,0.1724,59.7987,59.7987,0.2959,16,,6,2,1,,,
Braxton Berrios,HST,WR,10,No,Yes,No,10,2,No,No,,,0.2,5,,0.4,0.6,1,2.5,,39.6,-5.5854,,2.8487,2.8487,0.25,4,,,,,,,
Thomas Fidone,NYG,TE,4,No,Yes,No,3,,No,No,,,,,,0.3333,0.3333,,,,,,,,,,2,,,,,0.3333,,
Kendre Miller,NO,RB,11,No,No,No,6,,Yes,Yes,,,,,,,,,,,,,,,,,7,1,,,,,,
Travis Hunter,JAX,WR,78,No,Yes,No,72,14,No,No,5,0.3571,0.1944,146,3,0.5833,0.3889,11,10.4286,2,39.6,-8.1863,0.2143,24.824,24.824,0.209,7,0.0278,2,2,2,,,
Brian Robinson,SF,RB,18,No,No,No,15,4,No,No,2,0.5,0.2667,7,,,,,1.75,,39.6,-6.3176,,6.0244,6.0244,0.3636,17,1,2,,1,,,
Alvin Kamara,NO,RB,82,No,Yes,Yes,60,6,No,No,4,0.6667,0.1,49,3,0.15,0.1167,5,8.1667,1,39.6,-7.0784,0.5,11.0195,11.0195,0.0923,11,0.7333,1,,1,,,
Gunner Olszewski,NYG,WR,20,No,No,Yes,18,3,No,No,,,0.1667,72,,0.4444,0.5556,,24,3,39.6,-10.6611,,9.2127,9.2127,0.2,16,,2,2,2,,,
Jimmy Horn,CAR,WR,23,No,No,No,23,3,No,No,1,0.3333,0.1304,56,1,0.8261,0.1739,2,18.6667,1,39.6,-9.3063,0.3333,4.5941,4.5941,0.2,13,,,,1,,,
Tai Felton,MIN,WR,6,Yes,Yes,Yes,5,,No,No,,,,,,,1,,,,,,,3.3278,3.3278,,14,,,,,,,
Tucker Fisk,LAC,TE,17,No,Yes,No,10,1,No,No,1,1,0.1,4,1,0.1,0.1,1,4,,39.6,-6.0667,1,1.3418,1.3418,0.0769,10,0.1,1,,,0.7,,
Ray-Ray McCloud,NYG,WR,45,No,Yes,Yes,42,5,No,No,2,0.4,0.119,39,2,0.3095,0.6905,3,7.8,,39.6,-7.682,0.4,12.019,12.019,0.1351,6,,,1,1,,1,0.2
Eric Saubert,SEA,TE,21,No,No,No,17,1,No,No,,,0.0588,15,,0.0588,,,15,,39.6,-10.6391,,2.0458,2.0458,0.0909,11,,,,1,0.9412,,
DeMario Douglas,NE,WR,52,No,Yes,Yes,52,13,No,No,1,0.0769,0.25,200,,0.8077,0.1731,9,15.3846,4,39.6,-9.2113,,29.7283,29.7283,0.2955,17,0.0192,1,2,2,,,
Cade Otton,TB,TE,174,No,No,No,146,19,No,No,9,0.4737,0.1301,143,2,0.5342,0.1986,12,7.5263,1,39.6,-7.516,0.1053,33.4382,33.4382,0.1258,16,0.0068,7,1,3,0.2603,,
Carter Runyon,LV,TE,7,No,No,No,3,,No,No,,,,,,,0.3333,,,,,,,,,,10,,,,,0.6667,,
Malik Nabers,NYG,WR,43,No,No,No,42,12,No,Yes,3,0.25,0.2857,247,2,0.1667,0.8333,11,20.5833,5,39.6,-10.5943,0.1667,34.332,34.332,0.4286,4,,1,3,2,,,
Xavier Weaver,ARZ,WR,45,No,No,Yes,44,5,No,No,1,0.2,0.1136,126,1,0.2273,0.7727,5,25.2,4,39.6,-11.4394,0.2,13.7563,13.7563,0.1429,9,,1,1,1,,,
Colson Yankoff,WAS,TE,11,No,Yes,No,7,1,No,No,,,0.1429,5,,0.4286,0.1429,1,5,,39.6,-6.48,,1.4608,1.4608,0.2,14,,,,,0.4286,,
Dylan Laube,LV,RB,8,No,No,No,7,1,No,No,,,0.1429,3,,,0.1429,,3,,39.6,-6.5094,,1.3903,1.3903,0.2,17,0.8571,,,,,,
Jason Brownlee,KC,WR,5,No,No,No,5,1,No,No,,,0.2,14,,,1,1,14,,39.6,-9.8134,,2.9306,2.9306,0.3333,6,,,1,1,,,
Taysom Hill,NO,TE,24,No,Yes,No,19,5,No,No,3,0.6,0.2632,44,3,0.2105,0.5263,4,8.8,1,39.6,-8.0723,0.6,8.2762,8.2762,0.2941,13,0.2632,,1,,,,
