Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,SackedTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsBatted,ScramblesTotal,ScramblesYards,ScramblesTouchdowns,AverageTimeToScramble,SackedFaultTotal,DropsYardsLost,DropsPercentage,HeroThrowPercentage
Malik Willis,GB,QB,22,22,5,0.9375,2,14,0.875,0.875,0.1803,22,,164,10.25,0.2927,10.8235,169,1,,1,0.0769,,0.0455,Yes,Yes,13,0.5909,6.8136,0.2812,No,0.1364,0.0625,3,0.1875,,0.875,0.0625,0.6875,3.0438,5.1,3.1154,10.5625,130.2,No,No,9,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,22,22,4,,5,38,1,5.94,,,,
Jalen Hurts,PHI,QB,125,125,5,0.7826,5,77,0.6696,0.757,0.0245,125,6,847,7.3652,0.4557,6.9917,966,8,3,5,0.102,-33,0.04,Yes,Yes,49,0.392,50.0365,-0.0083,Yes,0.2,0.1478,15,0.1304,0.0174,0.687,0.0522,0.6,3.0974,3.86,2.7163,8.9444,100.9,No,No,43,67.78,67.78,67.78,67.78,67.78,70.78,69.78,63.78,63.78,63.78,63.78,76.25,72.25,16,1,5,59,,5.74,2,34,0.0348,0.0348
Cooper Rush,BLT,QB,11,11,11,0.7273,,6,0.5455,0.7,-0.0185,11,,88,8,0.3523,-0.1818,92,,2,,,,,Yes,No,3,0.2727,4.2563,-0.1142,No,0.1818,0.1818,1,0.0909,0.0909,0.5455,0.1818,0.4545,2.8182,,2.4667,8.3636,41.3,No,Yes,3,1.52,1.52,1.52,1.52,1.52,1.52,1.52,-0.48,-0.48,-0.48,-0.48,2.4,0.4,4,,,,,,,7,0.0909,0.0909
Lamar Jackson,BLT,QB,98,98,10,0.8875,10,64,0.8,0.9211,0.2171,98,2,1013,12.6625,0.4521,12.1705,741,9,1,8,0.1818,-77,0.0816,Yes,No,44,0.449,33.257,0.1096,No,0.0816,0.075,11,0.1375,0.025,0.675,0.0875,0.65,2.985,3.525,2.8432,9.7662,151,No,Yes,44,80.52,80.52,80.52,80.52,80.52,83.52,83.52,79.52,79.52,79.52,79.52,90.65,89.65,13,1,10,50,,5.37,2,101,0.075,0.0375
Chris Oladokun,KC,QB,13,13,1,0.7273,,6,0.5455,0.875,-0.0021,13,1,24,2.1818,0.8333,1.25,1,,,1,0.2,-9,0.0769,Yes,No,5,0.3846,3.9285,0.0824,No,0.2308,,,,,0.5455,0.0909,0.6364,2.6455,5.4,2.76,0.125,60,No,No,,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.6,1.6,3,2,1,4,,4.2,1,2,0.0909,
Kenny Pickett,LV,QB,12,12,10,0.8,,6,0.6,0.7,-0.1025,12,,27,2.7,0.7778,0.75,64,,,2,1,-18,0.1667,Yes,No,2,0.1667,3.6655,-0.1388,Yes,0.0833,0.2,1,0.1,,0.8,0.1,0.7,2.7,3.2,3,6.4,64.6,No,No,2,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,6,,,,,,1,-1,0.1,0.1
Anthony Richardson,IND,QB,1,1,1,1,,1,1,1,0.1261,1,,9,9,0.7778,9,2,,,,,,,Yes,No,,,0.125,-0.125,No,1,,,,,,1,1,1.3,,,2,104.2,No,Yes,1,1.26,2.26,1.76,2.26,2.26,2.26,1.76,2.26,2.26,2.26,1.76,2.35,2.35,2,,,,,,,,,
Russell Wilson,NYG,QB,28,28,1,0.84,,19,0.76,0.9545,0.135,28,2,262,10.48,0.6947,9.4444,81,,,2,0.2222,-7,0.0714,Yes,Yes,9,0.3214,9.1465,-0.0052,No,0.1429,0.04,1,0.04,,0.64,0.12,0.6,2.696,4.85,3,3.5217,109.1,No,No,10,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,10.58,13.2,13.2,6,,1,1,,5.2,1,4,0.08,0.04
Joe Burrow,CIN,QB,53,53,1,0.7755,2,36,0.7347,0.8409,0.0313,53,2,302,6.1633,0.8046,4.9231,181,1,1,3,0.2308,-21,0.0566,Yes,No,13,0.2453,18.4957,-0.1037,No,0.0943,0.1224,6,0.1224,0.0408,0.6122,0.2245,0.7143,2.7633,2.6667,2.6923,4.0222,87.3,No,Yes,14,15.28,15.28,15.28,15.28,15.28,18.28,18.28,14.28,14.28,14.28,14.28,18.3,17.3,8,2,1,2,,5.1,,-5,0.0204,0.0204
Joshua Dobbs,NE,QB,5,5,1,0.75,,3,0.75,0.75,-0.0965,5,,43,10.75,1.1395,10.75,8,,,,,,,Yes,No,1,0.2,1.4317,-0.0863,Yes,,0.25,,,,1,,0.5,2.65,,3.6,2,109.4,No,Yes,2,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,2.35,2.35,4,,1,2,,7,,,,
