teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingIncompletionsThrownAway,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingIncompletionsBatted
10,Denver,Broncos,True,KC,AFC,AFC West,Closed,Closed,Cover 3,17,53,53,0.9622641509433962,51,0.9622641509433962,0.9622641509433962,0.02907137066037735,,,311,5.867924528301887,1.517684887459807,5.867924528301887,-166,,,Yes,No,-0.1553188679245283,No,0.20754716981132076,0.03773584905660377,0.018867924528301886,1,0.7924528301886793,1.4754716981132077,-3.1320754716981134,91.1,No,Yes,12,,,,,,
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Open,Cover 2,17,59,59,0.9491525423728814,56,0.9491525423728814,0.9655172413793104,0.03512818825862074,,,460,7.796610169491525,1.4065217391304348,8.135593220338983,-191,1,,No,No,-0.15197372881355933,No,0.22033898305084745,0.03389830508474576,0.01694915254237288,0.9830508474576272,0.7627118644067796,1.7508474576271187,-3.293103448275862,104.8,No,Yes,19,3,0.05084745762711865,2.1333333333333333,1,,
14,Indianapolis,Colts,True,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,70,70,0.9428571428571428,62,0.8857142857142857,0.9428571428571428,0.0205590387857143,-16,0.05714285714285714,401,5.728571428571429,1.5486284289276808,6.3,-251,2,,Yes,No,-0.16940714285714284,No,0.21428571428571427,0.05714285714285714,,1,0.7142857142857143,1.5571428571428572,-3.585714285714286,100.1,No,No,17,,,,,,
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Open,Cover 2,17,66,66,0.9696969696969697,63,0.9545454545454546,0.9696969696969697,0.03783607689393942,-6,0.015151515151515152,436,6.606060606060606,1.415137614678899,7.515151515151516,-193,3,,No,No,-0.1657651515151515,No,0.15151515151515152,0.015151515151515152,,1,0.8333333333333334,1.621212121212121,-2.9242424242424243,109.3,No,Yes,21,1,0.015151515151515152,1.7,,,
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Closed,Cover 1,17,68,68,0.9117647058823529,60,0.8823529411764706,0.9117647058823529,-0.02075398619117652,-7,0.029411764705882353,442,6.5,1.4773755656108598,7.088235294117647,-231,2,,Yes,No,-0.11417132352941177,No,0.22058823529411764,0.07352941176470588,,1,0.6911764705882353,1.5779411764705882,-3.3970588235294117,103.6,No,Yes,16,4,0.058823529411764705,1.975,,,
17,Los Angeles,Rams,True,SEA,NFC,NFC West,Open,Closed,Cover 1,17,59,59,0.9661016949152542,57,0.9661016949152542,0.9661016949152542,0.030785948661016915,,,464,7.864406779661017,1.3814655172413792,8.88135593220339,-181,3,,Yes,No,-0.155985593220339,No,0.15254237288135594,0.03389830508474576,,1,0.8305084745762712,1.6728813559322033,-3.0677966101694913,116.4,No,Yes,17,2,0.03389830508474576,2.6,,,
31,Tennessee,Titans,True,HST,AFC,AFC South,Open,Closed,Cover 1,17,72,72,0.9444444444444444,65,0.9027777777777778,0.9444444444444444,0.007613702277777801,-5,0.041666666666666664,384,5.333333333333333,1.6276041666666667,6.166666666666667,-261,3,,No,No,-0.14679930555555554,No,0.2222222222222222,0.05555555555555555,,1,0.7083333333333334,1.5055555555555555,-3.625,102.8,No,No,13,1,0.013888888888888888,2,,,
22,New England,Patriots,True,BUF,AFC,AFC East,Open,Closed,Cover 3,17,50,50,1,47,0.94,0.98,0.04555606670000001,-6,0.04,264,5.28,1.5871212121212122,6.08,-162,2,,Yes,No,-0.130915,No,0.28,,,1,0.76,1.334,-3.24,102,No,Yes,11,,,,,,
30,Tampa Bay,Buccaneers,True,NO,NFC,NFC South,Open,Open,Cover 6,17,50,50,0.96,44,0.88,0.94,0.007874910239999977,-7,0.06,211,4.22,1.7725118483412323,4.62,-181,1,,No,No,-0.14024,No,0.14,0.04,,1,0.84,1.504,-3.62,90.9,No,Yes,3,1,0.02,2.6,,,
20,Miami,Dolphins,,NYJ,AFC,AFC East,Closed,Open,Cover 2,17,61,61,0.9672131147540983,56,0.9180327868852459,0.9508196721311475,0.034086575213114756,-11,0.03278688524590164,354,5.80327868852459,1.5282485875706215,6.131147540983607,-211,1,,Yes,No,-0.14937786885245902,No,0.3114754098360656,0.03278688524590164,,1,0.7704918032786885,1.5360655737704918,-3.459016393442623,96.3,No,Yes,14,1,0.01639344262295082,7.2,,,
