Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,CompletionsOverExpected,OpportunitiesTotal,IncompletionsBatted,YardsAdjustedNetPercentage,YardsAirTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsAdjustedPercentage,DropsYardsLost,DropsPercentage,HeroThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,TargetedReadCheckdownPercentage,RunPassOptionPercentage,IncompletionsThrownAway
Justin Herbert,LAC,QB,3,3,3,-0.4316,3,,-45,74,3,No,No,2,0.6667,1.7724,0.0759,No,1,2,0.6667,1,0.6667,4,3,24.6667,No,No,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-6,17,,1,,,,,,,,
Geno Smith,SEA,QB,15,15,15,-0.5225,15,2,-45,152,15,No,No,12,0.8,7.6545,0.2897,No,0.6667,4,0.2667,0.6,0.3333,3.5333,2.7333,12.3846,No,No,-15,-15,-15,-15,-15,-15,-15,-30,-30,-30,-30,-15,-30,17,0.0667,4,0.0909,9,0.0667,,,0.0667,,
Drake Maye,NE,QB,10,10,10,-0.3574,10,1,-45,131,10,No,No,3,0.3,3.7345,-0.0735,No,0.5,3,0.3,0.5,0.7,2.74,2.2333,14.5556,No,No,-10,-10,-10,-10,-10,-10,-10,-20,-20,-20,-20,-10,-20,13,0.2,1,0.25,17,0.2,,,,,
Aidan O'Connell,LV,QB,4,4,4,-0.6893,4,,-45,39,4,No,No,1,0.25,1.2074,-0.0519,No,0.75,1,0.25,0.75,0.5,2.325,2.2,9.75,No,No,-4,-4,-4,-4,-4,-4,-4,-8,-8,-8,-8,-4,-8,9,0.25,,,,,,,0.25,,
Matthew Stafford,LA,QB,8,8,8,-0.5328,8,1,-45,136,8,No,No,5,0.625,2.3632,0.3296,No,0.625,3,0.375,0.625,0.75,2.2875,2.38,19.4286,Yes,No,-8,-8,-8,-8,-8,-8,-8,-16,-16,-16,-16,-8,-16,16,0.125,1,,,,,,,,
Patrick Mahomes,KC,QB,11,11,11,-0.5387,11,2,-45,129,11,No,No,3,0.2727,4.2218,-0.1111,No,0.5455,3,0.2727,0.6364,0.6364,2.8,2.6333,17.1111,No,No,-11,-11,-11,-11,-11,-11,-11,-22,-22,-22,-22,-11,-22,16,0.1818,1,,,,,,,0.0909,
Tyler Huntley,MIA,QB,3,3,3,-0.5569,3,,-45,35,3,No,Yes,2,0.6667,1.0652,0.3116,Yes,0.6667,1,0.3333,0.6667,0.6667,2.6333,2.3,11.6667,No,No,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-6,5,,,,,,,,,,
Mason Rudolph,TEN,QB,9,9,9,-0.4202,9,1,-45,69,9,No,No,1,0.1111,3.7647,-0.3072,No,0.5556,1,0.1111,0.4444,0.7778,3,4,8.5,No,No,-9,-9,-9,-9,-9,-9,-9,-18,-18,-18,-18,-9,-18,8,0.2222,,0.2857,4,0.2222,,,0.1111,,
Aaron Rodgers,NYJ,QB,11,11,11,-0.507,11,1,-45,160,11,Yes,No,,,3.6871,-0.3352,Yes,0.7273,3,0.2727,0.6364,0.9091,2.5182,,16,No,No,-11,-11,-11,-11,-11,-11,-11,-22,-22,-22,-22,-11,-22,17,0.1818,,0.1,17,0.0909,0.0909,0.0909,,0.0909,
Baker Mayfield,TB,QB,16,16,16,-0.5183,16,2,-45,230,16,No,No,4,0.25,6.8136,-0.1758,No,0.6875,3,0.1875,0.75,0.75,3.0438,3.4,16.4286,No,No,-16,-16,-16,-16,-16,-16,-16,-32,-32,-32,-32,-16,-32,17,0.1875,2,0.0714,4,0.0625,0.0625,0.0625,0.0625,,
Deshaun Watson,CLV,QB,3,3,3,0.313,3,1,-45,21,3,No,No,,,0.8926,-0.2975,No,,,,,0.6667,2.3,,10.5,No,No,-3,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-3,-6,7,0.6667,,1,21,0.6667,0.3333,0.3333,,,
Dak Prescott,DAL,QB,8,8,8,-0.5263,8,,-45,169,8,No,No,1,0.125,3.0877,-0.261,No,0.875,2,0.25,1,0.75,2.8125,2.1,21.125,No,No,-8,-8,-8,-8,-8,-8,-8,-16,-16,-16,-16,-8,-16,8,0.125,2,,,,,,,,
Spencer Rattler,NO,QB,5,5,5,-0.6546,5,,-45,62,5,No,No,2,0.4,1.781,0.0438,No,1,1,0.2,0.8,1,2.64,2.65,12.4,No,No,-5,-5,-5,-5,-5,-5,-5,-10,-10,-10,-10,-5,-10,7,,,,,,,,,,
Jordan Love,GB,QB,11,11,11,-0.5831,11,,-45,109,11,No,No,5,0.4545,3.8941,0.1005,No,0.7273,2,0.1818,0.8182,0.6364,2.6273,2.46,10.9,No,No,-11,-11,-11,-11,-11,-11,-11,-22,-22,-22,-22,-11,-22,15,0.0909,1,0.1,5,0.0909,,,,,1
Tim Boyle,NYG,QB,1,1,1,-0.3524,1,,-45,34,1,Yes,No,,,0.4528,-0.4528,No,1,1,1,1,1,3.2,,34,No,No,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,3,,,,,,,,,,
