Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,OpportunitiesTotal,YardsAdjustedNetPercentage,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredOverExpected,BlitzedLabel,AverageTimeToSack,AverageTimeToPressure,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage
Trevor Lawrence,JAX,QB,18,18,18,-7.7778,18,2,1,-140,1,No,No,18,1,1,No,3.0778,2.3111,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,10,
Sam Darnold,MIN,QB,49,48,48,-6.9792,48,13,1.0435,-335,1,No,Yes,46,0.9583,0.9583,Yes,3.6542,2.6804,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,17,
Andy Dalton,CAR,QB,7,7,7,-5.2857,7,5,1,-37,1,No,Yes,7,1,1,No,2.9143,2.2571,No,No,,,,,,,,,,,,,,6,
Brandon Allen,SF,QB,2,2,2,-1,2,,1,-2,1,No,No,2,1,1,No,2.7,2.05,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,3,
Jayden Daniels,WAS,QB,47,47,47,-5.0638,47,19,1,-238,1,No,Yes,47,1,1,Yes,3.8511,2.4787,No,No,,,,,,,,,,,,,,17,0.0213
Joshua Dobbs,SF,QB,2,2,2,-14,2,2,1,-28,1,Yes,Yes,2,1,1,No,2.35,1.95,No,No,,,,,,,,,,,,,,2,
Kirk Cousins,ATL,QB,28,28,28,-7.1786,28,6,1.0769,-201,1,No,Yes,26,0.9286,0.9286,Yes,3.2286,2.3923,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,14,
Mac Jones,JAX,QB,14,14,14,-7.1429,14,7,1.0769,-100,1,No,Yes,13,0.9286,0.9286,Yes,3.8071,2.3692,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,10,
Jimmy Garoppolo,LA,QB,3,3,3,-5,3,,1,-15,1,No,Yes,3,1,1,No,3,2.0333,No,No,,,,,,,,,,,,,,1,
Joe Burrow,CIN,QB,48,48,48,-5.7917,48,7,1,-278,1,No,Yes,48,1,1,No,3.3667,2.3604,No,No,-5,-5,-5,-5,-5,-5,-10,-10,-10,-10,-10,-5,-10,17,
Anthony Richardson,IND,QB,14,14,14,-8.2143,14,3,1,-115,1,No,Yes,14,1,1,No,3.6571,2.5071,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,11,
