Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,OpportunitiesTotal,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredOverExpected,BlitzedLabel,AverageTimeToScramble,AverageTimeToPressure,AttemptsTotal,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,ScramblesTouchdowns,RunPassOptionPercentage
Jordan Love,GB,QB,12,12,12,12,85,No,No,12,1,1,No,5.3583,2.9083,12,No,No,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,15,,
Mitchell Trubisky,BUF,QB,1,1,1,1,8,No,Yes,1,1,1,Yes,5.7,3.4,1,No,No,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,9,,
Tim Boyle,NYG,QB,2,2,2,2,10,No,No,1,0.5,0.5,No,4.85,2.6,2,No,No,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,
Derek Carr,NO,QB,8,8,8,8,50,Yes,Yes,5,0.625,0.625,Yes,5.5,3.96,8,No,No,5,5,5,5,5,5,5,5,5,5,5,5,5,10,,
Bryce Young,CAR,QB,36,36,36,36,254,Yes,Yes,30,0.8333,0.8333,Yes,4.9778,2.68,36,No,No,61.4,61.4,61.4,61.4,61.4,64.4,64.4,61.4,61.4,61.4,61.4,61.4,61.4,14,6,
Tommy DeVito,NYG,QB,4,4,4,4,31,No,No,4,1,1,No,4.85,2.625,4,No,No,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3,,
Deshaun Watson,CLV,QB,21,21,21,21,132,No,No,18,0.8571,0.8571,No,5.2429,2.7278,21,No,No,13.2,13.2,13.2,13.2,13.2,16.2,16.2,13.2,13.2,13.2,13.2,13.2,13.2,7,,0.0476
Dak Prescott,DAL,QB,6,6,6,6,45,Yes,Yes,4,0.6667,0.6667,No,4.8,2.575,6,No,No,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,8,,
Spencer Rattler,NO,QB,14,14,14,14,118,No,Yes,12,0.8571,0.8571,No,4.6071,2.4333,14,No,No,11.8,11.8,11.8,11.8,11.8,14.8,14.8,11.8,11.8,11.8,11.8,11.8,11.8,7,,
Carson Wentz,KC,QB,1,1,1,1,2,No,No,1,1,1,No,4.9,2.3,1,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,3,,
Joe Milton,NE,QB,2,2,2,2,13,No,Yes,2,1,1,No,3.65,2.25,2,No,No,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1,,
Mason Rudolph,TEN,QB,13,13,13,13,93,No,Yes,13,1,1,Yes,4.2462,2.6154,13,No,No,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,8,1,
Aaron Rodgers,NYJ,QB,16,16,16,16,103,No,No,13,0.8125,0.8125,No,5.2125,2.6769,16,No,No,10.3,10.3,10.3,10.3,10.3,13.3,13.3,10.3,10.3,10.3,10.3,10.3,10.3,17,,
Baker Mayfield,TB,QB,42,42,42,42,368,No,Yes,36,0.8571,0.8571,No,4.8762,2.7778,42,No,No,42.8,42.8,42.8,42.8,42.8,45.8,45.8,42.8,42.8,42.8,42.8,42.8,42.8,17,1,
Jarrett Stidham,DEN,QB,1,1,1,1,8,Yes,No,,,,No,2.6,,1,No,No,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,3,,
Tyrod Taylor,NYJ,QB,2,2,2,2,13,Yes,Yes,2,1,1,No,4.55,2.05,2,No,No,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,2,,
Michael Penix,ATL,QB,4,4,4,4,14,No,Yes,3,0.75,0.75,No,4.975,2.6,4,No,No,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,5,1,
Skylar Thompson,MIA,QB,1,1,1,1,4,No,No,1,1,1,No,7.1,3.6,1,No,No,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,3,,
Josh Allen,BUF,QB,43,43,43,43,383,No,No,35,0.814,0.814,No,4.4047,2.4857,43,No,No,56.3,56.3,56.3,56.3,56.3,59.3,59.3,56.3,56.3,56.3,56.3,56.3,56.3,17,3,0.0233
Jake Haener,NO,QB,5,5,5,5,28,No,Yes,3,0.6,0.6,No,5.36,2.8,5,No,No,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,8,,
Drew Lock,NYG,QB,10,10,10,10,134,No,No,10,1,1,No,5.05,2.7,10,No,No,25.4,25.4,25.4,25.4,25.4,28.4,28.4,25.4,25.4,25.4,25.4,25.4,25.4,7,2,
Sam Howell,SEA,QB,1,1,1,1,2,No,Yes,1,1,1,No,4.9,2.8,1,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,2,,
Jameis Winston,CLV,QB,8,8,8,8,46,No,No,6,0.75,0.75,No,4.4375,2.2,8,No,No,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,12,1,
Desmond Ridder,LV,QB,6,6,6,6,35,No,No,4,0.6667,0.6667,No,3.6833,2.15,6,No,No,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,,
Trey Lance,DAL,QB,2,2,2,2,9,No,Yes,2,1,1,Yes,7.3,2.6,2,No,No,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,4,,
