Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TowThrowPercentage
Tyrod Taylor,NYJ,QB,17,17,17,1,2,17,1,1,0.1821,17,119,7,0.5378,10.5294,62,3,No,Yes,5,0.2941,4.5926,0.024,No,,,,0.0588,0.9412,,0.7647,2.1412,2.26,3.6471,135.4,No,Yes,9,16.76,16.76,16.76,16.76,16.76,16.76,16.76,16.76,16.76,16.76,16.76,17.95,17.95,2,
Michael Penix,ATL,QB,61,61,61,1,2,61,1,1,0.2679,61,775,12.7049,0.3587,13.6885,503,3,No,No,6,0.0984,17.2708,-0.1848,Yes,0.0656,7,0.1148,0.082,0.7541,0.0492,0.6721,2.2164,2.5667,8.2459,135.1,No,Yes,35,43,43,43,43,43,46,46,43,43,43,43,50.75,50.75,5,
Jake Haener,NO,QB,19,18,18,1,,18,1,1,0.237,18,226,12.5556,0.4469,13.6667,125,1,No,No,2,0.1111,4.4761,-0.1376,Yes,,1,0.0556,0.1111,0.8889,0.1111,0.7778,2.0167,2.2,6.9444,137.3,No,Yes,10,13.04,13.04,13.04,13.04,13.04,13.04,13.04,13.04,13.04,13.04,13.04,15.3,15.3,8,
Josh Allen,BUF,QB,308,307,307,1,13,307,1,1,0.2167,307,3731,12.1531,0.5596,13.9772,1695,28,No,No,52,0.1694,95.6949,-0.1423,No,0.0684,22,0.0717,0.101,0.6287,0.114,0.798,2.3821,2.4788,5.5212,147.7,No,No,173,267.94,267.94,267.94,267.94,267.94,270.94,270.94,267.94,267.94,267.94,267.94,305.25,305.25,17,
Drew Lock,NYG,QB,107,107,107,1,2,107,1,1,0.1923,107,1071,10.0093,0.6004,11.1308,442,6,No,Yes,31,0.2897,36.3401,-0.0499,No,0.028,3,0.028,0.028,0.7103,0.1028,0.8037,2.5439,2.4548,4.1308,127.1,No,Yes,45,66.84,66.84,66.84,66.84,66.84,69.84,69.84,66.84,66.84,66.84,66.84,77.55,77.55,7,
Skylar Thompson,MIA,QB,21,21,21,1,,21,1,1,0.2012,21,187,8.9048,0.4973,8.9048,94,,No,No,4,0.1905,6.1278,-0.1013,No,0.0476,,,,0.7619,0.1429,0.619,2.2667,2.025,4.4762,103.8,No,No,8,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,7.48,9.35,9.35,3,
Davis Mills,HST,QB,20,20,20,1,,20,1,1,0.2434,20,212,10.6,0.3349,10.6,141,,Yes,No,3,0.15,5.8993,-0.145,No,0.05,1,0.05,,0.75,0.05,0.75,2.285,2.5,7.05,110.8,Yes,Yes,9,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,8.48,10.6,10.6,4,
Malik Willis,GB,QB,40,40,40,1,,40,1,1,0.2364,40,550,13.75,0.5273,15.25,260,3,Yes,No,5,0.125,11.488,-0.1622,No,0.025,6,0.15,0.05,0.925,0.025,0.6,2.24,2.68,6.5,143.8,No,Yes,20,34,34,34,34,34,37,37,34,34,34,34,39.5,39.5,7,
Taylor Heinicke,LAC,QB,3,3,3,1,,3,1,1,0.2267,3,28,9.3333,0.3571,9.3333,18,,No,No,,,1.0652,-0.3551,No,,,,,0.3333,0.3333,0.6667,2.6333,,6,105.6,No,No,1,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,4,
Jalen Hurts,PHI,QB,248,248,248,1,14,248,1,1,0.2287,248,2903,11.7056,0.485,13.1573,1559,18,No,No,42,0.1694,89.3692,-0.191,No,0.0927,15,0.0605,0.0524,0.6815,0.121,0.7218,2.6641,2.5286,6.2863,139.6,No,Yes,139,188.12,188.12,188.12,188.12,188.12,191.12,191.12,188.12,188.12,188.12,188.12,217.15,217.15,15,
Cooper Rush,DAL,QB,187,187,187,1,11,187,1,1,0.2073,187,1844,9.861,0.5298,11.1444,939,12,No,No,26,0.139,49.1559,-0.1238,No,0.0374,9,0.0481,0.0374,0.738,0.0802,0.7005,2.0989,2.1731,5.0214,129.1,No,Yes,92,121.76,121.76,121.76,121.76,121.76,124.76,124.76,121.76,121.76,121.76,121.76,140.2,140.2,12,
Will Levis,TEN,QB,190,190,190,1,6,190,1,1,0.2251,190,2091,11.0053,0.4648,12.3737,1147,13,No,Yes,36,0.1895,59.3204,-0.1227,No,0.0368,17,0.0895,0.0579,0.7684,0.0895,0.7579,2.385,2.3778,6.0368,135.3,No,Yes,86,135.64,135.64,135.64,135.64,135.64,138.64,138.64,135.64,135.64,135.64,135.64,156.55,156.55,12,0.0105
Desmond Ridder,LV,QB,52,52,52,1,1,52,1,1,0.201,52,458,8.8077,0.4629,9.5769,247,2,No,No,12,0.2308,14.1616,-0.0416,No,0.0192,2,0.0385,0.0769,0.6923,0.1923,0.8077,2.1538,2.2917,4.75,116.2,No,Yes,24,26.32,26.32,26.32,26.32,26.32,29.32,29.32,26.32,26.32,26.32,26.32,30.9,30.9,5,
