id,name,pos,team,accurateThrows,adjustedCompletionPercentage,battedPasses,cleanPocketDropbacks,drops,explosiveInterceptions,explosiveThrows,explosiveTouchdowns,explosiveYards,highlightThrows,qbHits,spikes,successfulPlays,throwaways,yardsAfterCatch,dvoa,dyar,epa,turnover_battedPasses,brokenPasses,intWorthyThrows,pickSixes,turnover_throwaways,endZoneCompletions,endZoneInterceptions,endZoneThrows,endZoneTouchdowns,redZoneCompletions,redZoneInterceptions,redZoneThrows,redZoneTouchdowns,airYards,alex,catchableAirYards,droppedAirYards,prayerYards,twentyPlusCompletions,twentyPlusPassingYards,twentyPlusThrows,twentyPlusTouchdowns,closingCoverage,emptyRouteCoverage,manCoverage,manYards,openCoverage,singleHighRoutes,singleHighYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards,adjustedSackRate,avoidedSacks,blitzes,pressures,qbFaultSacks,pressure_qbHits,sacks,scrambles,timeToPressure,timeToThrow
00-0038400,Tanner McKee,QB,PHI,35,0.7619,1,30,2,0,2,2,45,1,7,0,25,0,138,0.1791,85.11100000000008,14.674,1,6,1,0,0,1,0,2,1,4,0,6,3,322,-2.2444,211,13,111,1,20,2,1,12,0,24,160,14,36,273,7,11,9,29,0,2,4,23,146,0.0444,0,15,17,2,7,2,0,38.199999999999996,114.50000000000003
00-0039916,Ricky Pearsall,WR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.0414,-6.349,-0.531,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4.5,4.9
00-0033949,,,,34,0.7727,1,42,2,0,5,1,131,0,5,1,25,0,101,-0.0792,9.615000000000013,5.623000000000005,1,5,1,0,0,0,0,2,0,5,0,8,1,373,-1.2766,271,11,102,2,66,3,1,15,1,21,87,13,30,249,2,16,20,84,0,1,0,30,246,0.0426,2,11,8,0,5,2,3,21.200000000000003,117.90000000000002
00-0038108,,,,18,0.5517,0,25,0,0,3,0,74,0,2,0,10,1,101,-0.6584,-117.38299999999998,-12.492999999999995,0,6,3,1,1,0,0,2,0,2,1,6,1,220,-1.3871,117,0,103,0,0,2,0,2,0,16,54,8,19,84,3,14,14,81,4,0,0,17,111,0.0323,0,14,7,0,2,1,1,19.1,81.4
00-0039491,Jalen Coker,WR,CAR,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1.7489,12.415,1.311,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,16,0,0,0,0,0,0,0,0,1,19,0,0,0,0,1,1,19,0,0,0,0,0,0,0,0,1,0,0,0,0,2.8,2.8
00-0036626,Dyami Brown,WR,WAS,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.2859,-7.834,-0.43,0,0,0,0,0,0,0,1,0,0,0,0,0,36,26,36,36,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7
00-0030279,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-7.8204,-52.621,-5.911,0,1,1,0,0,0,0,0,0,0,0,0,0,14,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.13
00-0039398,Joe Milton III,QB,DAL,22,0.8462,0,19,0,0,2,1,69,1,3,0,15,2,72,0.537,116.33500000000002,10.69,0,2,0,0,2,0,0,2,0,2,0,3,0,280,0.2759,169,0,111,1,48,5,1,4,0,22,144,8,24,170,0,13,7,71,2,0,0,9,97,0.0345,1,11,11,0,3,0,2,32.5,89.30000000000001
00-0034401,,,,4,0.4444,2,10,1,0,0,0,0,0,1,0,2,0,32,-0.9112,-44.31099999999999,-7.151,2,6,0,0,0,0,0,0,0,0,0,0,0,98,-0.6364,1,5,97,0,0,1,0,0,0,9,14,1,9,14,0,5,2,14,3,0,0,2,14,0,0,2,1,0,1,0,0,2.8,27.3
00-0037324,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-4.7638,-38.008,-1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,0,0,0,2,-5,,0,0,2,1,1,1,1,4.7,0
00-0031345,,,,29,0.7436,0,30,2,0,6,0,170,2,9,0,22,0,232,0.1753,90.25800000000002,3.0230000000000015,0,5,1,0,0,1,0,1,1,4,0,9,2,221,-2.0732,131,29,90,3,104,4,0,4,0,21,183,17,18,149,8,7,25,166,5,2,4,24,136,0.0732,0,12,14,0,9,3,1,26.500000000000004,102.09999999999997
00-0034521,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.1077,-13.018,-1.011,0,0,0,0,1,0,0,1,0,0,0,1,0,17,16,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.2
