Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,DropsYardsLost,DropsPercentage,TouchdownsTotal,OffTargetThrowAttemptsPercentage,TowThrowPercentage,InterceptionsTotal
Tyler Huntley,BLT,QB,3,3,3,0.6667,1,0.3333,0.3333,-0.3905,3,5,1.6667,,1.6667,23,No,Yes,3,1,2.1692,0.2769,Yes,,,,0.3333,4.7667,2.5667,7.6667,42.4,Yes,Yes,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,5,1,,,,0.3333,0.3333,
Marcus Mariota,WAS,QB,12,12,12,0.5,4,0.3333,0.3333,-0.1786,12,69,5.75,,-1.75,245,No,Yes,10,0.8333,10.9364,-0.078,Yes,6,0.5,0.0833,0.0833,5.8583,2.77,20.4167,14.2,Yes,Yes,2,0.76,0.76,0.76,0.76,0.76,0.76,0.76,-1.24,-1.24,-1.24,-1.24,1.45,-0.55,11,2,,,,0.5,0.1667,2
Carson Wentz,MIN,QB,7,7,7,0.4286,3,0.4286,0.5,-0.0691,7,52,7.4286,0.1154,10.2857,92,No,Yes,7,1,5.5674,0.2047,No,2,0.2857,,0.4286,5.1857,2.8143,13.8571,108.3,No,No,2,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.08,6.6,6.6,5,1,,,1,0.5714,,
Joe Milton,DAL,QB,1,1,1,1,1,1,1,0.4622,1,33,33,0.4242,33,19,No,Yes,1,1,0.5908,0.4092,No,,,,1,4,2.6,19,118.8,No,Yes,1,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.65,1.65,4,,,,,,,
Spencer Rattler,NO,QB,12,12,12,0.5833,7,0.5833,0.5833,0.0458,12,100,8.3333,0.05,2.5,240,No,No,11,0.9167,8.6938,0.1922,No,5,0.4167,,0.1667,4.775,2.4273,20,73.6,No,No,5,6,6,6,6,6,6,6,4,4,4,4,7,5,9,1,,,1,0.4167,0.1667,2
Dak Prescott,DAL,QB,15,15,15,0.6667,8,0.5333,0.6,-0.0541,15,179,11.9333,0.4358,8.9333,204,No,Yes,15,1,11.2425,0.2505,No,3,0.2,0.1333,0.4667,4.92,2.4333,13.6,68.5,No,No,7,6.16,6.16,6.16,6.16,6.16,6.16,6.16,5.16,5.16,5.16,5.16,7.95,6.95,17,1,6,0.0667,,0.3333,0.1333,1
Aaron Rodgers,PIT,QB,22,22,22,0.6364,10,0.4545,0.4545,-0.1813,22,211,9.5909,0.3555,8.4545,305,No,No,20,0.9091,17.6033,0.1089,No,5,0.2273,0.1818,0.4091,5.2136,2.83,13.8636,76.1,No,No,7,11.44,11.44,11.44,11.44,11.44,11.44,11.44,10.44,10.44,10.44,10.44,13.55,12.55,16,3,,,1,0.3636,,1
Mason Rudolph,PIT,QB,1,1,1,,,,,-0.8244,1,,,,,4,No,Yes,1,1,0.9703,0.0297,No,,,,,6.2,3.4,4,39.6,No,No,,,,,,,,,,,,,,,5,,,,,1,,
Baker Mayfield,TB,QB,42,42,42,0.7381,21,0.5,0.561,-0.047,42,366,8.7143,0.3361,8,646,No,Yes,41,0.9762,33.9389,0.1681,No,8,0.1905,0.1429,0.5952,5.2595,2.5756,15.381,84,Yes,Yes,18,24.64,24.64,24.64,24.64,24.64,27.64,27.64,22.64,22.64,22.64,22.64,28.3,26.3,17,5,20,0.0476,3,0.2619,0.0952,2
Quinn Ewers,MIA,QB,2,2,2,0.5,1,0.5,0.5,-0.1698,2,7,3.5,-0.1429,3.5,21,Yes,Yes,1,0.5,1.4576,-0.2288,No,,,,0.5,4.8,4.3,10.5,58.3,Yes,Yes,,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,4,1,,,,0.5,,
