"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","Boom%","Bust%"
"[object Object]","2024","Eli Pancol","Duke","WR","90","21.75","0.063","13.54","0.039","15.22","0.169","54.4%","27.8%","20.0%"
"[object Object]","2024","Ja'Corey Brooks","Louisville","WR","94","21.73","0.057","12.91","0.034","51.63","0.549","52.1%","38.3%","13.8%"
"[object Object]","2024","Jordan Watkins","Ole Miss","WR","72","21.72","0.064","14.00","0.042","57.95","0.805","56.9%","37.5%","9.7%"
"[object Object]","2024","Ryan Williams","Alabama","WR","87","21.53","0.069","13.78","0.044","10.07","0.116","44.8%","27.6%","19.5%"
"[object Object]","2024","Chrishon McCray","Kent State","WR","90","21.30","0.079","13.91","0.051","-8.43","-0.094","34.4%","23.3%","26.7%"
"[object Object]","2024","Germie Bernard","Alabama","WR","77","21.28","0.070","13.64","0.045","41.04","0.533","57.1%","40.3%","18.2%"
"[object Object]","2024","Makai Lemon","USC","WR","72","21.23","0.092","15.97","0.069","30.15","0.419","61.1%","34.7%","16.7%"
"[object Object]","2024","Malachi Fields","Virginia","WR","96","20.97","0.057","13.06","0.036","16.92","0.176","50.0%","30.2%","22.9%"
"[object Object]","2024","Kyle Williams","Washington State","WR","105","20.30","0.050","10.57","0.026","54.14","0.516","61.0%","39.0%","11.4%"
"[object Object]","2024","DeMeer Blankumsee","Memphis","WR","74","20.26","0.054","11.89","0.032","36.56","0.494","52.7%","29.7%","13.5%"
"[object Object]","2024","Corey Rucker","Arkansas State","WR","128","20.17","0.048","10.55","0.025","36.78","0.287","49.2%","31.3%","18.8%"
"[object Object]","2024","Oronde Gadsden II","Syracuse","TE","109","19.78","0.052","11.56","0.031","37.38","0.343","59.6%","33.9%","18.3%"
"[object Object]","2024","Jakobie Keeney-James","UMASS","WR","89","19.57","0.058","11.63","0.034","43.20","0.485","52.8%","38.2%","18.0%"
"[object Object]","2024","Cam Vaughn","Jacksonville State","WR","78","19.17","0.086","13.91","0.062","42.42","0.544","48.7%","41.0%","15.4%"
"[object Object]","2024","Trebor Pena","Syracuse","WR","114","19.07","0.039","8.85","0.018","47.54","0.417","58.8%","36.0%","13.2%"
"[object Object]","2024","Jaden Smith","Nevada","WR","95","18.76","0.048","9.02","0.023","31.97","0.336","55.8%","31.6%","13.7%"
"[object Object]","2024","Adrian Norton","Akron","WR","87","18.68","0.051","9.77","0.026","20.11","0.231","43.7%","31.0%","26.4%"
"[object Object]","2024","Jamaal Pritchett","South Alabama","WR","123","18.58","0.058","11.69","0.037","63.53","0.517","60.2%","33.3%","10.6%"
"[object Object]","2024","Easton Messer","Western Kentucky","WR","85","18.55","0.056","10.30","0.031","31.15","0.366","55.3%","35.3%","17.6%"
"[object Object]","2024","Mac Dalena","Fresno State","WR","84","18.42","0.047","8.04","0.021","58.98","0.702","60.7%","39.3%","15.5%"
"[object Object]","2024","Josh Kelly","Texas Tech","WR","127","18.40","0.044","10.53","0.025","47.29","0.372","54.3%","39.4%","17.3%"
"[object Object]","2024","Giles Jackson","Washington","WR","106","18.30","0.044","8.57","0.021","35.49","0.335","54.7%","25.5%","14.2%"
"[object Object]","2024","Desmond Reid","Pittsburgh","RB","69","18.30","0.064","12.19","0.042","0.12","0.002","44.9%","31.9%","23.2%"
"[object Object]","2024","Isiah Paige","Old Dominion","WR","96","18.24","0.052","11.18","0.032","30.00","0.312","45.8%","25.0%","14.6%"
"[object Object]","2024","Jalen Royals","Utah State","WR","82","18.06","0.069","12.85","0.049","27.30","0.333","54.9%","36.6%","25.6%"
"[object Object]","2024","Josh Cameron","Baylor","WR","80","17.86","0.054","10.32","0.031","37.15","0.464","61.3%","43.8%","12.5%"
"[object Object]","2024","Elijah Spencer","Minnesota","WR","75","17.71","0.050","8.33","0.024","34.62","0.462","64.0%","38.7%","14.7%"
"[object Object]","2024","Chase Roberts","BYU","WR","73","17.61","0.060","10.29","0.035","44.47","0.609","65.8%","43.8%","16.4%"
"[object Object]","2024","Kaedin Robinson","Appalachian State","WR","82","17.54","0.055","10.39","0.033","42.23","0.515","56.1%","40.2%","17.1%"
"[object Object]","2024","Lewis Bond","Boston College","WR","97","17.10","0.046","8.13","0.022","27.44","0.283","44.3%","32.0%","18.6%"
"[object Object]","2024","Bryant Wesco Jr.","Clemson","WR","76","17.00","0.058","10.20","0.035","26.25","0.345","44.7%","32.9%","22.4%"
"[object Object]","2024","Luther Burden III","Missouri","WR","81","16.69","0.058","10.51","0.037","30.99","0.383","51.9%","29.6%","11.1%"
"[object Object]","2024","Konata Mumpfield","Pittsburgh","WR","78","16.54","0.042","7.64","0.019","18.98","0.243","52.6%","33.3%","21.8%"
"[object Object]","2024","Jayce Brown","Kansas State","WR","75","16.36","0.048","7.69","0.022","30.99","0.413","53.3%","36.0%","14.7%"
"[object Object]","2024","Harrison Wallace III","Penn State","WR","78","16.01","0.047","6.79","0.020","27.19","0.349","55.1%","41.0%","16.7%"
"[object Object]","2024","Isaiah Horton","Miami FL","WR","81","16.00","0.057","9.66","0.035","32.59","0.402","51.9%","34.6%","7.4%"
"[object Object]","2024","Hudson Clement","West Virginia","WR","80","15.69","0.050","8.59","0.028","48.91","0.611","61.3%","40.0%","8.8%"
