"Rank","Season","Player","Team","Pos.","Pass Snaps","Pass Rushes","Points Saved","PS Per Rush","Points Above Avg","PAA Per Play","Positive%"
"[object Object]","2025","MJ Stroud","Georgia Southern","LB","232","167","12.16","0.073","6.33","0.038","32.8%"
"[object Object]","2025","Sabastian Harsh","NC State","LB","390","365","12.15","0.033","-0.03","-0.000","39.4%"
"[object Object]","2025","Eric O'Neill","Rutgers","DE","249","248","12.03","0.049","2.38","0.010","48.6%"
"[object Object]","2025","Trey Moore","Texas","LB","282","109","12.00","0.110","8.46","0.078","15.9%"
"[object Object]","2025","Jacob Lane","Washington","LB","301","257","11.98","0.047","3.10","0.012","33.2%"
"[object Object]","2025","Jayden Virgin-Morgan","Boise State","LB","358","303","11.90","0.039","0.24","0.001","31.0%"
"[object Object]","2025","J'Dan Burnett","Tulsa","DE","241","240","11.67","0.049","3.94","0.016","47.5%"
"[object Object]","2025","Malachi Davis","Toledo","DE","227","209","11.32","0.054","3.66","0.018","28.9%"
"[object Object]","2025","Langston Hardy","Wake Forest","DE","370","280","11.32","0.040","2.15","0.008","24.1%"
"[object Object]","2025","Kenton Simmons","FIU","LB","379","345","11.24","0.033","-0.48","-0.001","38.2%"
"[object Object]","2025","Dallas Afalava","Wake Forest","DT","271","269","11.06","0.041","2.45","0.009","34.3%"
"[object Object]","2025","Chiddi Obiazor","Kansas State","DE","263","258","11.05","0.043","3.02","0.012","38.1%"
"[object Object]","2025","Keldric Faulk","Auburn","DE","297","294","10.98","0.037","1.12","0.004","44.8%"
"[object Object]","2025","Miles Capers","Vanderbilt","LB","298","241","10.95","0.045","2.32","0.010","35.6%"
"[object Object]","2025","Jackie Johnson III","Hawaii","DE","235","229","10.90","0.048","2.14","0.009","34.6%"
"[object Object]","2025","Gabe Kirschke","Wake Forest","DE","261","251","10.78","0.043","2.49","0.010","35.6%"
"[object Object]","2025","Logan Fano","Utah","DE","261","244","10.65","0.044","2.88","0.012","32.6%"
"[object Object]","2025","Harper Holloman","Western Kentucky","LB","437","335","10.59","0.032","-0.36","-0.001","28.2%"
"[object Object]","2025","Kris Trinidad","Old Dominion","DE","313","309","10.55","0.034","0.16","0.001","39.5%"
"[object Object]","2025","Terry Webb","SMU","DT","347","343","10.54","0.031","0.29","0.001","46.4%"
"[object Object]","2025","Isaiah Glasker","BYU","LB","464","126","10.53","0.084","6.08","0.048","9.5%"
"[object Object]","2025","Anthony Lucas","USC","DE","273","240","10.40","0.043","1.51","0.006","40.5%"
"[object Object]","2025","Max Stege","Boise State","DE","298","288","10.24","0.036","-0.75","-0.003","34.2%"
