"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","Boom%","Bust%"
"[object Object]","2024","Ahmani Marshall","Appalachian State","149","7.11","0.048","3.41","0.023","3.25","0.022","42.3%","16.1%","9.4%"
"[object Object]","2024","Anthony Colandrea","Virginia","127","6.82","0.054","1.42","0.011","-60.13","-0.474","36.2%","16.5%","32.3%"
"[object Object]","2024","Henry Parrish Jr.","Ole Miss","130","6.77","0.052","3.63","0.028","8.94","0.069","43.1%","18.5%","8.5%"
"[object Object]","2024","Zylan Perry","Louisiana","112","6.69","0.060","3.02","0.027","13.46","0.120","46.4%","19.6%","5.4%"
"[object Object]","2024","Gerald Green","Troy","114","6.61","0.058","3.55","0.031","4.64","0.041","47.4%","16.7%","12.3%"
"[object Object]","2024","Demie Sumo-Karngbaye","Kentucky","129","6.59","0.051","3.28","0.025","-0.19","-0.001","44.2%","13.2%","5.4%"
"[object Object]","2024","Abu Sama III","Iowa State","123","6.13","0.050","2.99","0.024","-11.14","-0.091","33.3%","13.8%","13.0%"
"[object Object]","2024","Ismail Mahdi","Texas State","183","6.01","0.033","1.87","0.010","-1.08","-0.006","47.5%","14.2%","6.6%"
"[object Object]","2024","Jovantae Barnes","Oklahoma","122","5.39","0.044","2.36","0.019","-0.25","-0.002","41.0%","12.3%","7.4%"
"[object Object]","2024","Ty Son Lawton","Indiana","141","4.87","0.035","0.57","0.004","-0.21","-0.002","40.4%","12.8%","7.8%"
"[object Object]","2024","Zak Wallace","Arkansas State","154","4.61","0.030","0.59","0.004","15.22","0.099","46.8%","17.5%","5.8%"
"[object Object]","2024","Mel Brown","UCONN","118","4.37","0.037","0.78","0.007","0.33","0.003","38.1%","13.6%","11.0%"
"[object Object]","2024","Nate Frazier","Georgia","133","4.12","0.031","0.61","0.005","7.12","0.054","45.9%","11.3%","6.8%"
"[object Object]","2024","Braylon Braxton","Marshall","134","4.11","0.031","-1.93","-0.014","9.11","0.068","50.7%","20.9%","16.4%"
"[object Object]","2024","Robert Henry","UTSA","127","3.97","0.031","1.49","0.012","4.66","0.037","41.7%","17.3%","11.0%"
"[object Object]","2024","Ky Thomas","Kent State","134","3.72","0.028","-0.64","-0.005","-39.10","-0.292","26.1%","12.7%","17.9%"
"[object Object]","2024","Quinton Cooley","Liberty","204","3.48","0.017","-1.46","-0.007","38.22","0.187","53.9%","17.6%","7.4%"
"[object Object]","2024","Cam Edwards","UCONN","146","3.06","0.021","-1.19","-0.008","21.51","0.147","44.5%","16.4%","9.6%"
"[object Object]","2024","Alex Tecza","Navy","124","2.82","0.023","-1.77","-0.014","-5.22","-0.042","41.1%","11.3%","8.1%"
"[object Object]","2024","Jalen White","Georgia Southern","164","2.64","0.016","-2.02","-0.012","-8.16","-0.050","39.0%","15.9%","11.0%"
"[object Object]","2024","Cade Klubnik","Clemson","119","2.54","0.021","-3.06","-0.026","-19.52","-0.164","43.7%","19.3%","26.1%"
"[object Object]","2024","Cam Cook","TCU","118","2.38","0.020","-0.41","-0.004","-6.31","-0.053","40.7%","12.7%","11.0%"
"[object Object]","2024","Jamal Haynes","Georgia Tech","169","1.89","0.011","-3.09","-0.018","5.56","0.033","40.2%","15.4%","9.5%"
"[object Object]","2024","Haynes King","Georgia Tech","127","1.84","0.014","-1.96","-0.015","-10.64","-0.084","44.9%","18.9%","20.5%"
"[object Object]","2024","Zahir Abdus-Salaam","Western Michigan","111","1.73","0.016","-1.70","-0.015","13.34","0.120","45.9%","13.5%","7.2%"
"[object Object]","2024","Jam Miller","Alabama","145","1.62","0.011","-2.77","-0.019","-8.02","-0.055","43.4%","9.7%","9.0%"
"[object Object]","2024","Nico Iamaleava","Tennessee","109","1.59","0.015","-5.32","-0.049","-31.34","-0.288","42.2%","18.3%","27.5%"
"[object Object]","2024","Jaden Nixon","Western Michigan","144","0.96","0.007","-3.79","-0.026","-1.53","-0.011","35.4%","19.4%","17.4%"
"[object Object]","2024","Ollie Gordon II","Oklahoma State","190","0.93","0.005","-3.97","-0.021","-6.77","-0.036","39.5%","12.1%","8.9%"
"[object Object]","2024","Jalen Buckley","Western Michigan","128","0.13","0.001","-3.85","-0.030","35.46","0.277","52.3%","21.9%","7.8%"
"[object Object]","2024","Kobe Pace","Virginia","115","-0.10","-0.001","-3.02","-0.026","-2.53","-0.022","45.2%","16.5%","12.2%"
"[object Object]","2024","Seth McGowan","New Mexico State","156","-0.19","-0.001","-4.39","-0.028","13.95","0.089","50.0%","14.1%","4.5%"
"[object Object]","2024","Noah Whittington","Oregon","118","-0.37","-0.003","-4.30","-0.036","-3.04","-0.026","43.2%","11.0%","7.6%"
"[object Object]","2024","Dante Dowdell","Nebraska","143","-0.62","-0.004","-3.95","-0.028","8.44","0.059","48.3%","16.1%","9.1%"
"[object Object]","2024","Marcel Reed","Texas A&M","116","-0.69","-0.006","-7.32","-0.063","-5.36","-0.046","50.0%","18.1%","19.0%"
"[object Object]","2024","Payton Thorne","Auburn","111","-1.12","-0.010","-7.14","-0.064","-32.67","-0.294","32.4%","15.3%","30.6%"
"[object Object]","2024","Ja'Quez Cross","Arkansas State","114","-1.18","-0.010","-4.17","-0.037","3.01","0.026","43.9%","15.8%","7.9%"
"[object Object]","2024","Jordon Simmons","Akron","112","-1.30","-0.012","-4.49","-0.040","12.35","0.110","49.1%","16.1%","11.6%"
"[object Object]","2024","Davis Bryson","Kennesaw State","113","-1.42","-0.013","-5.57","-0.049","-35.53","-0.314","33.6%","16.8%","23.9%"
"[object Object]","2024","Justin Marshall","Colorado State","154","-1.63","-0.011","-6.28","-0.041","-10.55","-0.068","40.3%","12.3%","13.0%"
"[object Object]","2024","Carson Hansen","Iowa State","151","-2.54","-0.017","-7.18","-0.048","14.91","0.099","49.0%","20.5%","7.3%"
"[object Object]","2024","Jaiden Credle","Middle Tennessee","108","-2.55","-0.024","-6.07","-0.056","-9.53","-0.088","38.9%","13.9%","13.9%"
"[object Object]","2024","Tawee Walker","Wisconsin","190","-2.56","-0.013","-7.79","-0.041","-4.49","-0.024","45.3%","13.7%","9.5%"
"[object Object]","2024","CJ Donaldson Jr.","West Virginia","163","-2.61","-0.016","-7.34","-0.045","12.11","0.074","49.1%","16.6%","12.3%"
"[object Object]","2024","Phil Mafah","Clemson","216","-2.68","-0.012","-7.98","-0.037","1.55","0.007","44.4%","15.3%","11.1%"
"[object Object]","2024","Nay'Quan Wright","South Florida","109","-2.68","-0.025","-5.54","-0.051","-8.65","-0.079","37.6%","15.6%","9.2%"
"[object Object]","2024","Star Thomas","Duke","212","-3.21","-0.015","-9.15","-0.043","-32.84","-0.155","35.4%","10.4%","12.7%"
"[object Object]","2024","Jay Ducker","Sam Houston State","158","-3.43","-0.022","-7.89","-0.050","-12.07","-0.076","36.7%","12.7%","14.6%"
"[object Object]","2024","Hunter Watson","Sam Houston State","168","-4.12","-0.025","-10.28","-0.061","-25.32","-0.151","41.7%","20.8%","23.2%"
"[object Object]","2024","Roman Hemby","Maryland","134","-4.20","-0.031","-7.35","-0.055","4.26","0.032","41.8%","17.9%","9.0%"
"[object Object]","2024","Amari Daniels","Texas A&M","138","-4.29","-0.031","-7.78","-0.056","3.01","0.022","44.2%","14.5%","13.0%"
"[object Object]","2024","Avery Morrow","Colorado State","184","-4.58","-0.025","-10.52","-0.057","-5.30","-0.029","41.3%","16.8%","11.4%"
"[object Object]","2024","Cam Porter","Northwestern","126","-4.83","-0.038","-8.51","-0.068","-8.44","-0.067","44.4%","12.7%","14.3%"
"[object Object]","2024","Gavin Williams","Northern Illinois","139","-4.92","-0.035","-8.53","-0.061","9.77","0.070","48.9%","16.5%","11.5%"
"[object Object]","2024","Billy Lucas","Liberty","124","-5.37","-0.043","-8.73","-0.070","15.63","0.126","46.8%","21.0%","9.7%"
"[object Object]","2024","Ethan Vasko","Coastal Carolina","107","-5.37","-0.050","-9.38","-0.088","-0.93","-0.009","53.3%","22.4%","16.8%"
"[object Object]","2024","CJ Hester","UMASS","120","-5.47","-0.046","-8.88","-0.074","-4.45","-0.037","42.5%","10.8%","8.3%"
"[object Object]","2024","T.J. Harden","UCLA","124","-5.80","-0.047","-9.81","-0.079","-13.59","-0.110","35.5%","12.1%","8.1%"
"[object Object]","2024","Nate Noel","Missouri","162","-5.81","-0.036","-10.34","-0.064","-0.53","-0.003","43.2%","8.0%","8.6%"
"[object Object]","2024","Jai'Den Thomas","UNLV","164","-5.82","-0.035","-11.03","-0.067","22.42","0.137","48.8%","16.5%","10.4%"
"[object Object]","2024","Lawrance Toafili","Florida State","109","-5.84","-0.054","-9.05","-0.083","-11.12","-0.102","36.7%","11.0%","11.9%"
"[object Object]","2024","Omiri Wiggins","Louisiana Tech","111","-6.38","-0.057","-9.65","-0.087","-10.34","-0.093","42.3%","9.9%","12.6%"
"[object Object]","2024","Rodrigues Clark","Southern Mississippi","124","-6.74","-0.054","-10.81","-0.087","-12.22","-0.099","36.3%","13.7%","12.9%"
"[object Object]","2024","Jordan Houston","Marshall","111","-6.89","-0.062","-10.98","-0.099","0.43","0.004","36.0%","10.8%","7.2%"
"[object Object]","2024","Jalen John","UMASS","111","-6.91","-0.062","-9.62","-0.087","4.37","0.039","48.6%","18.9%","9.9%"
"[object Object]","2024","Al-Jay Henderson","Buffalo","205","-7.36","-0.036","-13.60","-0.066","17.55","0.086","42.4%","18.5%","8.3%"
"[object Object]","2024","Marcus Carroll","Missouri","141","-7.46","-0.053","-11.18","-0.079","10.37","0.074","44.7%","17.0%","6.4%"
"[object Object]","2024","Jaydn Ott","California","116","-7.57","-0.065","-11.28","-0.097","-26.04","-0.224","32.8%","9.5%","14.7%"
"[object Object]","2024","Qua Ashley","Kennesaw State","122","-7.86","-0.064","-11.75","-0.096","-26.94","-0.221","29.5%","7.4%","10.7%"
"[object Object]","2024","Wayshawn Parker","Washington State","136","-9.08","-0.067","-13.01","-0.096","-7.76","-0.057","35.3%","9.6%","8.8%"
"[object Object]","2024","George Pettaway","James Madison","163","-9.18","-0.056","-13.99","-0.086","21.42","0.131","49.1%","19.0%","4.3%"
"[object Object]","2024","Antario Brown","Northern Illinois","115","-9.62","-0.084","-12.43","-0.108","-16.72","-0.145","35.7%","11.3%","17.4%"
"[object Object]","2024","Donovan Edwards","Michigan","127","-10.90","-0.086","-15.16","-0.119","-18.40","-0.145","35.4%","11.8%","11.0%"
"[object Object]","2024","Davon Booth","Mississippi State","152","-11.38","-0.075","-15.66","-0.103","-7.05","-0.046","32.2%","17.1%","12.5%"
"[object Object]","2024","Dylan Carson","Air Force","139","-11.55","-0.083","-15.38","-0.111","4.84","0.035","42.4%","10.1%","5.8%"
"[object Object]","2024","Elijah Young","Western Kentucky","201","-12.94","-0.064","-19.71","-0.098","-10.73","-0.053","42.8%","9.5%","8.0%"
"[object Object]","2024","Will Howard","Ohio State","105","-14.05","-0.134","-19.54","-0.186","-17.06","-0.162","46.7%","16.2%","21.0%"
"[object Object]","2024","Quentin Hayes","Air Force","126","-14.37","-0.114","-17.79","-0.141","0.11","0.001","49.2%","19.8%","19.0%"
"[object Object]","2024","Bill Davis","Louisiana","163","-14.51","-0.089","-19.90","-0.122","8.68","0.053","41.7%","15.3%","9.8%"
"[object Object]","2024","JC French IV","Georgia Southern","116","-14.72","-0.127","-21.71","-0.187","-46.19","-0.398","38.8%","19.8%","31.9%"
"[object Object]","2024","Evan Svoboda","Wyoming","109","-15.32","-0.141","-18.40","-0.169","-45.15","-0.414","34.9%","20.2%","33.0%"
"[object Object]","2024","Delbert Mimms III","Eastern Michigan","184","-17.05","-0.093","-21.42","-0.116","3.11","0.017","41.3%","17.4%","8.7%"
"[object Object]","2024","Kye Robichaux","Boston College","174","-17.09","-0.098","-22.39","-0.129","-18.46","-0.106","42.0%","10.9%","10.3%"
"[object Object]","2024","Quali Conley","Arizona","151","-17.78","-0.118","-22.30","-0.148","-25.20","-0.167","34.4%","15.2%","14.6%"
"[object Object]","2024","Michael Benefield","Kennesaw State","138","-17.93","-0.130","-22.31","-0.162","-21.20","-0.154","34.1%","11.6%","11.6%"
"[object Object]","2024","Elijah Gilliam","Fresno State","121","-20.68","-0.171","-24.62","-0.203","-4.58","-0.038","41.3%","13.2%","8.3%"
"[object Object]","2024","Braedon Sloan","Ball State","150","-22.11","-0.147","-26.23","-0.175","4.54","0.030","43.3%","14.7%","8.0%"
"[object Object]","2024","Cole Snyder","Eastern Michigan","136","-22.30","-0.164","-27.41","-0.202","-43.94","-0.323","39.0%","17.6%","25.7%"
"[object Object]","2024","Mike Washington Jr.","New Mexico State","154","-22.54","-0.146","-26.94","-0.175","-10.91","-0.071","39.6%","11.7%","9.7%"
"[object Object]","2024","Jevon Jackson","UTEP","190","-23.18","-0.122","-28.61","-0.151","-30.01","-0.158","36.8%","11.1%","12.1%"
"[object Object]","2024","Connor Walendzak","Toledo","128","-25.12","-0.196","-28.80","-0.225","-23.22","-0.181","36.7%","7.8%","11.7%"
