Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,DropsYardsLost,DropsPercentage,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadCheckdownPercentage,InterceptionsTotal,TowThrowPercentage
Skylar Thompson,MIA,QB,11,11,11,1,10,0.9091,1,0.1755,11,104,9.4545,0.6346,9.4545,33,,No,No,2,0.1818,3.2041,-0.1095,No,0.8182,1,2.2636,2.2,3,106.1,No,No,5,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,5.2,5.2,3,,-5,0.0909,0.0909,,,,0.1818,,
Josh Allen,BUF,QB,163,162,162,1,155,0.9568,0.9691,0.1541,162,1736,10.716,0.6976,11.6728,583,10,No,No,16,0.0988,42.8556,-0.1658,No,0.679,1,2.1086,2.375,3.5988,129.3,No,No,78,108.44,108.44,108.44,108.44,108.44,111.44,111.44,107.44,107.44,107.44,107.44,125.8,124.8,17,1,11,0.0123,0.1049,5,0.0309,0.0494,0.1235,1,
Jake Haener,NO,QB,9,8,8,1,6,0.75,0.875,0.0186,8,42,5.25,0.7381,5.25,18,,No,No,2,0.25,2.0526,-0.0066,No,0.625,1,2.0625,2.3,2.25,86.5,No,Yes,3,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,2.1,2.1,8,,6,0.125,,,,,0.375,,
Drew Lock,NYG,QB,60,60,60,1,56,0.9333,0.9667,0.1227,60,473,7.8833,0.7548,8.55,138,2,No,Yes,16,0.2667,17.1803,-0.0197,No,0.75,1,2.235,2.2188,2.3,110.6,No,Yes,14,26.92,26.92,26.92,26.92,26.92,29.92,29.92,26.92,26.92,26.92,26.92,31.65,31.65,7,,1,0.0333,,,,,0.1167,,
Sam Howell,SEA,QB,6,6,6,1,5,0.8333,0.8333,0.0018,6,24,4,0.4167,4,17,,No,Yes,2,0.3333,1.8198,0.03,Yes,0.5,1,2.3333,2.75,2.8333,83.3,No,Yes,1,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.2,1.2,2,,,,0.1667,,,,0.1667,,
Jameis Winston,CLV,QB,76,76,76,1,70,0.9211,0.9474,0.1608,76,738,9.7105,0.4892,9.9079,408,3,No,No,6,0.0789,20.768,-0.1943,Yes,0.6974,1,2.1592,2.2167,5.3684,114.8,No,Yes,35,40.52,40.52,40.52,40.52,40.52,43.52,43.52,39.52,39.52,39.52,39.52,47.9,46.9,12,2,8,0.0263,0.0395,2,0.0263,0.0263,0.1053,1,
Clayton Tune,ARZ,QB,1,1,1,1,1,1,1,0.0587,1,1,1,4,1,-3,,No,No,,,0.0906,-0.0906,No,1,1,1.1,,-3,79.2,No,No,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,6,,,,,,,,,,
Desmond Ridder,LV,QB,27,27,27,1,26,0.963,0.963,0.1279,27,156,5.7778,0.5256,5.7778,83,,No,No,4,0.1481,7.0678,-0.1136,No,0.5926,1,2.0926,2.525,3.0741,90.7,No,Yes,8,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,7.8,7.8,5,,,,0.037,,,,0.3333,,
Trey Lance,DAL,QB,12,12,12,1,12,1,1,0.1659,12,70,5.8333,0.6429,5.8333,25,,No,No,3,0.25,3.2428,-0.0202,No,0.8333,1,2.1417,2.1,2.0833,91,No,Yes,5,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3.5,3.5,4,,,,,,,,0.1667,,
Will Levis,TEN,QB,97,97,97,1,93,0.9588,0.9897,0.1645,97,730,7.5258,0.6164,8.1443,304,3,No,No,15,0.1546,29.5955,-0.1505,No,0.7113,1,2.3438,2.3067,3.134,108.3,No,Yes,33,41.2,41.2,41.2,41.2,41.2,44.2,44.2,41.2,41.2,41.2,41.2,48.5,48.5,12,2,6,0.0309,0.0515,3,0.0309,0.0103,0.1237,,
