Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,TouchdownsTotal,TargetsInEndzone,ReceptionsHero,TouchdownsInEndzone,AlignmentInlineRoutesPercentage
Laquon Treadwell,IND,WR,3,Yes,No,No,3,,No,Yes,,,0.6667,0.3333,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezekiel Elliott,DAL,RB,32,Yes,Yes,No,11,,No,Yes,,,,,,,,,,,,15,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Smartt,LAC,TE,29,Yes,No,Yes,25,7,Yes,Yes,0.28,107,0.24,0.16,5,15.2857,2,10.2324,13.7195,13.7195,0.3043,14,2,7,1,7,2,1,146,39,8,,,,,1,0.1429,118.8,5.84,20.8571,,20.8571,5.5714,1.1429,6,14.6,21.6,18.1,21.6,25.1,24.6,21.1,21.6,21.6,21.6,18.1,25.1,21.6,,,,,,0.6
T.J. Hockenson,MIN,TE,60,Yes,Yes,No,48,9,No,Yes,0.1875,83,0.0625,0.0625,4,9.2222,,0.6944,14.738,14.738,0.1915,10,2,7,0.7778,6,2,0.6667,82,30,14,1,1,0.1667,,,,95.6,1.7083,9.1111,0.1111,13.6667,5,2.3333,4,8.2,14.2,11.2,14.2,17.2,14.2,11.2,14.2,14.2,14.2,11.2,17.2,14.2,1,,,,,0.875
Eric Tomlinson,LAC,TE,33,Yes,No,Yes,19,3,No,Yes,0.1579,9,,0.0526,1,3,,-5.2786,4.9945,4.9945,0.1304,9,1,3,1,1,,0.3333,2,2,,1,,,0.0526,,,42.4,0.1053,0.6667,0.3333,2,2,,,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,1,,,,,0.8947
Simi Fehoko,LAC,WR,38,Yes,No,No,33,4,No,Yes,0.1212,66,0.1515,0.8485,2,16.5,1,-3.1457,7.4292,7.4292,0.129,8,1,3,0.75,2,,0.5,25,1,,,,,,,,69.8,0.7576,6.25,,12.5,0.5,,2,2.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,1,,1,,,
Xavier Hutchinson,HST,WR,60,Yes,No,No,49,2,No,No,0.0408,4,0.2653,0.7347,2,2,,0.1933,7.0973,7.0973,0.0444,16,,1,0.5,1,,0.5,12,17,9,,1,1,,1,0.5,68.8,0.2449,6,,12,17,9,,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,1,,1,,,
Michael Wilson,ARZ,WR,137,Yes,No,No,122,16,No,No,0.1311,272,0.3197,0.6803,15,17,7,3.7819,32.2276,32.2276,0.1404,16,7,12,0.75,11,6,0.6875,218,52,18,,1,0.0909,,1,0.0625,106.3,1.7869,13.625,,19.8182,4.7273,1.6364,7,27.8,38.8,33.3,38.8,38.8,41.8,36.3,38.8,38.8,38.8,33.3,38.8,38.8,,1,1,,,
Ian Thomas,CAR,TE,26,Yes,No,No,14,4,No,Yes,0.2857,18,,,2,4.5,,-5.8215,5.7649,5.7649,0.1739,5,,3,0.75,3,,0.75,7,6,2,,,,,,,37.5,0.5,1.75,,2.3333,2,0.6667,1,0.7,3.7,2.2,3.7,5.2,3.7,2.2,3.7,3.7,3.7,2.2,5.2,3.7,,,,,,1
Zay Flowers,BLT,WR,128,Yes,No,Yes,123,40,No,Yes,0.3252,327,0.3496,0.6504,34,8.175,7,5.0086,77.1345,77.1345,0.367,17,2,36,0.9,33,1,0.825,514,271,96,2,13,0.3939,,17,0.425,143.8,4.1789,12.85,0.05,15.5758,8.2121,2.9091,23,69.4,102.4,85.9,102.4,102.4,105.4,88.9,102.4,102.4,102.4,85.9,102.4,102.4,2,3,2,,1,
Jahmyr Gibbs,DET,RB,114,Yes,Yes,No,73,19,No,Yes,0.2603,-42,0.0411,0.0137,7,-2.2105,,3.0696,27.3826,27.3826,0.1881,17,,19,1,18,,0.9474,169,204,29,1,7,0.3889,0.9452,5,0.2632,103.7,2.3151,8.8947,0.0526,9.3889,11.3333,1.6111,7,16.9,34.9,25.9,43.9,34.9,37.9,28.9,34.9,34.9,34.9,25.9,34.9,34.9,1,,,,,
Odell Beckham,MIA,WR,3,Yes,No,No,3,,No,Yes,,,,1,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody White,SEA,WR,2,Yes,No,No,2,,No,No,,,0.5,0.5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Turner,LV,WR,30,Yes,Yes,Yes,23,4,No,No,0.1739,17,0.4348,0.4783,1,4.25,1,-5.7742,6.17,6.17,0.1739,12,,3,0.75,3,,0.75,4,7,5,,1,0.3333,0.087,1,0.25,77.1,0.1739,1,,1.3333,2.3333,1.6667,,0.4,3.4,1.9,3.4,3.4,3.4,1.9,3.4,3.4,3.4,1.9,3.4,3.4,,,,,,
Dalton Kincaid,BUF,TE,58,Yes,Yes,No,50,16,No,Yes,0.32,32,0.18,0.08,10,2,1,-1.1195,27.5336,27.5336,0.3265,13,1,13,0.8125,13,1,0.8125,93,91,31,,2,0.1538,,7,0.4375,111.7,1.86,5.8125,,7.1538,7,2.3846,5,15.3,28.3,21.8,28.3,34.8,28.3,21.8,28.3,28.3,28.3,21.8,34.8,28.3,3,1,1,,,0.74
Jakobi Meyers,LV,WR,125,Yes,No,Yes,105,30,Yes,Yes,0.2857,237,0.219,0.7714,27,7.9,2,0.4629,54.847,54.847,0.2857,15,3,24,0.8,21,1,0.7,246,121,36,,3,0.1429,0.0095,4,0.1333,105.7,2.3429,8.2,,11.7143,5.7619,1.7143,14,30.6,51.6,41.1,51.6,51.6,54.6,44.1,51.6,51.6,51.6,41.1,51.6,51.6,4,1,2,,1,
Hunter Henry,NE,TE,99,Yes,No,Yes,68,12,No,Yes,0.1765,5,0.1029,0.0294,7,0.4167,,3.5896,20.1776,20.1776,0.169,16,,12,1,12,,1,113,108,35,,2,0.1667,0.0441,3,0.25,133.7,1.6618,9.4167,,9.4167,9,2.9167,6,17.3,29.3,23.3,29.3,35.3,32.3,26.3,29.3,29.3,29.3,23.3,35.3,29.3,4,1,,,,0.8235
Nelson Agholor,BLT,WR,48,Yes,No,No,42,8,No,No,0.1905,86,0.3333,0.5714,6,10.75,2,-1.4787,18.6827,18.6827,0.1951,14,2,7,0.875,4,,0.5,55,18,6,,,,,1,0.125,112,1.3095,6.875,,13.75,4.5,1.5,3,11.5,15.5,13.5,15.5,15.5,15.5,13.5,15.5,15.5,15.5,13.5,15.5,15.5,1,1,1,,1,0.0952
Gabe Davis,JAX,WR,68,Yes,No,No,49,12,No,Yes,0.2449,139,0.0816,0.9184,8,11.5833,1,-0.8641,21.1356,21.1356,0.2034,10,2,8,0.6667,7,1,0.5833,97,26,13,,1,0.1429,,,,84.4,1.9796,8.0833,,13.8571,3.7143,1.8571,5,9.7,16.7,13.2,16.7,16.7,16.7,13.2,16.7,16.7,16.7,13.2,16.7,16.7,2,,1,,,
Dez Fitzpatrick,LAC,WR,1,Yes,No,Yes,1,,Yes,Yes,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Scott,CHI,WR,2,Yes,No,No,1,1,No,Yes,1,-3,1,,1,-3,,0.0592,1.6252,1.6252,1,11,,1,1,1,,1,5,8,1,,,,,1,1,87.5,5,5,,5,8,1,,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,
Jaylen Wright,MIA,RB,31,Yes,Yes,No,18,2,No,Yes,0.1111,-6,0.1111,,,-3,,-5.8451,3.067,3.067,0.0833,15,,2,1,,,,,,,2,,,0.8889,,,39.6,,,1,,,,,,,,,,,,,,,,,,,,,,,
Ihmir Smith-Marsette,NYG,WR,2,Yes,No,No,2,,No,Yes,,,0.5,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
Rashee Rice,KC,WR,17,Yes,Yes,Yes,13,8,No,No,0.6154,22,0.2308,0.7692,8,2.75,,2.5642,12.752,12.752,0.5714,4,,8,1,7,,0.875,73,63,33,1,4,0.5714,,4,0.5,104.7,5.6154,9.125,0.125,10.4286,9,4.7143,4,7.3,14.3,10.8,14.3,14.3,14.3,10.8,14.3,14.3,14.3,10.8,14.3,14.3,,,,,,
Ty Chandler,MIN,RB,24,Yes,No,No,14,2,No,Yes,0.1429,-2,,,2,-1,,-0.4823,2.808,2.808,0.1053,15,,2,1,2,,1,11,13,1,,,,1,1,0.5,89.6,0.7857,5.5,,5.5,6.5,0.5,1,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,,,,,,
Britain Covey,PHI,WR,8,Yes,No,No,6,2,No,Yes,0.3333,-4,1,,2,-2,,-2.9991,6.1156,6.1156,0.2857,5,,2,1,2,,1,5,9,,,,,,2,1,79.2,0.8333,2.5,,2.5,4.5,,,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2,,,,,
Austin Hooper,NE,TE,82,Yes,No,Yes,60,16,No,Yes,0.2667,92,0.0333,,13,5.75,2,2.1076,29.6446,29.6446,0.2667,17,1,12,0.75,12,1,0.75,153,121,41,,3,0.25,,3,0.1875,99.2,2.55,9.5625,,12.75,10.0833,3.4167,9,20.3,32.3,26.3,32.3,38.3,35.3,28.3,31.3,31.3,31.3,25.3,38.3,31.3,2,1,1,,,0.9667
Justin Watson,KC,WR,97,Yes,No,No,61,7,No,No,0.1148,119,0.2131,0.7541,4,17,2,6.6931,12.2093,12.2093,0.0795,17,,7,1,6,,0.8571,114,27,6,1,,,,1,0.1429,118.8,1.8689,16.2857,0.1429,19,4.5,1,4,11.4,17.4,14.4,17.4,17.4,20.4,17.4,17.4,17.4,17.4,14.4,17.4,17.4,,,1,,,0.0328
Bryce Oliver,TEN,WR,6,Yes,No,No,4,1,No,No,0.25,8,0.25,0.75,1,8,,8.4894,1.5078,1.5078,0.1667,10,,1,1,1,,1,16,8,3,,,,,,,118.8,4,16,,16,8,3,1,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,,,,,,
Mo Alie-Cox,IND,TE,127,Yes,No,No,55,12,No,Yes,0.2182,99,0.0364,,10,8.25,2,-2.5982,21.4456,21.4456,0.1111,17,2,7,0.5833,5,,0.4167,64,32,9,1,,,,1,0.0833,24.3,1.1636,5.3333,0.0833,12.8,6.4,1.8,3,6.4,11.4,8.9,11.4,13.9,11.4,8.9,11.4,11.4,11.4,8.9,13.9,11.4,3,,1,,,0.9636
Devin Culp,TB,TE,2,Yes,Yes,Yes,1,1,No,No,1,16,,,,16,,15.809,1.6593,1.6593,0.5,5,,1,1,1,,1,26,10,6,,1,1,,,,118.8,26,26,,26,10,6,1,2.6,3.6,3.1,3.6,4.1,3.6,3.1,3.6,3.6,3.6,3.1,4.1,3.6,,,,,,1
Tyrone Tracy,NYG,RB,85,Yes,No,No,44,11,No,Yes,0.25,-19,,,6,-1.7273,,-0.4809,16.6118,16.6118,0.1642,17,1,9,0.8182,7,,0.6364,60,82,25,1,3,0.4286,1,4,0.3636,77.8,1.3636,5.4545,0.0909,8.5714,11.7143,3.5714,2,6,13,9.5,16.5,13,13,9.5,13,13,13,9.5,13,13,2,,,,,
Michael Mayer,LV,TE,89,Yes,No,Yes,48,6,Yes,Yes,0.125,5,0.1042,0.0625,3,0.8333,,-3.5848,11.827,11.827,0.0833,11,,4,0.6667,4,,0.6667,13,9,2,,,,0.0208,,,70.1,0.2708,2.1667,,3.25,2.25,0.5,1,1.3,5.3,3.3,5.3,7.3,5.3,3.3,5.3,5.3,5.3,3.3,7.3,5.3,2,,,,,0.8125
Marvin Harrison,ARZ,WR,157,Yes,No,No,140,35,No,Yes,0.25,545,0.0786,0.9214,27,15.5714,7,0.7286,80.7069,80.7069,0.2652,17,9,28,0.8,21,4,0.6,375,67,20,2,,,,,,124.4,2.6786,10.7143,0.0571,17.8571,3.1905,0.9524,17,66.5,87.5,77,87.5,87.5,90.5,79,86.5,86.5,86.5,76,87.5,86.5,5,5,7,2,4,
Zach Pascal,ARZ,WR,7,Yes,No,No,5,,No,Yes,,,0.2,0.8,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Gipson,NYJ,WR,24,Yes,Yes,No,18,1,No,Yes,0.0556,2,0.5,0.5,1,2,,-4.3344,4.9846,4.9846,0.0526,17,,1,1,1,,1,1,,,,,,,,,118.8,0.0556,1,,1,,,1,6.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,1,1,1,,1,
Cedrick Wilson,NO,WR,39,Yes,Yes,Yes,31,6,No,No,0.1935,16,0.3226,0.6774,3,2.6667,,-1.5876,10.1555,10.1555,0.2143,15,,4,0.6667,3,,0.5,25,35,8,1,,,,,,21.5,0.8065,4.1667,0.1667,8.3333,11.6667,2.6667,1,2.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,,,,,,
Tank Bigsby,JAX,RB,49,Yes,No,No,26,4,No,Yes,0.1538,-7,,,2,-1.75,,2.4829,5.4088,5.4088,0.093,16,,4,1,2,,0.5,34,33,,2,,,1,2,0.5,79.2,1.3077,8.5,0.5,17,16.5,,1,3.4,5.4,4.4,6.4,5.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,,,,,,
Mike Woods,CLV,WR,47,Yes,No,No,32,,No,Yes,,,0.1875,0.6875,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125
Joseph Fortson,KC,TE,3,Yes,No,No,2,,No,Yes,,,0.5,0.5,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John FitzPatrick,GB,TE,7,Yes,No,No,5,1,No,Yes,0.2,2,,,,2,,-4.3701,1.4542,1.4542,0.1429,9,,1,1,1,,1,2,,,,2,2,,,,79.2,0.4,2,,2,,,,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,,,,,,1
Sean Tucker,TB,RB,16,Yes,Yes,Yes,12,5,No,No,0.4167,8,,0.0833,1,1.6,,4.1676,7.3328,7.3328,0.3571,17,,5,1,5,,1,53,45,22,,2,0.4,0.9167,,,110.8,4.4167,10.6,,10.6,9,4.4,4,5.3,10.3,7.8,12.8,10.3,10.3,7.8,10.3,10.3,10.3,7.8,10.3,10.3,,,,,,
Ramel Keyton,LV,WR,5,Yes,No,Yes,2,,Yes,Yes,,,,1,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Smith,LA,WR,4,Yes,No,No,4,1,No,Yes,0.25,-5,0.75,0.25,1,-5,,-9.1596,1.6816,1.6816,0.25,15,,1,1,1,,1,-5,,,,,,,1,1,79.2,-1.25,-5,,-5,,,,-0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,,0.5,0.5,,,,,,
Kenneth Walker,SEA,RB,62,Yes,Yes,No,42,8,No,No,0.1905,-16,,0.0238,2,-2,,-2.19,11.4989,11.4989,0.1569,11,,7,0.875,7,,0.875,28,46,10,,1,0.1429,0.9762,2,0.25,81.3,0.6667,3.5,,4,6.5714,1.4286,2,2.8,9.8,6.3,13.3,9.8,9.8,6.3,9.8,9.8,9.8,6.3,9.8,9.8,1,,,,,
De'Von Achane,MIA,RB,112,Yes,Yes,No,73,13,No,Yes,0.1781,-3,0.2055,0.0959,8,-0.2308,,2.6051,25.5307,25.5307,0.1383,17,1,13,1,13,1,1,116,119,16,,2,0.1538,0.6986,4,0.3077,143.4,1.589,8.9231,,8.9231,9.1538,1.2308,8,23.6,36.6,30.1,43.1,36.6,39.6,33.1,36.6,36.6,36.6,30.1,36.6,36.6,3,2,,,,
Mike Evans,TB,WR,99,Yes,Yes,Yes,82,29,No,No,0.3537,374,0.122,0.878,25,12.8966,4,3.6806,51.2513,51.2513,0.3295,14,2,27,0.931,25,2,0.8621,369,79,27,2,1,0.04,,1,0.0345,138.9,4.5,12.7241,0.069,14.76,3.16,1.08,20,54.9,79.9,67.4,79.9,79.9,82.9,70.4,79.9,79.9,79.9,67.4,79.9,79.9,2,3,4,1,3,
Jordan Addison,MIN,WR,151,Yes,Yes,No,129,34,No,Yes,0.2636,457,0.3256,0.6744,26,13.4412,13,4.3977,68.2322,68.2322,0.281,15,3,27,0.7941,24,2,0.7059,449,154,63,2,4,0.1667,,7,0.2059,140.3,3.4806,13.2059,0.0588,18.7083,6.4167,2.625,14,74.9,98.9,86.9,98.9,98.9,101.9,89.9,98.9,98.9,98.9,86.9,98.9,98.9,6,5,3,2,3,
Tyler Lockett,SEA,WR,85,Yes,No,No,76,14,No,Yes,0.1842,140,0.2237,0.7763,11,10,3,0.6426,25.6629,25.6629,0.1972,17,,12,0.8571,12,,0.8571,126,35,6,,3,0.25,,5,0.3571,104.2,1.6579,9,,10.5,2.9167,0.5,7,12.6,24.6,18.6,24.6,24.6,27.6,21.6,24.6,24.6,24.6,18.6,24.6,24.6,,,,,,
Keon Coleman,BUF,WR,58,Yes,No,Yes,45,12,No,Yes,0.2667,141,0.0222,0.9778,10,11.75,1,10.0787,29.9657,29.9657,0.2449,13,3,11,0.9167,9,2,0.75,219,97,69,1,1,0.1111,,,,121.5,4.8667,18.25,0.0833,24.3333,10.7778,7.6667,9,33.9,42.9,38.4,42.9,42.9,45.9,41.4,42.9,42.9,42.9,38.4,42.9,42.9,3,2,2,1,1,
Lil'Jordan Humphrey,DEN,WR,88,Yes,No,No,68,17,No,No,0.25,77,0.4118,0.5882,12,4.5294,1,1.2538,31.0782,31.0782,0.2297,17,1,15,0.8824,12,,0.7059,132,122,52,1,6,0.5,,7,0.4118,88.4,1.9412,7.7647,0.0588,11,10.1667,4.3333,4,19.2,31.2,25.2,31.2,31.2,34.2,28.2,31.2,31.2,31.2,25.2,31.2,31.2,3,1,3,,,
Jaelon Darden,SEA,WR,4,Yes,No,No,4,,No,Yes,,,0.25,0.75,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Martin-Robinson,TEN,TE,7,Yes,No,No,2,1,No,No,0.5,,,0.5,,,,0.711,1.316,1.316,0.2,5,,1,1,1,,1,6,6,,,,,,,,91.7,3,6,,6,6,,1,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,,,,,0.5
Skyy Moore,KC,WR,6,Yes,No,No,3,,Yes,Yes,,,0.3333,0.6667,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Conley,SF,WR,29,Yes,No,No,25,1,No,Yes,0.04,47,0.12,0.84,1,47,1,-15,1.6622,1.6622,0.0526,15,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
Travis Homer,CHI,RB,3,Yes,No,No,2,,No,Yes,,,,,,,,,,,,9,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Heath,GB,WR,14,Yes,No,No,12,1,No,Yes,0.0833,6,0.0833,0.9167,1,6,,-0.9491,1.5307,1.5307,0.0909,10,,1,1,1,,1,6,,,,,,,,,91.7,0.5,6,,6,,,,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,
Mecole Hardman,KC,WR,33,Yes,Yes,Yes,30,9,No,No,0.3,-20,0.3667,0.5,8,-2.2222,,1.2747,14.6936,14.6936,0.3,12,,9,1,9,,1,58,78,12,,2,0.2222,0.1333,8,0.8889,93.5,1.9333,6.4444,,6.4444,8.6667,1.3333,4,5.8,14.8,10.3,14.8,14.8,14.8,10.3,14.8,14.8,14.8,10.3,14.8,14.8,4,,,,,
Shane Zylstra,DET,TE,25,Yes,Yes,No,18,1,No,Yes,0.0556,9,0.2222,0.1667,,9,,14.7404,1.658,1.658,0.05,12,,1,1,1,,1,22,13,9,,1,1,0.1111,,,118.8,1.2222,22,,22,13,9,1,2.2,3.2,2.7,3.2,3.7,3.2,2.7,3.2,3.2,3.2,2.7,3.7,3.2,,,,,,0.5
Jack Stoll,MIA,TE,25,Yes,No,No,7,1,No,Yes,0.1429,4,,,,4,,-0.0667,1.2826,1.2826,0.05,9,,1,1,1,,1,6,2,1,,,,,,,91.7,0.8571,6,,6,2,1,,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,,,,,1
Luke Schoonmaker,DAL,TE,54,Yes,Yes,No,37,12,No,No,0.3243,30,0.1351,,7,2.5,,1.9628,18.2776,18.2776,0.25,17,,10,0.8333,10,,0.8333,97,69,26,,,,,,,100.3,2.6216,8.0833,,9.7,6.9,2.6,5,9.7,19.7,14.7,19.7,24.7,19.7,14.7,19.7,19.7,19.7,14.7,24.7,19.7,,,,,,0.8649
Nate Adkins,DEN,TE,92,Yes,No,No,50,10,No,No,0.2,49,0.02,0.06,5,4.9,1,1.1555,17.727,17.727,0.137,17,,9,0.9,9,,0.9,79,52,13,,1,0.1111,,,,139.2,1.58,7.9,,8.7778,5.7778,1.4444,5,25.9,34.9,30.4,34.9,39.4,34.9,30.4,34.9,34.9,34.9,30.4,39.4,34.9,4,3,1,,1,0.92
Jameson Williams,DET,WR,164,Yes,Yes,No,150,36,No,Yes,0.24,600,0.26,0.74,33,16.6667,9,6.076,72.8522,72.8522,0.259,15,5,26,0.7222,23,3,0.6389,566,295,32,1,1,0.0435,,2,0.0556,112,3.7733,15.7222,0.0278,24.6087,12.8261,1.3913,20,74.6,97.6,86.1,97.6,97.6,100.6,89.1,97.6,97.6,97.6,86.1,97.6,97.6,2,3,2,,,
Eric Gray,NYG,RB,13,Yes,No,No,8,1,No,Yes,0.125,-7,,,1,-7,,14.4713,1.3542,1.3542,0.1,16,,1,1,1,,1,19,26,1,,,,1,1,1,118.8,2.375,19,,19,26,1,1,1.9,2.9,2.4,3.4,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,,,,,
Trenton Irwin,CIN,WR,18,Yes,Yes,No,10,1,No,No,0.1,28,0.4,0.6,,28,1,-11.0769,1.4857,1.4857,0.0714,7,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,1,,,
D'Ernest Johnson,JAX,RB,17,Yes,No,No,12,2,No,Yes,0.1667,4,0.1667,,,2,,1.2555,2.7757,2.7757,0.1333,13,,2,1,2,,1,15,11,7,,1,0.5,0.8333,,,97.9,1.25,7.5,,7.5,5.5,3.5,,1.5,3.5,2.5,4.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,,,,,,
Theo Johnson,NYG,TE,96,Yes,No,No,49,13,No,Yes,0.2653,76,0.0816,0.0408,12,5.8462,1,0.0322,23.4962,23.4962,0.1781,12,3,12,0.9231,8,1,0.6154,96,73,14,2,,,0.0204,3,0.2308,84.1,1.9592,7.3846,0.1538,12,9.125,1.75,5,9.6,17.6,13.6,17.6,21.6,17.6,13.6,17.6,17.6,17.6,13.6,21.6,17.6,1,,1,,,0.8571
Jahan Dotson,PHI,WR,89,Yes,No,No,68,9,No,Yes,0.1324,35,0.3235,0.6618,7,3.8889,1,3.8481,15.6971,15.6971,0.1286,17,1,9,1,9,1,1,92,57,13,,2,0.2222,,5,0.5556,109.3,1.3529,10.2222,,10.2222,6.3333,1.4444,4,9.2,18.2,13.7,18.2,18.2,18.2,13.7,18.2,18.2,18.2,13.7,18.2,18.2,,,,1,,0.0147
DeVonta Smith,PHI,WR,101,Yes,Yes,No,81,16,No,Yes,0.1975,170,0.5185,0.4691,15,10.625,3,3.7607,29.4581,29.4581,0.2192,13,1,16,1,14,1,0.875,194,48,13,2,2,0.1429,,5,0.3125,138,2.3951,12.125,0.125,13.8571,3.4286,0.9286,6,25.4,39.4,32.4,39.4,39.4,42.4,35.4,39.4,39.4,39.4,32.4,39.4,39.4,2,1,1,,1,0.0123
Jalen McMillan,TB,WR,74,Yes,Yes,Yes,59,7,No,No,0.1186,86,0.2881,0.7119,5,12.2857,2,-2.5794,14.9836,14.9836,0.1077,13,,5,0.7143,4,,0.5714,47,10,4,1,,,,1,0.1429,38.1,0.7966,6.7143,0.1429,11.75,2.5,1,2,4.7,8.7,6.7,8.7,8.7,8.7,6.7,8.7,8.7,8.7,6.7,8.7,8.7,1,,,,,
E.J. Jenkins,PHI,TE,11,Yes,No,No,4,1,No,Yes,0.25,4,0.5,,1,4,,0.9333,2.2767,2.2767,0.1111,8,,1,1,1,,1,7,3,1,,,,,,,135.4,1.75,7,,7,3,1,1,6.7,7.7,7.2,7.7,8.2,7.7,7.2,7.7,7.7,7.7,7.2,8.2,7.7,1,1,,,,0.5
Aaron Jones,MIN,RB,136,Yes,Yes,No,92,17,No,Yes,0.1848,-40,0.0109,,11,-2.3529,,1.1563,25.9492,25.9492,0.156,17,,17,1,15,,0.8824,118,154,26,1,2,0.1333,0.9891,10,0.5882,95.6,1.2826,6.9412,0.0588,7.8667,10.2667,1.7333,6,10.8,25.8,18.3,33.3,25.8,28.8,20.3,24.8,24.8,24.8,17.3,25.8,24.8,3,,,,,
Luke Farrell,JAX,TE,75,Yes,No,No,28,5,No,Yes,0.1786,31,0.0714,,3,6.2,1,-5.7705,8.3534,8.3534,0.0746,17,1,3,0.6,3,1,0.6,9,8,8,,1,0.3333,,1,0.2,25,0.3214,1.8,,3,2.6667,2.6667,,0.9,3.9,2.4,3.9,5.4,3.9,2.4,3.9,3.9,3.9,2.4,5.4,3.9,,,,,,0.9286
