Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TouchdownsInEndzone
Trey Benson,ARZ,RB,26,No,No,No,17,,No,Yes,,,,,,,,,,,,,,0.7059,,0.2941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
Ben Skowronek,PIT,WR,18,No,Yes,No,15,4,No,No,4,1,,0.2667,4,1,61,30,9,31,,,,,0.7333,,4,7.75,,118.8,4.0667,15.25,8.0467,,15.25,7.5,2.25,3,6.6338,6.6338,0.2222,6.1,10.1,8.1,10.1,10.1,10.1,8.1,10.1,10.1,10.1,8.1,10.1,10.1,9,,,,,0.2667,,
Jake Tonges,SF,TE,4,No,No,No,4,,Yes,Yes,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,0.5,,
Zach Davidson,BUF,TE,7,No,Yes,No,7,,No,No,,,,,,,,,,,,,,,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,0.2857,,
Julius Chestnut,TEN,RB,23,No,Yes,No,20,,No,Yes,,,,,,,,,,,,,,0.8,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
Wan'Dale Robinson,NYG,WR,306,No,No,No,302,91,No,No,71,0.7802,1,0.3013,61,0.6703,550,215,106,594,5,7,0.1148,0.0099,0.7781,0.2119,91,6.5275,4,85.9,1.8212,6.044,-0.8698,0.0549,9.0164,3.5246,1.7377,32,152.2674,152.2674,0.2974,67,128,97.5,128,128,131,100.5,128,128,128,97.5,128,128,17,11,6,1,2,,8,
Jerome Ford,CLV,RB,200,No,No,Yes,150,9,No,No,9,1,,0.06,9,1,58,56,25,2,,4,0.4444,0.6,0.0933,0.0933,9,0.2222,,93.5,0.3867,6.4444,0.3331,,6.4444,6.2222,2.7778,3,14.6042,14.6042,0.045,5.8,14.8,10.3,19.3,14.8,14.8,10.3,14.8,14.8,14.8,10.3,14.8,14.8,14,,,,,0.2133,,
George Pickens,PIT,WR,207,No,Yes,No,206,76,No,No,59,0.7763,11,0.3689,46,0.6053,731,152,104,1077,5,8,0.1739,,0.233,0.767,76,14.1711,21,90.4,3.5485,9.6184,0.9116,0.0658,15.8913,3.3043,2.2609,28,149.3942,149.3942,0.3671,84.1,130.1,107.1,130.1,130.1,133.1,109.1,129.1,129.1,129.1,106.1,130.1,129.1,14,22,10,6,2,,12,2
Jeremy McNichols,WAS,RB,68,No,No,Yes,51,1,Yes,Yes,1,1,,0.0196,1,1,5,,,5,,,,0.6078,0.3333,0.0392,1,5,,87.5,0.098,5,-2.233,,5,,,,1.4769,1.4769,0.0147,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,17,,,,,0.0196,,
Jermaine Burton,CIN,WR,56,No,No,No,56,12,Yes,Yes,8,0.6667,2,0.2143,4,0.3333,107,20,15,253,,,,,0.125,0.875,12,21.0833,6,67,1.9107,8.9167,-1.5238,,26.75,5,3.75,4,28.3156,28.3156,0.2143,10.7,14.7,12.7,14.7,14.7,17.7,15.7,14.7,14.7,14.7,12.7,14.7,14.7,14,4,,,,,3,
Jordan Matthews,CAR,TE,7,No,No,No,7,,Yes,No,,,,,,,,,,,,,,,0.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,0.4286,,
Rico Dowdle,DAL,RB,180,No,No,Yes,124,12,Yes,Yes,12,1,,0.0968,9,0.75,49,49,21,25,1,2,0.2222,0.8952,0.0403,0.0565,12,2.0833,1,81.6,0.3952,4.0833,-2.264,0.0833,5.4444,5.4444,2.3333,3,17.8178,17.8178,0.0667,4.9,13.9,9.4,18.4,13.9,13.9,9.4,13.9,13.9,13.9,9.4,13.9,13.9,16,3,1,,,0.0081,1,
Ricky Pearsall,SF,WR,148,No,No,No,146,36,Yes,Yes,25,0.6944,2,0.2466,24,0.6667,341,79,17,441,,,,,0.3562,0.6438,36,12.25,5,90.2,2.3356,9.4722,1.0593,,14.2083,3.2917,0.7083,17,66.5234,66.5234,0.2432,52.1,76.1,64.1,76.1,76.1,79.1,67.1,76.1,76.1,76.1,64.1,76.1,76.1,11,4,3,1,3,,6,1
Pharaoh Brown,SEA,TE,40,No,No,No,22,4,No,No,4,1,,0.1818,3,0.75,37,13,9,30,1,,,,0.1364,0.0455,4,7.5,,103.1,1.6818,9.25,1.6663,0.25,12.3333,4.3333,3,2,5.7452,5.7452,0.1,3.7,6.7,5.2,6.7,8.2,6.7,5.2,6.7,6.7,6.7,5.2,8.2,6.7,15,,,,,0.8182,,
Chris Olave,NO,WR,99,No,No,No,98,34,Yes,No,29,0.8529,3,0.3469,27,0.7941,372,82,34,417,1,1,0.037,0.0102,0.2551,0.7347,34,12.2647,5,109.8,3.7959,10.9412,2.1246,0.0294,13.7778,3.037,1.2593,20,67.4587,67.4587,0.3434,42.2,69.2,55.7,69.2,69.2,72.2,57.7,68.2,68.2,68.2,54.7,69.2,68.2,8,2,1,1,1,,6,1
Grant Calcaterra,PHI,TE,148,No,No,No,128,17,No,No,14,0.8235,1,0.1328,13,0.7647,174,94,20,114,,1,0.0769,,0.4766,0.1016,17,6.7059,1,128.1,1.3594,10.2353,2.6441,,13.3846,7.2308,1.5385,11,27.8408,27.8408,0.1149,23.4,36.4,29.9,36.4,42.9,39.4,32.9,36.4,36.4,36.4,29.9,42.9,36.4,17,1,,,1,0.4219,1,1
Rashod Bateman,BLT,WR,200,No,No,No,198,44,No,Yes,35,0.7955,5,0.2222,32,0.7273,483,107,30,637,2,4,0.125,,0.0808,0.9192,44,14.4773,9,127.4,2.4394,10.9773,1.9104,0.0455,15.0938,3.3438,0.9375,24,82.8917,82.8917,0.22,78.3,110.3,94.3,110.3,110.3,113.3,97.3,110.3,110.3,110.3,94.3,110.3,110.3,17,3,1,1,5,,5,4
Scott Miller,PIT,WR,33,No,No,No,33,9,No,Yes,6,0.6667,,0.2727,5,0.5556,69,34,22,109,1,2,0.4,,0.2727,0.7273,9,12.1111,2,80.3,2.0909,7.6667,-0.7449,0.1111,13.8,6.8,4.4,2,14.9717,14.9717,0.2727,6.9,11.9,9.4,11.9,11.9,11.9,9.4,11.9,11.9,11.9,9.4,11.9,11.9,13,1,1,1,,,1,
