Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TouchdownsInEndzone
Josiah Deguara,JAX,TE,7,No,Yes,No,6,1,Yes,Yes,1,1,,0.1667,1,1,2,5,2,-3,,,,,0.3333,0.3333,1,-3,,79.2,0.3333,2,-3.8652,,2,5,2,,2.7,2.7,0.1429,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,13,,,,,0.3333,1,
Braelon Allen,NYJ,RB,79,No,No,No,58,10,No,Yes,9,0.9,,0.1724,8,0.8,66,56,19,22,1,1,0.125,0.8448,0.0345,0.1207,10,2.2,,94.2,1.1379,6.6,0.1291,0.1,8.25,7,2.375,4,14.8206,14.8206,0.1266,6.6,14.6,10.6,18.6,14.6,14.6,10.6,14.6,14.6,14.6,10.6,14.6,14.6,17,,,,,,,
Elijah Higgins,ARZ,TE,86,No,No,No,79,11,Yes,Yes,10,0.9091,1,0.1392,9,0.8182,77,22,3,84,,1,0.1111,,0.2532,0.1139,11,7.6364,,126.1,0.9747,7,-0.6991,,8.5556,2.4444,0.3333,5,19.9003,19.9003,0.1279,13.7,22.7,18.2,22.7,27.2,22.7,18.2,22.7,22.7,22.7,18.2,27.2,22.7,17,,,,1,0.6329,1,1
Dan Chisena,CAR,WR,7,No,No,No,7,3,No,Yes,2,0.6667,,0.4286,2,0.6667,29,10,3,21,,,,,0.7143,0.2857,3,7,,97.9,4.1429,9.6667,2.4964,,14.5,5,1.5,1,4.667,4.667,0.4286,2.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,5,,,,,,,
Adam Thielen,CAR,WR,160,No,No,No,160,51,No,Yes,45,0.8824,5,0.3187,41,0.8039,517,125,24,597,4,2,0.0488,,0.75,0.25,51,11.7059,10,104,3.2313,10.1373,1.7157,0.0784,12.6098,3.0488,0.5854,25,91.005,91.005,0.3187,69.7,110.7,90.2,110.7,110.7,113.7,93.2,110.7,110.7,110.7,90.2,110.7,110.7,10,5,3,2,3,,7,3
Terry McLaurin,WAS,WR,244,No,No,Yes,240,86,Yes,Yes,70,0.814,10,0.3583,61,0.7093,882,212,96,1331,2,2,0.0328,,0.1542,0.8458,86,15.4767,21,137.8,3.675,10.2558,1.0667,0.0233,14.459,3.4754,1.5738,45,174.7259,174.7259,0.3525,148.2,209.2,178.7,209.2,209.2,212.2,181.7,209.2,209.2,209.2,178.7,209.2,209.2,17,20,13,3,10,,9,7
Ainias Smith,PHI,WR,27,No,No,No,27,5,No,No,4,0.8,,0.1852,3,0.6,25,4,2,40,1,,,,0.8519,0.1481,5,8,,112.5,0.9259,5,-2.3676,0.2,8.3333,1.3333,0.6667,1,8.9767,8.9767,0.1852,8.5,11.5,10,11.5,11.5,11.5,10,11.5,11.5,11.5,10,11.5,11.5,7,1,,,1,,1,
Chris Godwin,TB,WR,117,No,No,No,111,40,Yes,Yes,34,0.85,2,0.3604,30,0.75,337,160,68,291,1,5,0.1667,,0.5946,0.4054,40,7.275,1,122.6,3.036,8.425,1.2761,0.025,11.2333,5.3333,2.2667,24,69.284,69.284,0.3419,57.7,87.7,72.7,87.7,87.7,90.7,75.7,87.7,87.7,87.7,72.7,87.7,87.7,7,7,5,,4,,5,2
Brayden Willis,SF,TE,5,No,No,No,4,2,Yes,Yes,2,1,,0.5,,,,,,11,1,,,,0.5,,2,5.5,,39.6,,,-6.7865,0.5,,,,,3.0076,3.0076,0.4,,,,,,,,,,,,,,9,2,,,,0.5,,
Kyle Pitts,ATL,TE,254,No,No,No,242,42,No,Yes,33,0.7857,5,0.1736,25,0.5952,348,163,81,406,3,5,0.2,,0.4174,0.2438,42,9.6667,6,72.3,1.438,8.2857,0.1928,0.0714,13.92,6.52,3.24,14,78.6434,78.6434,0.1654,46.8,71.8,59.3,71.8,84.3,74.8,62.3,71.8,71.8,71.8,59.3,84.3,71.8,17,10,4,,2,0.3388,9,1
Trishton Jackson,MIN,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Dante Pettis,NO,WR,49,No,No,Yes,49,15,No,Yes,7,0.4667,2,0.3061,6,0.4,68,14,5,204,,1,0.1667,,0.4898,0.5102,15,13.6,4,76.5,1.3878,4.5333,-4.3607,,11.3333,2.3333,0.8333,6,25.4209,25.4209,0.3061,12.8,18.8,15.8,18.8,18.8,18.8,15.8,18.8,18.8,18.8,15.8,18.8,18.8,8,,,,1,,1,1
Brevin Jordan,HST,TE,10,No,No,No,6,1,No,No,1,1,,0.1667,1,1,4,,,4,,,,,0.1667,0.1667,1,4,,83.3,0.6667,4,-2.0667,,4,,,,1.3495,1.3495,0.1,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,2,,,,,0.6667,,
Jayden Reed,GB,WR,189,No,No,No,185,41,No,Yes,36,0.878,3,0.2216,31,0.7561,636,181,60,575,4,3,0.0968,0.0595,0.773,0.1622,41,14.0244,11,156.8,3.4378,15.5122,6.6668,0.0976,20.5161,5.8387,1.9355,23,78.0504,78.0504,0.2169,93.6,124.6,109.1,124.6,124.6,127.6,112.1,124.6,124.6,124.6,109.1,124.6,124.6,17,5,4,2,5,0.0054,5,3
Raheem Mostert,MIA,RB,65,No,No,No,51,5,No,Yes,5,1,,0.098,4,0.8,40,16,2,30,,,,0.6471,0.2157,0.1373,5,6,,100,0.7843,8,0.895,,10,4,0.5,3,8.1824,8.1824,0.0769,4,8,6,10,8,8,6,8,8,8,6,8,8,13,1,1,,,,,
Jalen Coker,CAR,WR,146,No,No,No,140,37,No,Yes,28,0.7568,4,0.2643,25,0.6757,400,132,39,472,1,1,0.04,,0.6214,0.3786,37,12.7568,6,110.2,2.8571,10.8108,1.9588,0.027,16,5.28,1.56,18,74.8978,74.8978,0.2534,52.76,77.76,65.26,77.76,77.76,80.76,68.26,77.76,77.76,77.76,65.26,77.95,77.95,11,5,3,1,2,,5,1
Marvin Mims,DEN,WR,68,Yes,No,No,66,17,No,Yes,11,0.6471,1,0.2576,9,0.5294,214,122,10,368,1,,,0.1212,0.303,0.5606,17,21.6471,7,97.9,3.2424,12.5882,1.9969,0.0588,23.7778,13.5556,1.1111,3,30.5186,30.5186,0.25,33.4,42.4,37.9,42.4,42.4,45.4,40.9,42.4,42.4,42.4,37.9,42.4,42.4,17,1,,,2,0.0152,,1
Dallas Goedert,PHI,TE,108,No,No,No,102,36,No,No,31,0.8611,4,0.3529,28,0.7778,414,207,74,320,3,2,0.0714,0.0196,0.4608,0.1176,36,8.8889,3,121.5,4.0588,11.5,3.4494,0.0833,14.7857,7.3929,2.6429,17,62.6599,62.6599,0.3333,53.4,81.4,67.4,81.4,95.4,84.4,70.4,81.4,81.4,81.4,67.4,95.4,81.4,10,1,1,1,2,0.402,6,1
Roschon Johnson,CHI,RB,83,No,No,No,52,1,No,Yes,1,1,,0.0192,1,1,8,7,,1,,,,0.8654,0.0385,0.0962,1,1,,100,0.1538,8,2.2706,,8,7,,1,1.3434,1.3434,0.012,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,13,,,1,,,,
Cedric Tillman,CLV,WR,154,No,Yes,Yes,148,36,Yes,No,24,0.6667,6,0.2432,21,0.5833,264,78,42,499,2,4,0.1905,,0.2432,0.7568,36,13.8611,10,97.5,1.7838,7.3333,-1.4913,0.0556,12.5714,3.7143,2,13,66.6489,66.6489,0.2338,44.4,65.4,54.9,65.4,65.4,68.4,57.9,65.4,65.4,65.4,54.9,65.4,65.4,11,3,1,1,3,,4,2
Calvin Ridley,TEN,WR,278,No,Yes,No,275,100,No,Yes,65,0.65,3,0.3636,52,0.52,910,150,68,1710,8,7,0.1346,0.0036,0.2327,0.7636,100,17.1,27,80,3.3091,9.1,-0.7521,0.08,17.5,2.8846,1.3077,36,192.7805,192.7805,0.3597,115,167,141,167,167,170,144,167,167,167,141,167,167,17,11,5,4,4,,6,1
Kyren Williams,LA,RB,275,No,No,Yes,178,2,Yes,Yes,2,1,1,0.0112,2,1,20,10,,10,,,,0.8539,0.0562,0.0899,2,5,,147.9,0.1124,10,2.767,,10,5,,2,7.5794,7.5794,0.0073,14,16,15,17,16,16,15,16,16,16,15,16,16,16,,,,2,,2,1
Trey Palmer,TB,WR,83,No,No,Yes,82,12,No,Yes,6,0.5,1,0.1463,5,0.4167,90,4,9,193,1,,,,0.2439,0.7561,12,16.0833,4,68.1,1.0976,7.5,-1.9654,0.0833,18,0.8,1.8,4,25.2321,25.2321,0.1446,9,14,11.5,14,14,14,11.5,14,14,14,11.5,14,14,15,,,,,,,
Tucker Kraft,GB,TE,228,No,No,No,203,31,No,Yes,26,0.8387,1,0.1527,22,0.7097,438,257,108,253,2,8,0.3636,0.0049,0.3153,0.1281,31,8.1613,4,121.4,2.1576,14.129,6.3002,0.0645,19.9091,11.6818,4.9091,16,52.8023,52.8023,0.136,55.8,77.8,66.8,77.8,88.8,80.8,69.8,77.8,77.8,77.8,66.8,88.8,77.8,17,3,1,1,2,0.5517,5,
Payne Durham,TB,TE,79,No,No,Yes,51,8,No,Yes,7,0.875,2,0.1569,7,0.875,71,22,7,75,,,,,0.2745,0.1569,8,9.375,,143.2,1.3922,8.875,0.4588,,10.1429,3.1429,1,3,14.9989,14.9989,0.1013,19.1,26.1,22.6,26.1,29.6,26.1,22.6,26.1,26.1,26.1,22.6,29.6,26.1,16,1,1,,2,0.5686,2,2
Will Shipley,PHI,RB,18,No,No,No,13,1,No,No,1,1,,0.0769,1,1,4,,,4,,,,0.6154,0.0769,0.3077,1,4,,83.3,0.3077,4,-2.6619,,4,,,,2.2753,2.2753,0.0556,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,13,,,,,,1,
Dontayvion Wicks,GB,WR,154,No,No,No,147,57,No,Yes,42,0.7368,5,0.3878,30,0.5263,326,90,40,743,8,5,0.1667,,0.3129,0.6735,57,13.0351,12,78.5,2.2177,5.7193,-2.9231,0.1404,10.8667,3,1.3333,18,107.0848,107.0848,0.3701,56.6,86.6,71.6,86.6,86.6,89.6,74.6,86.6,86.6,86.6,71.6,86.6,86.6,17,8,3,,4,0.0136,9,2
Dawson Knox,BUF,TE,130,No,Yes,No,117,16,No,Yes,14,0.875,1,0.1368,12,0.75,217,72,27,194,1,,,0.0085,0.4103,0.1197,16,12.125,3,116.7,1.8547,13.5625,4.4455,0.0625,18.0833,6,2.25,8,27.7542,27.7542,0.1231,21.7,33.7,27.7,33.7,39.7,36.7,30.7,33.7,33.7,33.7,27.7,39.7,33.7,16,1,,1,,0.4615,2,
Noah Brown,WAS,WR,134,No,No,No,133,41,No,No,32,0.7805,,0.3083,25,0.6098,300,37,20,479,3,,,,0.2256,0.7744,41,11.6829,5,73.2,2.2556,7.3171,-1.1436,0.0732,12,1.48,0.8,15,79.5763,79.5763,0.306,30,55,42.5,55,55,58,45.5,55,55,55,42.5,55,55,11,6,1,1,,,2,
Marcedes Lewis,CHI,TE,24,No,No,No,9,1,No,Yes,1,1,,0.1111,1,1,2,1,1,1,,,,,0.1111,,1,1,,79.2,0.2222,2,-3.7754,,2,1,1,1,2.7156,2.7156,0.0417,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,17,,,,,0.8889,,
Jalen Reagor,LAC,WR,36,No,No,No,36,5,No,No,3,0.6,,0.1389,3,0.6,76,5,,103,,,,,0.4444,0.5556,5,20.6,3,104.2,2.1111,15.2,4.5837,,25.3333,1.6667,,2,10.9696,10.9696,0.1389,6.6,9.6,8.1,9.6,9.6,9.6,7.1,8.6,8.6,8.6,7.1,9.6,8.6,8,1,1,2,,,,
Trey McBride,ARZ,TE,277,No,No,No,267,100,Yes,Yes,87,0.87,8,0.3745,79,0.79,870,334,134,745,4,10,0.1266,0.0037,0.5318,0.0749,100,7.45,3,102.1,3.2584,8.7,1.267,0.04,11.0127,4.2278,1.6962,49,180.5885,180.5885,0.361,93,172,132.5,172,211.5,175,135.5,172,172,172,132.5,211.5,172,16,9,4,1,1,0.3895,16,1
Patrick Taylor,SF,RB,51,No,No,No,35,3,Yes,Yes,1,0.3333,,0.0857,,,,,,4,1,,,0.9143,0.0286,0.0571,3,1.3333,,39.6,,,-6.1054,0.3333,,,,,4.6523,4.6523,0.0588,,,,,,,,,,,,,,9,,,,,,1,
Carson Steele,KC,RB,39,Yes,No,No,30,,No,Yes,,,,,,,,,,,,,,0.8333,0.0667,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,0.0333,,
John Bates,WAS,TE,87,No,No,Yes,48,5,Yes,Yes,5,1,,0.1042,5,1,61,35,6,26,,,,,0.0833,,5,5.2,,117.5,1.2708,12.2,5.3933,,12.2,7,1.2,2,7.5837,7.5837,0.0575,5.1,10.1,7.6,10.1,12.6,10.1,6.6,9.1,9.1,9.1,6.6,12.6,9.1,17,1,1,,,0.9167,1,
Drew Sample,CIN,TE,157,No,Yes,No,92,8,No,No,6,0.75,,0.087,6,0.75,39,21,6,24,,,,0.1848,0.1196,0.0761,8,3,,84.9,0.4239,4.875,-1.2573,,6.5,3.5,1,2,11.7393,11.7393,0.051,3.9,9.9,6.9,9.9,12.9,9.9,6.9,9.9,9.9,9.9,6.9,12.9,9.9,17,,,,,0.6196,1,
Alex Erickson,NE,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
Daniel Bellinger,NYG,TE,96,No,No,No,83,7,No,No,7,1,,0.0843,7,1,77,23,10,54,,,,0.012,0.4699,0.1205,7,7.7143,,112.5,0.9277,11,3.5994,,11,3.2857,1.4286,4,12.1364,12.1364,0.0729,7.7,14.7,11.2,14.7,18.2,14.7,11.2,14.7,14.7,14.7,11.2,18.2,14.7,17,1,1,,,0.3976,,
Devontez Walker,BLT,WR,6,No,No,No,6,2,No,Yes,2,1,1,0.3333,1,0.5,21,,,69,1,,,,,1,2,34.5,2,127.1,3.5,10.5,-1.5429,0.5,21,,,1,2.4357,2.4357,0.3333,8.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,7,,,,1,,,1
Austin Ekeler,WAS,RB,119,No,No,Yes,91,9,Yes,Yes,9,1,,0.0989,8,0.8889,104,89,39,16,1,2,0.25,0.6593,0.2747,0.044,9,1.7778,,114.8,1.1429,11.5556,5.2963,0.1111,13,11.125,4.875,5,13.3577,13.3577,0.0756,10.4,18.4,14.4,22.4,18.4,21.4,17.4,18.4,18.4,18.4,14.4,18.4,18.4,12,,,,,0.022,1,
Jaheim Bell,NE,TE,14,No,No,No,11,2,No,No,2,1,,0.1818,1,0.5,19,1,,25,1,,,0.0909,0.5455,0.0909,2,12.5,,83.3,1.7273,9.5,-0.6405,0.5,19,1,,1,3.473,3.473,0.1429,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,13,1,,,,0.2727,,
Chase Brown,CIN,RB,221,No,No,No,165,18,Yes,Yes,17,0.9444,1,0.1091,15,0.8333,120,70,24,79,,2,0.1333,0.8121,0.0848,0.0848,18,4.3889,1,113,0.7273,6.6667,-0.4643,,8,4.6667,1.6,7,31.767,31.767,0.0814,18,33,25.5,40.5,33,36,28.5,33,33,33,25.5,33,33,16,2,1,,1,0.0182,7,
Najee Harris,PIT,RB,110,No,Yes,No,83,5,No,No,5,1,,0.0602,3,0.6,25,16,12,11,2,,,0.9277,,0.0482,5,2.2,,72.9,0.3012,5,-1.4852,0.4,8.3333,5.3333,4,2,7.3236,7.3236,0.0455,2.5,5.5,4,7,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,17,,,,,0.0241,,
Tanner Hudson,CIN,TE,46,No,Yes,No,38,13,No,No,12,0.9231,,0.3421,10,0.7692,88,56,16,41,1,1,0.1,0.1053,0.4474,0.1842,13,3.1538,,94.4,2.3158,6.7692,0.6535,0.0769,8.8,5.6,1.6,4,19.8303,19.8303,0.2826,7.8,17.8,12.8,17.8,22.8,17.8,11.8,16.8,16.8,16.8,11.8,22.8,16.8,11,,,,,0.2632,2,
Curtis Samuel,BUF,WR,93,No,No,No,93,22,No,No,16,0.7273,1,0.2366,14,0.6364,118,51,18,111,,2,0.1429,0.0215,0.4516,0.5054,22,5.0455,1,58.5,1.2688,5.3636,-1.2154,,8.4286,3.6429,1.2857,5,39.3416,39.3416,0.2366,11.8,25.8,18.8,25.8,25.8,28.8,21.8,25.8,25.8,25.8,18.8,25.8,25.8,14,6,4,1,,0.0215,3,
Tyreik McAllister,LV,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Brandon Aiyuk,SF,WR,105,No,No,No,104,29,No,Yes,21,0.7241,1,0.2788,19,0.6552,298,78,51,316,1,3,0.1579,,0.1827,0.8173,29,10.8966,1,99.5,2.8654,10.2759,1.4372,0.0345,15.6842,4.1053,2.6842,15,56.1676,56.1676,0.2762,29.8,48.8,39.3,48.8,48.8,51.8,42.3,48.8,48.8,48.8,39.3,48.8,48.8,7,4,3,,,,4,
Allen Lazard,NYJ,WR,212,No,No,No,204,44,No,Yes,38,0.8636,4,0.2157,29,0.6591,396,104,45,467,3,1,0.0345,,0.4314,0.5686,44,10.6136,5,98.3,1.9412,9,0.8901,0.0682,13.6552,3.5862,1.5517,22,77.0845,77.0845,0.2075,57.6,86.6,72.1,86.6,86.6,89.6,75.1,86.6,86.6,86.6,72.1,86.6,86.6,12,12,7,1,3,,8,2
Kaden Davis,CLV,WR,4,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Andrei Iosivas,CIN,WR,309,No,Yes,No,305,38,No,No,32,0.8421,6,0.1246,19,0.5,256,35,9,458,8,1,0.0526,,0.5344,0.4656,38,12.0526,7,106.9,0.8393,6.7368,-1.614,0.2105,13.4737,1.8421,0.4737,15,77.3895,77.3895,0.123,49.6,68.6,59.1,68.6,68.6,71.6,62.1,68.6,68.6,68.6,59.1,68.6,68.6,17,10,3,2,4,,7,4
Jeremy Ruckert,NYJ,TE,93,No,No,No,72,12,No,Yes,10,0.8333,1,0.1667,7,0.5833,56,35,12,92,1,,,0.0417,0.4028,0.0833,12,7.6667,,70.1,0.7778,4.6667,-3.3316,0.0833,8,5,1.7143,4,18.621,18.621,0.129,5.6,12.6,9.1,12.6,16.1,12.6,9.1,12.6,12.6,12.6,9.1,16.1,12.6,17,3,1,,,0.4722,1,
Kalif Raymond,DET,WR,70,No,Yes,Yes,69,15,No,No,13,0.8667,,0.2174,11,0.7333,139,60,12,159,,1,0.0909,,0.4928,0.5072,15,10.6,3,141.4,2.0145,9.2667,1.0509,,12.6364,5.4545,1.0909,8,27.2281,27.2281,0.2143,25.9,36.9,31.4,36.9,36.9,39.9,34.4,36.9,36.9,36.9,31.4,36.9,36.9,12,1,,,2,,1,
Darnell Mooney,ATL,WR,282,No,No,Yes,282,84,Yes,Yes,62,0.7381,1,0.2979,50,0.5952,845,224,88,1154,5,9,0.18,0.0142,0.4184,0.5674,84,13.7381,17,103.5,2.9965,10.0595,0.9895,0.0595,16.9,4.48,1.76,39,161.4825,161.4825,0.2979,114.5,164.5,139.5,164.5,164.5,167.5,142.5,164.5,164.5,164.5,139.5,164.5,164.5,16,14,6,1,5,,5,
Ben Sinnott,WAS,TE,47,No,No,Yes,36,3,Yes,Yes,3,1,,0.0833,3,1,18,10,2,8,,,,0.0833,0.2222,0.1111,3,2.6667,,131.3,0.5,6,-0.269,,6,3.3333,0.6667,2,6.5256,6.5256,0.0638,7.8,10.8,9.3,10.8,12.3,10.8,9.3,10.8,10.8,10.8,9.3,12.3,10.8,17,,,,1,0.5833,1,
Stefon Diggs,HST,WR,119,No,No,No,118,44,No,No,38,0.8636,3,0.3729,34,0.7727,374,104,39,415,1,1,0.0294,0.0254,0.4915,0.4831,44,9.4318,3,115.2,3.1695,8.5,0.5754,0.0227,11,3.0588,1.1471,27,80.3957,80.3957,0.3697,55.4,89.4,72.4,89.4,89.4,92.4,75.4,89.4,89.4,89.4,72.4,89.4,89.4,8,5,2,,3,,4,2
Zay Jones,ARZ,WR,77,No,No,No,77,8,Yes,Yes,6,0.75,,0.1039,5,0.625,55,13,4,97,,,,,0.2078,0.7922,8,12.125,2,43.2,0.7143,6.875,-1.6583,,11,2.6,0.8,3,16.5593,16.5593,0.1039,5.5,10.5,8,10.5,10.5,10.5,8,10.5,10.5,10.5,8,10.5,10.5,11,1,,,,,,
Irv Smith,HST,TE,14,No,Yes,No,9,,No,Yes,,,,,,,,,,,,,,,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,0.7778,,
Joseph Fortson,KC,TE,10,No,Yes,Yes,10,1,Yes,Yes,1,1,,0.1,1,1,5,2,,3,,,,,0.4,0.5,1,3,,87.5,0.5,5,-1.3218,,5,2,,1,1.251,1.251,0.1,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,3,,,,,0.1,,
John FitzPatrick,GB,TE,12,No,No,No,7,,No,Yes,,,,,,,,,,,,,,,0.2857,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,0.5714,,
Sean Tucker,TB,RB,13,No,No,Yes,13,2,No,Yes,2,1,,0.1538,2,1,17,12,4,5,,,,1,,,2,2.5,,102.1,1.3077,8.5,2.048,,8.5,6,2,1,2.7782,2.7782,0.1538,1.7,3.7,2.7,4.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,17,,,,,,,
Ramel Keyton,LV,WR,9,No,No,No,8,2,No,Yes,1,0.5,,0.25,1,0.5,7,,,17,,,,,,1,2,8.5,,58.3,0.875,3.5,-3.7822,,7,,,1,3.0157,3.0157,0.2222,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,8,,,,,,,
Zach Pascal,ARZ,WR,7,No,No,No,7,,Yes,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
Xavier Gipson,NYJ,WR,62,No,No,No,61,5,No,Yes,3,0.6,1,0.082,2,0.4,12,4,3,51,1,,,,0.4098,0.5902,5,10.2,1,87.5,0.1967,2.4,-5.3704,0.2,6,2,1.5,2,12.6384,12.6384,0.0806,7.2,9.2,8.2,9.2,9.2,9.2,8.2,9.2,9.2,9.2,8.2,9.2,9.2,17,,,,1,,1,1
Cedrick Wilson,NO,WR,96,No,No,Yes,92,21,No,Yes,18,0.8571,,0.2283,15,0.7143,177,52,19,188,3,1,0.0667,,0.4783,0.5217,21,8.9524,1,92.8,1.9239,8.4286,0.6238,0.1429,11.8,3.4667,1.2667,7,34.7173,34.7173,0.2188,28.54,43.54,36.04,43.54,43.54,46.54,39.04,43.54,43.54,43.54,36.04,43.75,43.75,15,1,,,1,,1,
Tank Bigsby,JAX,RB,92,No,Yes,No,70,2,Yes,Yes,2,1,,0.0286,1,0.5,7,8,4,12,,1,1,0.9286,,0.0714,2,6,,58.3,0.1,3.5,-2.9333,,7,8,4,,2.8813,2.8813,0.0217,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,16,1,,,,,,
Mike Woods,CLV,WR,104,No,No,Yes,100,11,No,No,5,0.4545,,0.11,4,0.3636,55,27,15,114,,2,0.5,,0.2,0.77,11,10.3636,1,53.2,0.55,5,-3.1955,,13.75,6.75,3.75,4,28.3462,28.3462,0.1058,5.5,9.5,7.5,9.5,9.5,9.5,7.5,9.5,9.5,9.5,7.5,9.5,9.5,5,1,,,,0.03,2,
Jordan Addison,MIN,WR,236,No,Yes,Yes,236,62,No,No,45,0.7258,7,0.2627,41,0.6613,733,137,77,1104,,2,0.0488,0.0085,0.3051,0.6864,62,17.8065,23,125.3,3.1059,11.8226,1.9895,,17.878,3.3415,1.878,31,120.9226,120.9226,0.2627,109.3,150.3,129.8,150.3,150.3,153.3,132.8,150.3,150.3,150.3,129.8,150.3,150.3,15,5,2,2,6,,6,2
Tyler Lockett,SEA,WR,236,No,No,No,235,49,No,No,40,0.8163,5,0.2085,35,0.7143,433,84,7,593,2,4,0.1143,,0.3064,0.6936,49,12.102,8,103.5,1.8426,8.8367,0.3251,0.0408,12.3714,2.4,0.2,27,101.6592,101.6592,0.2076,55.3,90.3,72.8,90.3,90.3,93.3,75.8,90.3,90.3,90.3,72.8,90.3,90.3,17,6,3,2,2,,5,1
Keon Coleman,BUF,WR,144,No,No,No,142,42,No,No,29,0.6905,6,0.2958,20,0.4762,368,155,115,570,4,3,0.15,,0.1268,0.8732,42,13.5714,10,92.2,2.5915,8.7619,0.0303,0.0952,18.4,7.75,5.75,16,92.3327,92.3327,0.2917,54.8,74.8,64.8,74.8,74.8,77.8,67.8,74.8,74.8,74.8,64.8,74.8,74.8,13,10,4,3,3,,9,1
Lil'Jordan Humphrey,DEN,WR,123,Yes,No,No,113,20,No,Yes,15,0.75,2,0.177,13,0.65,155,76,20,149,2,3,0.2308,,0.6372,0.354,20,7.45,1,84.4,1.3717,7.75,0.526,0.1,11.9231,5.8462,1.5385,7,35.9213,35.9213,0.1626,21.5,34.5,28,34.5,34.5,37.5,31,34.5,34.5,34.5,28,34.5,34.5,17,,,,1,0.0088,4,
Xavier Smith,LA,WR,5,No,No,No,5,1,No,No,1,1,,0.2,1,1,11,6,3,5,,,,,0.8,0.2,1,5,,112.5,2.2,11,4.6372,,11,6,3,1,1.5535,1.5535,0.2,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,15,,,,,,,
