Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsContestedTotal,AlignmentSlotRoutesPercentage,DeepTargetTargetsTotal,TargetsInEndzone,ReceptionsContested,DropsTotal,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,TouchdownsTotal,TouchdownsInEndzone,ReceptionsHero
Brycen Tremayne,WAS,WR,4,No,No,No,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
Chris Blair,ATL,WR,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,
Olamide Zaccheaus,WAS,WR,43,Yes,Yes,No,42,10,No,No,9,0.9,0.2381,8,0.8,90,52,11,61,1,0.125,0.0238,6.1,104.2,2.1429,9,2.0592,11.25,6.5,1.375,5,20.5488,20.5488,0.2326,9,17,13,17,17,17,13,17,17,17,13,17,17,2,17,0.4524,1,0.5238,,,1,1,,0.1,,,
Chris Rodriguez Jr.,WAS,RB,3,Yes,Yes,No,3,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
Bo Melton,GB,WR,4,No,No,Yes,4,2,No,Yes,2,1,0.5,2,1,25,2,1,23,,,,11.5,118.8,6.25,12.5,3.8691,12.5,1,0.5,1,3.7566,3.7566,0.5,2.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,,17,0.5,1,0.5,,,1,,,,,,
Irvin Charles,NYJ,WR,1,Yes,Yes,No,1,1,No,Yes,,,1,,,,,,12,,,,12,39.6,,,-9.0461,,,,,3.1286,3.1286,1,,,,,,,,,,,,,,1,10,1,,,,1,,,,,,,
Alec Pierce,IND,WR,51,No,No,No,50,7,Yes,Yes,6,0.8571,0.14,6,0.8571,66,18,6,71,1,0.1667,,10.1429,145.5,1.32,9.4286,1.2177,11,3,1,5,18.076,18.076,0.1373,12.6,18.6,15.6,18.6,18.6,18.6,15.6,18.6,18.6,18.6,15.6,18.6,18.6,1,16,0.88,,0.12,,1,,,,,1,1,1
Drake London,ATL,WR,88,No,No,No,87,20,Yes,Yes,12,0.6,0.2299,9,0.45,156,28,18,274,1,0.1111,,13.7,32.5,1.7931,7.8,-1.5224,17.3333,3.1111,2,6,40.3729,40.3729,0.2273,15.6,24.6,20.1,24.6,24.6,27.6,23.1,24.6,24.6,24.6,20.1,24.6,24.6,1,17,0.6437,3,0.3563,3,1,1,1,,0.05,,,
Jalen Tolbert,DAL,WR,71,Yes,Yes,No,71,13,No,No,8,0.6154,0.1831,6,0.4615,95,31,12,166,,,,12.7692,110.6,1.338,7.3077,-1.4176,15.8333,5.1667,2,5,27.2762,27.2762,0.1831,21.5,27.5,24.5,27.5,27.5,27.5,24.5,27.5,27.5,27.5,24.5,27.5,27.5,4,17,0.7324,1,0.2676,3,3,1,2,,0.1538,2,2,1
Mike Boone,CAR,RB,3,No,No,No,2,1,Yes,Yes,1,1,0.5,1,1,-2,2,,-4,,,1,-4,79.2,-1,-2,-7.5699,-2,2,,,1.4507,1.4507,0.3333,-0.2,0.8,0.3,1.3,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,5,,,,,,,,,,,,
