Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,ReceptionsContested,AlignmentBackfieldRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Nico Collins,HST,WR,19,No,No,No,19,10,No,No,9,0.9,0.5263,9,0.9,146,22,13,152,,0.2632,15.2,158.3,7.6842,14.6,4.5187,16.2222,2.4444,1.4444,9,22.4578,22.4578,0.5263,26.6,35.6,31.1,35.6,35.6,38.6,34.1,35.6,35.6,35.6,31.1,35.6,35.6,12,0.7368,2,1,2,2,1,2,,,,,,1,0.1111
Jerry Jeudy,CLV,WR,38,No,No,No,37,13,No,Yes,12,0.9231,0.3514,8,0.6154,139,12,5,193,,0.3243,14.8462,123.6,3.7568,10.6923,1.2782,17.375,1.5,0.625,7,24.8892,24.8892,0.3421,19.9,27.9,23.9,27.9,27.9,30.9,26.9,27.9,27.9,27.9,23.9,27.9,27.9,17,0.6757,2,1,1,,4,2,2,1,,2,0.1538,2,0.25
Jake Ferguson,DAL,TE,14,No,Yes,Yes,13,2,No,No,2,1,0.1538,2,1,9,10,2,-1,0.4615,0.4615,-0.5,85.4,0.6923,4.5,-1.8291,4.5,5,1,1,2.7716,2.7716,0.1429,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,14,0.0769,,,,,,,,,,,,,
Davante Adams,NYJ,WR,27,No,Yes,No,27,7,No,Yes,6,0.8571,0.2593,5,0.7143,94,36,2,84,,0.4815,12,153.3,3.4815,13.4286,5.3946,18.8,7.2,0.4,4,15.0814,15.0814,0.2593,15.4,20.4,17.9,20.4,20.4,20.4,17.9,20.4,20.4,20.4,17.9,20.4,20.4,14,0.5185,2,1,1,1,1,2,2,1,,,,,
Marquez Valdes-Scantling,NO,WR,20,No,Yes,Yes,20,5,No,No,,,0.25,,,,,,86,,0.3,17.2,39.6,,,-10.2334,,,,,8.3768,8.3768,0.25,,,,,,,,,,,,,,14,0.7,,,,,2,,,,,,,,
Connor Heyward,PIT,TE,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.5,,,,,,,,,,,,,
Adonai Mitchell,IND,WR,5,No,Yes,No,5,1,No,Yes,,,0.2,,,,,,38,,0.6,38,39.6,,,-11.7164,,,,,1.2875,1.2875,0.2,,,,,,,,,,,,,,17,0.4,,,,,1,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,9,No,No,No,9,2,No,No,1,0.5,0.2222,1,0.5,4,,,20,,,10,95.8,0.4444,2,-6.2784,4,,,1,3.761,3.761,0.2222,6.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,17,1,1,,1,1,,1,,,,,,,
Jake Bobo,SEA,WR,3,No,No,No,3,1,No,No,1,1,0.3333,,,,,,13,,,13,39.6,,,-8.9145,,,,,1.8574,1.8574,0.3333,,,,,,,,,,,,,,17,1,,,,,,,,,,1,1,,
Brevyn Spann-Ford,DAL,TE,2,No,Yes,Yes,2,1,No,No,1,1,0.5,,,,,,15,1,,15,39.6,,,-10.6391,,,,,1.2477,1.2477,0.5,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Parris Campbell,PHI,WR,3,No,No,No,3,,No,No,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.3333,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,23,No,Yes,No,20,4,Yes,Yes,2,0.5,0.2,2,0.5,17,5,4,66,,0.1,16.5,61.5,0.85,4.25,-10.55,8.5,2.5,2,1,7.7997,7.7997,0.1739,1.7,3.7,2.7,4.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,16,0.1,,,,,1,1,,,0.8,,,2,1
Evan Engram,JAX,TE,12,No,Yes,Yes,12,4,No,Yes,3,0.75,0.3333,3,0.75,25,6,4,22,0.25,0.4167,5.5,90.6,2.0833,6.25,-1.1753,8.3333,2,1.3333,1,5.4364,5.4364,0.3333,2.5,5.5,4,5.5,7,5.5,4,5.5,5.5,5.5,4,7,5.5,9,0.3333,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,5,No,No,No,5,1,No,Yes,,,0.2,,,,,,7,,0.8,7,39.6,,,-7.0645,,,,,1.4683,1.4683,0.2,,,,,,,,,,,,,,9,0.2,,,,,,,,,,,,,
Will Dissly,LAC,TE,7,No,Yes,No,7,2,No,Yes,1,0.5,0.2857,1,0.5,1,1,1,12,0.2857,,6,56.3,0.1429,0.5,-6.4775,1,1,1,,3.2388,3.2388,0.2857,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,15,0.7143,,,,,,,,,,,,,
KhaDarel Hodge,ATL,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,,,
Miles Sanders,CAR,RB,6,No,Yes,No,6,2,No,Yes,1,0.5,0.3333,1,0.5,27,4,,36,,0.3333,18,95.8,4.5,13.5,3.8836,27,4,,1,2.8125,2.8125,0.3333,2.7,3.7,3.2,4.2,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,11,0.3333,,,,,1,,,,0.3333,,,,
Charlie Jones,CIN,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
Jonathan Mingo,DAL,WR,8,No,Yes,Yes,8,2,No,No,1,0.5,0.25,1,0.5,35,15,2,36,,0.125,18,95.8,4.375,17.5,7.0198,35,15,2,1,3.3238,3.3238,0.25,3.5,4.5,4,4.5,4.5,4.5,4,4.5,4.5,4.5,4,4.5,4.5,17,0.75,,,,,1,,,,0.125,,,,
Cooper Kupp,LA,WR,9,No,Yes,Yes,9,2,No,No,2,1,0.2222,1,0.5,7,,,19,,0.6667,9.5,97.9,0.7778,3.5,-4.7297,7,,,1,3.9034,3.9034,0.2222,6.7,7.7,7.2,7.7,7.7,7.7,7.2,7.7,7.7,7.7,7.2,7.7,7.7,12,0.3333,1,,1,1,,1,1,,,,,,
Tommy Tremble,CAR,TE,6,No,Yes,No,5,1,No,Yes,1,1,0.2,1,1,38,19,5,19,0.4,0.2,19,118.8,7.6,38,27.4045,38,19,5,1,1.65,1.65,0.1667,3.8,4.8,4.3,4.8,5.3,4.8,4.3,4.8,4.8,4.8,4.3,5.3,4.8,12,0.4,,,,,,,,,,,,,
Adam Trautman,DEN,TE,16,No,No,Yes,10,2,No,Yes,1,0.5,0.2,1,0.5,5,3,1,4,0.7,0.1,2,56.3,0.5,2.5,-3.8701,5,3,1,,3.9131,3.9131,0.125,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,17,0.2,,,,,,1,,,,,,,
Ja'Marr Chase,CIN,WR,41,No,Yes,No,41,11,No,No,9,0.8182,0.2683,8,0.7273,192,78,16,183,,0.3171,16.6364,116.5,4.6829,17.4545,7.3083,24,9.75,2,8,21.0416,21.0416,0.2683,31.2,39.2,35.2,39.2,39.2,42.2,38.2,39.2,39.2,39.2,35.2,39.2,39.2,17,0.6585,2,,2,2,4,2,1,1,0.0244,1,0.0909,,
D'Andre Swift,CHI,RB,15,No,Yes,No,12,3,No,Yes,3,1,0.25,2,0.6667,38,10,3,32,,,10.6667,109.7,3.1667,12.6667,4.1019,19,5,1.5,1,4.3651,4.3651,0.2,3.8,5.8,4.8,6.8,5.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,17,0.1667,,,,,1,,,,0.8333,1,0.3333,,
Ben Sims,GB,TE,2,No,Yes,No,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
DeAndre Carter,CHI,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,
Kayshon Boutte,NE,WR,18,No,Yes,No,17,6,No,No,3,0.5,0.3529,3,0.5,80,19,-1,126,,0.3529,21,135.4,4.7059,13.3333,2.1932,26.6667,6.3333,-0.3333,3,15.3577,15.3577,0.3333,14,17,15.5,17,17,17,15.5,17,17,17,15.5,17,17,15,0.6471,1,,1,,3,1,1,1,,,,,
Hunter Long,LA,TE,1,No,No,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Chris Brooks,GB,RB,3,No,Yes,No,2,1,No,Yes,1,1,0.5,1,1,13,11,3,2,,,2,118.8,6.5,13,6.6053,13,11,3,1,1.3398,1.3398,0.3333,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,13,,,,,,,,,,1,,,,
Christian Watson,GB,WR,13,No,Yes,No,13,3,No,Yes,2,0.6667,0.2308,2,0.6667,59,2,2,66,,0.3846,22,109.7,4.5385,19.6667,9.1667,29.5,1,1,2,8.5329,8.5329,0.2308,5.9,7.9,6.9,7.9,7.9,7.9,6.9,7.9,7.9,7.9,6.9,7.9,7.9,15,0.6154,,1,,,1,,1,1,,,,,
George Holani,SEA,RB,1,No,Yes,No,1,1,No,Yes,1,1,1,1,1,-1,1,,-2,,,-2,79.2,-1,-1,-7.198,-1,1,,,1.4274,1.4274,1,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,3,,,,,,,,,,1,,,,
Jonathon Brooks,CAR,RB,2,No,Yes,No,1,1,No,Yes,1,1,1,1,1,18,24,3,-6,,,-6,118.8,18,18,12.9107,18,24,3,1,1.4167,1.4167,0.5,1.8,2.8,2.3,3.3,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,3,,,,,,,,,,1,,,2,2
Dallin Holker,NO,TE,1,No,Yes,Yes,1,1,No,No,,,1,,,,,,30,,1,30,39.6,,,-13.2292,,,,,3.5705,3.5705,1,,,,,,,,,,,,,,12,,,,,,1,,,,,,,,
Justice Hill,BLT,RB,26,No,No,No,19,1,Yes,Yes,1,1,0.0526,1,1,22,23,,-1,,0.0526,-1,118.8,1.1579,22,16.181,22,23,,1,1.6739,1.6739,0.0385,2.2,3.2,2.7,3.7,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,16,0.0526,,,,,,,,,0.8947,,,,
Sincere McCormick,LV,RB,2,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,
K.J. Osborn,WAS,WR,5,No,No,No,5,,No,No,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.6,,,,,,,,,,,,,
Tyler Conklin,NYJ,TE,30,No,Yes,No,27,6,No,Yes,5,0.8333,0.2222,4,0.6667,65,10,4,70,0.3333,0.5926,11.6667,142.4,2.4074,10.8333,1.8022,16.25,2.5,1,4,12.0409,12.0409,0.2,12.5,16.5,14.5,16.5,18.5,16.5,14.5,16.5,16.5,16.5,14.5,18.5,16.5,16,0.0741,1,,1,1,,1,1,,,,,,
James Conner,ARZ,RB,10,No,Yes,Yes,8,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.125,,,,,,,,,0.875,,,,
Jonathan Taylor,IND,RB,6,No,Yes,No,5,1,No,Yes,1,1,0.2,,,,,,3,,,3,39.6,,,-6.5094,,,,,1.5582,1.5582,0.1667,,,,,,,,,,,,,,14,,,,,,,,,,1,1,1,,
Troy Franklin,DEN,WR,17,No,No,Yes,17,3,No,Yes,1,0.3333,0.1765,1,0.3333,29,,,102,,0.5882,34,70.1,1.7059,9.6667,-2.552,29,,,1,6.3116,6.3116,0.1765,2.9,3.9,3.4,3.9,3.9,3.9,3.4,3.9,3.9,3.9,3.4,3.9,3.9,16,0.4118,,,,,3,,,,,,,,
Javon Baker,NE,WR,3,No,Yes,No,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,
Tyler Goodson,IND,RB,5,No,Yes,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,1,,,,
Jordan Mason,SF,RB,8,No,Yes,No,7,1,No,No,,,0.1429,,,,,,,0.1429,0.1429,,39.6,,,-5.8271,,,,,1.4339,1.4339,0.125,,,,,,,,,,,,,,12,0.1429,,,,,,,,,0.5714,,,,
Tre Tucker,LV,WR,29,No,Yes,No,29,4,No,Yes,4,1,0.1379,4,1,64,31,6,45,,0.2414,11.25,158.3,2.2069,16,7.5613,16,7.75,1.5,4,11.4618,11.4618,0.1379,18.4,22.4,20.4,22.4,22.4,22.4,20.4,22.4,22.4,22.4,20.4,22.4,22.4,17,0.7586,2,1,2,2,1,3,1,1,,,,,
Tim Jones,JAX,WR,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Michael Pittman,IND,WR,15,No,Yes,No,15,3,No,Yes,1,0.3333,0.2,1,0.3333,13,-1,,58,,0.2,19.3333,47.9,0.8667,4.3333,-6.1084,13,-1,,1,5.6152,5.6152,0.2,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,16,0.8,,,,,1,,,,,,,,
Malik Washington,MIA,WR,5,No,Yes,No,5,1,No,Yes,1,1,0.2,1,1,20,4,1,16,,0.6,16,118.8,4,20,9.9048,20,4,1,1,1.9019,1.9019,0.2,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,14,0.4,,,,,,,,,,,,,
Greg Dortch,ARZ,WR,11,No,Yes,No,11,4,No,No,1,0.25,0.3636,1,0.25,7,,,61,,0.6364,15.25,39.6,0.6364,1.75,-7.4824,7,,,1,6.1316,6.1316,0.3636,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,17,0.3636,,,,,2,,1,,,,,,
Terrell Jennings,NE,RB,3,No,Yes,No,3,1,No,No,,,0.3333,,,,,,28,,,28,39.6,,,-8,,,,,2.9678,2.9678,0.3333,,,,,,,,,,,,,,2,,,,,,1,,,,1,,,,
Tip Reiman,ARZ,TE,5,No,Yes,No,3,1,No,No,,,0.3333,,,,,,4,0.3333,,4,39.6,,,-6.0667,,,,,1.3418,1.3418,0.2,,,,,,,,,,,,,,17,0.6667,,,,,,,,,,,,,
Javonte Williams,DEN,RB,22,No,No,Yes,16,5,No,Yes,3,0.6,0.3125,2,0.4,39,29,3,43,0.0625,,8.6,67.9,2.4375,7.8,1.265,19.5,14.5,1.5,1,8.4745,8.4745,0.2273,3.9,5.9,4.9,6.9,5.9,5.9,4.9,5.9,5.9,5.9,4.9,5.9,5.9,17,,,,,,,1,,,0.9375,,,,
JaMycal Hasty,NE,RB,1,Yes,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,1,,,,
Courtland Sutton,DEN,WR,34,No,No,Yes,34,6,No,Yes,4,0.6667,0.1765,3,0.5,38,6,4,77,,0.1765,12.8333,70.1,1.1176,6.3333,-3.2166,12.6667,2,1.3333,2,12.0941,12.0941,0.1765,3.8,6.8,5.3,6.8,6.8,6.8,5.3,6.8,6.8,6.8,5.3,6.8,6.8,17,0.8235,2,,,,1,2,3,2,,,,,
DJ Chark,LAC,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,
Darnell Washington,PIT,TE,13,No,Yes,No,10,1,No,No,,,0.1,,,,,,11,0.6,0.3,11,,,,-8.7402,,,,,2.9847,2.9847,0.0769,,,,,,,,,,,,,,17,0.1,1,,,,,1,,,,,,,
Zach Ertz,WAS,TE,17,No,Yes,Yes,17,5,No,No,1,0.2,0.2941,1,0.2,9,,,79,0.3529,0.6471,15.8,,0.5294,1.8,-5.4945,9,,,,7.1803,7.1803,0.2941,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,17,,,,,,1,,,,,,,,
Davis Allen,LA,TE,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
Hunter Henry,NE,TE,27,Yes,Yes,No,25,9,No,Yes,7,0.7778,0.36,6,0.6667,86,42,4,78,0.4,0.56,8.6667,97.5,3.44,9.5556,2.0651,14.3333,7,0.6667,4,17.0552,17.0552,0.3333,8.6,14.6,11.6,14.6,17.6,14.6,11.6,14.6,14.6,14.6,11.6,17.6,14.6,16,0.04,,,,,1,1,,,,1,0.1111,,
Dalton Kincaid,BUF,TE,34,No,Yes,No,33,8,No,Yes,6,0.75,0.2424,4,0.5,36,8,5,106,0.1515,0.697,13.25,102.1,1.0909,4.5,-4.8213,9,2,1.25,3,19.1192,19.1192,0.2353,15.6,19.6,17.6,19.6,21.6,19.6,17.6,19.6,19.6,19.6,17.6,21.6,19.6,13,0.1515,2,,2,1,1,3,1,,,1,0.125,1,0.25
Nelson Agholor,BLT,WR,19,No,No,No,19,,No,No,,,,,,,,,,,0.6316,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.3684,,,,,,,,,,,,,
Jakobi Meyers,LV,WR,27,No,Yes,No,27,4,No,Yes,2,0.5,0.1481,2,0.5,29,-1,,49,,0.2963,12.25,74,1.0741,7.25,-1.5382,14.5,-0.5,,1,6.134,6.134,0.1481,2.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,15,0.7037,,1,,,1,,,,,,,,
Jahmyr Gibbs,DET,RB,7,No,Yes,Yes,7,2,No,No,1,0.5,0.2857,1,0.5,15,11,3,22,,0.1429,11,75,2.1429,7.5,-0.437,15,11,3,1,3.7808,3.7808,0.2857,1.5,2.5,2,3,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,17,0.2857,,,,,,,,,0.5714,,,,
D.J. Turner,LV,WR,13,No,No,No,13,2,Yes,Yes,1,0.5,0.1538,,,,,,34,,0.7692,17,,,,-10.261,,,,,3.8039,3.8039,0.1538,,,,,,,,,,,,,,12,0.2308,,,,,1,1,,,,,,,
Gabe Davis,JAX,WR,8,No,No,No,8,1,No,No,1,1,0.125,1,1,21,,,21,,0.25,21,158.3,2.625,21,9.7607,21,,,1,2.1,2.1,0.125,8.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,10,0.75,1,,1,1,1,,,,,,,,
Zay Flowers,BLT,WR,36,No,No,No,36,14,No,Yes,5,0.3571,0.3889,4,0.2857,93,11,9,310,,0.3889,22.1429,78.6,2.5833,6.6429,-4.6967,23.25,2.75,2.25,4,36.773,36.773,0.3889,15.3,19.3,17.3,19.3,19.3,19.3,17.3,19.3,19.3,19.3,17.3,19.3,19.3,17,0.6111,6,1,1,1,6,4,,,,1,0.0714,2,0.5
Odell Beckham,MIA,WR,8,Yes,Yes,No,8,2,Yes,Yes,1,0.5,0.25,1,0.5,11,1,,44,,0.625,22,66.7,1.375,5.5,-5.25,11,1,,1,3.0364,3.0364,0.25,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,9,0.375,1,,,,1,,,,,,,,
Michael Wilson,ARZ,WR,19,No,Yes,Yes,19,4,No,No,1,0.25,0.2105,1,0.25,6,,,109,,0.5263,27.25,39.6,0.3158,1.5,-9.8713,6,,,1,10.4938,10.4938,0.2105,6.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,16,0.4737,2,,1,1,3,1,,,,,,,
River Cracraft,MIA,WR,3,No,Yes,No,3,,No,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.6667,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,17,No,No,No,16,2,No,No,1,0.5,0.125,1,0.5,11,,,29,,0.3125,14.5,66.7,0.6875,5.5,-4.1071,11,,,1,3.3496,3.3496,0.1176,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,16,0.6875,,1,,,,,,,,,,,
Simi Fehoko,LAC,WR,2,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,
Ezekiel Elliott,DAL,RB,2,No,Yes,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.5,,,,,,,,,0.5,,,,
Stone Smartt,LAC,TE,5,No,Yes,No,5,1,No,Yes,,,0.2,,,,,,16,0.4,0.4,16,39.6,,,-10.191,,,,,1.4368,1.4368,0.2,,,,,,,,,,,,,,14,0.2,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,9,No,Yes,Yes,9,2,No,No,,,0.2222,,,,,,28,0.3333,0.2222,14,,,,-10.1356,,,,,4.6525,4.6525,0.2222,,,,,,,,,,,,,,10,0.4444,1,,,,1,1,,,,,,,
Tim Patrick,DET,WR,8,No,Yes,Yes,8,3,No,No,3,1,0.375,3,1,49,26,3,23,,0.625,7.6667,158.3,6.125,16.3333,9.2431,16.3333,8.6667,1,3,5.1146,5.1146,0.375,10.9,13.9,12.4,13.9,13.9,13.9,12.4,13.9,13.9,13.9,12.4,13.9,13.9,16,0.375,,,1,,,1,,,,,,1,0.3333
Josh Reynolds,JAX,WR,4,No,Yes,No,4,1,No,Yes,,,0.25,,,,,,15,,,15,39.6,,,-10.4097,,,,,1.8304,1.8304,0.25,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,
Noah Gray,KC,TE,12,No,No,Yes,11,3,No,Yes,2,0.6667,0.2727,2,0.6667,23,5,,31,0.4545,0.3636,10.3333,50,2.0909,7.6667,-1.1044,11.5,2.5,,2,8.4517,8.4517,0.25,2.3,4.3,3.3,4.3,5.3,4.3,3.3,4.3,4.3,4.3,3.3,5.3,4.3,17,0.1818,,,,,,,,,,,,,
Brian Thomas,JAX,WR,21,No,Yes,No,21,4,No,Yes,4,1,0.1905,4,1,60,19,4,41,,0.2381,10.25,118.8,2.8571,15,6.6471,15,4.75,1,3,9.0957,9.0957,0.1905,6,10,8,10,10,10,8,10,10,10,8,10,10,17,0.7619,,,,,,1,,,,,,,
DeAndre Hopkins,KC,WR,15,No,Yes,No,15,3,No,Yes,2,0.6667,0.2,1,0.3333,3,,,35,,0.4,11.6667,81.9,0.2,1,-7.9888,3,,,1,8.3253,8.3253,0.2,6.3,7.3,6.8,7.3,7.3,7.3,6.8,7.3,7.3,7.3,6.8,7.3,7.3,16,0.6,2,,1,1,,2,,,,1,0.3333,,
Devin Culp,TB,TE,1,No,Yes,Yes,1,1,No,No,1,1,1,1,1,16,5,5,11,,1,11,118.8,16,16,7.2598,16,5,5,1,1.572,1.572,1,1.6,2.6,2.1,2.6,3.1,2.6,2.1,2.6,2.6,2.6,2.1,3.1,2.6,5,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,8,No,Yes,No,7,1,No,Yes,1,1,0.1429,1,1,2,,,11,,0.2857,11,118.8,0.2857,2,-5.2558,2,,,1,3.8919,3.8919,0.125,6.2,7.2,6.7,7.7,7.2,7.2,6.7,7.2,7.2,7.2,6.7,7.2,7.2,17,0.2857,1,1,1,1,,1,,,0.4286,,,,
Michael Mayer,LV,TE,12,No,Yes,No,11,3,No,Yes,2,0.6667,0.2727,1,0.3333,9,,,45,0.6364,0.3636,15,42.4,0.8182,3,-4.9887,9,,,,5.3503,5.3503,0.25,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,11,,,,,,1,1,1,,,,,,
Marvin Harrison,ARZ,WR,21,No,Yes,No,21,5,No,No,4,0.8,0.2381,3,0.6,68,4,4,111,,0.0952,22.2,104.2,3.2381,13.6,3.2533,22.6667,1.3333,1.3333,3,13.4576,13.4576,0.2381,12.8,15.8,14.3,15.8,15.8,15.8,14.3,15.8,15.8,15.8,14.3,15.8,15.8,17,0.9048,1,,1,1,4,1,1,1,,1,0.2,,
Mo Alie-Cox,IND,TE,5,No,Yes,No,5,2,No,Yes,,,0.4,,,,,,28,0.8,,14,39.6,,,-8.7612,,,,,4.2697,4.2697,0.4,,,,,,,,,,,,,,17,0.2,1,,,,1,1,,,,,,,
Austin Hooper,NE,TE,10,No,Yes,No,9,1,No,No,1,1,0.1111,1,1,38,3,1,35,0.4444,0.3333,35,158.3,4.2222,38,38,38,3,1,1,5.5426,5.5426,0.1,9.8,10.8,10.3,10.8,11.3,10.8,10.3,10.8,10.8,10.8,10.3,11.3,10.8,17,0.2222,,,1,,1,,,,,,,,
Justin Watson,KC,WR,21,No,No,Yes,21,3,No,Yes,2,0.6667,0.1429,2,0.6667,19,-1,,44,0.0476,0.1905,14.6667,84,0.9048,6.3333,-3.1718,9.5,-0.5,,1,6.4841,6.4841,0.1429,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,17,0.7619,,,,,1,1,,,,,,,
Rashee Rice,KC,WR,3,No,No,No,3,,No,No,,,,,,,,,,,0.3333,,,,,,,,,,1.459,1.459,,,,,,,,,,,,,,,4,0.6667,,,,,,,,,,,,,
Britain Covey,PHI,WR,2,No,No,No,2,1,No,No,1,1,0.5,1,1,9,,,9,,1,9,104.2,4.5,9,1.5461,9,,,1,1.3842,1.3842,0.5,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,5,,,,,,,,1,1,,,,,
Jaylen Wright,MIA,RB,3,No,Yes,No,3,,No,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,0.6667,,,,
