Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TouchdownsTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
KhaDarel Hodge,ATL,WR,9,Yes,No,No,7,1,No,,Yes,1,1,,0.1429,1,,1,7,3,,4,,,,0.4286,0.5714,,,,4,95.8,1,7,0.9502,7,3,,,1.4181,1.4181,0.1111,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,11,,,,,,,
Pat Bryant,DEN,WR,98,Yes,No,No,86,20,No,2,Yes,15,0.75,,0.2326,15,2,0.75,125,61,28,94,3,0.2,,0.6512,0.3488,16,1,0.05,4.7,69.8,1.4535,6.25,-0.0978,8.3333,4.0667,1.8667,11,28.6508,28.6508,0.2247,12.5,27.5,20,27.5,27.5,30.5,23,27.5,27.5,27.5,20,27.5,27.5,1,15,,,,,,,
Marquez Valdes-Scantling,PIT,WR,61,No,Yes,No,53,5,No,4,No,5,1,,0.0943,4,3,0.8,34,9,2,29,,,,0.1887,0.8113,5,1,0.2,5.8,95,0.6415,6.8,-0.2296,8.5,2.25,0.5,2,7.5842,7.5842,0.0877,3.4,7.4,5.4,7.4,7.4,7.4,5.4,7.4,7.4,7.4,5.4,7.4,7.4,1,10,,,,,,,
Jake Bobo,SEA,WR,14,No,No,No,10,,Yes,,Yes,,,,,,,,,,,,,,,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
Brevyn Spann-Ford,DAL,TE,33,Yes,No,No,24,3,No,,Yes,3,1,,0.125,3,,1,14,4,1,10,,,0.75,0.2083,0.0417,1,,,3.3333,86.1,0.5833,4.6667,-1.8178,4.6667,1.3333,0.3333,,5.1659,5.1659,0.1034,1.4,4.4,2.9,4.4,5.9,4.4,2.9,4.4,4.4,4.4,2.9,5.9,4.4,1,17,,,,,,,
Tyler Higbee,LA,TE,54,No,No,No,37,7,No,2,Yes,4,0.5714,1,0.1892,3,,0.4286,16,20,6,25,,,0.5135,0.2703,0.2162,4,1,0.1429,3.5714,50.3,0.4324,2.2857,-4.3017,5.3333,6.6667,2,1,12.4108,12.4108,0.1321,1.6,4.6,3.1,4.6,6.1,4.6,3.1,4.6,4.6,4.6,3.1,6.1,4.6,2,10,,1,,0.1429,,,
Connor Heyward,PIT,TE,6,No,Yes,No,3,1,No,,No,1,1,1,0.3333,,,,,,,17,,,,,,1,,,17,39.6,,,-11.6807,,,,,2.9767,2.9767,0.1667,,,,,,,,,,,,,,1,16,,1,1,1,,,
Dylan Sampson,CLV,RB,51,No,No,Yes,43,16,Yes,,Yes,15,0.9375,1,0.3721,15,,0.9375,83,113,21,-23,,,0.0233,0.0698,0.1395,6,3,0.1875,-1.4375,109.1,1.9302,5.1875,-0.6649,5.5333,7.5333,1.4,2,24.8279,24.8279,0.3333,14.3,29.3,21.8,36.8,29.3,29.3,21.8,29.3,29.3,29.3,21.8,29.3,29.3,3,15,1,,0.7674,,1,,
Jawhar Jordan,HST,RB,11,No,No,Yes,5,2,No,,Yes,2,1,,0.4,2,,1,17,14,2,3,1,0.5,,,0.4,1,,,1.5,102.1,3.4,8.5,1.5861,8.5,7,1,1,2.9674,2.9674,0.2,1.7,3.7,2.7,4.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,,4,,,0.6,,,,
Adonai Mitchell,NYJ,WR,96,Yes,No,No,87,27,No,6,Yes,19,0.7037,3,0.3103,16,4,0.5926,149,18,,209,1,0.0625,,0.2299,0.7701,24,1,0.037,7.7407,71.4,1.7126,5.5185,-1.8196,9.3125,1.125,,7,44.1388,44.1388,0.2935,20.9,36.9,28.9,36.9,36.9,39.9,31.9,36.9,36.9,36.9,28.9,36.9,36.9,4,16,1,2,,0.0741,1,,
