Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsInEndzone,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TouchdownsInEndzone,ReceptionsHero
Andrei Iosivas,CIN,WR,130,No,No,No,124,23,No,No,1,0.1855,151,0.5726,0.4274,11,6.5652,,70,-1.9384,36.9584,36.9584,0.184,3,17,5,21,0.913,14,1,0.6087,115,27,18,1,3,0.2143,0.9274,5,8.2143,1.9286,1.2857,7,17.5,31.5,24.5,31.5,31.5,34.5,27.5,31.5,31.5,31.5,24.5,31.5,31.5,4,,0.1739,,,,1,
Dallas Goedert,PHI,TE,46,No,No,No,43,14,Yes,Yes,,0.3256,74,0.6047,0.1163,8,5.2857,,120.2,-2.4546,25.7578,25.7578,0.3256,3,15,2,12,0.8571,10,1,0.7143,64,29,5,3,,,1.4884,4.5714,6.4,2.9,0.5,5,24.4,34.4,29.4,34.4,39.4,34.4,29.4,34.4,34.4,34.4,29.4,39.4,34.4,1,,0.0714,0.2791,3,0.2143,,
Arian Smith,NYJ,WR,32,Yes,Yes,No,32,2,Yes,No,,0.0625,15,0.4375,0.5625,,7.5,,39.6,-6.9314,3.0848,3.0848,0.0769,,16,2,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Mims,DEN,WR,40,No,Yes,Yes,39,2,No,No,,0.0513,9,0.2564,0.6923,1,4.5,,89.6,-0.7063,2.9419,2.9419,0.0526,,15,,2,1,2,,1,11,2,1,,,,0.2821,5.5,5.5,1,0.5,1,1.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,,0.0513,,,,,,
Cedric Tillman,CLV,WR,47,No,No,No,45,7,No,No,1,0.1556,60,0.4,0.6,6,8.5714,,143.2,1.3034,11.9298,11.9298,0.1667,2,13,1,6,0.8571,6,1,0.8571,62,19,7,1,,,1.3778,8.8571,10.3333,3.1667,1.1667,3,12.2,18.2,15.2,18.2,18.2,18.2,15.2,18.2,18.2,18.2,15.2,18.2,18.2,,,,,,,1,
Calvin Ridley,TEN,WR,20,No,No,No,20,2,No,No,,0.1,25,0.4,0.6,2,12.5,,89.6,1.9357,2.9627,2.9627,0.1111,,7,,2,1,1,,0.5,22,11,5,,,,1.1,11,22,11,5,1,2.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,1,,0.5,,,,,
Raheem Mostert,LV,RB,14,No,Yes,No,12,3,No,Yes,,0.25,6,,,1,2,,115.3,5.3721,4.0872,4.0872,0.2308,,12,,3,1,3,,1,35,29,8,,,,2.9167,11.6667,11.6667,9.6667,2.6667,3,3.5,6.5,5,8,6.5,6.5,5,6.5,6.5,6.5,5,6.5,6.5,,1,,,,,,
Jalen Coker,CAR,WR,45,No,No,No,44,8,No,Yes,,0.1818,78,0.5455,0.4545,6,9.75,,114.6,3.6968,12.5479,12.5479,0.1818,,11,1,7,0.875,7,1,0.875,92,20,7,,1,0.1429,2.0909,11.5,13.1429,2.8571,1,6,9.2,16.2,12.7,16.2,16.2,16.2,12.7,16.2,16.2,16.2,12.7,16.2,16.2,,,,,,,,1
Kyle Pitts,ATL,TE,74,No,No,No,71,18,No,Yes,,0.2535,131,0.4085,0.2254,11,7.2778,,128,3.0186,27.2529,27.2529,0.2609,1,17,8,18,1,16,6,0.8889,185,67,13,1,1,0.0625,2.6056,10.2778,11.5625,4.1875,0.8125,14,24.5,40.5,32.5,40.5,48.5,43.5,35.5,40.5,40.5,40.5,32.5,48.5,40.5,,,,0.3662,,,,
Dante Pettis,NO,WR,16,No,No,No,15,2,No,Yes,,0.1333,,0.4,0.6,2,,,93.8,1.2326,2.9776,2.9776,0.125,,8,,2,1,2,,1,13,13,,,,,0.8667,6.5,6.5,6.5,,1,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,,,,,1,0.5,,
Brayden Willis,SF,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Dalen Cambre,NYG,WR,4,No,No,No,3,,No,Yes,,,,0.3333,0.6667,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreVeyon Henderson,NE,RB,43,Yes,No,Yes,36,5,No,Yes,,0.1389,3,,0.1944,,0.6,,84.2,-1.8464,6.9398,6.9398,0.119,,17,,5,1,5,,1,21,18,4,,,,0.5833,4.2,4.2,3.6,0.8,,2.1,7.1,4.6,9.6,7.1,7.1,4.6,7.1,7.1,7.1,4.6,7.1,7.1,,0.8056,,,,,,
Jayden Reed,GB,WR,15,No,No,No,15,3,Yes,Yes,,0.2,14,0.7333,0.2667,3,4.6667,,71.5,-3.1684,5.1703,5.1703,0.2,1,7,,2,0.6667,2,,0.6667,10,6,2,,,,0.6667,3.3333,5,3,1,,1,3,2,3,3,3,2,3,3,3,2,3,3,,,,,1,0.3333,,
Devin Neal,NO,RB,28,No,No,No,23,7,No,Yes,,0.3043,9,,0.087,1,1.2857,,98.8,1.6402,9.8096,9.8096,0.2593,,9,1,7,1,7,1,1,54,45,23,,2,0.2857,2.3478,7.7143,7.7143,6.4286,3.2857,2,5.4,12.4,8.9,15.9,12.4,12.4,8.9,12.4,12.4,12.4,8.9,12.4,12.4,,0.913,,,,,,
Oronde Gadsden,LAC,TE,62,No,Yes,Yes,61,13,No,No,1,0.2131,105,0.3934,0.082,9,8.0769,,91.8,0.2522,23.6109,23.6109,0.2203,2,15,4,13,1,10,2,0.7692,100,27,10,1,1,0.1,1.6393,7.6923,10,2.7,1,4,16,26,21,26,31,29,24,26,26,26,21,31,26,1,,0.0769,0.5246,,,1,
Chris Godwin,TB,WR,37,No,No,No,35,9,No,Yes,2,0.2571,78,0.4857,0.5143,8,8.6667,,135.6,0.039,15.9296,15.9296,0.25,2,9,3,9,1,8,2,0.8889,69,8,1,1,2,0.25,1.9714,7.6667,8.625,1,0.125,5,12.9,20.9,16.9,20.9,20.9,20.9,16.9,20.9,20.9,20.9,16.9,20.9,20.9,1,,0.1111,,,,1,
Terry McLaurin,WAS,WR,25,No,No,Yes,25,3,No,No,1,0.12,28,0.2,0.8,3,9.3333,,81.3,-2.0932,7.7577,7.7577,0.1304,2,10,2,3,1,2,1,0.6667,17,,,,,,0.68,5.6667,8.5,,,2,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,1,,0.3333,,,,,
Harold Fannin,CLV,TE,83,No,No,No,75,27,No,Yes,,0.36,126,0.48,0.1067,19,4.6667,,98.1,0.896,41.3115,41.3115,0.3803,2,16,8,27,1,21,3,0.7778,204,110,56,,5,0.2381,2.72,7.5556,9.7143,5.2381,2.6667,9,20.4,41.4,30.9,41.4,51.9,44.4,33.9,41.4,41.4,41.4,30.9,51.9,41.4,3,0.0133,0.1111,0.4,2,0.0741,,
Cam Skattebo,NYG,RB,23,No,Yes,Yes,20,6,No,Yes,,0.3,7,0.15,0.05,2,1.1667,,130.6,-0.4189,9.0379,9.0379,0.3158,1,8,1,6,1,5,,0.8333,35,33,12,1,2,0.4,1.75,5.8333,7,6.6,2.4,1,9.5,14.5,12,17,14.5,14.5,12,14.5,14.5,14.5,12,14.5,14.5,,0.8,,,1,0.1667,,
Dont'e Thornton,LV,WR,32,No,No,No,30,4,No,Yes,,0.1333,35,0.2667,0.7333,4,8.75,,109.4,2.8482,9.8463,9.8463,0.1379,,15,2,3,0.75,3,1,0.75,43,23,11,,,,1.4333,10.75,14.3333,7.6667,3.6667,2,4.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,,,,,,,,
John Bates,WAS,TE,24,No,No,Yes,15,5,No,No,,0.3333,39,0.1333,0.0667,5,7.8,,81.3,-0.5723,7.1872,7.1872,0.2381,,15,1,5,1,3,,0.6,35,15,3,,,,2.3333,7,11.6667,5,1,2,3.5,6.5,5,6.5,8,6.5,5,6.5,6.5,6.5,5,8,6.5,1,,0.2,0.8,,,,
Trey McBride,ARZ,TE,111,No,No,Yes,108,34,No,No,3,0.3148,225,0.6759,0.0556,28,6.6176,,131,-0.4295,62.5064,62.5064,0.34,7,17,9,28,0.8235,25,5,0.7353,232,95,45,4,3,0.12,2.1481,6.8235,9.28,3.8,1.8,11,47.2,72.2,59.7,72.2,84.7,75.2,62.7,72.2,72.2,72.2,59.7,84.7,72.2,,,,0.2685,4,0.1176,2,
Dontayvion Wicks,GB,WR,26,No,Yes,No,25,5,No,Yes,,0.2,55,0.48,0.44,3,11,,118.8,6.5265,7.3134,7.3134,0.2083,1,14,1,5,1,5,1,1,75,20,17,,3,0.6,3,15,15,4,3.4,5,7.5,12.5,10,12.5,12.5,12.5,10,12.5,12.5,12.5,10,12.5,12.5,,,,0.08,,,,
Malik Davis,DAL,RB,11,No,Yes,Yes,8,3,No,No,,0.375,13,0.125,,,4.3333,,79.9,-1.6267,4.2801,4.2801,0.2727,,10,1,2,0.6667,2,1,0.6667,16,6,1,,,,2,5.3333,8,3,0.5,,1.6,3.6,2.6,4.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,,0.875,,,,,,
Dawson Knox,BUF,TE,45,Yes,Yes,No,43,7,Yes,No,,0.1628,41,0.3953,0.1628,3,5.8571,,57.4,0.414,10.1413,10.1413,0.1628,,17,,6,0.8571,6,,0.8571,51,20,7,,1,0.1667,1.186,7.2857,8.5,3.3333,1.1667,3,5.1,11.1,8.1,11.1,14.1,11.1,8.1,11.1,11.1,11.1,8.1,14.1,11.1,,,,0.4419,,,,
Noah Brown,WAS,WR,7,No,No,No,7,1,Yes,Yes,1,0.1429,22,,1,1,22,1,39.6,-11.9241,1.9154,1.9154,0.1429,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka,TB,WR,77,No,No,No,75,20,No,Yes,2,0.2667,185,0.4267,0.5733,12,9.25,,62.7,-2.4547,34.0785,34.0785,0.2667,2,17,3,13,0.65,9,1,0.45,111,39,7,,,,1.48,5.55,12.3333,4.3333,0.7778,6,11.1,20.1,15.6,20.1,20.1,23.1,18.6,20.1,20.1,20.1,15.6,20.1,20.1,3,,0.15,,1,0.05,,
Kyren Williams,LA,RB,71,No,No,Yes,55,15,No,No,,0.2727,46,0.1091,0.0182,4,3.0667,,93.3,-0.1788,21.7594,21.7594,0.2143,1,17,1,14,0.9333,14,1,0.9333,96,53,14,,,,1.7455,6.4,6.8571,3.7857,1,3,9.6,23.6,16.6,30.6,23.6,23.6,16.6,23.6,23.6,23.6,16.6,23.6,23.6,,0.8727,,,,,,
Payne Durham,TB,TE,7,No,No,No,6,,No,Yes,,,,0.3333,0.1667,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
Tucker Kraft,GB,TE,26,Yes,Yes,Yes,22,3,No,Yes,1,0.1364,23,0.3182,0.2273,2,7.6667,,149.3,4.9659,5.7742,5.7742,0.1154,1,8,2,3,1,2,1,0.6667,39,18,3,2,1,0.5,1.7727,13,19.5,9,1.5,2,15.9,17.9,16.9,17.9,18.9,17.9,16.9,17.9,17.9,17.9,16.9,18.9,17.9,1,,0.3333,0.4545,,,1,
Will Shipley,PHI,RB,12,No,No,Yes,7,,No,No,,,,0.1429,0.2857,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5714,,,,,,
Mitchell Tinsley,CIN,WR,26,No,No,No,26,5,No,No,,0.1923,41,0.1923,0.8077,1,8.2,,54.6,-2.9246,7.8508,7.8508,0.2083,,17,1,2,0.4,2,1,0.4,23,5,5,,1,0.5,0.8846,4.6,11.5,2.5,2.5,1,2.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,,,,,,,,
Brycen Tremayne,CAR,WR,21,No,No,No,20,5,No,Yes,,0.25,35,0.4,0.6,5,7,,98.3,0.2903,8.642,8.642,0.3125,1,16,1,5,1,4,1,0.8,38,19,3,,1,0.25,1.9,7.6,9.5,4.75,0.75,1,3.8,7.8,5.8,7.8,7.8,7.8,5.8,7.8,7.8,7.8,5.8,7.8,7.8,,,,,,,,1
Sterling Shepard,TB,WR,54,No,Yes,No,52,8,No,Yes,,0.1538,60,0.5769,0.4231,5,7.5,,101.6,1.621,14.7211,14.7211,0.1509,2,13,2,7,0.875,6,1,0.75,71,30,-1,,3,0.5,1.3654,8.875,11.8333,5,-0.1667,4,6.1,12.1,9.1,12.1,12.1,12.1,8.1,11.1,11.1,11.1,8.1,12.1,11.1,,,,,,,,
Khalil Shakir,BUF,WR,58,No,No,No,58,21,Yes,Yes,,0.3621,86,0.6379,0.3103,16,4.0952,,71.4,-0.2305,31.5397,31.5397,0.3889,4,16,4,18,0.8571,17,3,0.8095,124,76,31,,5,0.2941,2.1379,5.9048,7.2941,4.4706,1.8235,6,12.4,29.4,20.9,29.4,29.4,32.4,23.9,29.4,29.4,29.4,20.9,29.4,29.4,,0.0172,,0.0345,2,0.0952,,
Tez Johnson,TB,WR,46,No,No,No,45,9,No,Yes,1,0.2,102,0.3778,0.6,2,11.3333,,131.3,0.2656,14.3331,14.3331,0.2,2,16,4,9,1,6,2,0.6667,79,14,,1,1,0.1667,1.7556,8.7778,13.1667,2.3333,,5,13.9,19.9,16.9,19.9,19.9,19.9,16.9,19.9,19.9,19.9,16.9,19.9,19.9,1,0.0222,0.1111,,,,1,
Christian McCaffrey,SF,RB,104,Yes,No,No,95,29,No,Yes,,0.3053,89,0.2421,0.0316,11,3.069,,113.1,1.7689,43.6179,43.6179,0.2929,6,17,4,28,0.9655,27,3,0.931,243,163,65,1,4,0.1481,2.5579,8.3793,9,6.037,2.4074,7,30.3,57.3,43.8,70.8,57.3,60.3,46.8,57.3,57.3,57.3,43.8,57.3,57.3,,0.7053,,0.0211,4,0.1379,,
AJ Dillon,PHI,RB,2,No,No,Yes,1,1,No,No,,1,3,,,,3,,112.5,4.4906,1.5418,1.5418,0.5,,7,,1,1,1,,1,11,8,4,,1,1,11,11,11,8,4,,0.1,1.1,0.6,1.6,1.1,1.1,-0.4,0.1,0.1,0.1,-0.4,1.1,0.1,,1,,,,,,
Ross Dwelley,DET,TE,13,No,No,No,8,1,Yes,Yes,1,0.125,6,0.375,,1,6,,39.6,-7.093,3.5,3.5,0.125,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,,
Dee Eskridge,MIA,WR,8,No,No,No,8,1,No,No,,0.125,9,0.375,0.625,1,9,,104.2,1.5461,1.7526,1.7526,0.1429,,13,,1,1,1,,1,9,,,,,,1.125,9,9,,,1,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,,,,,
Sam LaPorta,DET,TE,63,No,No,No,57,14,Yes,Yes,,0.2456,96,0.4561,0.2281,6,6.8571,,104.2,1.7736,21.2922,21.2922,0.2258,2,9,1,12,0.8571,11,1,0.7857,126,48,20,,1,0.0909,2.2105,9,11.4545,4.3636,1.8182,8,12.6,23.6,18.1,23.6,29.1,26.6,21.1,23.6,23.6,23.6,18.1,29.1,23.6,1,0.0175,0.0714,0.2982,,,,
Jackson Hawes,BUF,TE,22,Yes,Yes,No,16,5,Yes,No,1,0.3125,34,0.25,0.125,,6.8,,148.8,3.1185,9.1061,9.1061,0.2381,2,17,,5,1,4,,0.8,51,23,4,1,,,3.1875,10.2,12.75,5.75,1,4,11.1,15.1,13.1,15.1,17.1,15.1,13.1,15.1,15.1,15.1,13.1,17.1,15.1,1,,0.2,0.625,,,1,
Jaxon Smith-Njigba,SEA,WR,87,Yes,No,No,87,24,No,Yes,3,0.2759,238,0.2759,0.7126,16,9.9167,,137.7,3.7363,42.6837,42.6837,0.3,4,17,2,21,0.875,20,2,0.8333,281,91,38,3,2,0.1,3.2299,11.7083,14.05,4.55,1.9,16,46.1,66.1,56.1,66.1,66.1,69.1,59.1,66.1,66.1,66.1,56.1,66.1,66.1,1,,0.0417,0.0115,,,2,
Albert Okwuegbunam,LV,TE,4,No,No,No,4,1,No,Yes,,0.25,1,0.25,,,1,,118.8,10.2246,1.4576,1.4576,0.25,,1,,1,1,1,,1,16,15,2,,,,4,16,16,15,2,1,1.6,2.6,2.1,2.6,3.1,2.6,2.1,2.6,2.6,2.6,2.1,3.1,2.6,,,,0.75,,,,
Raheim Sanders,CLV,RB,3,No,No,No,3,1,No,No,,0.3333,3,,0.3333,,3,,83.3,-2.5094,1.3469,1.3469,0.3333,,4,,1,1,1,,1,4,1,1,,1,1,1.3333,4,4,1,1,,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,0.6667,,,,,,
Tyler Warren,IND,TE,81,No,No,No,73,21,No,Yes,1,0.2877,127,0.3973,0.1918,16,6.0476,,105.3,-0.5393,34.0755,34.0755,0.2692,4,17,3,17,0.8095,16,2,0.7619,140,59,22,2,,,1.9178,6.6667,8.75,3.6875,1.375,9,26,42,34,42,50,45,37,42,42,42,34,50,42,,0.0137,,0.3973,2,0.0952,1,
Will Mallory,IND,TE,3,No,No,No,2,,No,Yes,,,,,0.5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
LaJohntay Wester,BLT,WR,5,Yes,No,No,5,,No,Yes,,,,0.8,0.2,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylin Lane,WAS,WR,26,No,No,Yes,25,4,Yes,Yes,,0.16,36,0.48,0.52,3,9,,96.9,-0.2171,5.15,5.15,0.1667,,15,,4,1,3,,0.75,31,10,2,,,,1.24,7.75,10.3333,3.3333,0.6667,2,3.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,6.1,4.6,6.1,6.1,1,,0.25,,,,,
Bo Melton,GB,WR,6,No,No,No,5,,Yes,Yes,,,,0.4,0.6,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Tolbert,DAL,WR,32,No,No,No,32,4,No,Yes,,0.125,33,0.4375,0.5625,1,8.25,,118.8,5.0355,6.2812,6.2812,0.129,,13,,4,1,4,,1,50,17,6,,,,1.5625,12.5,12.5,4.25,1.5,4,5,9,7,9,9,9,7,9,9,9,7,9,9,,,,,,,,1
Drake London,ATL,WR,45,No,No,No,43,13,No,Yes,,0.3023,109,0.3721,0.6279,11,8.3846,,95.7,0.9353,23.3602,23.3602,0.3023,1,12,3,10,0.7692,9,3,0.6923,112,34,10,,,,2.6047,8.6154,12.4444,3.7778,1.1111,4,11.2,20.2,15.7,20.2,20.2,23.2,18.7,20.2,20.2,20.2,15.7,20.2,20.2,,,,,,,,
Alec Pierce,IND,WR,71,No,No,No,64,3,No,Yes,,0.0469,38,0.125,0.875,2,12.6667,,93.8,-0.5903,5.2252,5.2252,0.0435,,15,,2,0.6667,2,,0.6667,26,-1,,,,,0.4062,8.6667,13,-0.5,,1,2.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,,,,,,,,
Olamide Zaccheaus,CHI,WR,53,Yes,Yes,Yes,49,18,No,Yes,1,0.3673,99,0.449,0.5306,12,5.5,,111.8,-0.2947,28.8266,28.8266,0.375,4,16,4,15,0.8333,15,4,0.8333,115,46,14,1,,,2.3469,6.3889,7.6667,3.0667,0.9333,8,17.5,32.5,25,32.5,32.5,35.5,28,32.5,32.5,32.5,25,32.5,32.5,,,,0.0204,1,0.0556,,
Theo Wease,MIA,WR,8,Yes,No,Yes,5,1,No,Yes,,0.2,14,0.4,0.6,1,14,,39.6,-9.8134,1.8923,1.8923,0.125,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Giddens,IND,RB,5,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Chris Rodriguez,WAS,RB,13,No,No,Yes,10,,No,No,,,,0.1,0.1,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,
Julius Chestnut,TEN,RB,3,No,No,No,2,,No,Yes,,,,,0.5,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,
Wan'Dale Robinson,NYG,WR,85,No,No,No,83,24,No,Yes,2,0.2892,135,0.7108,0.2892,18,5.625,1,92.7,-0.3158,40.9966,40.9966,0.3117,3,16,3,21,0.875,19,1,0.7917,150,79,31,,2,0.1053,1.8072,6.25,7.8947,4.1579,1.6316,6,15,34,24.5,34,34,37,27.5,34,34,34,24.5,34,34,,,,,4,0.1667,,
Roman Wilson,PIT,WR,22,No,No,No,22,,No,Yes,,,,0.0909,0.9091,,,,,,1.192,1.192,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Benson,ARZ,RB,19,No,No,No,17,4,Yes,Yes,,0.2353,7,0.1765,0.0588,1,1.75,,93.8,0.3201,6.1707,6.1707,0.2353,1,4,,4,1,4,,1,26,19,10,,,,1.5294,6.5,6.5,4.75,2.5,1,2.6,6.6,4.6,8.6,6.6,6.6,4.6,6.6,6.6,6.6,4.6,6.6,6.6,,0.7647,,,,,,
Jake Tonges,SF,TE,57,No,No,No,51,16,No,No,1,0.3137,106,0.3725,0.0588,12,6.625,,115.1,-0.2436,26.8352,26.8352,0.2909,2,16,5,13,0.8125,12,4,0.75,114,29,10,1,,,2.2353,7.125,9.5,2.4167,0.8333,9,17.4,29.4,23.4,29.4,35.4,32.4,26.4,29.4,29.4,29.4,23.4,35.4,29.4,,,,0.5686,,,1,
Ben Skowronek,PIT,WR,10,Yes,No,No,9,,No,Yes,,,,0.4444,0.5556,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaux Collins,NYG,WR,6,No,No,No,6,2,No,Yes,,0.3333,16,0.1667,0.8333,1,8,,81.3,1.8178,2.7094,2.7094,0.3333,,9,,2,1,1,,0.5,18,5,,,,,3,9,18,5,,1,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,1,,0.5,,,,,
Clyde Edwards-Helaire,KC,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Mike Gesicki,CIN,TE,43,No,No,No,40,5,No,No,,0.125,49,0.875,0.125,4,9.8,,36.7,-2.3694,8.9573,8.9573,0.119,,13,2,3,0.6,3,2,0.6,29,2,1,,,,0.725,5.8,9.6667,0.6667,0.3333,3,2.9,5.9,4.4,5.9,7.4,5.9,4.4,5.9,5.9,5.9,4.4,7.4,5.9,,,,,,,,
Deebo Samuel,WAS,WR,54,No,No,Yes,52,17,No,No,1,0.3269,90,0.5962,0.3846,12,5.2941,,111.4,0.8151,34.1855,34.1855,0.3269,4,16,5,15,0.8824,12,2,0.7059,126,79,30,1,6,0.5,2.4231,7.4118,10.5,6.5833,2.5,6,18.6,30.6,24.6,30.6,30.6,33.6,27.6,30.6,30.6,30.6,24.6,30.6,30.6,2,0.0192,0.1176,,3,0.1765,,
Devin Duvernay,CHI,WR,5,Yes,Yes,Yes,3,,No,Yes,,,,0.3333,0.3333,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,
Ryan Flournoy,DAL,WR,47,No,No,No,44,9,No,Yes,,0.2045,62,0.4545,0.5455,5,6.8889,,55.3,-0.2044,17.8589,17.8589,0.2,,15,5,9,1,8,4,0.8889,61,13,5,,,,1.3864,6.7778,7.625,1.625,0.625,6,6.1,14.1,10.1,14.1,14.1,14.1,10.1,14.1,14.1,14.1,10.1,14.1,14.1,,,,,,,,
Jaylen Waddle,MIA,WR,56,No,No,No,51,14,No,Yes,,0.2745,144,0.2353,0.7647,12,10.2857,,105.7,3.9129,21.4526,21.4526,0.2593,1,16,3,12,0.8571,10,1,0.7143,168,65,20,1,3,0.3,3.2941,12,16.8,6.5,2,9,22.8,32.8,27.8,32.8,32.8,35.8,30.8,32.8,32.8,32.8,27.8,32.8,32.8,1,,0.0714,,,,,
Tee Higgins,CIN,WR,123,No,No,No,117,20,No,No,,0.1709,188,0.1453,0.8547,15,9.4,,89.2,2.6276,31.4976,31.4976,0.1681,3,15,4,18,0.9,17,3,0.85,208,48,31,,1,0.0588,1.7778,10.4,12.2353,2.8235,1.8235,13,20.8,37.8,29.3,37.8,37.8,40.8,32.3,37.8,37.8,37.8,29.3,37.8,37.8,1,,0.05,,,,,
Scott Miller,PIT,WR,20,Yes,No,No,18,3,No,Yes,,0.1667,16,0.2778,0.7222,2,5.3333,,93.1,-0.316,3.8022,3.8022,0.1579,,13,1,3,1,3,1,1,19,3,,,,,1.0556,6.3333,6.3333,1,,2,1.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,,,,,,,,
Josh Jacobs,GB,RB,32,No,Yes,No,24,10,No,Yes,,0.4167,12,,0.0833,3,1.2,,95.8,0.736,15.9956,15.9956,0.3226,2,15,1,8,0.8,8,1,0.8,70,53,15,,1,0.125,2.9167,7,8.75,6.625,1.875,1,7,15,11,19,15,15,11,15,15,15,11,15,15,,0.875,,0.0417,2,0.2,,
Cade Stover,HST,TE,14,No,No,No,13,2,No,Yes,,0.1538,8,0.1538,0.2308,2,4,,56.3,-3.9009,2.8759,2.8759,0.1538,,9,1,2,1,1,1,0.5,5,2,1,,,,0.3846,2.5,5,2,1,1,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,1,,0.5,0.6154,,,,
Stephen Carlson,CHI,TE,1,No,No,No,1,,No,No,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
