Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentWideRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,DeepTargetTargetsTotal,ReceptionsHero
Darius Slayton,NYG,WR,103,No,No,No,87,11,No,No,9,0.8182,0.1264,8,0.7273,76,39,29,60,1,,0.1839,9,,,5.4545,91.5,0.8736,6.9091,0.35,0.0909,9.5,4.875,3.625,4,16.6319,16.6319,0.125,6.6,14.6,10.6,14.6,14.6,14.6,9.6,13.6,13.6,13.6,9.6,14.6,13.6,14,2,1,2,,,3,0.375,0.8161,2,,,
Brandon Smith,NYJ,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,
Josh Whyle,GB,TE,26,Yes,Yes,Yes,18,6,No,No,5,0.8333,0.3333,5,0.8333,36,23,9,19,,0.0556,0.2222,4,1,0.1667,3.1667,131.3,2,6,-0.2038,,7.2,4.6,1.8,2,11.4344,11.4344,0.25,9.6,14.6,12.1,14.6,17.1,14.6,12.1,14.6,14.6,14.6,12.1,17.1,14.6,8,,1,,1,1,1,0.2,0.1111,1,0.6111,,
Travis Etienne,JAX,RB,104,No,Yes,No,67,21,No,No,19,0.9048,0.3134,17,0.8095,144,183,29,-53,2,0.8507,0.1045,15,11,0.5238,-2.5238,111.1,2.1493,6.8571,1.08,0.0952,8.4706,10.7647,1.7059,4,36.6607,36.6607,0.2234,20.4,37.4,28.9,45.9,37.4,40.4,31.9,37.4,37.4,37.4,28.9,37.4,37.4,17,,,,1,,3,0.1765,0.0448,2,,,
Jordan Whittington,LA,WR,74,Yes,No,No,62,4,No,Yes,4,1,0.0645,4,1,41,27,15,14,,,0.5806,3,,,3.5,109.4,0.6613,10.25,4.1003,,10.25,6.75,3.75,3,5.965,5.965,0.0588,4.1,8.1,6.1,8.1,8.1,8.1,6.1,8.1,8.1,8.1,6.1,8.1,8.1,17,,,,,,2,0.5,0.4194,,,,
Bam Knight,ARZ,RB,72,No,Yes,No,51,16,No,Yes,12,0.75,0.3137,11,0.6875,73,84,16,-4,1,0.8627,0.0784,3,,,-0.25,78.4,1.4314,4.5625,-1.4767,0.0625,6.6364,7.6364,1.4545,5,25.5501,25.5501,0.2424,7.3,18.3,12.8,23.8,18.3,18.3,12.8,18.3,18.3,18.3,12.8,18.3,18.3,12,,,,,,,,0.0588,2,,,
Jaret Patterson,LAC,RB,21,No,Yes,No,15,1,No,No,1,1,0.0667,1,1,3,4,1,-1,,0.9333,,,,,-1,79.2,0.2,3,-2.819,,3,4,1,,1.3529,1.3529,0.0526,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,6,,,,,,,,0.0667,,,,
Samaje Perine,CIN,RB,59,No,Yes,No,46,7,No,No,6,0.8571,0.1522,6,0.8571,25,36,15,-13,,0.913,0.0652,2,2,0.2857,-1.8571,81.5,0.5435,3.5714,-2.1803,,4.1667,6,2.5,,11.321,11.321,0.1373,2.5,8.5,5.5,11.5,8.5,8.5,5.5,8.5,8.5,8.5,5.5,8.5,8.5,15,,,,,,,,0.0217,,,,
Elijah Mitchell,KC,RB,2,No,No,No,2,,No,Yes,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Quentin Skinner,NYJ,WR,4,Yes,No,No,3,1,No,Yes,1,1,0.3333,1,1,10,6,1,4,,,0.3333,1,,,4,108.3,3.3333,10,3.9502,,10,6,1,1,1.3496,1.3496,0.25,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,1,,,,,,,,0.6667,,,,
J.K. Dobbins,DEN,RB,54,Yes,No,No,21,6,No,Yes,5,0.8333,0.2857,4,0.6667,5,18,4,-22,1,1,,3,2,0.3333,-3.6667,70.1,0.2381,0.8333,-4.8925,0.1667,1.25,4.5,1,,8.2178,8.2178,0.1304,0.5,4.5,2.5,6.5,4.5,4.5,2.5,4.5,4.5,4.5,2.5,4.5,4.5,10,,,,,,1,0.25,,,,,
Emari Demercado,ARZ,RB,43,Yes,No,No,36,9,No,Yes,7,0.7778,0.25,5,0.5556,38,42,2,-5,2,0.8611,0.0833,4,2,0.2222,-0.5556,66,1.0556,4.2222,-1.8982,0.2222,7.6,8.4,0.4,1,19.0907,19.0907,0.2195,3.8,8.8,6.3,11.3,8.8,8.8,6.3,8.8,8.8,8.8,6.3,8.8,8.8,13,,,,,,,,0.0556,3,,,
Efton Chism,NE,WR,13,Yes,No,Yes,12,1,No,Yes,1,1,0.0833,1,1,10,,,13,,,0.25,1,,,13,147.9,0.8333,10,1.0855,,10,,,1,2.7907,2.7907,0.0769,7,8,7.5,8,8,8,7.5,8,8,8,7.5,8,8,8,,1,,1,1,,,0.6667,1,0.0833,,
KhaDarel Hodge,ATL,WR,13,No,Yes,No,13,2,No,Yes,1,0.5,0.1538,1,0.5,8,1,,16,,,,1,,,8,60.4,0.6154,4,-3.2592,,8,1,,1,2.8762,2.8762,0.1667,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,11,,,,,,,,1,,,,
Will Dissly,LAC,TE,37,No,Yes,No,32,8,No,No,8,1,0.25,5,0.625,33,24,9,34,,,0.1875,6,,,4.25,71.4,1.0312,4.125,-2.5256,,6.6,4.8,1.8,2,11.9885,11.9885,0.25,3.3,8.3,5.8,8.3,10.8,8.3,5.8,8.3,8.3,8.3,5.8,10.8,8.3,9,4,,1,,,1,0.2,0.1562,1,0.6562,,
Rasheen Ali,BLT,RB,25,No,Yes,Yes,18,7,No,No,6,0.8571,0.3889,6,0.8571,46,54,5,6,,0.8333,0.0556,3,2,0.2857,0.8571,94,2.5556,6.5714,0.3006,,7.6667,9,0.8333,1,10.5703,10.5703,0.3043,10.6,16.6,13.6,19.6,16.6,16.6,13.6,16.6,16.6,16.6,13.6,16.6,16.6,15,,,,1,,,,,,0.1111,,
Miles Sanders,DAL,RB,8,No,Yes,No,7,4,No,Yes,4,1,0.5714,4,1,17,34,14,-17,,1,,1,1,0.25,-4.25,84.4,2.4286,4.25,-1.6078,,4.25,8.5,3.5,,5.7251,5.7251,0.5714,1.7,5.7,3.7,7.7,5.7,5.7,3.7,5.7,5.7,5.7,3.7,5.7,5.7,4,,,,,,2,0.5,,,,,
Charlie Jones,CIN,WR,2,No,Yes,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,1,,,,
Saquon Barkley,PHI,RB,119,No,No,Yes,72,15,No,Yes,11,0.7333,0.2083,10,0.6667,54,76,21,-10,1,0.7222,0.1111,5,3,0.2,-0.6667,72.6,0.75,3.6,-2.2225,0.0667,5.4,7.6,2.1,3,24.0591,24.0591,0.1415,5.4,15.4,10.4,20.4,15.4,15.4,10.4,15.4,15.4,15.4,10.4,15.4,15.4,16,,1,,,,3,0.3,0.1667,3,,,1
Evan Engram,DEN,TE,127,No,Yes,No,113,31,No,No,28,0.9032,0.2743,25,0.8065,153,130,43,52,2,0.0177,0.3717,20,6,0.1935,1.6774,87.2,1.354,4.9355,-1.1455,0.0645,6.12,5.2,1.72,7,49.7439,49.7439,0.2743,15.3,40.3,27.8,40.3,52.8,43.3,30.8,40.3,40.3,40.3,27.8,52.8,40.3,16,2,1,1,,,1,0.04,0.0885,6,0.5221,,
Keleki Latu,BUF,TE,7,Yes,No,No,3,,No,Yes,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,0.3333,,0.3333,,
Jamari Thrash,CLV,WR,33,No,No,No,31,2,No,Yes,2,1,0.0645,2,1,10,,,10,,,0.6129,1,,,5,87.5,0.3226,5,-1.4995,,5,,,,2.9886,2.9886,0.0667,1,3,2,3,3,3,2,3,3,3,2,3,3,9,,,,,,,,0.3871,,,,
Matthew Golden,GB,WR,92,Yes,Yes,Yes,83,12,No,No,12,1,0.1446,12,1,82,68,1,14,,,0.4217,11,5,0.4167,1.1667,95.1,0.988,6.8333,0.9237,,6.8333,5.6667,0.0833,5,18.3252,18.3252,0.1538,8.2,20.2,14.2,20.2,20.2,20.2,14.2,20.2,20.2,20.2,14.2,20.2,20.2,14,,,,,,5,0.4167,0.5301,1,0.0482,,
Adonai Mitchell,NYJ,WR,104,Yes,No,No,86,19,No,Yes,13,0.6842,0.2209,10,0.5263,72,6,,156,1,,0.2442,18,,,8.2105,39.8,0.8372,3.7895,-3.7132,0.0526,7.2,0.6,,2,28.4085,28.4085,0.2,7.2,17.2,12.2,17.2,17.2,17.2,12.2,17.2,17.2,17.2,12.2,17.2,17.2,16,3,,1,,,,,0.7558,3,,,
Connor Heyward,PIT,TE,8,No,Yes,Yes,3,1,No,No,1,1,0.3333,1,1,6,2,1,4,,,0.6667,1,,,4,91.7,2,6,-0.0667,,6,2,1,,1.4195,1.4195,0.1667,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,16,,,,,,,,0.3333,,,,
Dylan Sampson,CLV,RB,43,No,Yes,No,37,17,No,No,15,0.8824,0.4595,14,0.8235,132,173,48,-46,1,0.7297,0.1351,9,5,0.2941,-2.7059,118.6,3.5676,7.7647,2.1626,0.0588,9.4286,12.3571,3.4286,5,22.5982,22.5982,0.4722,18.2,32.2,25.2,39.2,32.2,35.2,27.2,31.2,31.2,31.2,24.2,32.2,31.2,15,1,,1,1,,4,0.2857,0.0541,1,0.0811,,
Brevyn Spann-Ford,DAL,TE,22,No,No,No,17,3,No,No,3,1,0.1765,3,1,15,11,3,10,,,0.4118,2,,,3.3333,127.1,0.8824,5,-1.1484,,5,3.6667,1,1,7.9126,7.9126,0.15,7.5,10.5,9,10.5,12,10.5,9,10.5,10.5,10.5,9,12,10.5,17,,1,,1,1,,,0.0588,1,0.5294,,
Tyler Higbee,LA,TE,70,Yes,No,No,61,16,No,Yes,15,0.9375,0.2623,14,0.875,128,98,20,33,1,0.0164,0.2459,12,5,0.3125,2.0625,139.6,2.0984,8,2.0648,0.0625,9.1429,7,1.4286,10,27.9473,27.9473,0.25,24.8,38.8,31.8,38.8,45.8,41.8,34.8,38.8,38.8,38.8,31.8,45.8,38.8,10,2,1,2,2,1,,,0.0656,6,0.6721,,1
Jawhar Jordan,HST,RB,13,Yes,Yes,No,10,5,No,Yes,5,1,0.5,5,1,17,30,10,-13,,0.7,0.2,3,2,0.4,-2.6,80.8,1.7,3.4,-2.5765,,3.4,6,2,1,7.8908,7.8908,0.3846,1.7,6.7,4.2,9.2,6.7,6.7,4.2,6.7,6.7,6.7,4.2,6.7,6.7,4,,,,,,1,0.2,0.1,,,,
Nick Westbrook-Ikhine,MIA,WR,73,Yes,No,Yes,58,10,No,Yes,7,0.7,0.1724,6,0.6,42,16,9,46,1,,0.5345,8,2,0.2,4.6,30,0.7241,4.2,-2.3355,0.1,7,2.6667,1.5,3,17.3092,17.3092,0.1429,4.2,10.2,7.2,10.2,10.2,10.2,7.2,10.2,10.2,10.2,7.2,10.2,10.2,15,,,,,,,,0.4655,1,,,
Jake Bobo,SEA,WR,13,No,No,No,12,1,No,No,1,1,0.0833,1,1,3,3,1,,,,0.3333,,,,,79.2,0.25,3,-3.0386,,3,3,1,,1.7254,1.7254,0.0833,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,11,,,,,,,,0.6667,,,,
Pat Bryant,DEN,WR,98,No,Yes,No,85,12,No,No,10,0.8333,0.1412,8,0.6667,80,39,13,88,2,,0.4824,9,2,0.1667,7.3333,50.7,0.9412,6.6667,-0.7397,0.1667,10,4.875,1.625,4,25.2045,25.2045,0.1319,8,16,12,16,16,16,12,16,16,16,12,16,16,15,2,1,2,,,1,0.125,0.4941,5,0.0235,,
Marquez Valdes-Scantling,PIT,WR,73,No,Yes,Yes,66,12,No,No,9,0.75,0.1818,7,0.5833,39,16,7,68,,,0.303,10,2,0.1667,5.6667,64.2,0.5909,3.25,-3.5732,,5.5714,2.2857,1,2,23.4748,23.4748,0.1765,3.9,10.9,7.4,10.9,10.9,10.9,7.4,10.9,10.9,10.9,7.4,10.9,10.9,10,3,3,1,,,,,0.697,3,,,
Kayshon Boutte,NE,WR,88,Yes,No,Yes,84,7,No,Yes,6,0.8571,0.0833,6,0.8571,60,-1,,82,,,0.1071,7,,,11.7143,102.4,0.7143,8.5714,-0.1649,,10,-0.1667,,5,16.5203,16.5203,0.0864,12,18,15,18,18,18,15,18,18,18,15,18,18,14,,1,,1,1,,,0.881,2,0.0119,,
Hunter Long,JAX,TE,42,No,No,No,30,8,No,Yes,8,1,0.2667,6,0.75,40,15,1,32,2,,0.2333,8,,,4,125,1.3333,5,-1.4472,0.25,6.6667,2.5,0.1667,3,13.8707,13.8707,0.2,10,16,13,16,19,16,13,16,16,16,13,19,16,9,,1,,1,1,,,0.2667,2,0.5,,
Sal Cannella,CLV,TE,5,No,Yes,No,4,1,No,No,1,1,0.25,1,1,5,2,1,3,,,,,,,3,87.5,1.25,5,-1.3218,,5,2,1,,1.4278,1.4278,0.25,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,2,,,,,,,,0.25,,0.75,,
Ben Sims,MIN,TE,11,Yes,Yes,Yes,9,1,No,No,1,1,0.1111,1,1,9,5,2,4,,,0.2222,1,,,4,104.2,1,9,2.9333,,9,5,2,1,1.3378,1.3378,0.1111,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,9,,,,,,,,0.1111,,0.6667,,
Tahj Brooks,CIN,RB,8,No,No,No,5,1,No,Yes,,,0.2,,,,,,-2,,1,,,,,-2,,,,-6.198,,,,,,1.3248,1.3248,0.1667,,,,,,,,,,,,,,12,,,,,,,,,,,,
Robbie Chosen,WAS,WR,17,No,No,Yes,16,6,No,Yes,5,0.8333,0.375,4,0.6667,36,5,3,54,,,0.0625,6,,,9,82.6,2.25,6,-1.6468,,9,1.25,0.75,1,8.951,8.951,0.3529,3.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,7.6,5.6,7.6,7.6,3,2,,1,,,,,0.9375,,,,
Ja'Marr Chase,CIN,WR,176,No,Yes,No,169,50,No,No,42,0.84,0.2959,37,0.74,367,192,61,266,3,0.0178,0.3136,44,8,0.16,5.32,99.3,2.1716,7.34,0.5316,0.06,9.9189,5.1892,1.6486,18,88.9823,88.9823,0.3165,47.7,84.7,66.2,84.7,84.7,87.7,68.2,83.7,83.7,83.7,65.2,84.7,83.7,16,3,4,,2,1,5,0.1351,0.6686,8,,2,1
D'Andre Swift,CHI,RB,114,No,No,No,85,21,No,Yes,17,0.8095,0.2471,15,0.7143,74,94,11,-28,2,0.8353,0.0235,9,6,0.2857,-1.3333,76.3,0.8706,3.5238,-2.7174,0.0952,4.9333,6.2667,0.7333,3,37.6641,37.6641,0.2079,7.4,22.4,14.9,29.9,22.4,22.4,14.9,22.4,22.4,22.4,14.9,22.4,22.4,16,,,,,,,,0.0941,1,0.0471,,
Adam Trautman,DEN,TE,98,No,Yes,No,59,10,No,No,10,1,0.1695,8,0.8,68,35,5,58,1,0.0169,0.2034,5,,,5.8,128.3,1.1525,6.8,-0.258,0.1,8.5,4.375,0.625,4,17.3203,17.3203,0.1136,12.8,20.8,16.8,20.8,24.8,20.8,16.8,20.8,20.8,20.8,16.8,24.8,20.8,17,1,1,1,1,1,,,0.0678,1,0.7119,,
Trevor Etienne,CAR,RB,8,Yes,No,Yes,5,2,No,Yes,2,1,0.4,2,1,9,8,8,1,,0.2,0.8,,,,0.5,85.4,1.8,4.5,-1.8905,,4.5,4,4,1,3.0412,3.0412,0.25,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,17,1,,1,,,2,1,,,,,
Jonathan Mingo,DAL,WR,11,No,No,No,9,,No,No,,,,,,,,,,,,0.4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,0.5556,,,,
Cooper Kupp,SEA,WR,119,No,No,No,105,19,No,No,18,0.9474,0.181,16,0.8421,203,123,70,112,,,0.5524,11,1,0.0526,5.8947,128.7,1.9333,10.6842,3.9571,,12.6875,7.6875,4.375,8,34.4273,34.4273,0.1792,25.3,41.3,33.3,41.3,41.3,44.3,36.3,40.3,40.3,40.3,32.3,41.3,40.3,16,3,,1,1,,5,0.3125,0.4476,4,,,
Steven Sims,ARZ,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,
Tommy Tremble,CAR,TE,94,Yes,No,Yes,82,16,No,Yes,14,0.875,0.1951,12,0.75,128,100,59,46,2,0.0244,0.3171,11,,,2.875,118.8,1.561,8,1.9213,0.125,10.6667,8.3333,4.9167,4,25.4342,25.4342,0.1905,18.8,30.8,24.8,30.8,36.8,33.8,27.8,30.8,30.8,30.8,24.8,36.8,30.8,17,,,,1,,5,0.4167,0.2317,3,0.4268,,
James Conner,ARZ,RB,12,No,No,No,9,4,No,Yes,4,1,0.4444,4,1,16,34,18,-18,,1,,2,2,0.5,-4.5,83.3,1.7778,4,-1.4497,,4,8.5,4.5,2,5.8606,5.8606,0.3636,1.6,5.6,3.6,7.6,5.6,5.6,3.6,5.6,5.6,5.6,3.6,5.6,5.6,3,,,,,,2,0.5,,,,,
Shedrick Jackson,LV,WR,8,No,No,No,7,2,No,No,2,1,0.2857,2,1,20,6,1,14,,,0.4286,1,,,7,108.3,2.8571,10,3.2251,,10,3,0.5,,3.0916,3.0916,0.25,2,4,3,4,4,4,3,4,4,4,3,4,4,5,,,,,,,,0.5714,,,,
Kyle Williams,NE,WR,42,Yes,No,Yes,38,5,No,Yes,5,1,0.1316,4,0.8,96,72,2,38,1,,0.1579,4,,,7.6,158.3,2.5263,19.2,11.3952,0.2,24,18,0.5,3,7.3295,7.3295,0.1351,15.6,19.6,17.6,19.6,19.6,19.6,17.6,19.6,19.6,19.6,17.6,19.6,19.6,17,,,,1,,,,0.8421,,,,
Anthony Firkser,DET,TE,31,No,No,No,24,2,No,Yes,2,1,0.0833,2,1,2,2,,,,,0.3333,2,1,0.5,,79.2,0.0833,1,-4.4267,,1,1,,,2.7914,2.7914,0.0769,0.2,2.2,1.2,2.2,3.2,2.2,1.2,2.2,2.2,2.2,1.2,3.2,2.2,7,,,,,,,,0.2083,1,0.4583,,
Justice Hill,BLT,RB,32,No,Yes,Yes,24,10,No,Yes,9,0.9,0.4167,8,0.8,47,71,17,-24,1,0.8333,0.125,5,3,0.3,-2.4,86.3,1.9583,4.7,-0.9969,0.1,5.875,8.875,2.125,1,13.3699,13.3699,0.3846,4.7,12.7,8.7,16.7,12.7,12.7,8.7,12.7,12.7,12.7,8.7,12.7,12.7,10,1,,1,,,2,0.25,0.0417,,,,
Tyler Conklin,LAC,TE,27,No,Yes,No,24,5,No,No,5,1,0.2083,4,0.8,69,44,6,27,1,,0.5833,5,,,5.4,118.8,2.875,13.8,6.799,0.2,17.25,11,1.5,2,11.2649,11.2649,0.2083,6.9,10.9,8.9,10.9,12.9,10.9,8.9,10.9,10.9,10.9,8.9,12.9,10.9,10,,,,,,1,0.25,0.1667,,0.25,,
George Holani,SEA,RB,4,No,No,No,3,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
Tom Kennedy,DET,WR,5,No,No,No,5,1,No,Yes,1,1,0.2,1,1,2,,,2,,,0.8,1,,,2,79.2,0.4,2,-3.3344,,2,,,,1.3915,1.3915,0.2,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,6,,,,,,,,0.2,,,,
Chris Brooks,GB,RB,38,Yes,Yes,Yes,25,5,No,No,5,1,0.2,4,0.8,21,27,5,-3,1,0.88,0.04,2,1,0.2,-0.6,84.2,0.84,4.2,-1.8748,0.2,5.25,6.75,1.25,1,7.1949,7.1949,0.1562,2.1,6.1,4.1,8.1,6.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,17,,,,,,,,,1,0.08,,
Christian Watson,GB,WR,78,No,No,Yes,71,14,No,Yes,13,0.9286,0.1972,12,0.8571,129,21,8,121,1,,0.3521,11,,,8.6429,105.1,1.8169,9.2143,1.4977,0.0714,10.75,1.75,0.6667,9,24.1979,24.1979,0.2,12.9,24.9,18.9,24.9,24.9,27.9,21.9,24.9,24.9,24.9,18.9,24.9,24.9,10,3,1,3,,,,,0.6338,1,0.0141,,
Zach Ertz,WAS,TE,102,No,Yes,No,86,21,No,Yes,19,0.9048,0.2442,17,0.8095,157,62,12,123,2,0.0116,0.5581,17,,,5.8571,113.7,1.8256,7.4762,0.5035,0.0952,9.2353,3.6471,0.7059,8,36.0012,36.0012,0.2258,21.7,38.7,30.2,38.7,47.2,41.7,33.2,38.7,38.7,38.7,30.2,47.2,38.7,13,4,1,4,1,1,1,0.0588,0.1163,2,0.314,,
Darnell Washington,PIT,TE,94,No,No,No,68,17,Yes,Yes,17,1,0.25,13,0.7647,131,99,22,38,3,,0.1765,8,2,0.1176,2.2353,97.9,1.9265,7.7059,1.666,0.1765,10.0769,7.6154,1.6923,6,29.0356,29.0356,0.2,12.1,25.1,18.6,25.1,31.6,28.1,20.6,24.1,24.1,24.1,17.6,31.6,24.1,16,1,,,,,5,0.3846,0.1471,2,0.6765,,
Audric Estime,NO,RB,29,No,Yes,No,22,5,No,No,5,1,0.2273,5,1,54,72,26,-18,,1,,3,2,0.4,-3.6,111.7,2.4545,10.8,5.4332,,10.8,14.4,5.2,2,7.3,7.3,0.1786,5.4,10.4,7.9,12.9,10.4,10.4,7.9,10.4,10.4,10.4,7.9,10.4,10.4,6,,,,,,3,0.6,,,,,
Davis Allen,LA,TE,71,Yes,No,No,48,14,No,Yes,13,0.9286,0.2917,11,0.7857,75,69,15,36,1,0.0208,0.1875,10,,,2.5714,128.6,1.5625,5.3571,-1.0176,0.0714,6.8182,6.2727,1.3636,5,27.4159,27.4159,0.2059,19.5,30.5,25,30.5,36,30.5,25,30.5,30.5,30.5,25,36,30.5,17,2,2,1,2,1,,,0.1875,4,0.6042,,
Charlie Kolar,BLT,TE,35,No,Yes,Yes,27,2,No,No,2,1,0.0741,2,1,33,18,3,15,,,0.0741,,,,7.5,118.8,1.2222,16.5,9.3757,,16.5,9,1.5,2,3.0586,3.0586,0.0667,3.3,5.3,4.3,5.3,6.3,5.3,4.3,5.3,5.3,5.3,4.3,6.3,5.3,17,1,,1,,,1,0.5,0.1111,,0.8148,,
Greg Dortch,ARZ,WR,64,No,Yes,No,59,12,No,Yes,12,1,0.2034,10,0.8333,73,84,16,-9,2,,0.8136,11,7,0.5833,-0.75,119.8,1.2373,6.0833,0.5838,0.1667,7.3,8.4,1.6,4,22.5637,22.5637,0.1967,13.3,23.3,18.3,23.3,23.3,23.3,18.3,23.3,23.3,23.3,18.3,23.3,23.3,12,1,,,1,,6,0.6,0.1864,1,,,
Cam Akers,SEA,RB,2,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.6,5.6,4,,,,,,,,1,,,,
Courtland Sutton,DEN,WR,202,No,Yes,No,171,33,No,No,28,0.8485,0.193,23,0.697,208,42,36,282,1,,0.1637,22,1,0.0303,8.5455,116.7,1.2164,6.303,-1.3228,0.0303,9.0435,1.8261,1.5652,14,66.1782,66.1782,0.1813,38.8,61.8,50.3,61.8,61.8,64.8,53.3,61.8,61.8,61.8,50.3,61.8,61.8,17,10,6,7,3,3,3,0.1304,0.8363,8,,2,
Javonte Williams,DAL,RB,136,Yes,No,Yes,85,16,No,Yes,15,0.9375,0.1882,13,0.8125,48,90,24,-43,1,0.9412,0.0118,2,,,-2.6875,118.8,0.5647,3,-2.5546,0.0625,3.6923,6.9231,1.8462,3,32.3066,32.3066,0.126,15.8,28.8,22.3,35.3,28.8,28.8,21.3,27.8,27.8,27.8,21.3,28.8,27.8,16,2,,,2,,2,0.1538,0.0471,5,,,
Tip Reiman,ARZ,TE,14,No,Yes,No,10,2,No,Yes,1,0.5,0.2,1,0.5,10,5,2,14,,,0.1,2,,,7,64.6,1,5,-1.8698,,10,5,2,1,3.1374,3.1374,0.1429,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,4,,,,,,,,0.1,,0.8,,
Tyrell Shavers,BUF,WR,75,Yes,No,No,57,8,No,Yes,7,0.875,0.1404,7,0.875,74,54,8,48,,,0.2807,6,,,6,105.2,1.2982,9.25,2.4646,,10.5714,7.7143,1.1429,3,11.9571,11.9571,0.1143,7.4,14.4,10.9,14.4,14.4,14.4,10.9,14.4,14.4,14.4,10.9,14.4,14.4,17,,,,,,,,0.614,,0.1053,,
Tim Jones,JAX,WR,2,No,Yes,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,
Tyler Goodson,IND,RB,5,Yes,Yes,No,5,1,No,Yes,,,0.2,,,,,,,,0.8,,1,,,,39.6,,,-5.8271,,,,,,3.01,3.01,0.2,,,,,,,,,,,,,,11,,,,,,,,0.2,1,,,
Jordan Mason,MIN,RB,71,Yes,Yes,Yes,40,10,No,No,10,1,0.25,10,1,46,83,24,-37,,0.8,0.05,4,4,0.4,-3.7,85.8,1.15,4.6,-1.0395,,4.6,8.3,2.4,1,15.9496,15.9496,0.1471,4.6,14.6,9.6,19.6,14.6,14.6,9.6,14.6,14.6,14.6,9.6,14.6,14.6,16,,,,,,1,0.1,0.05,,0.1,,
Tre Tucker,LV,WR,179,No,No,No,163,31,No,No,26,0.8387,0.1902,21,0.6774,178,119,58,164,3,,0.1656,28,7,0.2258,5.2903,90.5,1.092,5.7419,-1.2162,0.0968,8.4762,5.6667,2.7619,10,56.0391,56.0391,0.1879,29.8,50.8,40.3,50.8,50.8,53.8,43.3,50.8,50.8,50.8,40.3,50.8,50.8,17,5,1,2,2,1,5,0.2381,0.8282,5,0.0061,,1
