"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"98","Raheem Blackshear","CAR","RB","16","2024","15","80","5.0","5.33","0","0","2","13.3","43","53.8","0.0","","46.7","46.7","3","0.20","52","3.47","65.0","1.87","12","80.0","60","0","5.00","50.0","3","20.0","20","0","6.67","33.3","0.5","8.0","8.0","0.5"
"99","Jordan Mims","NO","RB","9","2024","20","70","7.8","3.50","0","0","2","","0","","0.0","","40.0","50.0","0","","36","1.80","51.4","1.70","9","45.0","31","0","3.44","33.3","11","55.0","39","0","3.55","45.5","2.9","26.1","40.2","4.5"
"100","Deuce Vaughn","DAL","RB","6","2024","17","70","11.7","4.12","0","0","2","","0","","16.7","","41.2","52.9","4","0.24","46","2.71","65.7","1.41","11","64.7","42","0","3.82","36.4","6","35.3","28","0","4.67","50.0","2.0","11.8","16.7","2.8"
"101","JaMycal Hasty","NE","RB","13","2024","20","69","5.3","3.45","0","0","4","5.0","15","21.7","0.0","","45.0","50.0","2","0.10","38","1.90","55.1","1.55","7","35.0","23","0","3.29","42.9","13","65.0","46","0","3.54","46.2","2.2","28.8","29.2","2.2"
"102","Jeff Wilson","MIA","RB","9","2024","16","57","6.3","3.56","0","0","3","","0","","0.0","","43.8","43.8","1","0.06","34","2.13","59.6","1.44","8","50.0","15","0","1.88","37.5","7","43.8","42","0","6.00","57.1","1.2","10.6","13.8","1.5"
"103","Tony Jones","ARZ","RB","1","2024","4","55","55.0","13.75","1","0","1","25.0","46","83.6","0.0","25.0","50.0","25.0","2","0.50","53","13.25","96.4","0.50","0","","0","0","","","4","100.0","55","1","13.75","50.0","11.5","11.5","1.8","1.8"
"104","Mike Boone","CAR","RB","5","2024","13","51","10.2","3.92","0","0","3","","0","","0.0","","61.5","38.5","0","","21","1.62","41.2","2.31","8","61.5","28","0","3.50","62.5","5","38.5","23","0","4.60","60.0","1.2","5.9","10.9","2.2"
"105","DeeJay Dallas","ARZ","RB","16","2024","9","49","3.1","5.44","0","0","4","11.1","22","44.9","0.0","","66.7","33.3","0","","15","1.67","30.6","3.78","3","33.3","16","0","5.33","100.0","4","44.4","8","0","2.00","25.0","0.9","15.0","13.7","0.9"
"106","Clyde Edwards-Helaire","NO","RB","2","2024","13","46","23.0","3.54","0","0","2","","0","","0.0","","46.2","53.8","1","0.08","33","2.54","71.7","1.00","10","76.9","29","0","2.90","40.0","3","23.1","17","0","5.67","66.7","5.0","10.0","13.5","6.8"
"107","J.J. Taylor","HST","RB","4","2024","10","44","11.0","4.40","0","0","1","","0","","0.0","","50.0","40.0","0","","14","1.40","31.8","3.00","3","30.0","12","0","4.00","33.3","7","70.0","32","0","4.57","57.1","1.6","6.4","9.4","2.3"
"108","Hunter Luepke","DAL","FB","16","2024","12","38","2.4","3.17","0","0","6","","0","","6.7","","50.0","41.7","1","0.08","31","2.58","81.6","0.58","5","41.7","15","0","3.00","60.0","2","16.7","6","0","3.00","","1.7","26.9","35.1","2.2"
"109","Terrell Jennings","NE","RB","2","2024","13","33","16.5","2.54","0","0","0","","0","","0.0","","23.1","69.2","0","","30","2.31","90.9","0.23","8","61.5","21","0","2.63","25.0","5","38.5","12","0","2.40","20.0","1.7","3.3","12.5","6.2"
"110","Jase McClellan","ATL","RB","2","2024","13","32","16.0","2.46","0","0","2","","0","","0.0","","46.2","53.8","1","0.08","25","1.92","78.1","0.54","10","76.9","26","0","2.60","40.0","3","23.1","6","0","2.00","66.7","1.6","3.2","5.6","2.8"
"111","Rasheen Ali","BLT","RB","5","2024","10","31","6.2","3.10","0","0","2","","0","","0.0","","40.0","50.0","3","0.30","22","2.20","71.0","0.90","6","60.0","12","0","2.00","50.0","4","40.0","19","0","4.75","25.0","0.6","3.1","7.0","1.4"
"112","Eric Gray","NYG","RB","16","2024","14","31","1.9","2.21","0","1","1","","0","","15.8","","28.6","71.4","0","","22","1.57","71.0","0.64","7","50.0","17","0","2.43","28.6","7","50.0","14","0","2.00","28.6","1.3","20.3","30.8","1.9"
"113","Keaton Mitchell","BLT","RB","4","2024","15","30","7.5","2.00","0","0","2","","0","","0.0","","40.0","60.0","2","0.13","13","0.87","43.3","1.13","9","60.0","16","0","1.78","33.3","6","40.0","14","0","2.33","50.0","1.7","6.8","8.5","2.1"
"114","Kyle Juszczyk","SF","FB","17","2024","5","26","1.5","5.20","1","1","1","","0","","6.9","20.0","20.0","40.0","1","0.20","16","3.20","61.5","2.00","2","40.0","20","0","10.00","","1","20.0","-1","0","-1.00","","3.4","58.6","57.1","3.4"
"115","Jacob Kibodi","CLV","RB","1","2024","5","24","24.0","4.80","0","0","1","20.0","17","70.8","0.0","","20.0","60.0","1","0.20","9","1.80","37.5","3.00","5","100.0","24","0","4.80","20.0","0","","0","0","","","4.9","4.9","6.6","6.6"
"116","Travis Homer","CHI","RB","9","2024","6","23","2.6","3.83","0","0","2","","0","","0.0","","66.7","33.3","0","","13","2.17","56.5","1.67","3","50.0","9","0","3.00","33.3","3","50.0","14","0","4.67","100.0","0.7","6.4","6.7","0.7"
"117","Jonathon Brooks","CAR","RB","3","2024","9","22","7.3","2.44","0","0","0","","0","","12.5","","33.3","66.7","2","0.22","13","1.44","59.1","1.00","7","77.8","16","0","2.29","28.6","2","22.2","6","0","3.00","50.0","2.5","7.5","11.9","4.0"
"118","Jonathan Ward","PIT","RB","4","2024","5","22","5.5","4.40","0","0","1","","0","","0.0","","60.0","40.0","1","0.20","17","3.40","77.3","1.00","5","100.0","22","0","4.40","60.0","0","","0","0","","","0.6","2.2","2.4","0.6"
"119","Jermar Jefferson","DET","RB","2","2024","6","22","11.0","3.67","0","0","1","","0","","20.0","","83.3","33.3","0","","13","2.17","59.1","1.50","3","50.0","11","0","3.67","66.7","3","50.0","11","0","3.67","100.0","2.1","4.2","8.2","4.1"
"120","Dalvin Cook","DAL","RB","2","2024","8","20","10.0","2.50","0","0","0","","0","","0.0","","37.5","50.0","0","","14","1.75","70.0","0.75","6","75.0","14","0","2.33","50.0","2","25.0","6","0","3.00","","2.0","4.0","5.8","2.9"
"121","Aaron Shampklin","PIT","RB","3","2024","6","17","5.7","2.83","0","0","1","","0","","14.3","","16.7","33.3","0","","13","2.17","76.5","0.67","3","50.0","13","0","4.33","33.3","3","50.0","4","0","1.33","","0.6","1.7","4.6","1.5"
"122","Alec Ingold","MIA","FB","15","2024","10","17","1.1","1.70","1","2","6","","0","","5.9","10.0","60.0","40.0","0","","15","1.50","88.2","0.20","0","","0","0","","","0","","0","0","","","1.8","27.3","25.5","1.7"
"123","MarShawn Lloyd","GB","RB","1","2024","6","15","15.0","2.50","0","0","0","","0","","0.0","","16.7","66.7","0","","9","1.50","60.0","1.00","3","50.0","4","0","1.33","","3","50.0","11","0","3.67","33.3","2.8","2.8","4.4","4.4"
"124","Sione Vaki","DET","RB","11","2024","6","14","1.3","2.33","0","0","0","","0","","0.0","","33.3","50.0","0","","9","1.50","64.3","0.83","5","83.3","9","0","1.80","40.0","1","16.7","5","0","5.00","","0.7","8.1","8.3","0.8"
"125","Chris Collier","LV, BLT","RB","6","2024","5","12","2.0","2.40","0","0","0","","0","","0.0","","20.0","80.0","0","","9","1.80","75.0","0.60","2","40.0","6","0","3.00","50.0","3","60.0","6","0","2.00","","0.3","1.8","6.1","1.0"
"126","Blake Watson","DEN","RB","2","2024","4","10","5.0","2.50","0","0","2","","0","","0.0","","75.0","50.0","0","","5","1.25","50.0","1.25","4","100.0","10","0","2.50","75.0","0","","0","0","","","1.7","3.3","4.9","2.5"
"127","George Holani","SEA","RB","3","2024","3","10","3.3","3.33","0","0","1","","0","","0.0","","66.7","33.3","0","","5","1.67","50.0","1.67","1","33.3","3","0","3.00","100.0","2","66.7","7","0","3.50","50.0","0.6","1.9","2.7","0.9"
"128","C.J. Ham","MIN","FB","17","2024","2","10","0.6","5.00","1","0","1","","0","","5.0","50.0","100.0","","0","","4","2.00","40.0","3.00","1","50.0","8","0","8.00","100.0","0","","0","0","","","0.9","14.5","11.5","0.7"
"129","Michael Burton","DEN","FB","17","2024","7","8","0.5","1.14","1","0","3","","0","","12.5","14.3","57.1","42.9","0","","5","0.71","62.5","0.43","0","","0","0","","","0","","0","0","","","1.7","29.3","28.4","1.7"
"130","Tyrion Davis-Price","PHI","RB","1","2024","3","7","7.0","2.33","0","0","0","","0","","0.0","","","66.7","0","","8","2.67","114.3","-0.33","1","33.3","5","0","5.00","","2","66.7","2","0","1.00","","0.7","0.7","1.2","1.2"
"131","Reggie Gilliam","BUF","FB","14","2024","3","7","0.5","2.33","0","0","1","","0","","3.7","","33.3","33.3","0","","2","0.67","28.6","1.67","0","","0","0","","","0","","0","0","","","0.1","0.7","1.7","0.1"
"132","Ke'Shawn Vaughn","SF","RB","1","2024","2","4","4.0","2.00","0","0","0","","0","","0.0","","","50.0","0","","2","1.00","50.0","1.00","1","50.0","3","0","3.00","","1","50.0","1","0","1.00","","0.4","0.4","0.9","0.9"
"133","Darrynton Evans","CHI","RB","1","2024","3","3","3.0","1.00","0","0","0","","0","","0.0","","33.3","66.7","0","","1","0.33","33.3","0.67","1","33.3","0","0","","","2","66.7","3","0","1.50","50.0","0.3","0.3","1.2","1.2"
"134","Cody Schrader","LA","RB","1","2024","1","3","3.0","3.00","0","0","0","","0","","0.0","","","100.0","0","","2","2.00","66.7","1.00","1","100.0","3","0","3.00","","0","","0","0","","","1.9","1.9","1.8","1.8"
"135","Joshua Kelley","TEN","RB","2","2024","1","2","1.0","2.00","0","0","0","","0","","0.0","","","100.0","0","","2","2.00","100.0","0.00","0","","0","0","","","1","100.0","2","0","2.00","","0.1","0.2","0.4","0.2"
"136","British Brooks","HST","FB","3","2024","1","2","0.7","2.00","0","0","0","","0","","0.0","","","100.0","0","","2","2.00","100.0","0.00","0","","0","0","","","0","","0","0","","","0.1","0.2","0.6","0.2"
"137","Myles Gaskin","MIN","RB","4","2024","3","-1","-0.3","-0.33","0","0","0","","0","","0.0","","","100.0","0","","5","1.67","-500.0","-2.00","2","66.7","2","0","1.00","","1","33.3","-3","0","-3.00","","0.5","2.0","3.8","0.9"
"138","Dylan Laube","LV","RB","6","2024","1","0","0.0","","0","1","0","","0","","0.0","","","100.0","0","","2","2.00","","-2.00","1","100.0","0","0","","","0","","0","0","","","-0.2","-1.0","0.6","0.1"
