"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"65","Dalton Kincaid","BUF","TE","12","2025","179","44.2","9.3","455","19.1","49","4.1","14.1","0.27","39","79.6","571","47.6","20.1","3.19","11.65","14.64","269","6.90","80","2.05","5","21.7","8","4","2","6","38","17.3","1","0.03","27","0.151","1","2.0","44","89.8","6","12.2","10","6","60.0","0","149.2","29.5","3.2","23.5","51.4","25.1","","0.70","10.5","126.1","86.7","7.2","0.48","86.7"
"66","Rashee Rice","KC","WR","8","2025","250","72.9","4.9","377","16.9","77","9.6","26.2","0.31","53","68.8","571","71.4","27.3","2.28","7.42","10.77","423","7.98","87","1.64","5","45.5","17","5","2","4","60","31.9","10","0.19","28","0.112","6","7.8","67","87.0","26","33.8","11","2","18.2","0","106.6","37.9","0.7","54.0","44.4","","1.6","0.60","18.8","150.1","147.2","18.4","0.57","141.3"
"67","Josh Downs","IND","WR","16","2025","355","62.8","8.2","687","17.1","84","5.3","16.4","0.24","58","69.0","566","35.4","14.9","1.59","6.74","9.76","131","2.26","59","1.02","4","17.4","14","3","2","9","75","19.4","5","0.09","36","0.101","5","6.0","66","78.6","2","2.4","11","6","54.5","2","98.6","26.0","-0.7","18.9","80.6","","0.6","0.39","8.6","137.4","143.8","9.0","0.40","142.8"
"68","Chig Okonkwo","TEN","TE","17","2025","376","57.9","4.6","362","9.8","78","4.6","13.7","0.21","56","71.8","560","32.9","17.3","1.49","7.18","10.00","347","6.20","95","1.70","2","13.3","5","1","0","5","57","16.4","10","0.18","24","0.064","6","7.7","63","80.8","21","26.9","6","5","83.3","0","95.0","22.0","0.1","15.2","46.0","38.0","0.8","0.33","7.3","124.0","130.3","7.7","0.35","130.3"
"69","Kendrick Bourne","SF","WR","16","2025","336","57.1","10.4","539","14.4","52","3.3","9.6","0.15","37","71.2","551","34.4","13.6","1.64","10.60","14.89","174","4.70","91","2.46","0","0.0","2","0","0","6","40","11.8","3","0.08","27","0.080","7","13.5","46","88.5","1","1.9","11","7","63.6","0","89.5","17.0","2.3","75.6","24.4","","","0.27","5.8","92.1","82.5","5.2","0.25","82.5"
"70","Kayshon Boutte","NE","WR","14","2025","354","69.1","17.5","789","22.7","45","3.2","10.9","0.13","33","73.3","551","39.4","15.2","1.56","12.24","16.70","41","1.24","19","0.58","6","26.1","3","6","4","13","40","14.0","1","0.03","27","0.076","1","2.2","38","84.4","0","","14","10","71.4","2","144.5","15.9","2.2","89.8","9.9","0.3","","0.35","8.9","124.1","94.5","6.7","0.27","94.5"
"71","Mack Hollins","NE","WR","15","2025","326","58.5","13.4","868","21.6","65","4.3","14.3","0.20","46","70.8","550","36.7","13.9","1.69","8.46","11.96","102","2.22","27","0.59","2","8.0","5","5","2","11","55","18.0","2","0.04","28","0.086","2","3.1","51","78.5","0","","11","7","63.6","0","93.8","24.5","-0.3","73.3","24.2","2.5","","0.35","7.6","113.4","117.4","7.8","0.36","116.9"
"72","Brenton Strange","JAX","TE","12","2025","285","64.2","6.9","405","12.1","59","4.9","15.0","0.21","46","78.0","540","45.0","18.4","1.89","9.15","11.74","258","5.61","70","1.52","3","12.5","10","3","3","4","42","14.9","8","0.17","28","0.098","4","6.8","54","91.5","3","5.1","11","7","63.6","0","121.8","21.2","1.8","16.1","35.4","47.7","0.7","0.41","9.8","118.0","99.0","8.2","0.35","99.0"
"73","Darius Slayton","NYG","WR","14","2025","396","75.6","13.7","836","24.2","61","4.4","13.9","0.15","37","60.7","538","38.4","17.8","1.36","8.82","14.54","200","5.41","57","1.54","1","5.9","5","6","0","14","51","17.8","5","0.14","23","0.058","5","8.2","48","78.7","0","","13","6","46.2","1","94.8","18.7","0.1","82.6","17.4","","","0.25","7.1","99.8","122.8","8.8","0.31","122.8"
"74","Xavier Worthy","KC","WR","14","2025","381","66.8","12.8","920","26.9","72","5.1","14.8","0.19","42","58.3","532","38.0","15.7","1.40","7.39","12.67","206","4.90","45","1.07","1","4.8","6","3","0","17","58","18.0","10","0.24","22","0.058","2","2.8","48","66.7","9","12.5","6","3","50.0","0","80.3","22.3","-1.2","68.5","30.7","","0.8","0.29","7.9","109.9","149.1","10.7","0.38","143.9"
"75","Ricky Pearsall","SF","WR","9","2025","262","79.2","14.0","742","34.7","53","5.9","17.4","0.20","36","67.9","528","58.7","22.9","2.02","9.96","14.67","99","2.75","30","0.83","0","0.0","4","4","0","15","45","23.8","0","","27","0.103","1","1.9","38","71.7","3","5.7","6","5","83.3","3","68.8","22.6","0.9","77.1","22.9","","","0.34","9.8","88.6","115.9","12.9","0.44","114.2"
"76","Theo Johnson","NYG","TE","15","2025","402","73.1","8.1","588","15.2","73","4.9","15.8","0.18","45","61.6","528","35.2","16.2","1.31","7.23","11.73","215","4.78","80","1.78","5","26.3","13","7","2","5","56","18.5","2","0.04","25","0.062","10","13.7","60","82.2","9","12.3","24","16","66.7","3","95.0","19.7","-0.6","15.7","53.7","25.9","4.7","0.32","8.5","127.8","138.7","9.2","0.34","138.7"
"77","Jayden Higgins","HST","WR","17","2025","341","52.8","12.2","828","18.5","68","4.0","11.7","0.20","41","60.3","525","30.9","13.3","1.54","7.72","12.80","132","3.22","28","0.68","6","25.0","8","9","5","13","53","13.4","1","0.02","28","0.082","1","1.5","48","70.6","0","","8","3","37.5","0","101.7","22.2","-0.7","78.3","21.4","0.3","","0.38","7.6","129.5","125.5","7.4","0.37","125.5"
"78","AJ Barner","SEA","TE","17","2025","342","65.5","5.2","331","9.1","64","3.8","13.3","0.19","52","81.3","519","30.5","12.8","1.52","8.11","9.98","273","5.25","101","1.94","6","24.0","13","4","2","3","35","11.6","7","0.13","26","0.076","2","3.1","56","87.5","2","3.1","6","4","66.7","0","125.2","18.1","1.3","3.5","11.1","84.2","1.2","0.43","8.7","147.3","123.4","7.3","0.34","115.5"
"79","Elic Ayomanor","TEN","WR","16","2025","445","74.3","12.4","1064","30.0","86","5.4","16.3","0.19","41","47.7","515","32.2","17.3","1.16","5.99","12.56","124","3.02","42","1.02","4","28.6","8","5","2","15","68","20.8","2","0.05","30","0.067","7","8.1","54","62.8","1","1.2","20","12","60.0","1","67.7","21.4","-2.6","82.5","17.3","0.2","","0.26","7.3","116.5","155.6","9.7","0.35","155.6"
"80","Zach Ertz","WAS","TE","13","2025","331","71.3","8.8","628","20.5","71","5.5","18.6","0.21","50","70.4","504","38.8","19.0","1.52","7.10","10.08","136","2.72","34","0.68","4","23.5","8","4","2","5","54","21.5","3","0.06","25","0.076","8","11.3","60","84.5","1","1.4","16","14","87.5","1","97.4","25.1","-0.5","13.9","56.8","29.0","0.3","0.38","9.7","126.4","137.0","10.5","0.41","137.0"
"81","Tucker Kraft","GB","TE","8","2025","190","69.3","4.6","193","10.6","42","5.3","16.8","0.22","32","76.2","489","61.1","23.6","2.57","11.64","15.28","341","10.66","115","3.59","6","46.2","11","2","2","1","31","19.1","9","0.28","22","0.116","4","9.5","36","85.7","7","16.7","3","2","66.7","0","153.7","21.3","4.7","12.6","34.2","53.2","","0.62","14.7","117.2","75.0","9.4","0.39","74.5"
"82","Sam LaPorta","DET","TE","9","2025","229","76.8","5.7","281","15.9","49","5.4","17.8","0.21","40","81.6","489","54.3","21.8","2.14","9.98","12.23","277","6.93","87","2.18","3","14.3","6","1","1","0","32","16.9","7","0.18","23","0.100","1","2.0","42","85.7","2","4.1","5","4","80.0","1","128.7","20.4","2.9","19.7","41.9","37.6","0.9","0.47","11.9","106.9","75.8","8.4","0.33","75.8"
"83","Pat Freiermuth","PIT","TE","17","2025","297","50.0","6.3","334","10.7","53","3.1","9.6","0.18","41","77.4","486","28.6","13.4","1.64","9.17","11.85","271","6.61","101","2.46","4","15.4","8","4","2","4","38","10.4","5","0.12","21","0.071","1","1.9","44","83.0","9","17.0","9","8","88.9","0","122.1","18.3","1.8","17.5","60.9","21.5","","0.38","6.7","113.6","96.6","5.7","0.33","96.6"
"84","Ryan Flournoy","DAL","WR","15","2025","258","42.7","9.6","518","12.2","54","3.6","9.8","0.21","40","74.1","475","31.7","11.2","1.84","8.80","11.88","203","5.08","84","2.10","4","13.8","7","5","2","6","36","10.2","6","0.15","29","0.112","3","5.6","46","85.2","4","7.4","10","5","50.0","0","109.7","23.5","0.9","65.1","34.9","","","0.44","7.6","114.0","105.5","7.0","0.40","103.5"
"85","Evan Engram","DEN","TE","16","2025","337","52.7","4.5","330","7.7","74","4.6","12.6","0.22","50","67.6","461","28.8","12.2","1.37","6.23","9.22","308","6.16","98","1.96","1","4.2","10","2","0","4","42","11.6","4","0.08","19","0.056","6","8.1","58","78.4","9","12.2","4","3","75.0","0","88.9","22.8","-0.5","12.8","45.1","40.7","1.5","0.31","6.4","102.8","119.4","7.5","0.35","119.0"
"86","Adonai Mitchell","IND, NYJ","WR","16","2025","281","48.1","15.3","1115","28.4","73","4.6","14.2","0.26","33","45.2","453","28.3","13.1","1.61","6.21","13.73","82","2.48","44","1.33","2","11.8","8","6","1","19","66","17.5","3","0.09","15","0.053","5","6.8","42","57.5","1","1.4","13","7","53.8","2","46.2","29.2","-3.0","82.2","17.8","","","0.32","5.6","88.9","132.8","8.3","0.47","132.3"
"87","DeMario Douglas","NE","WR","17","2025","215","35.1","9.7","428","9.7","44","2.6","8.8","0.20","31","70.5","447","26.3","10.0","2.08","10.16","14.42","225","7.26","39","1.26","3","9.7","6","3","1","8","34","10.0","5","0.16","17","0.079","0","","32","72.7","6","13.6","4","3","75.0","2","125.9","24.2","2.4","17.7","80.5","","1.9","0.45","5.6","95.8","89.9","5.3","0.40","86.8"
"88","Jalen Nailor","MIN","WR","17","2025","373","65.2","13.3","664","17.7","50","2.9","10.3","0.13","29","58.0","444","26.1","13.8","1.19","8.88","15.31","117","4.03","45","1.55","4","22.2","11","7","3","10","36","10.8","3","0.10","23","0.062","1","2.0","32","64.0","1","2.0","9","7","77.8","2","74.5","15.5","-0.2","38.9","60.6","0.3","0.3","0.27","5.9","100.7","108.7","6.4","0.29","107.9"
"89","Darnell Mooney","ATL","WR","15","2025","420","83.3","14.1","999","28.2","71","4.7","15.1","0.17","32","45.1","443","29.5","14.0","1.05","6.24","13.84","78","2.44","20","0.63","1","5.9","8","5","0","15","60","20.0","2","0.06","25","0.060","7","9.9","47","66.2","3","4.2","11","2","18.2","0","70.3","18.3","-3.0","59.0","41.0","","","0.20","5.5","82.3","138.6","9.2","0.33","138.6"
"90","T.J. Hockenson","MIN","TE","15","2025","373","72.7","5.4","358","10.2","66","4.4","15.1","0.18","51","77.3","438","29.2","15.0","1.17","6.64","8.59","211","4.14","78","1.53","3","16.7","11","3","2","3","41","13.5","4","0.08","22","0.059","6","9.1","58","87.9","6","9.1","5","5","100.0","0","109.3","18.9","-0.5","15.5","40.2","44.0","0.3","0.30","7.5","112.8","114.0","7.6","0.30","113.5"
"91","Tyquan Thornton","KC","WR","14","2025","226","38.1","27.6","992","26.0","36","2.6","7.1","0.16","19","52.8","438","31.3","12.1","1.94","12.17","23.05","70","3.68","19","1.00","3","13.6","3","6","3","24","29","8.5","0","","15","0.066","2","5.6","25","69.4","1","2.8","8","4","50.0","2","124.5","18.4","0.4","62.8","37.2","","","0.36","5.8","80.8","84.3","6.0","0.37","84.3"
"92","Andrei Iosivas","CIN","WR","17","2025","505","73.2","10.0","581","12.9","58","3.4","9.1","0.11","33","56.9","435","25.6","10.2","0.86","7.50","13.18","110","3.33","42","1.27","2","5.6","7","3","1","7","34","8.1","6","0.18","24","0.048","7","12.1","49","84.5","1","1.7","15","5","33.3","1","77.9","12.2","-0.5","41.2","58.6","","0.2","0.18","5.3","89.9","107.3","6.3","0.21","106.0"
"93","Xavier Hutchinson","HST","WR","17","2025","379","58.7","10.4","582","13.0","56","3.3","9.6","0.15","35","62.5","428","25.2","10.8","1.13","7.64","12.23","152","4.34","54","1.54","3","12.5","7","3","1","7","49","12.4","4","0.11","19","0.050","1","1.8","40","71.4","1","1.8","6","3","50.0","0","96.4","16.4","-0.5","79.9","20.1","","","0.26","5.8","98.0","108.5","6.4","0.28","107.0"
"94","Chimere Dike","TEN","WR","17","2025","376","57.9","8.0","576","15.5","72","4.2","12.6","0.19","48","66.7","423","24.9","13.1","1.13","5.88","8.81","218","4.54","35","0.73","4","26.7","14","4","2","11","58","16.7","3","0.06","20","0.053","2","2.8","50","69.4","23","31.9","5","4","80.0","1","94.8","21.8","-1.5","27.7","71.8","","0.5","0.31","6.8","115.1","150.4","8.8","0.38","142.5"
"95","Mark Andrews","BLT","TE","17","2025","317","62.9","8.0","537","16.0","67","3.9","15.9","0.21","48","71.6","422","24.8","12.9","1.33","6.30","8.79","108","2.25","48","1.00","5","21.7","14","10","3","2","53","19.9","2","0.04","24","0.076","5","7.5","54","80.6","0","","10","8","80.0","0","100.5","23.6","-1.4","18.3","70.3","11.4","","0.41","7.7","131.0","139.9","8.2","0.41","130.0"
"96","Dawson Knox","BUF","TE","17","2025","282","48.2","7.0","337","9.8","48","2.8","9.7","0.17","36","75.0","417","24.5","10.5","1.48","8.69","11.58","187","5.19","49","1.36","4","13.8","12","6","3","3","34","10.8","3","0.08","23","0.082","4","8.3","43","89.6","4","8.3","7","3","42.9","0","111.2","18.8","0.9","13.8","34.8","49.3","2.1","0.37","6.1","103.7","86.1","5.1","0.31","86.1"
"97","Colby Parkinson","LA","TE","15","2025","233","41.2","4.8","265","5.5","55","3.7","10.2","0.24","43","78.2","408","27.2","9.6","1.75","7.42","9.49","276","6.42","67","1.56","8","18.6","21","6","3","4","36","9.9","5","0.12","24","0.103","6","10.9","51","92.7","10","18.2","8","5","62.5","0","129.6","19.2","0.5","19.3","13.7","67.0","","0.56","8.7","130.8","103.2","6.9","0.44","103.2"
"98","Keon Coleman","BUF","WR","13","2025","281","63.4","11.9","691","26.6","58","4.5","15.4","0.21","38","65.5","404","31.1","13.4","1.44","6.97","10.63","102","2.68","27","0.71","4","15.4","8","6","3","12","46","19.3","0","","25","0.089","5","8.6","46","79.3","2","3.4","12","7","58.3","0","101.5","22.6","-1.5","80.8","18.5","0.7","","0.37","8.0","103.4","109.4","8.4","0.39","109.4"
"99","KaVontae Turpin","DAL","WR","15","2025","235","38.1","9.7","368","8.1","38","2.5","6.8","0.16","26","68.4","396","26.4","9.3","1.69","10.42","15.23","194","7.46","40","1.54","2","8.3","5","4","1","6","26","7.3","4","0.15","16","0.068","4","10.5","31","81.6","4","10.5","3","3","100.0","1","109.1","18.0","2.9","23.8","74.9","","1.3","0.36","5.7","85.5","78.2","5.2","0.30","70.0"
"100","Garrett Wilson","NYJ","WR","7","2025","218","92.0","9.7","536","46.6","55","7.9","30.4","0.25","36","65.5","395","56.4","35.7","1.81","7.18","10.97","111","3.08","47","1.31","4","50.0","4","1","1","7","47","43.9","7","0.19","18","0.083","3","5.5","44","80.0","2","3.6","8","3","37.5","1","95.6","35.3","-0.5","61.0","39.0","","","0.46","14.2","99.5","100.0","14.3","0.46","100.0"
"101","Jalen Coker","CAR","WR","11","2025","271","75.5","9.6","392","19.8","41","3.7","13.2","0.15","33","80.5","394","35.8","18.8","1.45","9.61","11.94","99","3.00","41","1.24","3","23.1","3","2","1","4","33","18.4","3","0.09","22","0.081","0","","33","80.5","2","4.9","7","7","100.0","2","120.9","18.4","1.8","39.9","59.8","","0.4","0.34","8.3","91.4","68.7","6.2","0.25","68.7"
"102","Pat Bryant","DEN","WR","15","2025","279","47.1","9.8","460","11.6","47","3.1","8.7","0.17","31","66.0","378","25.2","11.0","1.35","8.04","12.19","153","4.94","55","1.77","1","5.0","7","3","1","6","35","10.3","4","0.13","22","0.079","2","4.3","36","76.6","3","6.4","7","4","57.1","0","71.1","18.2","0.4","41.2","57.7","1.1","","0.27","5.0","74.8","79.7","5.3","0.29","79.7"
"103","Calvin Austin","PIT","WR","14","2025","282","58.0","10.5","568","23.9","54","3.9","12.1","0.19","31","57.4","372","26.6","12.5","1.32","6.89","12.00","129","4.16","53","1.71","3","15.0","4","4","3","10","48","16.1","4","0.13","15","0.053","4","7.4","39","72.2","8","14.8","12","9","75.0","1","74.0","21.5","-1.3","48.6","50.7","","0.7","0.31","6.2","86.2","95.6","6.8","0.34","95.6"
"104","Sterling Shepard","TB","WR","13","2025","321","65.4","8.9","471","13.9","53","4.1","12.3","0.17","39","73.6","371","28.5","13.3","1.16","7.00","9.51","144","3.69","42","1.08","1","5.0","7","4","1","6","32","11.3","4","0.10","18","0.056","0","","44","83.0","8","15.1","8","3","37.5","0","98.9","18.5","-0.7","51.4","48.6","","","0.26","6.4","83.0","101.5","7.8","0.31","99.7"
"105","Mason Taylor","NYJ","TE","13","2025","331","70.9","5.8","368","13.3","63","4.8","17.0","0.19","44","69.8","369","28.4","16.7","1.11","5.86","8.39","149","3.39","45","1.02","1","7.7","8","2","1","1","43","18.5","0","","23","0.069","8","12.7","53","84.1","2","3.2","11","8","72.7","0","83.4","22.5","-1.2","21.8","33.5","43.8","0.9","0.27","6.8","88.9","101.3","7.8","0.31","101.3"
"106","Mike Evans","TB","WR","8","2025","209","65.9","14.1","833","35.9","59","7.4","21.5","0.28","30","50.8","368","46.0","20.3","1.76","6.24","12.27","40","1.33","16","0.53","3","23.1","9","7","3","14","49","27.8","1","0.03","23","0.110","4","6.8","40","67.8","0","","22","11","50.0","0","73.3","32.4","-2.7","75.6","24.4","","","0.41","10.6","84.8","127.7","16.0","0.61","127.7"
"107","Darnell Washington","PIT","TE","16","2025","182","33.5","5.2","223","7.9","43","2.7","8.5","0.24","31","72.1","364","22.8","10.9","2.00","8.47","11.74","233","7.52","99","3.19","1","4.0","8","2","1","0","25","7.6","11","0.35","16","0.088","5","11.6","38","88.4","3","7.0","7","5","71.4","0","95.5","19.3","1.5","17.0","17.6","65.4","","0.41","4.7","74.4","74.5","4.7","0.41","74.5"
"108","Xavier Legette","CAR","WR","15","2025","377","72.6","11.2","681","23.0","61","4.1","13.4","0.16","35","57.4","363","24.2","12.2","0.96","5.95","10.37","72","2.06","20","0.57","3","13.6","11","9","3","10","48","18.1","4","0.11","18","0.048","2","3.3","46","75.4","5","8.2","11","6","54.5","0","70.6","19.4","-2.3","61.3","38.7","","","0.24","6.0","89.3","116.6","7.8","0.31","116.1"
"109","Matthew Golden","GB","WR","14","2025","247","54.3","13.5","568","17.4","42","3.0","10.5","0.17","29","69.0","361","25.8","11.0","1.46","8.60","12.45","104","3.59","13","0.45","0","0.0","2","2","0","14","34","13.5","5","0.17","16","0.065","2","4.8","33","78.6","5","11.9","6","3","50.0","0","85.5","19.7","0.1","59.1","38.9","2.0","","0.28","5.0","70.0","77.8","5.6","0.30","73.0"
"110","Chris Godwin","TB","WR","9","2025","239","70.3","7.6","363","16.1","48","5.3","16.5","0.20","33","68.8","360","40.0","17.5","1.51","7.50","10.91","209","6.33","77","2.33","2","15.4","6","3","2","3","36","18.8","8","0.24","21","0.088","2","4.2","40","83.3","5","10.4","13","8","61.5","0","104.5","22.7","0.3","44.4","55.6","","","0.35","9.2","83.0","80.0","8.9","0.33","80.0"
"111","Gunnar Helm","TEN","TE","16","2025","230","37.5","5.6","301","8.3","54","3.4","10.1","0.23","44","81.5","357","22.3","11.5","1.55","6.61","8.11","168","3.82","44","1.00","2","13.3","8","4","1","1","39","12.1","4","0.09","17","0.074","3","5.6","51","94.4","6","11.1","14","9","64.3","1","106.6","24.3","-0.6","9.1","36.5","53.9","0.4","0.40","5.7","91.7","91.0","5.7","0.40","91.0"
"112","Van Jefferson","TEN","WR","16","2025","328","53.4","12.6","630","17.5","50","3.1","9.3","0.15","29","58.0","350","21.9","11.2","1.07","7.00","12.07","82","2.83","32","1.10","1","6.7","3","1","0","11","34","10.5","0","","17","0.052","1","2.0","33","66.0","1","2.0","9","6","66.7","1","86.3","16.9","-1.5","87.2","12.8","","","0.21","4.4","70.0","88.2","5.5","0.27","88.2"
"113","Cole Kmet","CHI","TE","16","2025","307","51.1","8.8","396","9.5","45","2.8","8.4","0.15","30","66.7","347","21.7","9.4","1.13","7.71","11.57","164","5.47","50","1.67","2","7.1","5","3","1","8","28","9.0","2","0.07","17","0.055","2","4.4","35","77.8","3","6.7","4","1","25.0","0","95.3","14.2","-0.5","22.1","22.1","52.1","3.6","0.26","4.9","78.7","79.6","5.0","0.26","79.6"
"114","JuJu Smith-Schuster","KC","WR","17","2025","323","46.9","5.0","210","5.0","42","2.5","7.2","0.13","33","78.6","345","20.3","8.7","1.07","8.21","10.45","195","5.91","80","2.42","1","4.3","8","2","1","0","29","7.5","4","0.12","19","0.059","1","2.4","36","85.7","5","11.9","7","5","71.4","0","89.0","13.9","1.6","55.1","44.3","0.6","","0.23","4.3","73.5","78.4","4.6","0.24","78.4"
"115","Isaiah Bond","CLV","WR","16","2025","325","54.3","17.1","700","21.3","41","2.6","7.8","0.13","18","43.9","338","21.1","11.3","1.04","8.24","18.78","68","3.78","10","0.56","0","0.0","3","3","0","14","32","10.2","1","0.06","12","0.037","1","2.4","26","63.4","4","9.8","9","4","44.4","0","62.9","15.8","-1.4","55.4","44.3","","0.3","0.17","3.4","54.7","83.3","5.2","0.25","80.9"
"116","Greg Dulcich","MIA","TE","10","2025","127","44.6","5.4","167","9.4","31","3.1","12.1","0.24","26","83.9","335","33.5","17.5","2.64","10.81","12.88","200","7.69","49","1.88","1","8.3","5","1","1","0","25","14.0","3","0.12","14","0.110","0","","28","90.3","3","9.7","7","5","71.4","0","122.4","24.4","3.8","15.7","33.1","50.4","0.8","0.50","6.4","63.8","55.1","5.5","0.42","53.5"
"117","Dontayvion Wicks","GB","WR","14","2025","213","46.2","11.6","509","14.5","44","3.1","10.9","0.21","30","68.2","332","23.7","10.4","1.56","7.55","11.07","72","2.40","34","1.13","2","8.7","4","2","1","9","40","15.7","3","0.10","21","0.099","2","4.5","34","77.3","1","2.3","8","5","62.5","0","86.6","23.3","-0.9","50.7","47.4","1.9","","0.36","5.4","75.8","79.7","5.7","0.37","79.3"
"118","DeAndre Hopkins","BLT","WR","17","2025","189","37.5","14.0","490","14.6","35","2.1","8.3","0.19","22","62.9","330","19.4","10.1","1.75","9.43","15.00","72","3.27","43","1.95","2","8.7","2","3","1","10","31","11.6","0","","15","0.079","1","2.9","25","71.4","0","","12","9","75.0","1","112.8","22.3","0.5","73.0","27.0","","","0.35","3.9","67.0","66.3","3.9","0.35","66.3"
"119","Michael Mayer","LV","TE","13","2025","209","44.4","4.6","227","8.9","49","3.8","12.2","0.23","35","71.4","328","25.2","12.7","1.57","6.69","9.37","208","5.94","80","2.29","1","7.1","6","0","0","2","34","12.3","5","0.14","18","0.086","1","2.0","39","79.6","5","10.2","6","2","33.3","0","70.8","22.9","-0.3","10.0","23.0","65.1","1.9","0.35","5.7","73.8","77.0","5.9","0.37","77.0"
"120","Tre Harris","LAC","WR","17","2025","273","39.9","9.6","403","9.1","42","2.5","7.4","0.15","30","71.4","324","19.1","8.2","1.19","7.71","10.80","140","4.67","63","2.10","1","3.8","5","2","1","8","33","8.9","4","0.13","18","0.066","1","2.4","33","78.6","5","11.9","8","6","75.0","0","101.7","18.0","-0.1","61.2","37.4","1.1","0.4","0.25","4.1","69.4","69.2","4.1","0.25","68.2"
"121","Marvin Mims","DEN","WR","15","2025","254","42.1","9.4","478","12.3","51","3.4","9.3","0.20","37","72.5","322","21.5","8.9","1.27","6.31","8.70","235","6.35","75","2.03","1","4.5","3","2","1","13","42","12.0","4","0.11","14","0.055","1","2.0","38","74.5","15","29.4","3","2","66.7","0","95.4","21.8","-1.1","64.6","31.1","","4.3","0.35","5.9","88.0","95.7","6.4","0.35","89.2"
"122","Tez Johnson","TB","WR","16","2025","275","46.3","11.8","497","12.1","42","2.6","8.1","0.15","28","66.7","322","20.1","9.1","1.17","7.67","11.50","113","4.04","13","0.46","5","20.8","7","5","3","6","32","9.4","9","0.32","16","0.058","2","4.8","33","78.6","4","9.5","9","6","66.7","1","129.2","16.8","-1.0","60.0","39.3","","0.7","0.34","5.8","92.4","83.6","5.2","0.29","80.1"
"123","Malik Washington","MIA","WR","17","2025","334","62.8","5.2","325","10.1","62","3.6","12.9","0.19","46","74.2","317","18.6","9.5","0.95","5.11","6.89","269","5.85","111","2.41","3","13.0","11","2","2","5","46","14.3","12","0.26","16","0.048","1","1.6","48","77.4","20","32.3","6","4","66.7","0","87.9","21.1","-1.7","47.0","49.4","0.3","3.3","0.33","6.6","111.7","120.7","7.1","0.33","111.7"
"124","Olamide Zaccheaus","CHI","WR","16","2025","305","51.2","7.2","445","10.6","62","3.9","11.7","0.20","39","62.9","313","19.6","8.5","1.03","5.05","8.03","147","3.77","51","1.31","2","7.7","12","4","1","4","39","12.3","2","0.05","15","0.049","4","6.5","44","71.0","6","9.7","8","6","75.0","1","79.6","23.2","-2.2","52.1","47.5","0.3","","0.28","5.3","84.8","105.4","6.6","0.34","103.6"
"125","Mike Gesicki","CIN","TE","13","2025","238","46.3","9.8","410","12.4","42","3.2","8.9","0.18","28","66.7","307","23.6","10.2","1.29","7.31","10.96","71","2.54","22","0.79","2","7.7","7","2","1","4","34","11.2","0","","19","0.080","1","2.4","32","76.2","0","","10","7","70.0","1","74.2","20.2","-1.1","18.5","79.4","2.1","","0.30","5.4","70.7","81.8","6.3","0.34","81.8"
"126","Isaiah Likely","BLT","TE","14","2025","219","53.3","7.6","275","10.6","36","2.6","10.4","0.16","27","75.0","307","21.9","12.0","1.40","8.53","11.37","129","4.78","23","0.85","1","7.1","6","3","1","3","20","9.4","3","0.11","11","0.050","2","5.6","30","83.3","1","2.8","4","3","75.0","0","109.4","18.1","1.1","11.9","74.9","13.2","","0.29","4.5","62.7","64.6","4.6","0.29","64.6"
"127","Josh Palmer","BUF","WR","12","2025","220","52.3","11.1","409","15.7","37","3.1","10.4","0.17","22","59.5","303","25.3","10.7","1.38","8.19","13.77","89","4.05","18","0.82","0","0.0","6","2","0","4","27","11.7","0","","13","0.059","0","","24","64.9","0","","6","4","66.7","0","63.2","19.9","-0.1","79.5","19.5","0.9","","0.24","4.4","52.3","68.4","5.7","0.31","68.4"
"128","Calvin Ridley","TEN","WR","7","2025","148","53.0","12.9","439","25.6","34","4.9","14.2","0.23","17","50.0","303","43.3","23.4","2.05","8.91","17.82","87","5.12","11","0.65","0","0.0","1","1","0","4","30","20.8","3","0.18","13","0.088","4","11.8","24","70.6","1","2.9","4","0","0.0","0","80.9","27.9","0.1","76.4","23.6","","","0.32","6.8","47.3","62.4","8.9","0.42","62.4"
"129","Xavier Smith","LA","WR","16","2025","130","22.0","17.0","392","7.7","23","1.4","4.1","0.18","18","78.3","303","18.9","6.8","2.33","13.17","16.83","108","6.00","22","1.22","0","0.0","3","0","0","8","14","3.7","1","0.06","11","0.085","0","","18","78.3","2","8.7","0","0","0.0","1","100.6","16.7","3.8","27.7","72.3","","","0.37","3.0","48.3","41.6","2.6","0.32","41.6"
"130","Elijah Higgins","ARZ","TE","17","2025","279","37.4","3.8","133","2.9","35","2.1","5.4","0.13","30","85.7","301","17.7","6.9","1.08","8.60","10.03","214","7.13","86","2.87","0","0.0","3","0","0","0","16","3.9","12","0.40","15","0.054","0","","31","88.6","3","8.6","7","4","57.1","0","90.6","14.0","2.0","10.8","41.6","45.2","2.5","0.21","3.5","59.1","57.9","3.4","0.21","57.9"
