"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"50","Brian Robinson","SF","RB","17","2025","92","400","23.5","4.35","2","0","20","4.3","68","17.0","7.7","2.2","54.3","40.2","11","0.12","226","2.46","56.5","1.89","59","64.1","250","2","4.24","49.2","33","35.9","150","0","4.55","63.6","3.7","62.5","71.2","4.2"
"51","Samaje Perine","CIN","RB","15","2025","84","382","25.5","4.55","3","3","32","2.4","53","13.9","21.1","3.6","57.1","32.1","12","0.14","197","2.35","51.6","2.20","42","50.0","180","1","4.29","57.1","42","50.0","202","2","4.81","57.1","5.3","79.9","77.5","5.2"
"52","Tank Bigsby","JAX, PHI","RB","16","2025","63","356","22.3","5.65","2","0","18","7.9","103","28.9","24.0","3.2","54.0","38.1","17","0.27","199","3.16","55.9","2.49","28","44.4","121","1","4.32","53.6","34","54.0","230","1","6.76","52.9","3.4","53.8","50.6","3.2"
"53","Keaton Mitchell","BLT","RB","13","2025","59","341","26.2","5.78","1","1","16","10.2","157","46.0","0.0","1.7","52.5","42.4","7","0.12","77","1.31","22.6","4.47","29","49.2","123","0","4.24","37.9","27","45.8","193","0","7.15","63.0","4.3","55.4","51.9","4.0"
"54","Michael Carter","ARZ","RB","13","2025","92","333","25.6","3.62","1","0","19","2.2","43","12.9","25.0","1.1","50.0","43.5","6","0.07","141","1.53","42.3","2.09","31","33.7","113","0","3.65","51.6","61","66.3","220","1","3.61","49.2","7.6","99.0","121.1","9.3"
"55","Sean Tucker","TB","RB","17","2025","86","320","18.8","3.72","7","1","22","3.5","76","23.8","55.0","8.1","47.7","48.8","9","0.10","152","1.77","47.5","1.95","34","39.5","94","0","2.76","29.4","52","60.5","226","7","4.35","59.6","5.4","91.4","91.8","5.4"
"56","Emari Demercado","ARZ","RB","13","2025","44","312","24.0","7.09","0","1","9","11.4","179","57.4","0.0","","40.9","45.5","8","0.18","136","3.09","43.6","4.00","12","27.3","100","0","8.33","50.0","32","72.7","212","0","6.63","37.5","4.6","59.3","54.5","4.2"
"57","Bhayshul Tuten","JAX","RB","15","2025","83","307","20.5","3.70","5","1","23","1.2","15","4.9","25.0","6.0","57.8","39.8","15","0.18","199","2.40","64.8","1.30","52","62.7","200","3","3.85","57.7","30","36.1","100","2","3.33","56.7","6.0","89.6","75.7","5.0"
"58","Jaylen Wright","MIA","RB","10","2025","70","288","28.8","4.11","2","2","17","2.9","50","17.4","33.3","2.9","52.9","40.0","14","0.20","171","2.44","59.4","1.67","37","52.9","113","1","3.05","48.6","32","45.7","171","1","5.34","56.3","4.9","49.2","56.7","5.7"
"59","Tyjae Spears","TEN","RB","13","2025","72","283","21.8","3.93","2","0","16","4.2","76","26.9","28.6","2.8","38.9","54.2","7","0.10","135","1.88","47.7","2.06","37","51.4","153","1","4.14","48.6","31","43.1","122","1","3.94","25.8","8.6","111.7","117.5","9.0"
"60","Ray Davis","BUF","RB","17","2025","58","275","16.2","4.74","0","0","15","5.2","55","20.0","4.7","","56.9","39.7","5","0.09","134","2.31","48.7","2.43","29","50.0","154","0","5.31","58.6","29","50.0","121","0","4.17","55.2","3.4","58.1","53.4","3.1"
"61","Bam Knight","ARZ","RB","12","2025","82","269","22.4","3.28","4","1","21","2.4","33","12.3","41.2","4.9","48.8","52.4","11","0.13","155","1.89","57.6","1.39","23","28.0","82","0","3.57","60.9","59","72.0","187","4","3.17","44.1","7.8","93.9","113.0","9.4"
"62","Malik Davis","DAL","RB","10","2025","52","250","25.0","4.81","2","0","11","7.7","101","40.4","9.5","3.8","50.0","46.2","4","0.08","97","1.87","38.8","2.94","36","69.2","168","2","4.67","50.0","16","30.8","82","0","5.13","50.0","4.1","40.6","39.0","3.9"
"63","Isaiah Davis","NYJ","RB","16","2025","43","236","14.8","5.49","1","0","7","9.3","108","45.8","0.0","2.3","37.2","44.2","6","0.14","139","3.23","58.9","2.26","27","62.8","151","1","5.59","33.3","14","32.6","69","0","4.93","42.9","4.5","71.2","64.9","4.1"
"64","Jeremy McNichols","WAS","RB","17","2025","44","221","13.0","5.02","1","1","13","6.8","95","43.0","2.9","2.3","45.5","43.2","11","0.25","163","3.70","73.8","1.32","25","56.8","133","1","5.32","44.0","19","43.2","88","0","4.63","47.4","4.3","73.7","71.0","4.2"
"65","Devin Neal","NO","RB","9","2025","57","206","22.9","3.61","2","0","11","3.5","36","17.5","20.0","3.5","54.4","40.4","6","0.11","102","1.79","49.5","1.82","49","86.0","175","1","3.57","55.1","8","14.0","31","1","3.88","50.0","6.7","60.0","65.4","7.3"
"66","Ty Johnson","BUF","RB","17","2025","50","200","11.8","4.00","3","0","13","4.0","40","20.0","14.0","6.0","54.0","44.0","4","0.08","94","1.88","47.0","2.12","31","62.0","115","1","3.71","54.8","12","24.0","34","2","2.83","41.7","5.9","100.3","87.3","5.1"
"67","Ollie Gordon","MIA","RB","17","2025","70","199","11.7","2.84","3","0","21","2.9","36","18.1","37.5","4.3","45.7","52.9","6","0.09","126","1.80","63.3","1.04","33","47.1","94","1","2.85","51.5","36","51.4","106","2","2.94","41.7","3.2","54.1","62.1","3.7"
"68","Audric Estime","NO","RB","6","2025","46","198","33.0","4.30","1","0","12","2.2","32","16.2","33.3","2.2","52.2","45.7","9","0.20","105","2.28","53.0","2.02","34","73.9","146","1","4.29","52.9","12","26.1","52","0","4.33","50.0","8.0","48.1","47.8","8.0"
"69","Jawhar Jordan","HST","RB","4","2025","43","193","48.3","4.49","0","0","8","2.3","50","25.9","16.7","","34.9","65.1","9","0.21","145","3.37","75.1","1.12","26","60.5","129","0","4.96","30.8","17","39.5","64","0","3.76","41.2","7.4","29.7","33.5","8.4"
