Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Bo Melton,GB,WR,4,1,,,5,
Bub Means,NO,WR,9,3,3,35,35,
Irvin Charles,NYJ,WR,1,,,,,
Mike Boone,CAR,RB,4,1,1,-2,-4,2
Velus Jones,CAR,WR,1,,,,,
Will Mallory,IND,TE,5,1,1,7,7,
Jaxon Smith-Njigba,SEA,WR,58,11,8,135,156,30
Jalen Moreno-Cropper,DAL,WR,2,,,,,
Sam LaPorta,DET,TE,21,5,3,35,39,21
Ross Dwelley,ATL,TE,4,,,,,
Christian McCaffrey,SF,RB,7,2,2,11,10,1
Khalil Shakir,BUF,WR,31,11,9,130,102,64
Sterling Shepard,TB,WR,29,3,3,59,50,9
Robert Woods,HST,WR,22,5,4,67,62,23
Jeremy McNichols,WAS,RB,10,3,3,5,1,4
Jerome Ford,CLV,RB,25,5,5,57,-11,68
George Pickens,PIT,WR,33,2,2,19,13,6
Rico Dowdle,DAL,RB,37,7,6,41,-12,55
Jermaine Burton,CIN,WR,6,1,1,41,27,14
Ricky Pearsall,SF,WR,12,3,1,13,57,
Pharaoh Brown,SEA,TE,6,1,,,5,
Chris Olave,NO,WR,16,3,3,36,25,11
Rashod Bateman,BLT,WR,25,2,,,9,
Grant Calcaterra,PHI,TE,17,3,3,32,18,14
Josh Jacobs,GB,RB,9,1,1,7,4,3
Cade Stover,HST,TE,9,3,1,3,13,7
Scott Miller,PIT,WR,5,,,,,
Jaylen Waddle,MIA,WR,27,6,5,75,50,33
Tee Higgins,CIN,WR,33,7,5,41,45,4
Ryan Flournoy,DAL,WR,10,1,,,21,
D'Onta Foreman,CLV,RB,3,1,1,6,3,3
Deebo Samuel,SF,WR,28,5,3,82,35,66
Devin Duvernay,JAX,WR,14,1,1,18,-3,21
Mike Gesicki,CIN,TE,30,4,4,40,21,19
Nikko Remigio,KC,WR,1,,,,,
Hayden Hurst,LAC,TE,6,,,,,
Clyde Edwards-Helaire,NO,RB,1,1,1,2,-3,5
Dalvin Cook,DAL,RB,1,1,1,10,4,6
Ben Skowronek,PIT,WR,6,,,,,
Trey Benson,ARZ,RB,5,1,1,7,-5,12
Julius Chestnut,TEN,RB,8,,,,,
Wan'Dale Robinson,NYG,WR,61,19,17,127,86,56
Zach Davidson,BUF,TE,5,,,,,
