Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
Zach Charbonnet,SEA,RB,15,Yes,No,Yes,9,No,Yes,0.2222,0.1111,16,4,4,1,0.4444,4,1,7,16,1,-9,4,4,1,-2.25,79.2,0.7778,1.75,-4.1962,1.75,4,0.25,6.6714,6.6714,0.2667,0.7,4.7,2.7,6.7,4.7,4.7,2.7,4.7,4.7,4.7,2.7,4.7,4.7,0.6667,,,1,,,,,,,,,,,
Chuba Hubbard,CAR,RB,16,No,No,Yes,10,No,Yes,0.1,0.1,15,8,8,1,0.8,8,1,93,134,25,-41,8,8,1,-5.125,154.7,9.3,11.625,6.1139,11.625,16.75,3.125,10.8674,10.8674,0.5,15.3,23.3,19.3,27.3,23.3,23.3,19.3,23.3,23.3,23.3,19.3,23.3,23.3,0.8,3,0.375,,4,,,,1,,,,,,
Jared Wayne,HST,WR,2,Yes,No,No,1,No,Yes,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,18,Yes,No,Yes,2,No,Yes,,,17,2,2,1,1,2,1,22,30,8,-8,2,2,1,-4,112.5,11,11,4.6636,11,15,4,4.5074,4.5074,0.1111,2.2,4.2,3.2,4.2,5.2,4.2,3.2,4.2,4.2,4.2,3.2,5.2,4.2,,,,,,,,1,,,,,,,
Rachaad White,TB,RB,45,No,No,Yes,32,No,Yes,0.2188,0.0312,17,23,23,1,0.7188,23,1,109,210,68,-101,23,23,1,-4.3913,86.4,3.4062,4.7391,-0.8932,4.7391,9.1304,2.9565,37.418,37.418,0.5111,10.9,33.9,22.4,45.4,33.9,36.9,25.4,33.9,33.9,33.9,22.4,33.9,33.9,0.75,9,0.3913,7,4,,,,,,,,,,
Cam Grandy,CIN,TE,1,No,No,No,1,No,Yes,,,5,1,1,1,1,1,1,6,8,10,-2,1,1,1,-2,91.7,6,6,1.1489,6,8,10,1.5043,1.5043,1,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,,,,,,,1,,,,,,,
Elijah Moore,BUF,WR,14,Yes,No,No,9,No,Yes,0.3333,0.6667,9,3,3,1,0.3333,2,0.6667,2,10,4,-11,3,3,1,-3.6667,70.1,0.2222,0.6667,-4.0606,1,5,2,4.1565,4.1565,0.2143,0.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,,1,0.5,,,1,0.3333,,,,,,,,
Malachi Corley,CLV,WR,16,No,Yes,No,11,No,No,0.7273,0.2727,13,6,5,0.8333,0.5455,5,0.8333,34,65,12,-17,6,6,1,-2.8333,90.3,3.0909,5.6667,0.967,6.8,13,2.4,8.9808,8.9808,0.375,3.4,8.4,5.9,8.4,8.4,8.4,5.9,8.4,8.4,8.4,5.9,8.4,8.4,,1,0.2,,1,,,,,,,,,,
Xavier Worthy,KC,WR,50,Yes,No,No,20,No,Yes,0.4,0.6,14,9,9,1,0.45,8,0.8889,32,59,10,-25,9,9,1,-2.7778,81.5,1.6,3.5556,-1.3238,4,7.375,1.25,15.3418,15.3418,0.18,3.2,11.2,7.2,11.2,11.2,11.2,7.2,11.2,11.2,11.2,7.2,11.2,11.2,,3,0.375,1,1,1,0.1111,,,,,,,,
Elic Ayomanor,TEN,WR,59,No,No,No,11,No,Yes,0.1818,0.8182,16,1,1,1,0.0909,1,1,6,7,4,-1,1,1,1,-1,91.7,0.5455,6,-0.1699,6,7,4,1.4786,1.4786,0.0169,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,,,,,,
