Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,TargetsContestedTotal,ReceptionsContested,TargetsInEndzone,TouchdownsInEndzone,DeepTargetTargetsTotal,ReceptionsHero
Tyjae Spears,TEN,RB,34,No,No,No,20,No,Yes,0.3,0.2,13,15,15,1,0.75,14,0.9333,99,162,52,-65,15,15,1,-4.3333,94.2,4.95,6.6,1.0923,7.0714,11.5714,3.7143,23.2662,23.2662,0.4412,9.9,23.9,16.9,30.9,23.9,23.9,16.9,23.9,23.9,23.9,16.9,23.9,23.9,0.5,8,0.5714,2,5,1,0.0667,,,,,,,,
Josh Oliver,MIN,TE,15,No,No,Yes,2,No,Yes,0.5,,15,1,1,1,0.5,1,1,12,16,-1,-4,1,1,1,-4,116.7,6,12,5.6636,12,16,-1,1.5708,1.5708,0.0667,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,,,,1,,,0.5,,,,,,,
Nick Chubb,HST,RB,9,No,No,No,5,No,Yes,,,15,4,4,1,0.8,4,1,24,37,2,-13,4,4,1,-3.25,91.7,4.8,6,0.0182,6,9.25,0.5,7.7029,7.7029,0.4444,2.4,6.4,4.4,8.4,6.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,1,,,1,1,,,,,,,,,,
Marquise Brown,KC,WR,43,No,No,No,21,No,Yes,0.2857,0.7143,16,7,7,1,0.3333,7,1,28,52,6,-24,7,7,1,-3.4286,122.9,1.3333,4,-0.7455,4,7.4286,0.8571,10.1534,10.1534,0.1628,8.8,15.8,12.3,15.8,15.8,15.8,12.3,15.8,15.8,15.8,12.3,15.8,15.8,,1,0.1429,1,2,,,,1,,,,,,
Michael Carter,ARZ,RB,16,Yes,No,No,9,No,Yes,,0.1111,13,1,1,1,0.1111,1,1,14,17,1,-3,1,1,1,-3,118.8,1.5556,14,7.8809,14,17,1,1.2595,1.2595,0.0625,1.4,2.4,1.9,2.9,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,0.8889,,,,1,,,,,,,,,,
John Metchie,NYJ,WR,27,No,No,Yes,12,No,Yes,0.3333,0.6667,16,7,7,1,0.5833,7,1,24,52,9,-28,7,7,1,-4,81,2,3.4286,-1.0937,3.4286,7.4286,1.2857,10.2725,10.2725,0.2593,2.4,9.4,5.9,9.4,9.4,9.4,5.9,9.4,9.4,9.4,5.9,9.4,9.4,,1,0.1429,,2,,,,,,,,,,
Jalen Nailor,MIN,WR,44,No,No,Yes,15,No,Yes,0.6,0.3333,17,1,1,1,0.0667,1,1,9,12,13,-3,1,1,1,-3,104.2,0.6,9,4.0592,9,12,13,1.587,1.587,0.0227,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,1,1,,,,,0.0667,,,,,,,
KaVontae Turpin,DAL,WR,14,No,No,No,11,No,Yes,0.6364,0.3636,15,4,4,1,0.3636,3,0.75,17,12,,3,4,4,1,0.75,82.3,1.5455,4.25,-1.6098,5.6667,4,,5.929,5.929,0.2857,1.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,,1,0.3333,,1,1,0.25,,,,,,,,
Tyler Badie,DEN,RB,15,No,No,No,12,No,Yes,,,16,10,10,1,0.8333,9,0.9,89,137,25,-54,10,10,1,-5.4,103.7,7.4167,8.9,3.3496,9.8889,15.2222,2.7778,16.3211,16.3211,0.6667,8.9,17.9,13.4,22.4,17.9,17.9,13.4,17.9,17.9,17.9,13.4,17.9,17.9,1,2,0.2222,2,6,1,0.1,,,,,,,,
Jalen Brooks,ARZ,WR,7,Yes,No,No,2,No,Yes,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owen Wright,TB,RB,1,No,No,No,1,No,Yes,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Kevin Austin,NO,WR,18,Yes,No,No,4,No,Yes,0.25,0.75,8,1,1,1,0.25,1,1,3,5,,-2,1,1,1,-2,79.2,0.75,3,-2.4991,3,5,,1.7404,1.7404,0.0556,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,,,,,,,,
Bhayshul Tuten,JAX,RB,7,No,No,No,4,No,Yes,0.5,,15,3,3,1,0.75,3,1,37,55,4,-18,3,3,1,-6,157.6,9.25,12.3333,7.244,12.3333,18.3333,1.3333,4.0526,4.0526,0.4286,9.7,12.7,11.2,14.2,12.7,12.7,11.2,12.7,12.7,12.7,11.2,12.7,12.7,0.5,3,1,1,2,,,,1,,,,,,
Casey Washington,ATL,WR,6,Yes,No,No,1,No,Yes,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell,PIT,RB,45,No,No,No,28,No,Yes,0.2143,0.0357,17,19,19,1,0.6786,18,0.9474,100,177,41,-81,19,19,1,-4.2632,88.6,3.5714,5.2632,-0.3002,5.5556,9.8333,2.2778,29.5899,29.5899,0.4222,10,28,19,37,28,31,22,28,28,28,19,28,28,0.6071,1,0.0556,3,4,1,0.0526,0.1429,,,,,,,
Mack Hollins,NE,WR,10,No,No,Yes,2,No,Yes,0.5,0.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,29,Yes,No,No,9,No,Yes,0.4444,,17,4,4,1,0.4444,4,1,29,33,12,-4,4,4,1,-1,96.9,3.2222,7.25,1.4026,7.25,8.25,3,6.4919,6.4919,0.1379,2.9,6.9,4.9,6.9,8.9,6.9,4.9,6.9,6.9,6.9,4.9,8.9,6.9,,1,0.25,2,1,,,0.5556,,1,1,,,,1
David Montgomery,DET,RB,20,No,No,No,9,No,No,,,17,6,6,1,0.6667,6,1,46,65,9,-19,6,6,1,-3.1667,98.6,5.1111,7.6667,1.7842,7.6667,10.8333,1.5,8.9909,8.9909,0.3,4.6,10.6,7.6,13.6,10.6,10.6,7.6,10.6,10.6,10.6,7.6,10.6,10.6,1,,,,3,,,,,,,,,,
Dareke Young,SEA,WR,1,Yes,No,Yes,1,No,Yes,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Bech,LV,WR,15,No,No,No,4,No,Yes,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,38,No,No,No,17,No,Yes,0.2941,,16,9,9,1,0.5294,9,1,48,88,44,-40,9,9,1,-4.4444,88.9,2.8235,5.3333,-0.1439,5.3333,9.7778,4.8889,15.5881,15.5881,0.2368,4.8,13.8,9.3,18.3,13.8,13.8,9.3,13.8,13.8,13.8,9.3,13.8,13.8,0.6471,3,0.3333,2,2,,,0.0588,,,,,,,
Kendrick Bourne,SF,WR,20,Yes,No,Yes,5,No,Yes,0.6,0.4,16,1,1,1,0.2,1,1,6,9,,-3,1,1,1,-3,91.7,1.2,6,1.0592,6,9,,1.5333,1.5333,0.05,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,5,No,No,No,1,No,Yes,,1,12,1,1,1,1,1,1,-8,,,-8,1,1,1,-8,79.2,-8,-8,-10.5405,-8,,,2.0889,2.0889,0.2,-0.8,0.2,-0.3,0.2,0.2,0.2,-0.3,0.2,0.2,0.2,-0.3,0.2,0.2,,1,1,1,,,,,,,,,,,
Jauan Jennings,SF,WR,34,Yes,No,Yes,9,No,Yes,0.1111,0.8889,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,18,No,No,No,5,No,Yes,1,,13,2,2,1,0.4,2,1,7,15,3,-8,2,2,1,-4,81.3,1.4,3.5,-1.6193,3.5,7.5,1.5,4.1146,4.1146,0.1111,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,,,,1,,,,,,,,,,,
Tahj Washington,MIA,WR,4,Yes,No,Yes,2,No,Yes,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Conner,MIA,TE,16,No,No,Yes,2,No,Yes,0.5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
Quintin Morris,JAX,TE,6,No,No,No,1,No,Yes,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,3,No,No,No,1,No,Yes,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Tyler Higbee,LA,TE,18,Yes,No,No,8,No,Yes,,,10,6,5,0.8333,0.75,5,0.8333,45,55,14,-15,6,6,1,-2.5,97.9,5.625,7.5,2.2306,9,11,2.8,9.4457,9.4457,0.3333,4.5,9.5,7,9.5,12,9.5,7,9.5,9.5,9.5,7,12,9.5,,,,2,2,,,1,,,,,,,
Adonai Mitchell,NYJ,WR,27,No,No,Yes,5,No,Yes,,1,16,1,,,0.2,,,,,,-4,1,1,1,-4,39.6,,,-4.4851,,,,1.3667,1.3667,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Heyward,PIT,TE,4,No,No,No,1,No,Yes,,,16,1,1,1,1,1,1,3,4,,-1,1,1,1,-1,79.2,3,3,-1.9014,3,4,,1.1635,1.1635,0.25,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,1,,,,,,,,,,,,,,
Dylan Sampson,CLV,RB,22,No,Yes,No,15,No,No,0.2667,0.0667,15,8,7,0.875,0.5333,7,0.875,94,129,10,-40,8,8,1,-5,155.2,6.2667,11.75,6.285,13.4286,18.4286,1.4286,11.3566,11.3566,0.3636,15.4,22.4,18.9,25.9,22.4,22.4,18.9,22.4,22.4,22.4,18.9,22.4,22.4,0.6667,1,0.1429,1,3,,,,1,,,,,,
Jawhar Jordan,HST,RB,4,No,No,No,3,No,Yes,0.3333,0.3333,4,2,2,1,0.6667,2,1,10,19,7,-9,2,2,1,-4.5,87.5,3.3333,5,-0.7205,5,9.5,3.5,3.4645,3.4645,0.5,1,3,2,4,3,3,2,3,3,3,2,3,3,0.3333,1,0.5,,1,,,,,,,,,,
Nick Westbrook-Ikhine,MIA,WR,34,Yes,No,Yes,7,No,Yes,0.5714,0.4286,15,2,2,1,0.2857,2,1,-1,8,4,-9,2,2,1,-4.5,79.2,-0.1429,-0.5,-4.8223,-0.5,4,2,3.6487,3.6487,0.0588,-0.1,1.9,0.9,1.9,1.9,1.9,0.9,1.9,1.9,1.9,0.9,1.9,1.9,,,,,,,,,,,,,,,
Pat Bryant,DEN,WR,30,No,No,No,11,No,Yes,0.3636,0.6364,15,3,3,1,0.2727,3,1,13,17,2,-4,3,3,1,-1.3333,84.7,1.1818,4.3333,-1.6129,4.3333,5.6667,0.6667,7.348,7.348,0.1,1.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,,1,0.3333,2,,,,,,,,,,,
Marquez Valdes-Scantling,PIT,WR,23,No,No,No,11,No,Yes,0.1818,0.8182,10,3,3,1,0.2727,3,1,15,18,7,-3,3,3,1,-1,87.5,1.3636,5,-1.1699,5,6,2.3333,4.6441,4.6441,0.1304,1.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,,,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,6,No,No,No,5,No,Yes,0.2,,15,4,4,1,0.8,4,1,9,30,9,-21,4,4,1,-5.25,79.2,1.8,2.25,-2.9764,2.25,7.5,2.25,6.3223,6.3223,0.6667,0.9,4.9,2.9,6.9,4.9,4.9,2.9,4.9,4.9,4.9,2.9,4.9,4.9,0.6,1,0.25,1,,,,0.2,,,,,,,
Miles Sanders,DAL,RB,4,Yes,No,No,2,No,Yes,,,4,2,2,1,1,2,1,9,19,7,-10,2,2,1,-5,85.4,4.5,4.5,-0.8239,4.5,9.5,3.5,2.7665,2.7665,0.5,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,1,1,0.5,,,,,,,,,,,,
Charlie Jones,CIN,WR,2,No,No,No,1,No,Yes,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,6,No,No,No,1,No,Yes,,,9,1,1,1,1,1,1,14,18,,-4,1,1,1,-4,118.8,14,14,7.6636,14,18,,1.56,1.56,0.1667,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,,,,,1,,,1,,,,,,,
Jamari Thrash,CLV,WR,11,No,Yes,Yes,6,No,Yes,0.8333,0.1667,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Golden,GB,WR,21,No,No,Yes,9,No,Yes,0.7778,0.2222,14,5,5,1,0.5556,5,1,5,16,-2,-11,5,5,1,-2.2,79.2,0.5556,1,-4.4099,1,3.2,-0.4,8.2466,8.2466,0.2381,0.5,5.5,3,5.5,5.5,5.5,3,5.5,5.5,5.5,3,5.5,5.5,,3,0.6,1,,,,,,,,,,,
Saquon Barkley,PHI,RB,23,No,No,Yes,8,No,Yes,0.125,0.25,16,5,5,1,0.625,5,1,15,40,6,-25,5,5,1,-5,79.2,1.875,3,-2.2811,3,8,1.2,6.4094,6.4094,0.2174,1.5,6.5,4,9,6.5,6.5,4,6.5,6.5,6.5,4,6.5,6.5,0.625,1,0.2,1,1,,,,,,,,,,
Evan Engram,DEN,TE,32,No,No,No,15,No,Yes,0.4667,,16,9,8,0.8889,0.6,8,0.8889,65,80,29,-18,9,9,1,-2,96.8,4.3333,7.2222,1.6469,8.125,10,3.625,13.6035,13.6035,0.2812,6.5,14.5,10.5,14.5,18.5,14.5,10.5,14.5,14.5,14.5,10.5,18.5,14.5,,1,0.125,1,2,,,0.5333,,,,,,,
Bam Knight,ARZ,RB,14,Yes,No,No,8,No,Yes,0.25,0.125,12,1,1,1,0.125,1,1,2,5,4,-3,1,1,1,-3,79.2,0.25,2,-4.1191,2,5,4,1.6239,1.6239,0.0714,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,0.625,1,1,,,,,,,,,,,,
Jaret Patterson,LAC,RB,7,No,No,No,2,No,Yes,,,6,1,1,1,0.5,1,1,1,2,,-1,1,1,1,-1,79.2,0.5,1,-4.819,1,2,,1.5699,1.5699,0.1429,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1,,,,,,,,,,,,,,
Josh Whyle,GB,TE,2,No,No,Yes,2,No,Yes,,,8,1,1,1,0.5,1,1,1,6,1,-5,1,1,1,-5,79.2,0.5,1,-3.3733,1,6,1,1.72,1.72,0.5,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,,,,,,,1,,,,,,,
Travis Etienne,JAX,RB,39,No,No,No,28,No,Yes,0.1786,0.0357,17,22,19,0.8636,0.7857,16,0.7273,140,199,31,-79,22,22,1,-3.5909,119.5,5,6.3636,0.5852,8.75,12.4375,1.9375,33.7882,33.7882,0.5641,26,42,34,50,42,45,37,42,42,42,34,42,42,0.7857,4,0.25,2,5,2,0.0909,,2,1,,,,,
Samaje Perine,CIN,RB,13,No,Yes,No,3,No,No,,,15,3,3,1,1,3,1,10,19,6,-9,3,3,1,-3,80.6,3.3333,3.3333,-2.629,3.3333,6.3333,2,4.4728,4.4728,0.2308,1,4,2.5,5.5,4,4,2.5,4,4,4,2.5,4,4,1,1,0.3333,1,,,,,,,,,,,
Jordan Whittington,LA,WR,20,Yes,No,No,3,No,Yes,0.3333,0.6667,17,2,2,1,0.6667,2,1,9,11,3,-2,2,2,1,-1,85.4,3,4.5,-1.6699,4.5,5.5,1.5,3.0994,3.0994,0.1,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,,,,,1,,,,,,,,,,
J.K. Dobbins,DEN,RB,19,Yes,Yes,No,6,No,Yes,0.1667,,10,5,5,1,0.8333,3,0.6,4,19,5,-27,5,5,1,-5.4,64.6,0.6667,0.8,-4.5418,1.3333,6.3333,1.6667,6.5255,6.5255,0.2632,0.4,3.4,1.9,4.9,3.4,3.4,1.9,3.4,3.4,3.4,1.9,3.4,3.4,0.8333,1,0.3333,,,2,0.4,,,,,,,,
Emari Demercado,ARZ,RB,9,Yes,No,No,9,No,Yes,0.2222,,13,3,3,1,0.3333,2,0.6667,-6,1,1,-12,3,3,1,-4,70.1,-0.6667,-2,-7.9801,-3,0.5,0.5,4.3641,4.3641,0.3333,-0.6,1.4,0.4,2.4,1.4,1.4,0.4,1.4,1.4,1.4,0.4,1.4,1.4,0.7778,,,,,1,0.3333,,,,,,,,
Quentin Skinner,NYJ,WR,2,No,No,Yes,1,No,Yes,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,22,No,No,No,11,No,Yes,0.3636,0.0909,17,7,7,1,0.6364,7,1,40,58,9,-18,7,7,1,-2.5714,130.1,3.6364,5.7143,0.2867,5.7143,8.2857,1.2857,10.3315,10.3315,0.3182,10,17,13.5,17,20.5,17,13.5,17,17,17,13.5,20.5,17,,,,2,1,,,0.5455,1,,,,,,
Davante Adams,LA,WR,31,Yes,No,No,4,No,Yes,0.25,0.75,14,1,,,0.25,,,,,,,1,1,1,,39.6,,,-6.0386,,,,1.5559,1.5559,0.0323,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Dare Ogunbowale,HST,RB,2,No,No,No,1,No,Yes,,,17,1,1,1,1,1,1,8,11,2,-3,1,1,1,-3,100,8,8,1.8809,8,11,2,1.195,1.195,0.5,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1,,,,,,,,,,,,,,
Jerry Jeudy,CLV,WR,53,No,Yes,No,25,No,No,0.04,0.96,17,2,2,1,0.08,2,1,4,11,1,-7,2,2,1,-3.5,79.2,0.16,2,-2.7129,2,5.5,0.5,4.9773,4.9773,0.0377,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,,,,,,,,,,,,,,,
Nico Collins,HST,WR,19,No,No,No,7,No,Yes,0.1429,0.8571,15,3,3,1,0.4286,3,1,5,15,6,-10,3,3,1,-3.3333,79.2,0.7143,1.6667,-3.1222,1.6667,5,2,9.0647,9.0647,0.1579,0.5,3.5,2,3.5,3.5,3.5,2,3.5,3.5,3.5,2,3.5,3.5,,,,,,,,,,,,,,,
Elijah Arroyo,SEA,TE,14,No,No,No,1,Yes,Yes,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Slayton,NYG,WR,45,No,No,No,13,No,Yes,0.0769,0.9231,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Brooks,GB,RB,9,No,No,Yes,3,No,Yes,,,17,1,1,1,0.3333,1,1,1,6,2,-5,1,1,1,-5,79.2,0.3333,1,-4.8711,1,6,2,1.3667,1.3667,0.1111,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1,,,,,,,,,,,,,,
Christian Watson,GB,WR,15,No,No,No,4,No,Yes,0.25,0.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,
Kyle Williams,NE,WR,11,Yes,No,Yes,2,No,Yes,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,ARZ,RB,7,No,No,No,5,No,Yes,,,3,4,4,1,0.8,4,1,4,22,9,-18,4,4,1,-4.5,118.8,0.8,1,-4.4866,1,5.5,2.25,7.1401,7.1401,0.5714,6.4,10.4,8.4,12.4,10.4,10.4,8.4,10.4,10.4,10.4,8.4,10.4,10.4,1,1,0.25,1,1,,,,1,,,,,,
Tyler Conklin,LAC,TE,5,No,No,No,3,No,Yes,0.3333,,10,2,2,1,0.6667,1,0.5,3,7,6,-7,2,2,1,-3.5,56.3,1,1.5,-4.6008,3,7,6,2.7932,2.7932,0.4,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,2,2,,,1,0.5,0.6667,,,,,,,
Anthony Firkser,DET,TE,11,No,No,No,2,No,No,0.5,,7,1,1,1,0.5,1,1,-4,1,,-5,1,1,1,-5,79.2,-2,-4,-8.3733,-4,1,,1.3529,1.3529,0.0909,-0.4,0.6,0.1,0.6,1.1,0.6,0.1,0.6,0.6,0.6,0.1,1.1,0.6,,,,1,,,,0.5,,,,,,,
Justice Hill,BLT,RB,13,No,No,No,8,No,Yes,0.25,,10,7,7,1,0.875,5,0.7143,41,61,13,-24,7,7,1,-3.4286,125.6,5.125,5.8571,0.1421,8.2,12.2,2.6,9.3335,9.3335,0.5385,10.1,15.1,12.6,17.6,15.1,15.1,12.6,15.1,15.1,15.1,12.6,15.1,15.1,0.75,2,0.4,1,2,2,0.2857,,1,,,,,,
D'Andre Swift,CHI,RB,30,No,No,No,20,No,No,0.05,0.05,16,14,14,1,0.7,14,1,121,204,26,-83,14,14,1,-5.9286,102.7,6.05,8.6429,3.499,8.6429,14.5714,1.8571,24.2018,24.2018,0.4667,12.1,26.1,19.1,33.1,26.1,29.1,22.1,26.1,26.1,26.1,19.1,26.1,26.1,0.9,1,0.0714,1,5,,,,,,,,,,
Ja'Marr Chase,CIN,WR,41,No,Yes,No,31,No,No,0.4516,0.5161,16,26,25,0.9615,0.8387,23,0.8846,143,197,63,-58,26,26,1,-2.2308,73.6,4.6129,5.5,0.2335,6.2174,8.5652,2.7391,40.5983,40.5983,0.6341,14.3,37.3,25.8,37.3,37.3,40.3,28.8,37.3,37.3,37.3,25.8,37.3,37.3,0.0323,8,0.3478,2,4,2,0.0769,,,,,,,,
Tommy Tremble,CAR,TE,18,No,No,Yes,7,No,Yes,0.2857,0.1429,17,1,1,1,0.1429,1,1,9,11,1,-2,1,1,1,-2,104.2,1.2857,9,4.1489,9,11,1,3.0989,3.0989,0.0556,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,,,,,,,0.5714,,,,,,,
Jonathan Mingo,DAL,WR,3,No,No,No,1,No,Yes,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Kupp,SEA,WR,33,Yes,No,Yes,11,No,Yes,0.7273,0.2727,16,4,4,1,0.3636,4,1,21,32,6,-11,4,4,1,-2.75,88.5,1.9091,5.25,0.1159,5.25,8,1.5,7.778,7.778,0.1212,2.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,,1,0.25,3,1,,,,,,,,,,
Kayshon Boutte,NE,WR,18,Yes,No,Yes,4,No,Yes,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahj Brooks,CIN,RB,3,No,No,No,2,No,Yes,,,12,1,1,1,0.5,1,1,9,11,1,-2,1,1,1,-2,104.2,4.5,9,2.802,9,11,1,1.5182,1.5182,0.3333,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1,,,,,,,,,,,,,,
Robbie Chosen,WAS,WR,4,No,No,Yes,1,No,Yes,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,43,Yes,No,No,19,No,Yes,0.1579,0.8421,17,2,2,1,0.1053,2,1,2,8,9,-6,2,2,1,-3,79.2,0.1053,1,-3.9921,1,4,4.5,7.7445,7.7445,0.0465,0.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,,1,0.5,,,,,,,,,,,,
Ian Thomas,LV,TE,10,No,No,No,2,No,Yes,,,15,1,1,1,0.5,1,1,5,9,3,-4,1,1,1,-4,87.5,2.5,5,-1.3364,5,9,3,1.393,1.393,0.1,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,,,,,,,1,,,,,,,
Zay Flowers,BLT,WR,38,No,No,No,28,No,Yes,0.6429,0.3571,17,18,17,0.9444,0.6429,16,0.8889,95,137,23,-50,18,18,1,-2.7778,107.2,3.3929,5.2778,0.3897,5.9375,8.5625,1.4375,29.6215,29.6215,0.4737,15.5,31.5,23.5,31.5,31.5,31.5,23.5,31.5,31.5,31.5,23.5,31.5,31.5,,3,0.1875,4,2,1,0.0556,,1,,,,,,
Zavier Scott,MIN,RB,6,No,No,Yes,6,No,Yes,0.1667,0.3333,11,5,5,1,0.8333,5,1,40,60,31,-20,5,5,1,-4,100,6.6667,8,2.3866,8,12,6.2,8.382,8.382,0.8333,4,9,6.5,11.5,9,9,6.5,9,9,9,6.5,9,9,0.5,2,0.4,,2,,,,,,,,,,
Jahmyr Gibbs,DET,RB,44,No,No,No,26,No,No,0.1538,0.1923,17,22,18,0.8182,0.8462,17,0.7727,170,255,45,-25,22,22,1,-1.1364,113.8,6.5385,7.7273,2.3337,10,15,2.6471,31.2311,31.2311,0.5,23,40,31.5,48.5,40,43,34.5,40,40,40,31.5,40,40,0.6538,13,0.7647,2,5,1,0.0455,,1,,,,,1,
Cody White,SEA,WR,1,Yes,No,Yes,1,No,Yes,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
