Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsContestedTotal,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,TouchdownsTotal
Elijah Moore,CLV,WR,26,No,No,No,9,2,No,No,1,0.5,0.2222,1,0.5,-3,,,-3,,0.3333,2,2,1,-1.5,56.3,-0.3333,-1.5,-6.9897,-3,,,2.6863,2.6863,0.0769,-0.3,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,17,0.6667,,,,,,,,,,
Rachaad White,TB,RB,43,Yes,No,Yes,30,19,Yes,Yes,19,1,0.6333,19,1,172,276,88,-104,0.7,0.2667,19,19,1,-5.4737,144,5.7333,9.0526,3.7089,9.0526,14.5263,4.6316,32.4783,32.4783,0.4419,35.2,54.2,44.7,63.7,54.2,57.2,47.7,54.2,54.2,54.2,44.7,54.2,54.2,16,0.0333,9,5,0.2632,7,,,,,,3
AJ Barner,SEA,TE,15,Yes,No,Yes,3,1,No,Yes,1,1,0.3333,1,1,6,7,5,-1,,0.6667,1,1,1,-1,91.7,2,6,1.0986,6,7,5,1.6739,1.6739,0.0667,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,17,,,1,1,,0.3333,,,,,
Zach Charbonnet,SEA,RB,19,Yes,No,Yes,13,9,No,Yes,8,0.8889,0.6923,8,0.8889,68,101,32,-41,0.6923,0.2308,9,9,1,-4.5556,98.1,5.2308,7.5556,2.0273,8.5,12.625,4,12.8884,12.8884,0.4737,6.8,14.8,10.8,18.8,14.8,14.8,10.8,14.8,14.8,14.8,10.8,14.8,14.8,17,0.0769,2,3,0.375,,,,,,,
Chuba Hubbard,CAR,RB,18,No,No,No,15,8,No,Yes,7,0.875,0.5333,7,0.875,19,62,22,-46,0.8667,0.0667,8,8,1,-5.75,79.2,1.2667,2.375,-2.8006,2.7143,8.8571,3.1429,13.0801,13.0801,0.4444,1.9,8.9,5.4,12.4,8.9,8.9,5.4,8.9,8.9,8.9,5.4,8.9,8.9,15,0.0667,1,2,0.2857,2,,,,,,
Jared Wayne,HST,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,
Cordarrelle Patterson,PIT,RB,4,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,,2,1,-2,,,1,1,1,-2,79.2,,,-6.198,,2,1,1.5878,1.5878,0.25,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,13,1,,,,,,,,,,
Isiah Pacheco,KC,RB,10,No,No,No,5,3,No,Yes,3,1,0.6,3,1,22,35,3,-13,0.8,,3,3,1,-4.3333,97.2,4.4,7.3333,1.3795,7.3333,11.6667,1,6.0562,6.0562,0.3,2.2,5.2,3.7,6.7,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,7,0.2,2,1,0.3333,,,,,,,
Pat Freiermuth,PIT,TE,17,Yes,No,No,5,1,No,Yes,1,1,0.2,1,1,7,11,2,-4,,0.4,1,1,1,-4,95.8,1.4,7,0.6636,7,11,2,1.6722,1.6722,0.0588,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,17,0.2,,,,1,0.4,,,,,
Geoff Swaim,CLV,TE,5,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,1,,,,,
