Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsContested,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Rashod Bateman,BLT,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,3,No,Yes,Yes,3,,No,Yes,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
Tee Higgins,CIN,WR,7,No,Yes,Yes,7,4,No,Yes,2,0.5,0.5714,2,0.5,38,3,1,69,0.5714,0.4286,4,17.25,83.3,5.4286,9.5,0.4794,19,1.5,0.5,2,11.6026,11.6026,0.5714,3.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,12,,2,2,2,1,,1,1,,,,,,
Josh Jacobs,GB,RB,4,No,No,Yes,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5,,,,,,,,,,,,,
Cade Stover,HST,TE,2,No,No,Yes,2,,Yes,Yes,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,0.5,,,,,,,,
Jerome Ford,CLV,RB,2,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,
George Pickens,PIT,WR,7,No,Yes,Yes,7,3,No,Yes,3,1,0.4286,,,,,,39,0.1429,0.8571,3,13,39.6,,,-9.0083,,,,,7.3018,7.3018,0.4286,,,,,,,,,,,,,,14,,3,,1,2,,2,,,,1,0.3333,,
Jermaine Burton,CIN,WR,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
Rico Dowdle,DAL,RB,3,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,,,
Ricky Pearsall,SF,WR,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,
Trey Benson,ARZ,RB,2,No,No,No,2,,No,No,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.5,,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,6,No,No,No,5,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
D'Onta Foreman,CLV,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,,,,,,,,,,,,
Deebo Samuel,SF,WR,2,No,No,No,2,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
Devin Duvernay,JAX,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
Mike Gesicki,CIN,TE,6,No,Yes,Yes,6,3,No,Yes,1,0.3333,0.5,1,0.3333,10,,,39,0.5,0.3333,2,13,43.8,1.6667,3.3333,-6.2298,10,,,1,5.314,5.314,0.5,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,17,,1,1,,1,0.1667,1,,,,,,,
Ryan Flournoy,DAL,WR,3,No,No,No,3,1,No,No,,,0.3333,,,,,,21,,1,,21,39.6,,,-11.2393,,,,,2.075,2.075,0.3333,,,,,,,,,,,,,,11,,,,1,,,,,,,,,,
Dalvin Cook,DAL,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,
Zack Moss,CIN,RB,3,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.5,,,,,0.5,,,,,,,,
Tyreek Hill,MIA,WR,3,No,Yes,Yes,3,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Cole Kmet,CHI,TE,10,No,No,Yes,9,1,No,Yes,1,1,0.1111,1,1,25,2,,23,1,,1,23,118.8,2.7778,25,13.3008,25,2,,1,1.6077,1.6077,0.1,2.5,3.5,3,3.5,4,3.5,3,3.5,3.5,3.5,3,4,3.5,17,,,,1,,,,,,,,,,
Brenton Strange,JAX,TE,4,No,No,No,4,2,No,Yes,2,1,0.5,2,1,47,11,4,36,0.75,0.25,2,18,118.8,11.75,23.5,11.6987,23.5,5.5,2,2,3.0705,3.0705,0.5,4.7,6.7,5.7,6.7,7.7,6.7,5.7,6.7,6.7,6.7,5.7,7.7,6.7,17,,,,1,,,,,,,,,,
Rhamondre Stevenson,NE,RB,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,,
Kylen Granson,IND,TE,4,No,No,No,4,,No,Yes,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.75,,,,,,,,
Terrace Marshall,LV,WR,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,
Mike Williams,PIT,WR,11,No,Yes,Yes,11,4,No,Yes,3,0.75,0.3636,2,0.5,40,6,3,72,0.0909,0.9091,4,18,85.4,3.6364,10,-0.6745,20,3,1.5,2,10.0352,10.0352,0.3636,4,6,5,6,6,6,5,6,6,6,5,6,6,18,,2,1,2,1,,,,,,,,,
Derius Davis,LAC,WR,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
Kimani Vidal,LAC,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,
David Njoku,CLV,TE,5,No,No,No,4,3,No,No,2,0.6667,0.75,2,0.6667,27,2,1,49,0.25,,2,16.3333,134.7,6.75,9,-1.2729,13.5,1,0.5,2,6.868,6.868,0.6,14.7,16.7,15.7,16.7,17.7,16.7,15.7,16.7,16.7,16.7,15.7,17.7,16.7,11,,1,1,1,1,0.75,1,,2,1,,,,
Brock Bowers,LV,TE,8,No,No,No,8,2,No,No,2,1,0.25,1,0.5,19,4,3,36,0.375,0.375,2,18,83.3,2.375,9.5,-2.3013,19,4,3,1,2.7397,2.7397,0.25,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,17,,2,1,1,,0.25,,1,,,,,,
A.J. Brown,PHI,WR,7,No,No,No,7,4,No,Yes,2,0.5,0.5714,2,0.5,40,4,2,67,0.4286,0.5714,4,16.75,125,5.7143,10,-0.0733,20,2,1,2,8.7934,8.7934,0.5714,10,12,11,12,12,12,11,12,12,12,11,12,12,13,,1,1,1,1,,1,,1,1,,,,
Luke McCaffrey,WAS,WR,2,No,No,No,2,,No,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Brandin Cooks,DAL,WR,3,No,No,No,3,1,No,No,1,1,0.3333,1,1,22,4,2,18,,1,1,18,118.8,7.3333,22,11.1009,22,4,2,1,1.7867,1.7867,0.3333,2.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,10,,,,,,,,,,,,,,
Greg Dulcich,NYG,TE,2,No,No,No,2,,No,No,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,0.5,,,,,,,,
Justin Jefferson,MIN,WR,1,No,No,No,1,,No,No,,,,,,,,,,1,,,,,,,,,,,,5.4863,5.4863,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Rashid Shaheed,NO,WR,1,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
Xavier Legette,CAR,WR,3,No,No,No,2,,Yes,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Johnny Mundt,MIN,TE,1,No,No,No,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Durham Smythe,MIA,TE,2,No,Yes,Yes,1,1,No,Yes,1,1,1,,,,,,23,,,,23,39.6,,,-11.6992,,,,,0.9417,0.9417,0.5,,,,,,,,,,,,,,17,,,,1,,1,,,,,,,,
Alex Bachman,LV,WR,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Tony Pollard,TEN,RB,3,No,No,Yes,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,,,
Romeo Doubs,GB,WR,5,No,No,No,5,1,No,No,1,1,0.2,1,1,20,1,,19,0.2,0.8,1,19,158.3,4,20,8.0679,20,1,,1,6.3362,6.3362,0.2,8,9,8.5,9,9,9,8.5,9,9,9,8.5,9,9,13,,,,,1,,,1,1,,,,,
Ray Davis,BUF,RB,3,No,No,No,1,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,
JuJu Smith-Schuster,KC,WR,1,No,No,Yes,1,,No,No,,,,,,,,,,,1,,,,,,,,,,,1.8084,1.8084,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,9,No,No,No,9,3,No,No,3,1,0.3333,2,0.6667,75,36,15,55,0.8889,0.1111,3,18.3333,149.3,8.3333,25,14.5342,37.5,18,7.5,2,6.3859,6.3859,0.3333,13.5,15.5,14.5,15.5,15.5,15.5,14.5,15.5,15.5,15.5,14.5,15.5,15.5,16,,1,1,1,,,,1,1,,1,0.3333,1,0.5
Chig Okonkwo,TEN,TE,4,No,No,Yes,4,,Yes,Yes,,,,,,,,,,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.25,,,,,,,,
Lucas Krull,DEN,TE,3,No,No,Yes,2,,No,No,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
Ja'Lynn Polk,NE,WR,3,No,No,No,3,2,No,Yes,1,0.5,0.6667,1,0.5,21,7,1,35,0.3333,0.6667,2,17.5,87.5,7,10.5,-0.0264,21,7,1,1,3.0412,3.0412,0.6667,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,15,,1,1,1,,,,,,,,,,
James Cook,BUF,RB,5,No,No,No,4,1,Yes,No,1,1,0.25,,,,,,12,0.25,0.25,1,12,39.6,,,-9.3774,,,,,1.9773,1.9773,0.2,,,,,,,,,,,,,,16,0.5,1,,,1,,,,,,,,,
Treylon Burks,TEN,WR,1,No,No,Yes,1,,Yes,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Dalton Schultz,HST,TE,1,No,No,Yes,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,1,,,,,,,,
George Kittle,SF,TE,2,No,No,No,2,1,Yes,Yes,1,1,0.5,1,1,21,2,,19,,0.5,1,19,118.8,10.5,21,10.4045,21,2,,1,2.0393,2.0393,0.5,2.1,3.1,2.6,3.1,3.6,3.1,2.6,3.1,3.1,3.1,2.6,3.6,3.1,15,,,,,,0.5,,,,,,,,
Keenan Allen,CHI,WR,9,No,No,Yes,9,4,No,Yes,3,0.75,0.4444,1,0.25,9,,,66,0.4444,0.4444,4,16.5,79.2,1,2.25,-7.9019,9,,,1,8.8174,8.8174,0.4444,6.9,7.9,7.4,7.9,7.9,7.9,7.4,7.9,7.9,7.9,7.4,7.9,7.9,15,0.1111,3,1,1,2,,2,1,1,1,,,,
Isaiah Likely,BLT,TE,3,No,No,No,3,1,No,Yes,1,1,0.3333,,,,,,23,0.6667,,1,23,39.6,,,-11.6992,,,,,2.0158,2.0158,0.3333,,,,,,,,,,,,,,16,,1,,1,,0.3333,,,,,,,,
Noah Fant,SEA,TE,9,No,No,No,8,,No,No,,,,,,,,,,0.75,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,0.125,,,,,,,,
CeeDee Lamb,DAL,WR,5,No,No,No,5,3,No,Yes,2,0.6667,0.6,2,0.6667,43,9,6,58,0.6,0.4,3,19.3333,149.3,8.6,14.3333,3.0767,21.5,4.5,3,2,6.1656,6.1656,0.6,10.3,12.3,11.3,12.3,12.3,12.3,11.3,12.3,12.3,12.3,11.3,12.3,12.3,16,,1,1,2,1,,1,,1,1,,,,
Jordan Akins,CLV,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,1,,,,,,,,
