Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,TargetsContestedTotal,ReceptionsContested,AlignmentInlineRoutesPercentage,DropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,TargetsInEndzone,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,DeepTargetTargetsTotal
Anthony Gould,IND,WR,1,No,Yes,No,1,1,Yes,Yes,1,1,1,1,1,23,6,,,,,1,118.8,23,23,11.3347,23,6,,1,1.8638,1.8638,1,2.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,,8,17,,1,17,,,,,,,,,,,,
George Kittle,SF,TE,201,No,Yes,No,174,52,No,No,49,0.9423,0.2989,47,0.9038,604,259,107,9,0.1915,0.0057,43,140.7,3.4713,11.6154,3.9517,12.8511,5.5106,2.2766,29,99.7341,99.7341,0.2587,84.4,131.4,107.9,131.4,154.9,134.4,110.9,131.4,131.4,131.4,107.9,154.9,131.4,12,15,408,0.3218,0.1149,7.8462,8,7,0.5575,1,1,0.0192,0.0192,4,1,4,3,2
Keenan Allen,CHI,WR,147,No,No,No,141,53,No,Yes,45,0.8491,0.3759,34,0.6415,296,89,40,1,0.0294,,42,91.4,2.0993,5.5849,-1.5164,8.7059,2.6176,1.1765,19,97.5804,97.5804,0.3605,41.6,75.6,58.6,75.6,75.6,78.6,61.6,75.6,75.6,75.6,58.6,75.6,75.6,7,15,371,0.5035,0.4965,7,7,5,,8,,,0.1509,3,1,2,1,1
Isaiah Likely,BLT,TE,103,No,No,No,94,21,No,Yes,18,0.8571,0.2234,17,0.8095,168,59,20,4,0.2353,0.0106,15,139.6,1.7872,8,-0.1563,9.8824,3.4706,1.1765,12,38.3469,38.3469,0.2039,40.8,57.8,49.3,57.8,66.3,60.8,52.3,57.8,57.8,57.8,49.3,66.3,57.8,5,16,181,0.5638,0.117,8.619,,,0.3085,1,2,0.0952,0.0476,4,,4,3,
Amon-Ra St. Brown,DET,WR,218,No,Yes,Yes,216,83,No,No,77,0.9277,0.3843,71,0.8554,849,289,89,9,0.1268,0.0046,76,132.4,3.9306,10.2289,2.32,11.9577,4.0704,1.2535,47,143.3163,143.3163,0.3807,125.9,196.9,161.4,196.9,196.9,199.9,163.4,195.9,195.9,195.9,160.4,196.9,195.9,12,17,775,0.4907,0.5046,9.3373,10,6,,2,,,0.0241,5,2,7,3,2
Isaiah Williams,CIN,WR,2,No,No,No,2,1,No,Yes,,,0.5,,,,,,,,,1,39.6,,,-7.5106,,,,,1.4748,1.4748,0.5,,,,,,,,,,,,,,,8,8,1,,8,,,,,,,,,,,,
Ja'Lynn Polk,NE,WR,84,Yes,No,No,84,11,No,Yes,8,0.7273,0.131,5,0.4545,18,1,,,,,8,92,0.2143,1.6364,-5.8445,3.6,0.2,,2,23.0864,23.0864,0.131,13.8,18.8,16.3,18.8,18.8,18.8,16.3,18.8,18.8,18.8,16.3,18.8,18.8,2,15,87,0.2143,0.7857,7.9091,4,1,,2,,,0.1818,2,,2,2,
Jared Wiley,KC,TE,9,No,No,No,9,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,0.2222,,,,,0.7778,,,,,,,,,
James Cook,BUF,RB,71,No,No,No,60,6,No,No,5,0.8333,0.1,5,0.8333,81,51,2,,,0.9333,3,158.3,1.35,13.5,6.8988,16.2,10.2,0.4,5,11.1854,11.1854,0.0845,14.1,19.1,16.6,21.6,19.1,19.1,16.6,19.1,19.1,19.1,16.6,19.1,19.1,1,16,33,0.0167,0.05,5.5,,,,,,,,,,1,,
Joshua Kelley,TEN,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Treylon Burks,TEN,WR,29,Yes,No,Yes,28,4,Yes,Yes,4,1,0.1429,3,0.75,25,,,,,,1,90.6,0.8929,6.25,-1.3278,8.3333,,,2,7.1466,7.1466,0.1379,2.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,,5,36,0.2143,0.7857,9,1,1,,1,,,0.25,,,,,
Elijah Cooks,JAX,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,
Peyton Hendershot,KC,TE,11,Yes,No,No,10,1,No,Yes,1,1,0.1,1,1,6,7,6,,,,1,91.7,0.6,6,1.0986,6,7,6,,1.4522,1.4522,0.0909,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,7,-1,0.4,0.3,-1,,,0.3,,,,,,,,,
Jordan Akins,CLV,TE,129,No,No,No,116,27,No,Yes,21,0.7778,0.2328,17,0.6296,165,61,35,1,0.0588,,21,80,1.4224,6.1111,-1.3303,9.7059,3.5882,2.0588,9,42.4179,42.4179,0.2093,16.5,33.5,25,33.5,42,36.5,28,33.5,33.5,33.5,25,42,33.5,2,17,195,0.3621,0.2069,7.2222,8,4,0.431,,1,0.037,,,,,,
Nick Vannett,TEN,TE,47,No,No,No,35,9,No,Yes,8,0.8889,0.2571,8,0.8889,63,44,10,,,,6,135.4,1.8,7,0.9574,7.875,5.5,1.25,4,17.0294,17.0294,0.1915,18.3,26.3,22.3,26.3,30.3,26.3,22.3,26.3,26.3,26.3,22.3,30.3,26.3,3,17,28,0.0286,0.1143,3.1111,,,0.8571,,,,,1,,2,,
Noah Fant,SEA,TE,116,No,No,No,100,25,No,No,21,0.84,0.25,18,0.72,174,96,31,1,0.0556,0.05,17,91.1,1.74,6.96,0.1889,9.6667,5.3333,1.7222,11,41.9053,41.9053,0.2155,17.4,35.4,26.4,35.4,44.4,38.4,29.4,35.4,35.4,35.4,26.4,44.4,35.4,2,14,124,0.52,0.11,4.96,1,,0.32,2,2,0.08,0.08,1,,,,
CeeDee Lamb,DAL,WR,208,No,No,No,202,75,Yes,Yes,64,0.8533,0.3713,46,0.6133,555,206,50,11,0.2391,0.0099,68,75.1,2.7475,7.4,-0.0782,12.0652,4.4783,1.087,28,129.5986,129.5986,0.3606,72.5,118.5,95.5,118.5,118.5,121.5,97.5,117.5,117.5,117.5,94.5,118.5,117.5,8,16,635,0.5248,0.4604,8.4667,14,4,0.005,8,,,0.1067,2,,3,1,3
Tony Pollard,TEN,RB,130,No,No,No,87,10,No,Yes,10,1,0.1149,9,0.9,50,33,16,1,0.1111,0.8161,7,87.5,0.5747,5,-1.3324,5.5556,3.6667,1.7778,,16.6865,16.6865,0.0769,5,14,9.5,18.5,14,14,9.5,14,14,14,9.5,14,14,,16,17,0.069,0.1149,1.7,1,1,,1,,,0.1,,,,,
Romeo Doubs,GB,WR,142,Yes,No,No,136,56,No,Yes,46,0.8214,0.4118,37,0.6607,457,119,36,2,0.0541,,48,88.2,3.3603,8.1607,-0.0631,12.3514,3.2162,0.973,28,95.7777,95.7777,0.3944,57.7,94.7,76.2,94.7,94.7,97.7,79.2,94.7,94.7,94.7,76.2,94.7,94.7,9,13,577,0.1912,0.8088,10.3036,10,7,,5,,,0.0893,2,,2,,6
Ray Davis,BUF,RB,38,No,No,No,32,5,No,No,5,1,0.1562,5,1,70,24,10,,,0.9062,4,158.3,2.1875,14,3.1632,14,4.8,2,4,13.1728,13.1728,0.1316,19,24,21.5,26.5,24,24,21.5,24,24,24,21.5,24,24,2,17,46,0.0625,0.0312,9.2,2,2,,,,,,1,,2,1,1
JuJu Smith-Schuster,KC,WR,90,Yes,No,No,86,14,No,Yes,11,0.7857,0.1628,8,0.5714,134,82,15,1,0.125,,9,99.4,1.5581,9.5714,2.4324,16.75,10.25,1.875,7,29.232,29.232,0.1556,25.4,33.4,29.4,33.4,33.4,36.4,32.4,33.4,33.4,33.4,29.4,33.4,33.4,4,14,99,0.4186,0.5814,7.0714,2,,,1,,,0.0714,1,,2,,
DeeJay Dallas,ARZ,RB,10,No,Yes,No,6,1,No,No,1,1,0.1667,1,1,1,,,,,0.6667,1,118.8,0.1667,1,-4.7294,1,,,1,4.7038,4.7038,0.1,6.1,7.1,6.6,7.6,7.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,1,16,1,0.1667,0.1667,1,,,,,,,,1,,1,1,
Ladd McConkey,LAC,WR,174,No,No,No,170,66,No,Yes,53,0.803,0.3882,48,0.7273,611,210,64,11,0.2292,,53,110.1,3.5941,9.2576,1.471,12.7292,4.375,1.3333,29,110.9644,110.9644,0.3793,79.1,127.1,103.1,127.1,127.1,130.1,106.1,127.1,127.1,127.1,103.1,127.1,127.1,6,16,581,0.6353,0.3471,8.803,7,5,0.0176,4,,,0.0606,2,,3,2,2
