Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,HeroThrowPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage
Philip Rivers,IND,QB,26,26,26,0.8077,,17,0.6538,0.76,-0.0453,26,,1,12,0.0769,134,5.1538,0.7313,4.1923,103,1,1,No,No,7,0.2692,7.1498,-0.0058,No,0.1154,0.1538,,0.8077,0.1154,0.5,2.1692,2.3571,4.12,74.8,No,Yes,8,8.36,8.36,8.36,8.36,8.36,8.36,8.36,7.36,7.36,7.36,7.36,9.7,8.7,3,,,
C.J. Stroud,HST,QB,132,132,132,0.7348,5,93,0.7045,0.752,-0.0569,132,4,3,-5,0.0076,722,5.4697,0.5679,5.3939,520,4,2,Yes,No,30,0.2273,42.7094,-0.0963,No,0.0303,0.197,0.0303,0.7348,0.1061,0.5606,2.4508,2.3767,4.127,87.4,No,Yes,37,42.88,42.88,42.88,42.88,42.88,45.88,45.88,40.88,40.88,40.88,40.88,50.1,48.1,14,,,
Kyler Murray,ARZ,QB,53,53,53,0.717,4,36,0.6792,0.8043,-0.0228,53,5,1,13,0.0189,215,4.0566,0.8605,4.3396,134,3,1,Yes,No,14,0.2642,18.9096,-0.0926,No,0.0377,0.1509,0.0566,0.6604,0.1132,0.566,2.6434,2.4714,2.8511,86.6,No,Yes,14,19.6,19.6,19.6,19.6,19.6,19.6,19.6,18.6,18.6,18.6,18.6,21.75,20.75,5,0.0189,1,0.0189
Jared Goff,DET,QB,161,161,161,0.7826,9,116,0.7205,0.8741,0.0576,161,14,4,23,0.0559,1035,6.4286,0.6976,7.3913,487,10,1,No,No,39,0.2422,49.6305,-0.066,Yes,0.0186,0.1056,,0.6957,0.0745,0.6025,2.3621,2.6026,3.4056,107,No,No,61,80.4,80.4,80.4,80.4,80.4,83.4,83.4,79.4,79.4,79.4,79.4,90.75,89.75,17,0.0062,1,0.0062
Cam Ward,TEN,QB,164,164,164,0.75,6,109,0.6646,0.8041,-0.0071,164,10,4,7,0.061,895,5.4573,0.7397,5.3659,497,6,3,No,No,41,0.25,60.5799,-0.1194,No,0.0793,0.1524,0.0122,0.6037,0.1341,0.5488,2.7165,2.9366,3.3133,84.8,No,No,47,56.8,56.8,56.8,56.8,56.8,59.8,59.8,53.8,53.8,53.8,53.8,65.75,62.75,17,0.0061,,
Jake Browning,CIN,QB,33,33,33,0.8485,1,26,0.7879,0.8125,-0.027,33,1,,,,162,4.9091,0.6481,6.1212,84,2,,No,No,9,0.2727,8.9739,0.0008,No,0.1212,0.1212,,0.9091,0.0606,0.6667,2.1515,2.2222,2.625,107.3,No,No,13,14.48,14.48,14.48,14.48,14.48,14.48,14.48,14.48,14.48,14.48,14.48,16.1,16.1,5,,,
Tanner McKee,PHI,QB,9,9,9,0.7778,,5,0.5556,0.875,0.065,9,1,,6,0.2222,53,5.8889,0.7736,5.8889,28,,,No,Yes,2,0.2222,2.2467,-0.0274,No,,0.1111,,0.6667,0.1111,0.6667,2.0222,2.1,3.5,72.9,No,Yes,4,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.65,2.65,4,,,
Josh Johnson,WAS,QB,19,19,19,0.7895,1,13,0.6842,0.7647,-0.0003,19,1,1,,,115,6.0526,0.3739,6.0526,105,,,No,No,6,0.3158,7.0679,-0.0562,No,,0.1053,,0.5789,0.1053,0.6316,2.7316,2.85,6.1765,84.3,Yes,Yes,8,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,5.75,5.75,5,,,
Tua Tagovailoa,MIA,QB,147,147,147,0.7755,4,107,0.7279,0.8433,0.0207,147,11,2,43,0.0408,937,6.3741,0.7353,6.3061,424,4,2,No,Yes,32,0.2177,49.1736,-0.1168,No,0.0544,0.1293,0.0272,0.6463,0.102,0.619,2.5143,2.5656,3.1642,92.7,No,Yes,52,51.48,51.48,51.48,51.48,51.48,54.48,54.48,49.48,49.48,49.48,49.48,60.85,58.85,14,0.0068,2,0.0136
Gardner Minshew,KC,QB,7,7,7,0.7143,,5,0.7143,0.8333,-0.0285,7,,1,,,26,3.7143,1,3.7143,4,,,No,No,,,1.3583,-0.1941,No,0.1429,0.1429,,0.8571,,0.5714,1.7,,0.6667,77.1,No,No,2,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.3,1.3,4,,,
Caleb Williams,CHI,QB,137,136,136,0.7206,6,88,0.6471,0.7661,-0.0351,136,8,4,18,0.0515,949,6.9779,0.7471,6.9044,516,4,2,Yes,No,45,0.3309,53.9046,-0.0655,No,0.0368,0.1765,0.0368,0.6324,0.1103,0.6029,2.8728,2.3711,4.128,88.8,No,Yes,44,53.96,54.96,54.46,54.96,54.96,57.96,57.46,52.96,52.96,52.96,52.46,64.45,62.45,17,,1,0.0074
Zach Wilson,MIA,QB,1,1,1,1,,1,1,1,0.0628,1,,,,,-1,-1,-4,-1,-5,,,No,No,,,0.1595,-0.1595,No,,,,1,,1,1.5,,-5,79.2,No,No,,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.05,-0.05,4,,,
Teddy Bridgewater,TB,QB,4,4,4,1,,4,1,1,0.0868,4,,,,,11,2.75,1.4545,2.75,-5,,,No,No,,,0.552,-0.138,No,0.25,,,1,,0.75,1.375,,-1.25,79.2,No,Yes,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,4,,,
Brock Purdy,SF,QB,92,92,92,0.8261,7,64,0.6957,0.8095,0.0164,92,5,1,-6,0.0435,594,6.4565,0.5657,7.9783,394,7,,No,No,29,0.3152,39.3806,-0.1128,No,0.0217,0.087,,0.5217,0.1522,0.587,3.0565,2.869,4.5814,112.3,Yes,Yes,42,51.76,51.76,51.76,51.76,51.76,54.76,54.76,51.76,51.76,51.76,51.76,57.7,57.7,9,0.0109,,
Nick Mullens,JAX,QB,2,2,2,1,,2,1,1,0.1398,2,,,,,16,8,0.75,8,4,,,No,No,,,0.2846,-0.1423,No,,,,1,,1,1.4,,2,100,Yes,Yes,2,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,5,,,
Justin Fields,NYJ,QB,63,62,62,0.7097,,39,0.629,0.7778,-0.0076,62,2,4,28,0.0484,255,4.1129,0.4039,4.1129,275,,,No,No,21,0.3387,22.7089,-0.0276,No,0.0161,0.1613,,0.6774,0.0645,0.5161,2.6984,2.3952,4.9107,71.6,Yes,Yes,14,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,12.75,12.75,9,,1,0.0161
Dillon Gabriel,CLV,QB,78,78,78,0.7821,5,52,0.6667,0.7432,-0.0717,78,1,,36,0.0385,375,4.8077,0.648,5.3205,287,2,,No,No,24,0.3077,26.9867,-0.0383,No,0.0128,0.141,0.0256,0.6538,0.1538,0.6154,2.5808,2.4625,3.7273,86.2,No,No,21,23,23,23,23,23,26,26,23,23,23,23,26.75,26.75,10,0.0128,1,0.0128
