Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,TargetedReadCheckdownPercentage,AverageTimeToPressure,AttemptsInEndzoneTotal,IncompletionsThrownAway,IncompletionsBatted,TouchdownsTotal,InterceptionsTotal,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TowThrowPercentage
Bo Nix,DEN,QB,84,84,84,0.7024,53,0.631,0.75,-0.0352,84,533,6.3452,0.5197,6.2857,410,No,No,31.532,0.0651,No,0.4405,0.6071,2.7512,5.3247,84.1,No,Yes,25,28.32,28.32,28.32,28.32,28.32,31.32,31.32,27.32,27.32,27.32,27.32,33.65,32.65,17,13,0.0476,37,0.4405,0.1786,0.1071,2.3946,2,5,2,2,1,,,,,0.0119
Russell Wilson,NYG,QB,13,13,13,0.5385,7,0.5385,0.875,0.0863,13,56,4.3077,0.4107,4.3077,42,No,Yes,5.1619,0.2952,Yes,0.1538,0.4615,2.8769,4.6667,64.9,No,No,2,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.8,2.8,6,,,9,0.6923,0.0769,0.2308,2.5556,1,4,,,,,,,,
Anthony Richardson,IND,QB,1,1,1,1,1,1,1,0.1261,1,9,9,0.7778,9,2,Yes,No,0.125,-0.125,No,,1,1.3,2,104.2,No,Yes,1,1.26,2.26,1.76,2.26,2.26,2.26,1.76,2.26,2.26,2.26,1.76,2.35,2.35,2,,,,,,1,,,,,,,1,,,,
Joe Burrow,CIN,QB,41,41,41,0.878,34,0.8293,0.85,0.0836,41,354,8.6341,0.4915,6.439,235,No,No,14.1143,-0.0272,No,0.561,0.7561,2.5707,5.875,82.3,No,Yes,21,12.16,12.16,12.16,12.16,12.16,15.16,15.16,10.16,10.16,10.16,10.16,15.7,13.7,8,,,13,0.3171,0.0976,0.1463,2.4846,1,1,,,2,,,,,0.0488
Kirk Cousins,ATL,QB,52,52,52,0.8077,34,0.6538,0.7292,-0.0079,52,355,6.8269,0.4169,7.5962,353,No,No,17.5599,-0.0108,No,0.5,0.75,2.5327,7.2041,97.8,No,Yes,22,22.2,22.2,22.2,22.2,22.2,25.2,25.2,22.2,22.2,22.2,22.2,25.75,25.75,10,12,0.0192,17,0.3269,0.1154,0.0577,2.3941,3,2,1,2,,,,,,0.0385
Mac Jones,SF,QB,66,66,66,0.8636,52,0.7879,0.8413,0.0645,66,525,7.9545,0.4571,7.8788,362,No,No,19.0691,-0.001,No,0.6818,0.7121,2.25,5.6562,103.6,No,No,27,28,28,28,28,28,31,31,27,27,27,27,33.25,32.25,11,-1,0.0152,19,0.2879,0.0909,0.0758,2.2211,2,1,1,2,1,,,,0.0152,0.0152
Jameis Winston,NYG,QB,8,8,8,0.875,7,0.875,0.875,0.1636,8,70,8.75,0.2857,11.25,73,No,No,2.7772,0.0279,No,0.625,0.375,2.5875,9.125,142.7,No,No,3,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,7.5,7.5,3,,,3,0.375,0.125,0.125,2.3,2,,,1,,,1,0.125,,0.125
Philip Rivers,IND,QB,20,20,20,0.85,16,0.8,0.8421,0.0487,20,149,7.45,0.5235,6.2,93,No,No,5.6405,-0.082,No,0.75,0.75,2.21,4.8947,93.5,No,Yes,9,8.96,8.96,8.96,8.96,8.96,8.96,8.96,7.96,7.96,7.96,7.96,10.45,9.45,3,,,4,0.2,0.1,0.15,2.15,1,,1,1,1,,,,,0.05
Clayton Tune,GB,QB,2,2,2,1,1,0.5,0.5,-0.3521,2,8,4,0.875,4,5,No,No,0.5606,0.2197,No,0.5,0.5,2.2,2.5,60.4,Yes,Yes,1,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,2,,,1,0.5,,0.5,2.3,,,,,,,,,,
Michael Penix,ATL,QB,24,24,24,0.75,15,0.625,0.7391,-0.0058,24,167,6.9583,0.3892,6.9583,168,No,Yes,8.4004,0.025,Yes,0.5833,0.625,2.6042,7.3043,83.2,No,Yes,7,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,6.68,8.35,8.35,9,17,0.0833,9,0.375,0.1667,,2.4,,1,,,,,,,,0.0833
