Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage
Jayden Daniels,WAS,QB,61,61,61,0.8197,3,44,0.7213,0.8033,0.0835,61,46,0.082,614,10.0656,0.4218,11.0492,542,3,,Yes,No,11,0.1803,24.2916,-0.2179,No,0.1639,4,0.0656,,0.0164,0.5082,2.8836,2.6818,8.8852,120.5,No,No,28,36.56,36.56,36.56,36.56,36.56,39.56,39.56,36.56,36.56,36.56,36.56,42.7,42.7,17,
Brandon Allen,SF,QB,2,2,2,1,,2,1,1,0.1509,2,,,17,8.5,0.6471,8.5,6,,,No,No,,,0.7158,-0.3579,No,,,,,,1,2.65,,3,102.1,No,No,,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,3,
Andy Dalton,CAR,QB,11,11,11,0.7273,,8,0.7273,0.7273,-0.056,11,,,76,6.9091,0.7105,2.8182,60,,1,Yes,No,2,0.1818,4.584,-0.2349,Yes,0.2727,,,0.1818,,0.4545,2.9909,3.55,5.4545,53.6,No,Yes,4,2.04,2.04,2.04,2.04,2.04,2.04,2.04,1.04,1.04,1.04,1.04,2.8,1.8,6,
Sam Darnold,MIN,QB,109,109,109,0.8624,14,81,0.7431,0.789,0.0653,109,26,0.0459,848,7.7798,0.3502,8.8349,957,8,1,No,No,28,0.2569,49.2,-0.1945,No,0.1376,12,0.1101,0.055,0.0183,0.5688,3.1917,2.8286,8.7798,117.1,Yes,Yes,50,64.92,64.92,64.92,64.92,64.92,67.92,67.92,63.92,63.92,63.92,63.92,73.4,72.4,17,
Bailey Zappe,CLV,QB,2,2,2,1,,2,1,1,0.2652,2,,,38,19,0.5789,19,16,,,No,No,,,0.8194,-0.4097,No,,,,,,1,2.95,,8,118.8,No,Yes,2,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.9,1.9,1,
Dorian Thompson-Robinson,CLV,QB,17,17,17,0.9412,,13,0.7647,0.8824,0.0877,17,9,0.1176,78,4.5882,0.4487,1.9412,101,,1,No,No,1,0.0588,5.0583,-0.2387,No,0.0588,1,0.0588,,,0.5882,2.3,2.9,5.9412,60.4,No,No,2,2.12,2.12,2.12,2.12,2.12,2.12,2.12,1.12,1.12,1.12,1.12,2.9,1.9,7,
Lamar Jackson,BLT,QB,71,71,71,0.7324,8,47,0.662,0.7143,0.0215,71,31,0.0423,604,8.507,0.4437,10.1972,733,6,,No,No,16,0.2254,30.9585,-0.2107,Yes,0.2254,15,0.2113,0.0141,0.0563,0.4085,3.1028,2.5,10.7324,120.9,No,Yes,30,48.16,48.16,48.16,48.16,48.16,51.16,51.16,48.16,48.16,48.16,48.16,54.2,54.2,17,
Kenny Pickett,PHI,QB,4,4,4,1,,3,0.75,0.75,0.0374,4,,,18,4.5,0.0556,4.5,38,,,No,Yes,3,0.75,1.2765,0.4309,No,,1,0.25,,,0.75,2.425,2.4,9.5,83.3,No,Yes,,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,5,
Mike White,BUF,QB,1,1,1,1,,,,1,0.181,1,5,1,,,,,5,,,No,No,,,0.2975,-0.2975,No,,,,,,,2.3,,5,39.6,No,Yes,,,,,,,,,,,,,,,1,
Will Levis,TEN,QB,36,36,36,0.8611,3,25,0.6944,0.8333,0.0419,36,16,0.1389,198,5.5,0.5051,6.0556,182,1,,No,Yes,9,0.25,13.4891,-0.1247,No,0.1389,1,0.0278,,,0.6111,2.7472,2.6333,5.0556,92.1,No,Yes,11,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,11.92,13.9,13.9,12,
Desmond Ridder,LV,QB,7,7,7,0.7143,,3,0.4286,0.6667,-0.0558,7,1,0.1429,32,4.5714,0.4375,4.5714,50,,,No,No,4,0.5714,2.3071,0.2418,No,0.2857,1,0.1429,,0.1429,0.4286,2.4857,2.65,7.8571,56.8,No,Yes,2,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.6,1.6,5,
Trey Lance,DAL,QB,5,5,5,0.6,,3,0.6,0.6,-0.0413,5,,,73,14.6,0.5068,14.6,81,,,Yes,No,1,0.2,3.0402,-0.408,No,0.4,1,0.2,,,0.2,4.1,2.2,16.2,104.2,No,Yes,3,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,3.65,3.65,4,
