Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,InterceptionsTotal,TowThrowPercentage,TouchdownsTotal,RunPassOptionPercentage
Davis Mills,HST,QB,2,2,2,0.5,1,0.5,1,0.1756,2,,,10,5,0.6,5,4,No,Yes,2,1,0.9746,0.5127,No,,1,,3.4,2.85,3,64.6,No,No,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,4,,,,
Desmond Ridder,LV,QB,12,12,12,0.8333,10,0.8333,0.8333,-0.064,12,,,43,3.5833,0.9535,3.5833,1,No,No,2,0.1667,3.5189,-0.1266,No,0.1667,1,0.75,2.275,2,0.0833,81.6,No,No,1,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,1.72,2.15,2.15,5,,,,
Will Levis,TEN,QB,22,22,22,0.8636,17,0.7727,0.8636,-0.0542,22,-4,0.0909,75,3.4091,1.48,3.4091,-41,No,No,12,0.5455,9.0646,0.1334,No,0.1364,1,0.6364,2.9636,2.5583,-1.8636,80.7,No,No,4,3,3,3,3,3,3,3,3,3,3,3,3.75,3.75,12,,,,
Trey Lance,DAL,QB,2,2,2,1,2,1,1,0.092,2,,,13,6.5,1.5385,6.5,-7,No,No,1,0.5,0.8021,0.0989,No,,1,1,2.9,2.8,-3.5,93.8,No,Yes,1,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.65,0.65,4,,,,
Kenny Pickett,PHI,QB,2,2,2,1,2,1,1,0.0944,2,,,1,0.5,4,0.5,-3,No,Yes,1,0.5,0.6641,0.1679,Yes,,1,,2.5,1.6,-1.5,79.2,No,Yes,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,5,,,,
Lamar Jackson,BLT,QB,32,32,32,0.8125,25,0.7812,0.8125,-0.0509,32,,0.0312,164,5.125,1.0732,5.75,-16,No,Yes,18,0.5625,14.2826,0.1162,No,0.1562,1,0.6875,3.1625,2.5111,-0.5,98.4,No,Yes,8,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,10.56,12.2,12.2,17,,,1,
Dorian Thompson-Robinson,CLV,QB,8,8,8,0.75,4,0.5,0.625,-0.239,8,-7,0.125,28,3.5,0.9286,3.5,5,No,No,2,0.25,3.3809,-0.1726,No,0.25,1,0.5,3.025,2.55,0.625,58.3,No,No,1,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,7,,,,
Bo Nix,DEN,QB,66,66,66,0.9242,57,0.8636,0.8939,0.0078,66,-6,0.0303,300,4.5455,0.9767,4.8485,8,Yes,No,15,0.2273,27.763,-0.1934,No,0.0606,1,0.6212,3.0136,2.66,0.1212,90.7,No,Yes,14,16,16,16,16,16,19,19,16,16,16,16,19,19,17,,,1,
Bailey Zappe,CLV,QB,4,4,4,0.25,1,0.25,0.25,-0.6159,4,,,8,2,0.75,-9.25,6,No,No,1,0.25,1.7595,-0.1899,Yes,0.75,1,0.25,3.125,3.5,1.5,,No,No,,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-1.68,-1.68,-1.68,-1.68,-0.6,-1.6,1,1,0.25,,
Trevor Lawrence,JAX,QB,21,21,21,0.8571,16,0.7619,0.7619,-0.1079,21,,,94,4.4762,0.8511,4.4762,22,Yes,No,7,0.3333,8.0943,-0.0521,Yes,0.1429,1,0.5714,2.8095,2.4,1.0476,84.2,No,Yes,3,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,4.7,4.7,10,,,,
