Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage,HeroThrowPercentage
Tyler Huntley,MIA,QB,75,75,75,0.7467,6,49,0.6533,0.72,0.0146,75,42,0.0667,523,6.9733,0.2887,6.3067,753,2,2,No,No,10,0.1333,19.263,-0.1235,No,0.2267,6,0.08,0.0533,1,0.4933,2.064,2.36,10.04,83.4,No,Yes,30,26.92,26.92,26.92,26.92,26.92,29.92,29.92,24.92,24.92,24.92,24.92,32.15,30.15,5,0.0267,0.0133
Mason Rudolph,TEN,QB,127,127,127,0.7717,6,86,0.6772,0.746,0.041,127,83,0.063,1017,8.0079,0.2734,6.315,1232,5,7,No,No,24,0.189,40.2039,-0.1276,No,0.2283,14,0.1102,0.0394,1,0.4961,2.4102,2.2667,10.0394,82,No,Yes,53,53.68,53.68,53.68,53.68,53.68,56.68,56.68,46.68,46.68,46.68,46.68,63.85,56.85,8,,0.0472
Aaron Rodgers,NYJ,QB,328,328,328,0.7561,27,201,0.6128,0.6799,-0.0338,328,165,0.0671,2463,7.5091,0.4178,7.0518,3117,15,10,Yes,No,39,0.1189,86.9531,-0.1462,No,0.2226,44,0.1341,0.0305,1,0.5457,2.1119,2.1462,9.503,87,No,Yes,124,148.52,148.52,148.52,148.52,148.52,151.52,151.52,138.52,138.52,138.52,138.52,173.15,163.15,17,0.0366,0.0732
Baker Mayfield,TB,QB,306,306,306,0.7941,38,207,0.6765,0.7386,0.0466,306,222,0.0621,2549,8.3301,0.326,8.3954,3209,28,12,No,No,26,0.085,90.6881,-0.2114,Yes,0.1961,37,0.1209,0.049,1,0.5261,2.2931,2.2346,10.4869,107.3,No,Yes,140,201.96,201.96,201.96,201.96,201.96,204.96,204.96,189.96,189.96,189.96,189.96,227.45,215.45,17,0.0196,0.0425
Deshaun Watson,CLV,QB,131,131,131,0.771,9,81,0.6183,0.7023,-0.0035,131,120,0.084,793,6.0534,0.3544,6.1298,1314,5,2,Yes,No,31,0.2366,39.2378,-0.0629,No,0.229,19,0.145,0.0305,1,0.4351,2.3115,2.4065,10.0305,85.2,No,Yes,37,49.72,49.72,49.72,49.72,49.72,52.72,52.72,47.72,47.72,47.72,47.72,57.65,55.65,7,0.0153,0.0229
Dak Prescott,DAL,QB,178,178,178,0.7809,12,118,0.6629,0.691,-0.0075,178,62,0.0281,1480,8.3146,0.3736,7.6966,1839,8,6,No,No,30,0.1685,53.5159,-0.1321,No,0.2079,25,0.1404,0.0674,1,0.4775,2.318,2.1467,10.3315,92.9,No,Yes,66,85.2,85.2,85.2,85.2,85.2,88.2,88.2,79.2,79.2,79.2,79.2,100,94,8,0.0056,0.073
Spencer Rattler,NO,QB,125,124,124,0.7742,7,76,0.6129,0.6992,-0.0078,124,91,0.0806,898,7.2419,0.3508,6.0726,1210,4,5,No,Yes,20,0.1613,36.1372,-0.1301,Yes,0.1935,17,0.1371,0.0645,1,0.5242,2.2645,2.36,9.9113,77.3,No,Yes,45,46.92,46.92,46.92,46.92,46.92,49.92,49.92,41.92,41.92,41.92,41.92,55.9,50.9,7,,0.0403
Carson Wentz,KC,QB,14,14,14,0.5714,,8,0.5714,0.5714,-0.1941,14,,,83,5.9286,0.6386,5.9286,91,,,Yes,No,1,0.0714,1.9922,-0.0709,No,0.4286,1,0.0714,,1,0.4286,1.4,1.3,6.5,74.4,No,Yes,4,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,4.15,4.15,3,0.1429,
Joe Milton,NE,QB,18,18,18,0.9444,,16,0.8889,0.8889,0.1823,18,,,161,8.9444,0.1615,8.9444,167,,,No,Yes,2,0.1111,6.0976,-0.2276,Yes,0.0556,1,0.0556,,1,0.7778,2.5389,2.8,9.2778,103.9,No,No,10,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,6.44,8.05,8.05,1,0.1111,
Tommy DeVito,NYG,QB,30,30,30,0.7667,2,22,0.7333,0.7333,-0.0089,30,,,205,6.8333,0.4,6.8333,221,,,Yes,No,6,0.2,7.8742,-0.0625,Yes,0.2333,2,0.0667,0.0333,1,0.4667,2.0967,2.55,7.3667,91.7,Yes,Yes,11,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,10.25,10.25,3,0.0667,
Bryce Young,CAR,QB,233,232,232,0.7716,20,150,0.6466,0.7112,0.0248,232,226,0.0647,1723,7.4267,0.2943,7.0172,2492,11,7,No,No,40,0.1724,62.1661,-0.0955,No,0.2241,39,0.1681,0.0302,1,0.5431,2.1284,2.105,10.7414,90.1,No,Yes,88,105.92,105.92,105.92,105.92,105.92,108.92,108.92,98.92,98.92,98.92,98.92,123.15,116.15,14,0.0172,0.0819
Derek Carr,NO,QB,151,149,149,0.7852,12,102,0.6846,0.7181,0.067,149,129,0.0336,1455,9.7651,0.312,10.0336,1986,11,4,Yes,No,23,0.1544,46.7844,-0.1596,Yes,0.2081,36,0.2416,0.047,1,0.4832,2.3953,2.4435,13.3289,113.2,No,No,65,98.2,98.2,98.2,98.2,98.2,101.2,101.2,94.2,94.2,94.2,94.2,112.75,108.75,10,,0.0671
Mitchell Trubisky,BUF,QB,13,13,13,0.8462,,9,0.6923,0.6923,-0.0009,13,,,74,5.6923,0.2432,7.2308,136,1,,No,No,2,0.1538,4.1097,-0.1623,No,0.1538,2,0.1538,,1,0.6154,2.4077,2.2,10.4615,109.1,No,No,4,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,7.7,7.7,9,,0.0769
