Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,TouchdownsTotal,InterceptionsTotal,TowThrowPercentage,HeroThrowPercentage,RunPassOptionPercentage
Bo Nix,DEN,QB,36,36,36,0.6389,20,0.5556,0.5556,-0.0943,36,,,297,8.25,0.2761,8.8056,462,No,No,21,0.5833,26.8233,-0.1618,Yes,0.3333,7,0.1944,0.4722,4.8944,2.5857,12.8333,92,No,Yes,12,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,15.88,18.85,18.85,17,4,1,,0.0556,0.0278,0.0278
Trevor Lawrence,JAX,QB,8,8,8,0.625,1,0.125,0.25,-0.2907,8,13,0.125,21,2.625,,5.125,160,Yes,Yes,7,0.875,5.5716,0.1785,Yes,0.375,4,0.5,0.375,4.6125,2.3143,20,79.2,No,No,1,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,5.05,5.05,10,3,1,,,,
Bailey Zappe,CLV,QB,1,1,1,1,1,1,1,0.2881,1,,,10,10,0.2,10,8,No,Yes,1,1,0.8151,0.1849,No,,,,1,5.3,3.3,8,108.3,No,Yes,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,1,,,,,,
Lamar Jackson,BLT,QB,39,39,39,0.6154,20,0.5128,0.5897,0.0135,39,74,0.0769,445,11.4103,0.409,14.4872,702,No,No,32,0.8205,34.3745,-0.0609,No,0.3846,11,0.2821,0.4615,5.6846,2.9562,18,131.9,No,Yes,17,41.8,41.8,41.8,41.8,41.8,44.8,44.8,41.8,41.8,41.8,41.8,46.25,46.25,17,10,6,,0.0256,0.2051,
Dorian Thompson-Robinson,CLV,QB,6,6,6,0.5,2,0.3333,0.3333,-0.3154,6,,,24,4,0.0833,-3.5,66,No,No,5,0.8333,4.045,0.1592,No,0.5,1,0.1667,,4.4833,3.16,11,6.9,No,No,2,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-1.04,-1.04,-1.04,-1.04,0.2,-0.8,7,,,1,,0.1667,0.1667
Mike White,BUF,QB,1,1,1,,,,,-0.6364,1,,,,,,,11,No,Yes,1,1,0.608,0.392,No,1,,,,4.1,3.2,11,39.6,No,No,,,,,,,,,,,,,,,1,,,,,,
Kenny Pickett,PHI,QB,3,3,3,1,3,1,1,0.417,3,,,62,20.6667,0.2258,20.6667,48,No,Yes,2,0.6667,1.6172,0.1276,No,,1,0.3333,0.3333,3.7,2.45,16,118.8,Yes,Yes,3,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,3.1,3.1,5,,,,,,
Desmond Ridder,LV,QB,4,4,4,0.75,3,0.75,0.75,0.1425,4,,,60,15,0.5167,20,63,No,No,3,0.75,2.8635,0.0341,No,0.25,2,0.5,0.75,4.725,2.5333,15.75,156.3,No,No,3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,7,7,5,1,1,,,0.25,
Trey Lance,DAL,QB,1,1,1,,,,,-0.819,1,,,,,,,5,No,Yes,1,1,0.8668,0.1332,Yes,1,,,,5.6,2.1,5,39.6,No,No,,,,,,,,,,,,,,,4,1,,,,,
Will Levis,TEN,QB,6,6,6,0.3333,2,0.3333,0.3333,-0.223,6,,,37,6.1667,0.1081,6.1667,128,No,No,6,1,3.838,0.3603,No,0.6667,3,0.5,0.3333,4.2833,2.5667,21.3333,55.6,No,No,2,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.85,1.85,12,,,,0.1667,0.1667,
