Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,ReceptionsHero
Christian McCaffrey,SF,RB,231,No,No,No,207,81,No,6,Yes,75,0.9259,3,0.3913,69,0.8519,643,386,171,290,0.1691,0.0628,28,3.5802,104.9,3.1063,7.9383,1.174,9.3188,5.5942,2.4783,33,130.0209,130.0209,0.3506,94.3,163.3,128.8,197.8,163.3,166.3,131.8,163.3,163.3,163.3,128.8,163.3,163.3,16,17,0.7536,4,13,0.1884,0.0145,5,3,4,0.0494,2,0.0247,
Sterling Shepard,TB,WR,122,No,Yes,No,118,26,No,6,Yes,25,0.9615,1,0.2203,21,0.8077,124,49,19,102,0.5169,0.4831,16,3.9231,86.5,1.0508,4.7692,-1.2194,5.9048,2.3333,0.9048,7,44.9737,44.9737,0.2131,11.4,32.4,21.9,32.4,32.4,35.4,23.9,31.4,31.4,31.4,20.9,32.4,31.4,4,13,,2,,,,,,,,1,0.0385,
Khalil Shakir,BUF,WR,132,No,No,Yes,129,39,No,7,Yes,38,0.9744,,0.3023,35,0.8974,355,227,120,137,0.7054,0.2791,32,3.5128,113.1,2.7519,9.1026,3.3065,10.1429,6.4857,3.4286,13,59.7043,59.7043,0.2955,41.5,76.5,59,76.5,76.5,79.5,62,76.5,76.5,76.5,59,76.5,76.5,5,16,0.0078,5,7,0.2,0.0078,1,,1,0.0256,,,
Pharaoh Brown,ARZ,TE,9,No,No,No,6,1,No,,Yes,1,1,,0.1667,1,1,1,,,1,0.1667,,1,1,79.2,0.1667,1,-4.7754,1,,,,1.5479,1.5479,0.1111,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,7,,,,,0.8333,,,,,,,
Rico Dowdle,CAR,RB,101,Yes,No,Yes,87,12,No,,Yes,11,0.9167,,0.1379,11,0.9167,66,43,3,25,0.1034,0.2529,1,2.0833,89.6,0.7586,5.5,-0.7619,6,3.9091,0.2727,2,16.5407,16.5407,0.1188,6.6,17.6,12.1,23.1,17.6,17.6,12.1,17.6,17.6,17.6,12.1,17.6,17.6,,17,0.6437,,,,,,,,,,,
Chris Olave,NO,WR,220,No,No,No,213,64,Yes,7,Yes,57,0.8906,,0.3005,53,0.8281,341,98,24,303,0.4319,0.5681,52,4.7344,81.1,1.6009,5.3281,-0.983,6.434,1.8491,0.4528,16,95.5957,95.5957,0.2922,39.1,92.1,65.6,92.1,92.1,95.1,68.6,91.1,91.1,91.1,64.6,92.1,91.1,3,16,,5,2,0.0377,,1,,1,0.0156,,,
Ricky Pearsall,SF,WR,109,No,Yes,No,108,12,No,1,No,11,0.9167,,0.1111,11,0.9167,64,27,7,65,0.2222,0.7778,10,5.4167,88.9,0.5926,5.3333,-1.2038,5.8182,2.4545,0.6364,4,21.218,21.218,0.1101,6.4,17.4,11.9,17.4,17.4,17.4,11.9,17.4,17.4,17.4,11.9,17.4,17.4,,9,,1,,,,,,,,,,1
Jeremy McNichols,WAS,RB,74,No,Yes,No,54,12,No,1,Yes,10,0.8333,,0.2222,9,0.75,109,73,30,49,0.2222,0.037,3,4.0833,67.7,2.0185,9.0833,2.3654,12.1111,8.1111,3.3333,4,18.3412,18.3412,0.1622,10.9,19.9,15.4,24.4,19.9,22.9,18.4,19.9,19.9,19.9,15.4,19.9,19.9,,17,0.7407,1,1,0.1111,,,,1,0.0833,,,
Jerome Ford,CLV,RB,83,No,No,No,61,12,No,1,Yes,11,0.9167,,0.1967,8,0.6667,39,22,5,28,,0.0492,2,2.3333,71.2,0.6393,3.25,-2.9978,4.875,2.75,0.625,,17.775,17.775,0.1446,3.9,11.9,7.9,15.9,11.9,11.9,7.9,11.9,11.9,11.9,7.9,11.9,11.9,2,13,0.8361,,,,0.1148,,,2,0.1667,,,
George Pickens,DAL,WR,250,No,No,No,249,74,No,15,No,67,0.9054,5,0.2972,59,0.7973,672,327,155,438,0.1205,0.8795,67,5.9189,115.8,2.6988,9.0811,2.3594,11.3898,5.5424,2.6271,40,131.7613,131.7613,0.296,97.2,156.2,126.7,156.2,156.2,159.2,129.7,156.2,156.2,156.2,126.7,156.2,156.2,16,17,,10,10,0.1695,,5,3,3,0.0405,,,1
Cade Stover,HST,TE,31,No,No,No,29,9,No,3,Yes,9,1,,0.3103,7,0.7778,53,27,8,33,0.1379,0.1034,8,3.6667,91.2,1.8276,5.8889,-0.448,7.5714,3.8571,1.1429,3,13.749,13.749,0.2903,5.3,12.3,8.8,12.3,15.8,12.3,8.8,12.3,12.3,12.3,8.8,15.8,12.3,1,9,0.0345,2,,,0.7241,,,1,0.1111,,,
Josh Jacobs,GB,RB,90,No,No,No,57,12,No,1,Yes,12,1,,0.2105,12,1,100,63,14,37,,0.1053,5,3.0833,101.4,1.7544,8.3333,1.8222,8.3333,5.25,1.1667,3,19.0884,19.0884,0.1333,10,22,16,28,22,25,19,22,22,22,16,22,22,1,15,0.8772,1,,,0.0175,,,,,,,
Stephen Carlson,CHI,TE,1,No,No,No,1,,Yes,,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,139,No,No,No,136,37,No,4,Yes,30,0.8108,3,0.2721,26,0.7027,229,107,25,190,0.1838,0.8088,34,5.1351,81.9,1.6838,6.1892,-0.1985,8.8077,4.1154,0.9615,14,63.7946,63.7946,0.2662,34.9,60.9,47.9,60.9,60.9,63.9,50.9,60.9,60.9,60.9,47.9,60.9,60.9,7,16,0.0074,2,2,0.0769,,2,2,3,0.0811,,,
Tee Higgins,CIN,WR,216,No,Yes,No,214,39,No,13,No,33,0.8462,4,0.1822,29,0.7436,217,80,34,213,0.1355,0.8645,35,5.4615,112.9,1.014,5.5641,-0.963,7.4828,2.7586,1.1724,12,66.2824,66.2824,0.1806,39.7,68.7,54.2,68.7,68.7,71.7,57.2,68.7,68.7,68.7,54.2,68.7,68.7,9,15,,8,3,0.1034,,3,2,1,0.0256,,,
Scott Miller,PIT,WR,42,No,No,Yes,40,6,No,1,Yes,5,0.8333,,0.15,4,0.6667,28,3,,37,0.2,0.8,5,6.1667,77.1,0.7,4.6667,-2.1382,7,0.75,,3,8.7701,8.7701,0.1429,2.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,1,13,,1,,,,,,,,,,
Rashod Bateman,BLT,WR,121,No,No,No,119,16,No,2,Yes,11,0.6875,1,0.1345,10,0.625,62,27,12,64,0.1176,0.8824,9,4,91.1,0.521,3.875,-2.1269,6.2,2.7,1.2,4,25.8105,25.8105,0.1322,12.2,22.2,17.2,22.2,22.2,22.2,17.2,22.2,22.2,22.2,17.2,22.2,22.2,6,13,,2,1,0.1,,1,1,1,0.0625,,,
Grant Calcaterra,PHI,TE,57,No,Yes,No,44,10,No,3,Yes,10,1,,0.2273,8,0.8,61,32,7,35,0.4545,0.0682,9,3.5,92.1,1.3864,6.1,-0.2272,7.625,4,0.875,3,14.3205,14.3205,0.1754,6.1,14.1,10.1,14.1,18.1,14.1,10.1,14.1,14.1,14.1,10.1,18.1,14.1,1,15,,2,,,0.4773,,,1,0.1,,,
Clyde Edwards-Helaire,KC,RB,2,Yes,No,No,2,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,
Ryan Flournoy,DAL,WR,117,No,No,No,117,26,No,6,No,24,0.9231,2,0.2222,20,0.7692,150,67,33,127,0.3504,0.6496,19,4.8846,115.9,1.2821,5.7692,-0.5769,7.5,3.35,1.65,15,46.1553,46.1553,0.2222,27,47,37,47,47,50,40,47,47,47,37,47,47,4,15,,3,2,0.1,,2,1,2,0.0769,,,
Mike Gesicki,CIN,TE,94,No,Yes,No,91,19,No,5,No,16,0.8421,,0.2088,14,0.7368,102,40,10,89,0.7692,0.2198,18,4.6842,85.9,1.1209,5.3684,-1.2806,7.2857,2.8571,0.7143,7,35.5524,35.5524,0.2021,10.2,24.2,17.2,24.2,31.2,27.2,20.2,24.2,24.2,24.2,17.2,31.2,24.2,3,13,,3,,,0.011,,,1,0.0526,,,
Nikko Remigio,KC,WR,2,No,Yes,No,2,,No,,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
Deebo Samuel,WAS,WR,126,No,Yes,No,124,27,No,10,Yes,23,0.8519,1,0.2177,19,0.7037,137,51,23,133,0.6613,0.3145,23,4.9259,106.6,1.1048,5.0741,-1.2797,7.2105,2.6842,1.2105,8,44.6749,44.6749,0.2143,25.7,44.7,35.2,44.7,44.7,47.7,38.2,44.7,44.7,44.7,35.2,44.7,44.7,3,16,0.0242,5,4,0.2105,,2,1,,,,,
Julius Chestnut,TEN,RB,8,No,Yes,No,5,1,No,,No,,,,0.2,,,,,,5,,0.2,,5,39.6,,,-7.233,,,,,1.4355,1.4355,0.125,,,,,,,,,,,,,,,17,0.8,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,170,No,No,Yes,169,64,No,13,Yes,54,0.8438,2,0.3787,46,0.7188,322,125,50,295,0.645,0.3432,54,4.6094,82.9,1.9053,5.0312,-1.1525,7,2.7174,1.087,15,102.5118,102.5118,0.3765,32.2,78.2,55.2,78.2,78.2,81.2,58.2,78.2,78.2,78.2,55.2,78.2,78.2,6,16,0.0118,6,6,0.1304,,,,2,0.0312,1,0.0156,
Devin Duvernay,CHI,WR,8,No,No,No,8,2,No,1,Yes,1,0.5,,0.25,1,0.5,2,,,7,0.5,0.25,1,3.5,56.3,0.25,1,-4.8486,2,,,,6.5776,6.5776,0.25,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1,17,0.125,1,,,0.125,,,,,,,
Jake Tonges,SF,TE,116,No,Yes,No,109,25,No,3,No,23,0.92,3,0.2294,22,0.88,158,72,25,102,0.2661,0.055,15,4.08,132.6,1.4495,6.32,-0.2414,7.1818,3.2727,1.1364,13,47.3484,47.3484,0.2155,33.8,55.8,44.8,55.8,66.8,58.8,47.8,55.8,55.8,55.8,44.8,66.8,55.8,5,16,0.0183,2,1,0.0455,0.6606,3,3,,,,,
Ben Skowronek,PIT,WR,19,No,No,Yes,17,2,No,,Yes,1,0.5,,0.1176,1,0.5,13,8,3,9,0.4118,0.5882,1,4.5,70.8,0.7647,6.5,0.2937,13,8,3,1,2.7064,2.7064,0.1053,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,16,,,,,,,,,,,,
Beaux Collins,NYG,WR,11,No,Yes,No,11,3,No,,No,2,0.6667,,0.2727,1,0.3333,7,2,1,13,0.4545,0.5455,3,4.3333,2.8,0.6364,2.3333,-3.7252,7,2,1,,4.332,4.332,0.2727,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,9,,,,,,,,1,0.3333,,,
Roman Wilson,PIT,WR,62,No,No,No,62,6,No,1,No,6,1,,0.0968,5,0.8333,64,41,15,27,0.1935,0.8065,6,4.5,150.7,1.0323,10.6667,4.4626,12.8,8.2,3,3,9.4542,9.4542,0.0968,12.4,17.4,14.9,17.4,17.4,17.4,14.9,17.4,17.4,17.4,14.9,17.4,17.4,1,13,,,1,0.2,,1,,1,0.1667,,,
Trey Benson,ARZ,RB,25,No,No,Yes,22,4,No,,Yes,4,1,,0.1818,4,1,24,15,8,9,0.0909,0.0455,2,2.25,91.7,1.0909,6,-0.1575,6,3.75,2,1,6.158,6.158,0.16,2.4,6.4,4.4,8.4,6.4,6.4,4.4,6.4,6.4,6.4,4.4,6.4,6.4,1,4,0.8636,,,,,,,,,,,
Kimani Vidal,LAC,RB,106,No,No,No,71,5,No,,Yes,4,0.8,,0.0704,3,0.6,72,68,13,11,0.0423,0.0141,2,2.2,104.2,1.0141,14.4,8.195,24,22.6667,4.3333,2,7.9142,7.9142,0.0472,7.2,10.2,8.7,11.7,10.2,10.2,8.7,10.2,10.2,10.2,8.7,10.2,10.2,2,13,0.9437,,2,0.6667,,,,1,0.2,,,
RJ Harvey,DEN,RB,112,No,No,No,89,25,No,,Yes,23,0.92,,0.2809,21,0.84,212,162,42,59,0.1124,0.1798,9,2.36,128.7,2.382,8.48,2.1784,10.0952,7.7143,2,8,39.1455,39.1455,0.2252,33.2,54.2,43.7,64.7,54.2,57.2,46.7,54.2,54.2,54.2,43.7,54.2,54.2,2,17,0.6966,,7,0.3333,0.0112,2,,2,0.08,,,
Mason Tipton,NO,WR,62,No,No,No,62,7,Yes,,Yes,7,1,,0.1129,7,1,50,18,4,32,0.3226,0.6774,6,4.5714,96.4,0.8065,7.1429,0.9161,7.1429,2.5714,0.5714,2,11.3557,11.3557,0.1129,5,12,8.5,12,12,12,8.5,12,12,12,8.5,12,12,,13,,,,,,,,,,,,
Savion Williams,GB,WR,10,No,No,No,10,2,No,,Yes,2,1,,0.2,2,1,22,14,2,8,0.4,0.3,1,4,112.5,2.2,11,4.9502,11,7,1,,2.9838,2.9838,0.2,2.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,,12,0.2,,,,0.1,,,,,1,0.5,
Derius Davis,LAC,WR,13,No,No,No,13,1,No,,Yes,1,1,,0.0769,1,1,7,1,,6,0.3077,0.6154,1,6,95.8,0.5385,7,0.0509,7,1,,,1.5113,1.5113,0.0769,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,11,0.0769,,,,,,,,,,,
Deven Thompkins,ATL,WR,1,No,No,No,1,,No,,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
Kylen Granson,PHI,TE,37,No,Yes,No,31,4,No,1,Yes,4,1,,0.129,4,1,21,6,1,15,0.2903,0.0645,3,3.75,88.5,0.6774,5.25,-1.0476,5.25,1.5,0.25,2,6.2409,6.2409,0.1081,2.1,6.1,4.1,6.1,8.1,6.1,4.1,6.1,6.1,6.1,4.1,8.1,6.1,1,17,,1,,,0.6452,,,,,,,
Konata Mumpfield,LA,WR,69,No,No,No,68,8,No,2,Yes,5,0.625,,0.1176,4,0.5,34,13,2,45,0.2353,0.7647,5,5.625,21.9,0.5,4.25,-2.3644,8.5,3.25,0.5,1,11.4925,11.4925,0.1159,3.4,7.4,5.4,7.4,7.4,7.4,5.4,7.4,7.4,7.4,5.4,7.4,7.4,2,17,,1,,,,,,1,0.125,,,
Kaleb Johnson,PIT,RB,9,No,Yes,No,6,,No,,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.6667,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,118,No,Yes,Yes,82,15,No,1,No,15,1,,0.1829,13,0.8667,143,102,16,49,0.0122,0.0976,2,3.2667,106.4,1.7439,9.5333,3.0099,11,7.8462,1.2308,3,20.4082,20.4082,0.1271,13.3,26.3,19.8,32.8,26.3,29.3,21.8,25.3,25.3,25.3,18.8,26.3,25.3,1,14,0.8902,,2,0.1538,,,,2,0.1333,,,
Brenton Strange,JAX,TE,118,No,Yes,No,109,41,No,9,No,39,0.9512,1,0.3761,32,0.7805,324,184,51,183,0.2752,0.2385,26,4.4634,107.7,2.9725,7.9024,1.3512,10.125,5.75,1.5938,17,68.0113,68.0113,0.3475,38.4,70.4,54.4,70.4,86.4,73.4,57.4,70.4,70.4,70.4,54.4,86.4,70.4,8,12,,6,7,0.2188,0.4862,1,1,4,0.0976,,,
Tory Horton,SEA,WR,63,No,No,No,60,10,No,2,Yes,8,0.8,1,0.1667,7,0.7,65,27,16,57,0.2,0.8,8,5.7,87.5,1.0833,6.5,-0.1108,9.2857,3.8571,2.2857,2,18.97,18.97,0.1587,6.5,13.5,10,13.5,13.5,13.5,10,13.5,13.5,13.5,10,13.5,13.5,1,8,,1,1,0.1429,,,,,,,,
Travis Kelce,KC,TE,188,No,No,No,173,66,No,3,Yes,56,0.8485,1,0.3815,50,0.7576,489,253,104,315,0.5723,0.2197,50,4.7727,93.6,2.8266,7.4091,0.8062,9.78,5.06,2.08,29,106.2388,106.2388,0.3511,60.9,110.9,85.9,110.9,135.9,113.9,88.9,110.9,110.9,110.9,85.9,135.9,110.9,8,17,0.0058,2,8,0.16,0.2023,2,,6,0.0909,,,
Cole Kmet,CHI,TE,130,No,No,No,116,17,No,1,Yes,13,0.7647,,0.1466,12,0.7059,109,62,23,72,0.2414,0.3276,9,4.2353,87.6,0.9397,6.4118,-0.1262,9.0833,5.1667,1.9167,6,28.7467,28.7467,0.1308,10.9,22.9,16.9,22.9,28.9,25.9,19.9,22.9,22.9,22.9,16.9,28.9,22.9,1,16,0.0259,,2,0.1667,0.4052,,,,,,,
Tyreek Hill,MIA,WR,37,No,No,No,36,11,No,,Yes,11,1,,0.3056,11,1,111,57,16,54,0.3889,0.6111,9,4.9091,108.7,3.0833,10.0909,3.7393,10.0909,5.1818,1.4545,9,15.5088,15.5088,0.2973,11.1,22.1,16.6,22.1,22.1,25.1,19.6,22.1,22.1,22.1,16.6,22.1,22.1,,4,,,3,0.2727,,,,,,,,
Demarcus Robinson,SF,WR,118,No,No,No,115,10,No,1,Yes,7,0.7,1,0.087,7,0.7,42,9,5,50,0.3652,0.6348,9,5,77.9,0.3652,4.2,-2.1386,6,1.2857,0.7143,2,19.2469,19.2469,0.0847,4.2,11.2,7.7,11.2,11.2,11.2,7.7,11.2,11.2,11.2,7.7,11.2,11.2,3,14,,1,,,,,,,,,,
Johnny Mundt,JAX,TE,57,No,Yes,No,42,12,No,1,No,11,0.9167,,0.2857,8,0.6667,90,59,15,55,0.1429,0.119,6,4.5833,88.9,2.1429,7.5,0.9138,11.25,7.375,1.875,5,17.2918,17.2918,0.2105,9,17,13,17,21,17,13,17,17,17,13,21,17,,16,,,1,0.125,0.7381,,,2,0.1667,,,
Durham Smythe,CHI,TE,30,No,No,No,21,5,No,1,Yes,5,1,,0.2381,3,0.6,23,10,2,23,0.1905,0.1429,2,4.6,71.3,1.0952,4.6,-1.7546,7.6667,3.3333,0.6667,1,6.907,6.907,0.1667,2.3,5.3,3.8,5.3,6.8,5.3,3.8,5.3,5.3,5.3,3.8,6.8,5.3,,17,0.0952,,,,0.5714,,,1,0.2,,,
Xavier Legette,CAR,WR,136,Yes,No,Yes,134,24,No,5,Yes,21,0.875,1,0.1791,17,0.7083,95,16,-4,129,0.4254,0.5746,17,5.375,91.5,0.709,3.9583,-2.5358,5.5882,0.9412,-0.2353,5,36.5287,36.5287,0.1765,15.5,32.5,24,32.5,32.5,32.5,24,32.5,32.5,32.5,24,32.5,32.5,5,15,,2,1,0.0588,,1,1,,,,,
Rashid Shaheed,SEA,WR,217,No,No,No,216,39,No,4,Yes,36,0.9231,,0.1806,32,0.8205,230,55,20,211,0.338,0.662,31,5.4103,89.1,1.0648,5.8974,-0.6612,7.1875,1.7188,0.625,10,60.5226,60.5226,0.1797,28,60,44,60,60,63,46,59,59,59,43,60,59,2,18,,1,,,,1,,1,0.0256,,,
Gunnar Helm,TEN,TE,94,No,No,No,84,29,Yes,8,Yes,28,0.9655,2,0.3452,25,0.8621,152,61,18,107,0.3571,0.119,19,3.6897,100,1.8095,5.2414,-1.0818,6.08,2.44,0.72,8,46.3273,46.3273,0.3085,21.2,46.2,33.7,46.2,58.7,49.2,36.7,46.2,46.2,46.2,33.7,58.7,46.2,4,16,,6,2,0.08,0.5238,1,1,2,0.069,,,
Justin Jefferson,MIN,WR,172,Yes,Yes,Yes,172,45,No,5,No,34,0.7556,4,0.2616,28,0.6222,254,114,42,254,0.2442,0.7442,39,5.6444,58.9,1.4767,5.6444,-0.9375,9.0714,4.0714,1.5,12,76.9739,76.9739,0.2616,25.4,53.4,39.4,53.4,53.4,56.4,42.4,53.4,53.4,53.4,39.4,53.4,53.4,9,17,0.0116,2,2,0.0714,,,,4,0.0889,1,0.0222,
Greg Dulcich,MIA,TE,54,No,Yes,Yes,53,18,No,4,No,15,0.8333,,0.3396,14,0.7778,141,81,19,78,0.283,0.1321,13,4.3333,99.3,2.6604,7.8333,1.3159,10.0714,5.7857,1.3571,5,30.6512,30.6512,0.3333,13.1,27.1,20.1,27.1,34.1,30.1,22.1,26.1,26.1,26.1,19.1,34.1,26.1,3,10,,3,1,0.0714,0.5849,,,,,,,
Brock Wright,DET,TE,57,Yes,No,No,47,12,No,1,Yes,10,0.8333,1,0.2553,9,0.75,75,52,11,40,0.3404,0.0851,7,3.3333,130.2,1.5957,6.25,-0.0224,8.3333,5.7778,1.2222,5,19.9953,19.9953,0.2105,19.5,28.5,24,28.5,33,28.5,24,28.5,28.5,28.5,24,33,28.5,2,11,0.0213,,,,0.5532,2,1,,,,,
Brandin Cooks,BUF,WR,141,No,No,Yes,135,14,No,3,Yes,14,1,,0.1037,14,1,90,24,11,66,0.437,0.5556,11,4.7143,93.5,0.6667,6.4286,0.1917,6.4286,1.7143,0.7857,6,20.3158,20.3158,0.0993,9,23,16,23,23,23,16,23,23,23,16,23,23,,15,0.0074,3,,,,,,,,,,
A.J. Brown,PHI,WR,195,No,No,Yes,186,60,No,13,Yes,50,0.8333,,0.3226,45,0.75,403,158,87,325,0.129,0.871,53,5.4167,91.2,2.1667,6.7167,0.173,8.9556,3.5111,1.9333,20,101.7697,101.7697,0.3077,46.3,91.3,68.8,91.3,91.3,94.3,71.8,91.3,91.3,91.3,68.8,91.3,91.3,9,15,,8,7,0.1556,,1,,,,,,
Luke McCaffrey,WAS,WR,35,No,No,No,33,1,No,,Yes,1,1,,0.0303,1,1,6,3,1,3,0.4545,0.5455,1,3,91.7,0.1818,6,0.5501,6,3,1,,1.474,1.474,0.0286,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,9,,,,,,,,,,,,
Samori Toure,NO,WR,4,No,No,No,4,2,No,,Yes,1,0.5,,0.5,1,0.5,3,,,12,,1,2,6,16.7,0.75,1.5,-4.9519,3,,,,2.8166,2.8166,0.5,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1,1,,,,,,,,,,,,
Ryan Miller,TB,WR,9,No,Yes,No,7,,No,,Yes,,,,,,,,,,,0.1429,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,
David Njoku,CLV,TE,124,No,No,No,111,27,No,4,Yes,23,0.8519,1,0.2432,21,0.7778,182,103,49,114,0.3964,0.1081,20,4.2222,104,1.6396,6.7407,0.2587,8.6667,4.9048,2.3333,7,43.3081,43.3081,0.2177,30.2,51.2,40.7,51.2,61.7,54.2,43.7,51.2,51.2,51.2,40.7,61.7,51.2,3,12,,3,2,0.0952,0.4955,2,1,1,0.037,,,1
Brock Bowers,LV,TE,157,No,No,Yes,153,46,No,10,Yes,40,0.8696,2,0.3007,39,0.8478,372,190,79,224,0.4967,0.2157,38,4.8696,113,2.4314,8.087,1.4854,9.5385,4.8718,2.0256,18,75.5615,75.5615,0.293,55.2,94.2,74.7,94.2,113.7,97.2,77.7,94.2,94.2,94.2,74.7,113.7,94.2,5,12,0.0065,9,5,0.1282,0.281,3,2,1,0.0217,,,2
Jalin Hyatt,NYG,WR,42,No,No,No,40,5,Yes,2,Yes,5,1,,0.125,4,0.8,21,2,1,27,0.225,0.775,5,5.4,84.2,0.525,4.2,-2.3298,5.25,0.5,0.25,1,7.0272,7.0272,0.119,2.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,6.1,4.1,6.1,6.1,,8,,1,,,,,,,,,,
Terrance Ferguson,LA,TE,72,No,No,No,69,4,No,1,Yes,3,0.75,1,0.058,3,0.75,12,1,1,14,0.4928,0.2754,4,3.5,77.1,0.1739,3,-3.3614,4,0.3333,0.3333,1,20.1041,20.1041,0.0556,7.2,10.2,8.7,10.2,11.7,10.2,8.7,10.2,10.2,10.2,8.7,11.7,10.2,1,13,,1,,,0.2319,1,1,,,,,
Lucas Krull,DEN,TE,10,No,No,Yes,10,4,No,,Yes,2,0.5,,0.4,2,0.5,15,3,2,20,0.5,,2,5,59.4,1.5,3.75,-2.7303,7.5,1.5,1,,8.8709,8.8709,0.4,1.5,3.5,2.5,3.5,4.5,3.5,2.5,3.5,3.5,3.5,2.5,4.5,3.5,,3,,,,,0.5,,,,,,,
Tyler Johnson,NYJ,WR,63,No,No,No,63,5,No,,Yes,5,1,,0.0794,5,1,42,24,-1,18,0.4286,0.5714,2,3.6,101.7,0.6667,8.4,2.6475,8.4,4.8,-0.2,1,7.0309,7.0309,0.0794,4.2,9.2,6.7,9.2,9.2,9.2,6.7,9.2,9.2,9.2,6.7,9.2,9.2,1,12,,,2,0.4,,,,,,,,
Chig Okonkwo,TEN,TE,147,No,Yes,No,136,34,No,4,No,31,0.9118,,0.25,28,0.8235,250,143,45,129,0.5074,0.125,23,3.7941,94.9,1.8382,7.3529,0.9433,8.9286,5.1071,1.6071,10,53.2507,53.2507,0.2313,31,59,45,59,73,62,48,59,59,59,45,73,59,,17,,3,9,0.3214,0.3676,1,,2,0.0588,,,
Ke'Shawn Williams,CIN,WR,7,No,Yes,No,7,1,No,1,No,1,1,,0.1429,1,1,5,1,1,4,0.1429,0.8571,1,4,87.5,0.7143,5,-1.0498,5,1,1,,1.42,1.42,0.1429,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,11,,1,,,,,,,,,,
Nick Kallerup,SEA,TE,8,No,Yes,Yes,6,1,No,1,Yes,1,1,,0.1667,,,,,,7,,,,7,39.6,,,-7.3078,,,,,4.0235,4.0235,0.125,,,,,,,,,,,,,,1,9,,,,,1,,,,,,,
Ray Davis,BUF,RB,22,Yes,No,No,16,5,No,,Yes,3,0.6,,0.3125,2,0.4,17,8,4,23,,,,4.6,49.6,1.0625,3.4,-3.5122,8.5,4,2,2,7.4001,7.4001,0.2273,1.7,3.7,2.7,4.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,,17,1,,1,0.5,,,,1,0.2,,,
