Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero
Jordan Whittington,LA,WR,40,Yes,No,No,22,8,No,,Yes,7,0.875,0.3636,7,,0.875,29,35,12,-6,,,,,0.5909,0.4091,4,2,0.25,-0.75,81.8,1.3182,3.625,-2.4118,4.1429,5,1.7143,2,11.4092,11.4092,0.2,2.9,9.9,6.4,9.9,9.9,9.9,6.4,9.9,9.9,9.9,6.4,9.9,9.9,1,17,,,,
Darius Slayton,NYG,WR,78,No,No,No,48,,No,,Yes,,,,,,,,,,,,,,,0.1042,0.8958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,
J.K. Dobbins,DEN,RB,30,Yes,Yes,No,15,12,No,,Yes,11,0.9167,0.8,9,,0.75,24,49,12,-40,,2,0.2222,0.9333,0.0667,,7,5,0.4167,-3.3333,77.1,1.6,2,-3.7275,2.6667,5.4444,1.3333,,16.8088,16.8088,0.4,2.4,11.4,6.9,15.9,11.4,11.4,6.9,11.4,11.4,11.4,6.9,11.4,11.4,,10,2,0.1667,,
Emari Demercado,ARZ,RB,19,Yes,No,No,17,9,No,,Yes,8,0.8889,0.5294,7,,0.7778,19,33,9,-25,1,1,0.1429,0.8235,0.1176,0.0588,5,3,0.3333,-2.7778,116.2,1.1176,2.1111,-3.6881,2.7143,4.7143,1.2857,1,15.4159,15.4159,0.4737,7.9,14.9,11.4,18.4,14.9,14.9,11.4,14.9,14.9,14.9,11.4,14.9,14.9,2,13,1,0.1111,,
Efton Chism,NE,WR,7,Yes,No,Yes,4,,No,,Yes,,,,,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
Quentin Skinner,NYJ,WR,3,Yes,No,No,2,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Rasheen Ali,BLT,RB,8,No,No,No,7,5,No,,Yes,5,1,0.7143,5,,1,39,60,9,-21,1,1,0.2,0.7143,0.1429,,4,4,0.8,-4.2,138.8,5.5714,7.8,2.4535,7.8,12,1.8,1,7.8538,7.8538,0.625,9.9,14.9,12.4,17.4,14.9,14.9,12.4,14.9,14.9,14.9,12.4,14.9,14.9,1,15,,,0.1429,
Miles Sanders,DAL,RB,7,No,Yes,No,5,5,No,,Yes,5,1,1,5,,1,18,42,17,-24,,2,0.4,1,,,2,2,0.4,-4.8,81.7,3.6,3.6,-1.992,3.6,8.4,3.4,,7.1033,7.1033,0.7143,1.8,6.8,4.3,9.3,6.8,6.8,4.3,6.8,6.8,6.8,4.3,6.8,6.8,,4,,,,
Charlie Jones,CIN,WR,4,No,Yes,No,3,,No,,Yes,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,
KhaDarel Hodge,ATL,WR,4,Yes,No,No,2,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,
Will Dissly,LAC,TE,16,Yes,No,No,10,3,No,,Yes,3,1,0.3,3,,1,22,29,1,-7,,1,0.3333,,0.1,0.1,2,1,0.3333,-2.3333,97.2,2.2,7.3333,1.9704,7.3333,9.6667,0.3333,2,4.7867,4.7867,0.1875,2.2,5.2,3.7,5.2,6.7,5.2,3.7,5.2,5.2,5.2,3.7,6.7,5.2,1,9,,,0.8,
Jamari Thrash,CLV,WR,22,No,No,No,17,,No,,Yes,,,,,,,,,,,,,,,0.6471,0.3529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
Matthew Golden,GB,WR,52,Yes,No,Yes,38,9,No,,Yes,9,1,0.2368,9,,1,25,46,3,-21,,3,0.3333,,0.4211,0.5526,7,5,0.5556,-2.3333,79.2,0.6579,2.7778,-2.5448,2.7778,5.1111,0.3333,1,13.9768,13.9768,0.1731,2.5,11.5,7,11.5,11.5,11.5,7,11.5,11.5,11.5,7,11.5,11.5,1,14,,,0.0263,
Saquon Barkley,PHI,RB,55,No,No,Yes,37,31,No,,Yes,29,0.9355,0.8378,24,,0.7742,141,228,87,-101,,7,0.2917,0.8108,0.1351,0.0541,8,5,0.1613,-3.2581,85.6,3.8108,4.5484,-1.0561,5.875,9.5,3.625,6,43.9431,43.9431,0.5636,13.1,37.1,25.1,49.1,37.1,40.1,27.1,36.1,36.1,36.1,24.1,37.1,36.1,1,16,5,0.1613,,
Evan Engram,DEN,TE,72,Yes,No,No,53,18,No,,Yes,17,0.9444,0.3396,16,,0.8889,102,123,45,-25,,1,0.0625,0.0189,0.3774,0.0755,12,9,0.5,-1.3889,90.3,1.9245,5.6667,0.2409,6.375,7.6875,2.8125,2,27.0883,27.0883,0.25,10.2,26.2,18.2,26.2,34.2,29.2,21.2,26.2,26.2,26.2,18.2,34.2,26.2,2,16,1,0.0556,0.5283,
Brevyn Spann-Ford,DAL,TE,17,No,No,No,12,1,No,,Yes,1,1,0.0833,1,,1,9,10,3,-1,,,,,0.3333,0.0833,1,,,-1,104.2,0.75,9,4.0986,9,10,3,,1.643,1.643,0.0588,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,17,,,0.5833,
Tyler Higbee,LA,TE,30,Yes,No,No,19,8,No,,Yes,7,0.875,0.4211,7,,0.875,66,77,17,-16,,,,,0.0526,0.0526,7,6,0.75,-2,101,3.4737,8.25,3.0241,9.4286,11,2.4286,3,12.0824,12.0824,0.2667,6.6,13.6,10.1,13.6,17.1,13.6,10.1,13.6,13.6,13.6,10.1,17.1,13.6,2,10,,,0.8947,
Keleki Latu,BUF,TE,7,Yes,No,No,1,1,No,,Yes,1,1,1,1,,1,14,14,8,,,1,1,,,,1,,,,118.8,14,14,8.711,14,14,8,1,1.3157,1.3157,0.1429,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,,5,,,1,
Jake Bobo,SEA,WR,8,Yes,No,Yes,4,1,No,,Yes,1,1,0.25,1,,1,3,3,1,,,,,,0.5,0.5,,,,,79.2,0.75,3,-3.0386,3,3,1,,1.7254,1.7254,0.125,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,11,,,,
Adonai Mitchell,NYJ,WR,46,Yes,No,No,23,1,No,,Yes,,,0.0435,,,,,,,-4,,,,,0.1304,0.8696,1,1,1,-4,39.6,,,-4.4851,,,,,1.3667,1.3667,0.0217,,,,,,,,,,,,,,,16,,,,
Connor Heyward,PIT,TE,5,No,No,No,1,1,No,,Yes,1,1,1,1,,1,3,4,,-1,,,,1,,,1,1,1,-1,79.2,3,3,-1.9014,3,4,,,1.1635,1.1635,0.2,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,16,,,,
Dylan Sampson,CLV,RB,37,No,No,No,30,23,No,1,Yes,22,0.9565,0.7667,21,1,0.913,153,250,50,-103,1,3,0.1429,0.8333,0.1333,0.0333,10,8,0.3478,-4.4783,108.9,5.1,6.6522,1.1954,7.2857,11.9048,2.381,4,31.31,31.31,0.6216,20.3,41.3,30.8,51.8,41.3,44.3,32.8,40.3,40.3,40.3,29.8,41.3,40.3,2,15,1,0.0435,,
Jawhar Jordan,HST,RB,12,Yes,Yes,No,7,5,No,,Yes,5,1,0.7143,5,,1,19,40,10,-21,,1,0.2,0.7143,0.1429,0.1429,3,2,0.4,-4.2,82.5,2.7143,3.8,-1.9537,3.8,8,2,1,7.9395,7.9395,0.4167,1.9,6.9,4.4,9.4,6.9,6.9,4.4,6.9,6.9,6.9,4.4,6.9,6.9,,4,,,,
Nick Westbrook-Ikhine,MIA,WR,52,Yes,No,Yes,20,2,No,,Yes,2,1,0.1,2,,1,-1,8,4,-9,,,,,0.6,0.4,2,2,1,-4.5,79.2,-0.05,-0.5,-4.8223,-0.5,4,2,,3.6487,3.6487,0.0385,-0.1,1.9,0.9,1.9,1.9,1.9,0.9,1.9,1.9,1.9,0.9,1.9,1.9,,15,,,,
Marquez Valdes-Scantling,PIT,WR,40,No,No,No,28,3,No,,Yes,3,1,0.1071,3,,1,15,18,7,-3,,,,,0.1071,0.8929,3,3,1,-1,87.5,0.5357,5,-1.1699,5,6,2.3333,,4.6441,4.6441,0.075,1.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,,10,,,,
Pat Bryant,DEN,WR,59,Yes,No,No,39,3,No,,Yes,3,1,0.0769,3,,1,13,17,2,-4,,1,0.3333,,0.4872,0.5128,3,3,1,-1.3333,84.7,0.3333,4.3333,-1.6129,4.3333,5.6667,0.6667,,7.348,7.348,0.0508,1.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,2,15,,,,
Hunter Long,JAX,TE,24,No,No,No,9,1,No,,Yes,1,1,0.1111,1,,1,8,8,,,,,,,0.3333,0.1111,1,,,,100,0.8889,8,2.711,8,8,,1,1.1808,1.1808,0.0417,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,9,,,0.5556,
Sal Cannella,CLV,TE,3,No,No,No,2,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,
Kayshon Boutte,NE,WR,46,Yes,No,Yes,32,,No,,Yes,,,,,,,,,,,,,,,0.0312,0.9375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,0.0312,
Tahj Brooks,CIN,RB,4,No,No,No,3,2,No,,Yes,1,0.5,0.6667,1,,0.5,9,11,1,-4,,,,1,,,1,1,0.5,-2,22.9,3,4.5,-1.698,9,11,1,,2.843,2.843,0.5,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,12,,,,
Robbie Chosen,WAS,WR,5,No,No,No,2,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
Ben Sims,MIN,TE,6,Yes,No,Yes,1,,No,,Yes,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
D'Andre Swift,CHI,RB,52,No,No,No,39,29,No,,No,25,0.8621,0.7436,22,,0.7586,163,273,33,-129,,1,0.0455,0.8974,0.0256,0.0513,17,14,0.4828,-4.4483,88.7,4.1795,5.6207,0.1801,7.4091,12.4091,1.5,7,47.7734,47.7734,0.5577,16.3,38.3,27.3,49.3,38.3,41.3,30.3,38.3,38.3,38.3,27.3,38.3,38.3,1,16,3,0.1034,0.0256,
Adam Trautman,DEN,TE,57,Yes,No,No,15,1,No,,Yes,1,1,0.0667,1,,1,6,6,3,,,1,1,,0.0667,,1,,,,91.7,0.4,6,0.711,6,6,3,,1.3478,1.3478,0.0175,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,17,,,0.9333,
Trevor Etienne,CAR,RB,3,No,No,Yes,1,1,No,,Yes,1,1,1,1,,1,2,5,5,-3,,2,2,,1,,,,,-3,79.2,2,2,-4.1191,2,5,5,,1.6078,1.6078,0.3333,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,17,,,,
Ja'Marr Chase,CIN,WR,110,No,No,No,100,33,No,,Yes,32,0.9697,0.33,30,,0.9091,165,243,69,-82,1,8,0.2667,0.02,0.27,0.71,30,25,0.7576,-2.4848,85,1.65,5,-0.2467,5.5,8.1,2.3,6,52.2929,52.2929,0.3,22.5,52.5,37.5,52.5,52.5,55.5,40.5,52.5,52.5,52.5,37.5,52.5,52.5,4,16,2,0.0606,,
Tommy Tremble,CAR,TE,63,No,No,Yes,47,9,No,,Yes,8,0.8889,0.1915,7,,0.7778,28,37,8,-10,,1,0.1429,,0.2766,0.1489,7,1,0.1111,-1.1111,79.6,0.5957,3.1111,-2.0529,4,5.2857,1.1429,,14.0639,14.0639,0.1429,2.8,9.8,6.3,9.8,13.3,9.8,6.3,9.8,9.8,9.8,6.3,13.3,9.8,2,17,1,0.1111,0.5745,
Jonathan Mingo,DAL,WR,5,No,No,No,3,,No,,Yes,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
Cooper Kupp,SEA,WR,54,Yes,No,Yes,33,5,No,,Yes,5,1,0.1515,5,,1,28,39,6,-11,,1,0.2,,0.5152,0.4848,5,4,0.8,-2.2,90,0.8485,5.6,0.285,5.6,7.8,1.2,1,9.1679,9.1679,0.0926,2.8,7.8,5.3,7.8,7.8,7.8,5.3,7.8,7.8,7.8,5.3,7.8,7.8,3,16,,,,
Kyle Williams,NE,WR,22,Yes,No,Yes,13,1,No,,Yes,1,1,0.0769,1,,1,11,13,1,-2,,,,,0.0769,0.9231,1,,,-2,112.5,0.8462,11,5.5009,11,13,1,1,1.4127,1.4127,0.0455,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,17,,,,
James Conner,ARZ,RB,12,No,No,No,10,8,No,,Yes,8,1,0.8,8,,1,38,70,26,-32,1,4,0.5,1,,,4,4,0.5,-4,126,3.8,4.75,-0.7503,4.75,8.75,3.25,4,12.6225,12.6225,0.6667,9.8,17.8,13.8,21.8,17.8,17.8,13.8,17.8,17.8,17.8,13.8,17.8,17.8,1,3,,,,
Tyler Conklin,LAC,TE,9,Yes,No,No,4,2,No,,Yes,2,1,0.5,1,,0.5,3,7,6,-7,,2,2,,0.5,,2,2,1,-3.5,56.3,0.75,1.5,-4.6008,3,7,6,,2.7932,2.7932,0.2222,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,,10,1,0.5,0.5,
Shedrick Jackson,LV,WR,2,Yes,No,No,1,,No,,Yes,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
Anthony Firkser,DET,TE,15,No,No,No,8,2,No,,No,2,1,0.25,2,,1,-2,5,2,-7,,,,,0.125,0.375,1,1,0.5,-3.5,79.2,-0.25,-1,-5.6122,-1,2.5,1,,3.0011,3.0011,0.1333,-0.2,1.8,0.8,1.8,2.8,1.8,0.8,1.8,1.8,1.8,0.8,2.8,1.8,1,7,,,0.5,
Justice Hill,BLT,RB,23,No,No,No,17,15,No,,Yes,14,0.9333,0.8824,12,,0.8,71,116,25,-55,1,4,0.3333,0.8235,0.1765,,11,7,0.4667,-3.6667,108.6,4.1765,4.7333,-0.9139,5.9167,9.6667,2.0833,3,20.6101,20.6101,0.6522,13.1,25.1,19.1,31.1,25.1,25.1,19.1,25.1,25.1,25.1,19.1,25.1,25.1,1,10,2,0.1333,,
George Holani,SEA,RB,1,Yes,No,Yes,1,1,No,,Yes,1,1,1,1,,1,4,10,1,-6,,,,1,,,,,,-6,83.3,4,4,-1.0893,4,10,1,,1.0239,1.0239,1,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,10,,,,
Tom Kennedy,DET,WR,4,No,No,No,1,,No,,No,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
Chris Brooks,GB,RB,22,Yes,No,Yes,14,8,No,,Yes,8,1,0.5714,7,,0.875,49,75,14,-27,,3,0.4286,0.9286,,,3,1,0.125,-3.375,92.2,3.5,6.125,0.5045,7,10.7143,2,2,11.7253,11.7253,0.3636,4.9,11.9,8.4,15.4,11.9,11.9,8.4,11.9,11.9,11.9,8.4,11.9,11.9,,17,1,0.125,0.0714,
Christian Watson,GB,WR,35,No,No,No,24,,No,,Yes,,,,,,,,,,,,,,,0.2917,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,0.0417,
Zach Ertz,WAS,TE,52,No,Yes,No,24,3,No,,Yes,3,1,0.125,2,,0.6667,14,20,4,-9,,1,0.5,0.0417,0.5833,0.125,3,1,0.3333,-3,77.1,0.5833,4.6667,-0.38,7,10,2,1,8.3852,8.3852,0.0577,1.4,3.4,2.4,3.4,4.4,3.4,2.4,3.4,3.4,3.4,2.4,4.4,3.4,1,13,1,0.3333,0.25,
Darnell Washington,PIT,TE,81,No,Yes,Yes,36,5,No,,Yes,5,1,0.1389,4,,0.8,2,13,2,-12,,1,0.25,,0.0833,0.3056,3,3,0.6,-2.4,79.2,0.0556,0.4,-4.8588,0.5,3.25,0.5,,8.1614,8.1614,0.0617,0.2,4.2,2.2,4.2,6.2,4.2,2.2,4.2,4.2,4.2,2.2,6.2,4.2,1,16,1,0.2,0.6111,
Audric Estime,NO,RB,20,No,Yes,No,13,7,No,,No,7,1,0.5385,7,,1,57,86,32,-29,,3,0.4286,0.9231,,0.0769,4,3,0.4286,-4.1429,100.6,4.3846,8.1429,2.7436,8.1429,12.2857,4.5714,2,10.0185,10.0185,0.35,5.7,12.7,9.2,16.2,12.7,12.7,9.2,12.7,12.7,12.7,9.2,12.7,12.7,,6,,,,
Davis Allen,LA,TE,34,Yes,No,No,21,9,No,1,Yes,9,1,0.4286,7,1,0.7778,58,80,15,-24,,1,0.1429,,0.0952,0.0952,7,2,0.2222,-2.6667,93.5,2.7619,6.4444,1.3988,8.2857,11.4286,2.1429,4,18.0352,18.0352,0.2647,5.8,12.8,9.3,12.8,16.3,12.8,9.3,12.8,12.8,12.8,9.3,16.3,12.8,2,17,2,0.2222,0.8095,
Charlie Kolar,BLT,TE,12,No,No,No,5,,No,,Yes,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,0.8,
Cam Akers,SEA,RB,1,Yes,No,Yes,1,1,No,,Yes,1,1,1,,,,,,,-7,,,,1,,,1,1,1,-7,39.6,,,-4.5287,,,,,1.1825,1.1825,1,,,,,,,,,,,,,,,4,1,1,,
Courtland Sutton,DEN,WR,126,Yes,No,No,70,3,No,,Yes,3,1,0.0429,3,,1,14,21,11,-7,,1,0.3333,,0.2286,0.7714,2,1,0.3333,-2.3333,86.1,0.2,4.6667,-0.4882,4.6667,7,3.6667,,6.5383,6.5383,0.0238,1.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,4.4,2.9,4.4,4.4,1,17,,,,
Javonte Williams,DAL,RB,71,No,No,No,46,31,No,1,Yes,27,0.871,0.6739,26,,0.8387,82,184,59,-122,1,6,0.2308,0.9348,0.0652,,11,6,0.1935,-3.9355,89.9,1.7826,2.6452,-2.8843,3.1538,7.0769,2.2692,4,54.2197,54.2197,0.4366,13.2,39.2,26.2,52.2,39.2,39.2,25.2,38.2,38.2,38.2,25.2,39.2,38.2,8,16,,,,
Jakobie Keeney-James,GB,WR,3,Yes,No,Yes,3,,No,,Yes,,,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Greg Dortch,ARZ,WR,46,No,No,No,40,19,No,2,Yes,19,1,0.475,18,2,0.9474,74,126,21,-55,,5,0.2778,0.05,0.675,0.275,16,14,0.7368,-2.8947,82.9,1.85,3.8947,-1.1927,4.1111,7,1.1667,4,33.3104,33.3104,0.413,7.4,25.4,16.4,25.4,25.4,25.4,16.4,25.4,25.4,25.4,16.4,25.4,25.4,2,12,1,0.0526,,
Malik Washington,MIA,WR,74,Yes,No,Yes,57,24,No,,Yes,24,1,0.4211,24,,1,79,149,44,-70,,7,0.2917,0.0702,0.4211,0.5088,21,19,0.7917,-2.9167,80.4,1.386,3.2917,-1.69,3.2917,6.2083,1.8333,3,43.5656,43.5656,0.3243,7.9,31.9,19.9,31.9,31.9,31.9,19.9,31.9,31.9,31.9,19.9,31.9,31.9,6,17,,,,
Tip Reiman,ARZ,TE,10,No,No,No,4,1,No,,Yes,1,1,0.25,1,,1,2,3,3,-1,,1,1,,,,,,,-1,79.2,0.5,2,-2.9014,2,3,3,,1.3822,1.3822,0.1,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,,4,,,1,
Michael Pittman,IND,WR,84,Yes,Yes,No,65,13,No,1,Yes,12,0.9231,0.2,11,,0.8462,57,76,14,-23,1,2,0.1818,,0.2615,0.6769,12,5,0.3846,-1.7692,110.6,0.8769,4.3846,-1.0902,5.1818,6.9091,1.2727,3,20.7186,20.7186,0.1548,11.7,22.7,17.2,22.7,22.7,22.7,17.2,22.7,22.7,22.7,17.2,22.7,22.7,2,17,,,0.0615,
Tyrell Shavers,BUF,WR,52,Yes,No,No,24,1,No,,Yes,1,1,0.0417,1,,1,7,8,3,-1,,,,,0.3333,0.5833,1,,,-1,95.8,0.2917,7,0.8301,7,8,3,,1.643,1.643,0.0192,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,17,,,0.0833,
Tim Jones,JAX,WR,2,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
Tyler Goodson,IND,RB,6,Yes,Yes,No,5,3,No,,Yes,2,0.6667,0.6,2,,0.6667,8,10,2,-2,,,,1,,,2,,,-0.6667,70.1,1.6,2.6667,-3.155,4,5,1,,6.0332,6.0332,0.5,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,1,11,,,,
Jordan Mason,MIN,RB,40,Yes,No,Yes,25,15,No,,Yes,15,1,0.6,14,,0.9333,51,104,34,-56,,1,0.0714,0.8,0.08,0.08,8,8,0.5333,-3.7333,80.8,2.04,3.4,-2.2782,3.6429,7.4286,2.4286,1,23.3377,23.3377,0.375,5.1,19.1,12.1,26.1,19.1,19.1,12.1,19.1,19.1,19.1,12.1,19.1,19.1,1,16,1,0.0667,0.04,
Tre Tucker,LV,WR,106,Yes,No,No,86,20,No,,Yes,19,0.95,0.2326,19,,0.95,100,148,45,-50,1,6,0.3158,,0.1744,0.814,17,12,0.6,-2.5,104.2,1.1628,5,-0.162,5.2632,7.7895,2.3684,5,32.7753,32.7753,0.1887,16,35,25.5,35,35,38,28.5,35,35,35,25.5,35,35,2,17,,,0.0116,1
Jonathan Taylor,IND,RB,69,Yes,Yes,No,47,36,No,3,Yes,34,0.9444,0.766,32,2,0.8889,238,329,66,-97,2,7,0.2188,0.8723,0.1064,0.0213,14,11,0.3056,-2.6944,112.7,5.0638,6.6111,0.8867,7.4375,10.2812,2.0625,11,57.2242,57.2242,0.5217,35.8,67.8,51.8,83.8,67.8,70.8,54.8,67.8,67.8,67.8,51.8,67.8,67.8,3,17,2,0.0556,,
Troy Franklin,DEN,WR,99,Yes,No,No,75,20,No,1,Yes,20,1,0.2667,19,1,0.95,113,157,48,-47,,7,0.3684,,0.4533,0.5467,19,19,0.95,-2.35,90.2,1.5067,5.65,0.3028,5.9474,8.2632,2.5263,5,30.314,30.314,0.202,11.3,30.3,20.8,30.3,30.3,33.3,23.8,30.3,30.3,30.3,20.8,30.3,30.3,5,17,1,0.05,,
Brian Thomas,JAX,WR,62,No,No,No,40,4,No,,Yes,4,1,0.1,3,,0.75,32,45,4,-16,1,1,0.3333,,0.15,0.85,3,1,0.25,-4,137.5,0.8,8,3.3848,10.6667,15,1.3333,2,6.1779,6.1779,0.0645,9.2,12.2,10.7,12.2,12.2,12.2,10.7,12.2,12.2,12.2,10.7,12.2,12.2,,14,1,0.25,,
Josh Reynolds,NYJ,WR,7,No,Yes,Yes,3,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
Noah Gray,KC,TE,69,Yes,No,No,34,8,No,1,Yes,8,1,0.2353,8,1,1,21,38,14,-17,,1,0.125,0.0294,0.2647,0.2059,7,3,0.375,-2.125,79.2,0.6176,2.625,-2.9245,2.625,4.75,1.75,2,13.117,13.117,0.1159,2.1,10.1,6.1,10.1,14.1,10.1,6.1,10.1,10.1,10.1,6.1,14.1,10.1,1,16,,,0.5,
Chimere Dike,TEN,WR,96,No,No,No,66,25,No,,Yes,22,0.88,0.3788,22,,0.88,64,132,23,-73,,2,0.0909,0.0152,0.6818,0.303,23,23,0.92,-2.92,79.2,0.9697,2.56,-2.4137,2.9091,6,1.0455,2,43.0208,43.0208,0.2604,6.4,28.4,17.4,28.4,28.4,28.4,17.4,28.4,28.4,28.4,17.4,28.4,28.4,4,17,,,,
DeAndre Hopkins,BLT,WR,23,No,No,No,13,,No,,Yes,,,,,,,,,,,,,,,0.5385,0.4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,
Tim Patrick,JAX,WR,21,No,No,No,5,2,No,,Yes,2,1,0.4,2,,1,3,7,2,-4,,,,,0.4,0.6,1,1,0.5,-2,79.2,0.6,1.5,-3.7618,1.5,3.5,1,,4.5754,4.5754,0.0952,0.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,1,16,,,,
Laquon Treadwell,IND,WR,4,Yes,Yes,No,2,,No,,Yes,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
T.J. Hockenson,MIN,TE,71,No,No,Yes,31,8,No,,Yes,8,1,0.2581,7,,0.875,39,62,21,-26,,1,0.1429,0.0323,0.3548,0.0323,6,5,0.625,-3.25,87,1.2581,4.875,-0.8855,5.5714,8.8571,3,2,12.9156,12.9156,0.1127,3.9,10.9,7.4,10.9,14.4,10.9,7.4,10.9,10.9,10.9,7.4,14.4,10.9,1,15,1,0.125,0.5806,
Stone Smartt,NYJ,TE,9,Yes,No,No,4,1,No,,Yes,1,1,0.25,1,,1,4,4,2,,,,,,0.5,,1,,,,83.3,1,4,-1.289,4,4,2,,1.5284,1.5284,0.1111,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,,8,,,0.5,
Simi Fehoko,ARZ,WR,6,No,No,Yes,2,,No,,Yes,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
