Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,IncompletionsBatted,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,InterceptionsTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,ScramblesTouchdowns,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage
Drew Lock,NYG,QB,22,22,6,0.4667,4,5,0.3333,0.5455,-0.1473,22,4,,-2,0.0667,37,2.4667,0.4054,2.8125,105,1,,1,,0.0455,-12,0.0455,6,90,1,No,Yes,22,1,10.9838,0.5007,No,0.2667,2,0.1333,0.0667,,,0.1333,0.3333,4.82,3.1,4.3167,2.5045,9.5455,64.6,No,Yes,2,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.85,20.85,7,
Jameis Winston,CLV,QB,21,21,4,0.4286,4,3,0.2143,0.4,-0.142,21,4,,10,0.0714,65,4.6429,0.0923,1.3529,182,1,1,3,1,0.15,-17,0.1429,4,14,1,No,Yes,20,0.9524,10.5482,0.4501,No,0.2857,5,0.3571,0.1429,0.1429,,,0.0714,4.9429,4.5,4.8,2.775,18.2,40.5,No,No,2,13,13,13,13,13,13,13,12,12,12,12,13.65,12.65,12,
Sam Howell,SEA,QB,3,3,2,0.5,,,,0.5,-0.2105,3,,,6,0.5,,,,-1,17,,,1,,0.3333,-3,0.3333,,,,Yes,Yes,3,1,1.3886,0.5371,No,0.5,,,,,,,,4.6,7.1,,2.7,8.5,39.6,No,Yes,,,,,,,,,,,,,,,2,
Mitchell Trubisky,BUF,QB,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,No,Yes,1,1,0.5391,0.4609,Yes,,,,,,,,,3.7,,,2.8,,39.6,No,No,,,,,,,,,,,,,,,9,
Bryce Young,CAR,QB,40,40,13,0.3043,1,6,0.2609,0.4286,-0.1571,40,9,,,,124,5.3913,0.4274,4.0741,222,,,4,,0.1176,-14,0.1,13,100,3,No,Yes,34,0.85,15.1754,0.4706,No,0.2609,3,0.1304,0.0435,0.087,0.1304,,0.2609,4.4,4.3,5.1231,2.4824,15.8571,49.5,Yes,No,6,32.96,32.96,32.96,32.96,32.96,35.96,35.96,32.96,32.96,32.96,32.96,34.2,34.2,14,
Jordan Love,GB,QB,45,45,7,0.5,,13,0.3824,0.6667,0.0275,45,9,,14,0.0882,357,10.5,0.3053,8.2632,344,1,1,4,1,0.093,-18,0.0889,7,52,,No,Yes,43,0.9556,24.3134,0.4153,No,0.2059,8,0.2353,0.0294,,0.1471,0.0588,0.1765,4.7206,3.875,5.1714,2.6907,13.76,75.2,No,No,11,22.48,22.48,22.48,22.48,22.48,25.48,25.48,21.48,21.48,21.48,21.48,26.05,25.05,15,
Tim Boyle,NYG,QB,2,2,1,,1,,,,-0.6837,2,,,,,,,,,9,,,,,,,,1,6,,No,No,,,0.5908,-0.2954,No,1,,,1,,,,,4,,4.8,,9,39.6,No,No,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,3,
Derek Carr,NO,QB,17,17,5,0.5455,2,5,0.4545,0.625,-0.0832,17,2,1,,,32,2.9091,0.75,4.25,74,1,,1,,0.0909,-1,0.0588,5,33,,No,Yes,11,0.6471,6.8266,0.2455,Yes,0.1818,2,0.1818,,0.0909,,0.1818,0.3636,4.1727,2.9,5.1,2.6455,9.25,82.8,No,No,1,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.58,8.9,8.9,10,
Tommy DeVito,NYG,QB,5,5,2,0.3333,,1,0.3333,1,0.3636,5,2,,,,11,3.6667,,3.6667,11,,,,,,,,2,12,,No,Yes,5,1,1.5137,0.6973,Yes,,,,,,,,0.3333,3.5,,4.7,2.56,11,45.1,No,No,1,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.75,1.75,3,
Dak Prescott,DAL,QB,17,17,2,0.5,2,6,0.4286,0.6,-0.0758,17,4,,,,45,3.2143,0.0444,5.5333,111,2,,1,1,0.0714,-2,0.0588,2,7,,Yes,Yes,14,0.8235,9.5132,0.2639,No,0.2143,3,0.2143,,,0.0714,0.0714,0.1429,4.5143,3.4,4.2,2.45,11.1,90.8,No,No,3,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.95,10.95,8,
