Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage
Jalin Hyatt,NYG,WR,70,No,Yes,No,67,9,No,No,4,0.4444,0.1343,210,3,,0.1045,0.8955,8,,,23.3333,39.6,-11.0711,0.3333,19.8552,19.8552,0.1875,,16,1,,6,
David Njoku,CLV,TE,129,No,No,No,120,26,No,No,12,0.4615,0.2167,203,7,0.0083,0.3083,0.15,21,1,0.0385,7.8077,39.6,-7.6375,0.2692,52.5827,52.5827,0.2476,7,11,5,5,1,0.5333
Brock Bowers,LV,TE,186,No,No,Yes,165,33,No,No,11,0.3333,0.2,362,5,0.0061,0.5515,0.2242,23,1,0.0303,10.9697,39.6,-8.0313,0.1515,69.2262,69.2262,0.2444,6,17,9,5,7,0.2182
Isaac Guerendo,SF,RB,32,No,Yes,No,26,1,No,No,1,1,0.0385,5,1,0.9231,0.0385,0.0385,1,,,5,39.6,-7.233,1,1.5677,1.5677,0.0417,,16,,,,
Kenny Yeboah,NYJ,TE,17,No,Yes,No,14,3,No,No,2,0.6667,0.2143,27,,,0.0714,0.2143,1,,,9,39.6,-8.124,,4.8999,4.8999,0.1875,,9,1,,,0.7143
A.J. Brown,PHI,WR,92,No,No,No,88,27,No,No,5,0.1852,0.3068,433,,,0.1818,0.8182,24,,,16.037,39.6,-9.6798,,60.2975,60.2975,0.4737,3,13,5,6,8,
Luke McCaffrey,WAS,WR,58,No,No,No,56,4,No,No,2,0.5,0.0714,66,,,0.875,0.125,2,,,16.5,39.6,-9.8001,,10.1226,10.1226,0.0889,1,17,1,1,1,
Brock Wright,DET,TE,51,No,Yes,Yes,35,2,No,No,,,0.0571,46,,0.0571,0.1429,0.1714,2,,,23,39.6,-13.6412,,3.6403,3.6403,0.0556,,17,,1,1,0.6286
Jamaal Williams,NO,RB,40,No,Yes,Yes,24,,No,Yes,,,,,,0.7083,0.125,0.125,,,,,,,,1.5875,1.5875,,,14,,,,0.0417
Brandin Cooks,DAL,WR,99,No,No,No,92,23,No,No,8,0.3478,0.25,396,1,,0.2283,0.7717,18,,,17.2174,39.6,-9.6955,0.0435,51.4358,51.4358,0.2911,5,10,7,5,8,
