Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage
Curtis Samuel,BUF,WR,33,No,No,No,33,No,No,0.0303,14,,0.5152,0.4545,3.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,6,1,2,0.3333,2,0.1818,2,0.3333,38,3,2,92,,2,15.3333,56.3,1.1515,6.3333,-3.761,,19,1.5,1,2,12.1827,12.1827,0.1818,2,1,,,,,,,
Tanner Hudson,CIN,TE,14,No,No,No,11,No,Yes,0.2727,11,0.3636,0.3636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Najee Harris,PIT,RB,33,No,No,No,26,No,Yes,0.9615,17,,,0.0385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,93,No,No,Yes,69,No,No,0.8551,16,0.029,0.058,0.058,9.5,11.5,10.5,12.5,11.5,11.5,10.5,11.5,11.5,11.5,10.5,11.5,11.5,2,,2,1,1,0.029,2,1,35,16,6,28,,1,14,158.3,0.5072,17.5,9.3074,,17.5,8,3,2,4.7433,4.7433,0.0215,1,,,1,1,,,,
Daniel Bellinger,NYG,TE,25,Yes,No,No,21,No,Yes,0.0476,17,0.4762,0.2857,0.1905,3,5,4,5,6,5,4,5,5,5,4,6,5,2,1,2,1,,0.0952,2,1,30,3,,27,,2,13.5,118.8,1.4286,15,5.2754,,15,1.5,,2,4.9058,4.9058,0.08,,1,,,,,,,
Drew Sample,CIN,TE,71,No,No,No,42,No,Yes,0.119,17,0.7381,0.0714,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,48,No,No,Yes,34,Yes,Yes,0.5882,12,0.0294,0.3824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaheim Bell,NE,TE,6,No,No,No,5,No,No,,13,0.6,0.4,,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,1,,1,1,,0.2,1,1,19,1,,18,,1,18,118.8,3.8,19,6.0268,,19,1,,1,1.7615,1.7615,0.1667,,,,,,,,,
Devontez Walker,BLT,WR,4,No,No,No,4,No,No,,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefon Diggs,HST,WR,66,No,No,Yes,65,No,Yes,0.0154,8,,0.5692,0.4154,24.5,36.5,30.5,36.5,36.5,39.5,33.5,36.5,36.5,36.5,30.5,36.5,36.5,19,2,14,0.7368,1,0.2923,12,0.6316,185,21,9,280,1,17,14.7368,112.8,2.8462,9.7368,-0.2446,0.0526,15.4167,1.75,0.75,11,35.4755,35.4755,0.2879,2,1,,1,1,,,,
Ben Sinnott,WAS,TE,24,No,No,Yes,18,Yes,Yes,0.1667,17,0.6111,0.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Jones,ARZ,WR,27,No,Yes,Yes,27,Yes,No,,11,,0.2593,0.7407,,,,,,,,,,,,,,2,1,1,0.5,,0.0741,,,,,,29,,2,14.5,39.6,,,-9.6071,,,,,,6.0828,6.0828,0.0741,,,,,,,,,
