Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage
Khalil Herbert,CIN,RB,16,No,No,No,11,No,Yes,0.9091,13,,,0.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devaughn Vele,DEN,WR,50,Yes,No,No,49,No,Yes,0.0204,13,,0.6939,0.2857,25.8,34.8,30.3,34.8,34.8,37.8,33.3,34.8,34.8,34.8,30.3,34.8,34.8,15,2,12,0.8,3,0.3061,9,0.6,138,30,13,201,2,8,13.4,130,2.8163,9.2,0.0383,0.1333,15.3333,3.3333,1.4444,8,32.3208,32.3208,0.3,4,1,2,2,2,,,,
Rome Odunze,CHI,WR,91,No,No,No,89,No,Yes,,17,,0.3933,0.6067,45.6,65.6,55.6,65.6,65.6,68.6,58.6,65.6,65.6,65.6,55.6,65.6,65.6,39,8,22,0.5641,7,0.4382,20,0.5128,336,63,34,574,1,21,14.7179,97.8,3.7753,8.6154,-1.292,0.0256,16.8,3.15,1.7,18,79.4179,79.4179,0.4286,8,7,4,2,2,3,0.15,,
Brenden Bates,CLV,TE,4,No,No,No,1,No,No,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,12,No,No,No,9,No,Yes,0.8889,13,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0263,3.0263,,,,,,,,,,
Colby Parkinson,LA,TE,75,Yes,Yes,Yes,64,No,No,,17,0.6719,0.1875,0.1406,,,,,,,,,,,,,,5,2,1,0.2,2,0.0781,,,,,,60,,2,12,39.6,,,-8.9248,,,,,,12.2256,12.2256,0.0667,3,,,,,,,,
Josh Oliver,MIN,TE,46,No,Yes,Yes,35,No,No,,15,0.8571,0.1429,,10.7,13.7,12.2,13.7,15.2,13.7,12.2,13.7,13.7,13.7,12.2,15.2,13.7,3,,3,1,1,0.0857,3,1,47,3,,44,,3,14.6667,158.3,1.3429,15.6667,5.7942,,15.6667,1,,3,5.7488,5.7488,0.0652,1,,,1,1,,,,
Nick Chubb,CLV,RB,25,No,No,No,18,No,No,0.9444,8,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,16,No,Yes,Yes,14,Yes,No,0.8571,3,,0.0714,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,35,No,Yes,Yes,27,No,No,0.9259,12,0.037,,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keaton Mitchell,BLT,RB,3,No,No,No,2,No,No,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laviska Shenault,LAC,WR,3,No,No,No,3,No,Yes,,12,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5112,1.5112,,,,,,,,,,
D.J. Moore,CHI,WR,96,No,No,No,96,No,Yes,,17,,0.2708,0.7292,15.4,22.4,18.9,22.4,22.4,22.4,18.9,22.4,22.4,22.4,18.9,22.4,22.4,20,3,9,0.45,3,0.2083,7,0.35,94,12,6,266,1,14,13.3,67.5,0.9792,4.7,-4.4979,0.05,13.4286,1.7143,0.8571,5,42.5106,42.5106,0.2083,5,2,,1,1,,,,
Bucky Irving,TB,RB,43,No,Yes,Yes,34,No,Yes,0.8529,17,,0.0588,0.0882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,50,No,No,Yes,48,Yes,Yes,,17,,0.7917,0.2083,13.8,20.8,17.3,20.8,20.8,23.8,20.3,20.8,20.8,20.8,17.3,20.8,20.8,15,2,10,0.6667,3,0.3125,7,0.4667,138,32,10,223,2,11,14.8667,51.5,2.875,9.2,-0.9299,0.1333,19.7143,4.5714,1.4286,7,33.097,33.097,0.3,3,,,,,1,0.1429,,
Jamison Crowder,WAS,WR,18,No,No,Yes,18,Yes,Yes,,6,,0.8889,0.1111,15.7,19.7,17.7,19.7,19.7,19.7,17.7,19.7,19.7,19.7,17.7,19.7,19.7,7,1,4,0.5714,2,0.3889,4,0.5714,37,-1,,98,,4,14,111.3,2.0556,5.2857,-4.5696,,9.25,-0.25,,3,14.351,14.351,0.3889,2,1,,2,2,,,,
Jalen Nailor,MIN,WR,72,No,Yes,Yes,72,No,No,,17,,0.4861,0.5139,30,40,35,40,40,43,38,40,40,40,35,40,40,15,2,13,0.8667,3,0.2083,10,0.6667,180,49,25,207,,11,13.8,147.2,2.5,12,2.5011,,18,4.9,2.5,9,29.6845,29.6845,0.2083,3,,,2,2,1,0.1,,
John Metchie,HST,WR,46,No,No,Yes,45,No,Yes,,13,,0.5778,0.4222,16.8,22.8,19.8,22.8,22.8,25.8,22.8,22.8,22.8,22.8,19.8,22.8,22.8,10,2,6,0.6,1,0.2222,6,0.6,108,12,1,166,,7,16.6,130.4,2.4,10.8,-0.1468,,18,2,0.1667,5,20.3832,20.3832,0.2174,1,2,,1,1,,,,
Marquise Brown,KC,WR,9,No,Yes,No,9,No,Yes,,2,,0.4444,0.5556,4.6,7.6,6.1,7.6,7.6,7.6,6.1,7.6,7.6,7.6,6.1,7.6,7.6,5,1,3,0.6,,0.5556,3,0.6,46,9,,66,,4,13.2,90.4,5.1111,9.2,-0.1214,,15.3333,3,,3,8.5302,8.5302,0.5556,,1,,,,,,,
Kenneth Gainwell,PHI,RB,17,Yes,No,No,14,No,Yes,0.7143,17,,0.0714,0.2143,,,,,,,,,,,,,,1,,,,,0.0714,,,,,,13,,1,13,39.6,,,-7.0476,,,,,,1.692,1.692,0.0588,,,,,,,,,
Casey Washington,ATL,WR,1,No,No,No,1,No,Yes,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mims,NO,RB,9,No,Yes,Yes,8,No,Yes,0.875,9,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Bell,CLV,WR,1,No,No,No,1,Yes,Yes,,1,,1,,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,1,1,1,1,,1,1,1,12,,,12,,,12,116.7,12,12,2.9539,,12,,,,3.1524,3.1524,1,1,1,,,,,,,
Jalen Brooks,DAL,WR,45,No,No,Yes,45,Yes,Yes,,14,,0.0889,0.9111,5.8,10.8,8.3,10.8,10.8,10.8,8.3,10.8,10.8,10.8,8.3,10.8,10.8,14,3,8,0.5714,2,0.3111,5,0.3571,58,,,179,1,10,12.7857,9.5,1.2889,4.1429,-4.9775,0.0714,11.6,,,3,26.4737,26.4737,0.3111,2,1,1,,,,,,
Kevin Austin,NO,WR,31,No,Yes,Yes,31,No,Yes,,8,,0.2581,0.7419,11,17,14,17,17,20,17,17,17,17,14,17,17,9,2,8,0.8889,,0.2903,6,0.6667,110,21,9,121,,7,13.4444,108.6,3.5484,12.2222,2.9427,,18.3333,3.5,1.5,6,17.592,17.592,0.2903,,1,,,,,,,
Andrew Ogletree,IND,TE,44,No,Yes,No,27,Yes,Yes,,17,0.4815,0.4444,0.0741,6.5,9.5,8,9.5,11,9.5,8,9.5,9.5,9.5,8,11,9.5,5,,3,0.6,,0.1852,3,0.6,65,25,9,68,,4,13.6,104.2,2.4074,13,2.7885,,21.6667,8.3333,3,3,9.7778,9.7778,0.1136,,,,,,,,,
Jaylen Warren,PIT,RB,28,No,No,No,20,No,Yes,0.8,15,0.15,,0.05,,,,,,,,,,,,,,1,,,,1,0.05,,,,,,16,,,16,39.6,,,-10.6667,,,,,,3.4853,3.4853,0.0357,1,,,,,,,,
Kendrick Bourne,NE,WR,40,No,No,No,40,No,No,,12,,0.2,0.8,16.4,23.4,19.9,23.4,23.4,26.4,22.9,23.4,23.4,23.4,19.9,23.4,23.4,12,2,8,0.6667,2,0.3,7,0.5833,104,17,7,160,,12,13.3333,114.6,2.6,8.6667,-0.6975,,14.8571,2.4286,1,6,24.5729,24.5729,0.3,2,1,1,1,1,,,,
Hassan Haskins,LAC,RB,22,No,No,No,15,Yes,Yes,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack Hollins,BUF,WR,69,No,No,No,69,No,No,,17,0.0145,0.4203,0.5652,37.7,47.7,42.7,47.7,47.7,50.7,45.7,47.7,47.7,47.7,42.7,47.7,47.7,19,4,12,0.6316,5,0.2754,10,0.5263,137,17,2,263,,12,13.8421,115.6,1.9855,7.2105,-2.2395,,13.7,1.7,0.2,10,40.9628,40.9628,0.2754,5,1,,4,3,,,,
Juwan Johnson,NO,TE,69,No,Yes,Yes,65,No,Yes,,17,0.4462,0.3538,0.2,29.4,41.4,35.4,41.4,47.4,44.4,38.4,41.4,41.4,41.4,35.4,47.4,41.4,19,2,15,0.7895,1,0.2923,12,0.6316,234,60,12,277,3,16,14.5789,101.6,3.6,12.3158,2.0389,0.1579,19.5,5,1,11,41.424,41.424,0.2754,1,2,2,1,1,,,,
David Montgomery,DET,RB,38,No,No,Yes,27,Yes,Yes,0.963,14,,,0.037,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.12,4.15,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Conner,MIA,TE,2,No,No,Yes,2,No,No,0.5,7,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintin Morris,BUF,TE,11,No,No,No,10,No,No,,16,0.6,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Boyd,TEN,WR,75,No,Yes,Yes,74,No,No,,16,,0.8649,0.1351,13.4,20.4,16.9,20.4,20.4,23.4,19.9,20.4,20.4,20.4,16.9,20.4,20.4,17,6,11,0.6471,1,0.2297,7,0.4118,134,54,43,204,,12,12,29.7,1.8108,7.8824,-0.8392,,19.1429,7.7143,6.1429,6,33.7393,33.7393,0.2267,3,2,,,,2,0.2857,,
Ja'Tavion Sanders,CAR,TE,71,No,No,No,63,No,Yes,,16,0.2222,0.5714,0.2063,15,20,17.5,20,22.5,20,17.5,20,20,20,17.5,22.5,20,8,2,5,0.625,1,0.127,5,0.625,90,27,23,122,,4,15.25,140.6,1.4286,11.25,0.8518,,18,5.4,4.6,5,16.5095,16.5095,0.1127,2,1,1,1,1,,,,
Anthony Miller,BLT,WR,1,Yes,No,Yes,1,No,Yes,,2,,,1,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,1,,1,1,,1,1,1,16,,,16,,1,16,118.8,16,16,5.9048,,16,,,1,1.7588,1.7588,1,,,,,,,,,
Jauan Jennings,SF,WR,108,No,Yes,Yes,108,Yes,No,,15,,0.3519,0.6481,52,79,65.5,79,79,82,68.5,79,79,79,65.5,79,79,41,11,33,0.8049,7,0.3796,27,0.6585,400,62,33,550,3,33,13.4146,103.7,3.7037,9.7561,0.4245,0.0732,14.8148,2.2963,1.2222,24,76.7535,76.7535,0.3796,7,8,,2,2,3,0.1111,,
Teagan Quitoriano,HST,TE,5,No,No,No,4,No,No,,7,0.75,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,16,No,Yes,No,16,Yes,Yes,,15,,0.5625,0.4375,11.4,12.4,11.9,12.4,12.4,12.4,11.9,12.4,12.4,12.4,11.9,12.4,12.4,3,,1,0.3333,,0.1875,1,0.3333,54,35,8,51,,3,17,121.5,3.375,18,7.0738,,54,35,8,1,5.7544,5.7544,0.1875,,,,1,,1,1,,
Marquez Valdes-Scantling,NO,WR,48,No,Yes,Yes,48,No,Yes,,14,,0.1875,0.8125,9.6,14.6,12.1,14.6,14.6,14.6,12.1,14.6,14.6,14.6,12.1,14.6,14.6,11,2,7,0.6364,,0.2292,5,0.4545,96,23,9,156,,6,14.1818,76.3,2,8.7273,-0.9054,,19.2,4.6,1.8,5,19.5796,19.5796,0.2292,,,,,,,,,
Adonai Mitchell,IND,WR,46,No,Yes,No,46,Yes,Yes,,17,,0.1522,0.8478,8.6,14.6,11.6,14.6,14.6,14.6,11.6,14.6,14.6,14.6,11.6,14.6,14.6,14,1,9,0.6429,2,0.3043,6,0.4286,86,-1,-1,203,2,12,14.5,63.4,1.8696,6.1429,-3.6834,0.1429,14.3333,-0.1667,-0.1667,6,32.7174,32.7174,0.3043,3,,1,,,,,,
Connor Heyward,PIT,TE,5,No,Yes,No,3,No,Yes,,16,0.3333,0.3333,0.3333,7.6,8.6,8.1,8.6,9.1,8.6,8.1,8.6,8.6,8.6,8.1,9.1,8.6,1,,1,1,,0.3333,1,1,16,4,1,12,,1,12,158.3,5.3333,16,7.3339,,16,4,1,1,3.1524,3.1524,0.2,1,,,1,,,,,
Nick Westbrook-Ikhine,TEN,WR,82,No,No,Yes,82,No,Yes,,17,,0.2561,0.7439,47.4,61.4,54.4,61.4,61.4,64.4,57.4,61.4,61.4,61.4,54.4,61.4,61.4,25,4,17,0.68,6,0.3049,14,0.56,174,6,,343,1,22,13.72,117.3,2.122,6.96,-2.683,0.04,12.4286,0.4286,,12,52.2628,52.2628,0.3049,6,2,,5,5,,,,
Brevyn Spann-Ford,DAL,TE,22,No,No,Yes,17,Yes,Yes,,17,0.5294,0.4118,0.0588,1.8,2.8,2.3,2.8,3.3,2.8,2.3,2.8,2.8,2.8,2.3,3.3,2.8,4,2,4,1,1,0.2353,1,0.25,18,2,,64,,3,16,45.8,1.0588,4.5,-6.6106,,18,2,,1,9.7067,9.7067,0.1818,1,,,,,,,,
Tyler Higbee,LA,TE,7,Yes,Yes,Yes,6,No,No,,3,0.5,0.3333,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parris Campbell,PHI,WR,14,No,No,No,14,No,Yes,,5,,0.7143,0.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Bobo,SEA,WR,22,Yes,Yes,Yes,22,No,No,,17,,0.2727,0.7273,3.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,6.7,5.2,6.7,6.7,6,,4,0.6667,,0.2727,3,0.5,37,5,1,80,1,5,13.3333,69.4,1.6818,6.1667,-3.012,0.1667,12.3333,1.6667,0.3333,3,11.3076,11.3076,0.2727,,,,,,,,,
Saquon Barkley,PHI,RB,65,Yes,No,No,53,No,Yes,0.9057,16,,0.0189,0.0755,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2,,1,0.5,,0.0377,1,0.5,13,,,32,,,16,70.8,0.2453,6.5,-1.1905,,13,,,1,4.1534,4.1534,0.0308,1,,,,,,,,
Evan Engram,JAX,TE,55,No,No,No,53,No,No,0.0189,9,0.4528,0.283,0.2453,12.1,20.1,16.1,20.1,24.1,23.1,18.1,19.1,19.1,19.1,15.1,24.1,19.1,14,1,10,0.7143,,0.2642,8,0.5714,131,30,20,189,2,13,13.5,88.7,2.4717,9.3571,-0.3799,0.1429,16.375,3.75,2.5,7,25.6003,25.6003,0.2545,1,1,,,,,,,
Jamari Thrash,CLV,WR,17,No,No,No,17,No,No,,9,,0.6471,0.3529,,,,,,,,,,,,,,1,,1,1,,0.0588,,,,,,11,1,1,11,39.6,,,-8.3152,1,,,,,1.5019,1.5019,0.0588,,,,,,,,,
KhaDarel Hodge,ATL,WR,26,No,No,No,26,No,Yes,,16,,0.3462,0.6538,2.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,2,,1,0.5,1,0.0769,1,0.5,22,6,2,31,,1,15.5,89.6,0.8462,11,0.7476,,22,6,2,1,4.5584,4.5584,0.0769,1,,,,,,,,
Will Dissly,LAC,TE,74,No,No,No,67,Yes,Yes,,15,0.4776,0.2836,0.2388,12.7,17.7,15.2,17.7,20.2,17.7,15.2,17.7,17.7,17.7,15.2,20.2,17.7,9,,7,0.7778,1,0.1343,5,0.5556,67,17,6,115,2,6,12.7778,116.4,1,7.4444,-2.052,0.2222,13.4,3.4,1.2,5,21.2113,21.2113,0.1216,3,,,1,1,,,,
Rasheen Ali,BLT,RB,2,No,No,No,1,No,No,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Sanders,CAR,RB,29,No,No,No,23,No,Yes,0.6957,11,,0.1739,0.1304,1.9,2.9,2.4,3.4,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2,,1,0.5,,0.087,1,0.5,19,3,3,29,,1,14.5,83.3,0.8261,9.5,0.6429,,19,3,3,1,2.744,2.744,0.069,,,,,,1,1,,
Charlie Jones,CIN,WR,1,Yes,No,No,1,No,Yes,,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.K. Dobbins,LAC,RB,60,No,No,No,32,Yes,Yes,0.875,13,,0.0625,0.0625,,,,,,,,,,,,,,1,,1,1,,0.0312,,,,,,14,1,,14,39.6,,,-9.9318,1,,,,,1.6111,1.6111,0.0167,,,,,,,,,
Emari Demercado,ARZ,RB,20,No,No,No,12,Yes,Yes,1,13,,,,,,,,,,,,,,,,,1,,,,,0.0833,,,,,,18,,,18,39.6,,,-9.2121,,,,,,1.8091,1.8091,0.05,,,,,,,,,
Josh Whyle,TEN,TE,38,No,No,Yes,30,No,Yes,,17,0.4,0.3333,0.2667,5.6,7.6,6.6,7.6,8.6,7.6,6.6,7.6,7.6,7.6,6.6,8.6,7.6,5,,2,0.4,1,0.1667,2,0.4,56,29,8,65,,3,13,82.1,1.8667,11.2,1.7011,,28,14.5,4,2,12.7748,12.7748,0.1316,1,,,,,,,,
Travis Etienne,JAX,RB,59,No,Yes,No,46,Yes,Yes,0.8696,15,,0.0217,0.1087,,,,,,,,,,,,,,1,,1,1,1,0.0217,,,,,,16,,,16,39.6,,,-10.6667,,,,,,2.7323,2.7323,0.0169,1,,,,,,,,
Jordan Whittington,LA,WR,21,Yes,Yes,Yes,21,No,No,0.0476,15,,0.1905,0.7619,7.2,11.2,9.2,11.2,11.2,11.2,9.2,11.2,11.2,11.2,9.2,11.2,11.2,6,1,5,0.8333,1,0.2857,4,0.6667,72,23,3,80,1,3,13.3333,107.6,3.4286,12,2.7458,0.1667,18,5.75,0.75,4,11.8072,11.8072,0.2857,1,,,,,,,,
Equanimeous St. Brown,NO,WR,7,No,No,No,7,No,No,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samaje Perine,KC,RB,48,Yes,No,No,42,No,Yes,0.9048,17,0.0476,0.0476,,13.7,17.7,15.7,19.7,17.7,17.7,15.7,17.7,17.7,17.7,15.7,17.7,17.7,5,,4,0.8,2,0.119,4,0.8,77,32,11,62,,,12.4,158.3,1.8333,15.4,7.9413,,19.25,8,2.75,4,10.7902,10.7902,0.1042,2,,,1,1,1,0.25,,
Ronnie Rivers,LA,RB,11,Yes,Yes,Yes,5,No,No,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amari Cooper,BUF,WR,59,No,Yes,No,58,No,Yes,,14,,0.1897,0.8103,28.3,40.3,34.3,40.3,40.3,43.3,37.3,40.3,40.3,40.3,34.3,40.3,40.3,20,,14,0.7,1,0.3448,12,0.6,223,51,15,301,2,16,15.05,94.4,3.8448,11.15,1.0457,0.1,18.5833,4.25,1.25,9,42.1935,42.1935,0.339,1,,,1,1,3,0.25,,
Darius Slayton,NYG,WR,82,Yes,No,No,80,No,Yes,,16,,0.1625,0.8375,30.7,43.7,37.2,43.7,43.7,46.7,40.2,43.7,43.7,43.7,37.2,43.7,43.7,25,4,18,0.72,2,0.3125,13,0.52,247,63,44,369,1,16,14.76,83.3,3.0875,9.88,-0.0816,0.04,19,4.8462,3.3846,13,50.0101,50.0101,0.3049,2,2,,1,,2,0.1538,,
Jerry Jeudy,CLV,WR,135,No,No,No,134,No,No,0.0075,17,,0.2612,0.7313,55.6,87.6,71.6,87.6,87.6,90.6,74.6,87.6,87.6,87.6,71.6,87.6,87.6,53,5,41,0.7736,5,0.3955,32,0.6038,556,120,23,746,6,41,14.0755,88.2,4.1493,10.4906,0.8007,0.1132,17.375,3.75,0.7188,30,96.5721,96.5721,0.3926,6,2,1,,,2,0.0625,,
Dare Ogunbowale,HST,RB,56,No,No,Yes,35,No,Yes,0.8286,17,,0.1143,0.0571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Collins,HST,WR,84,No,No,Yes,84,No,Yes,,12,,0.2024,0.7976,76.6,104.6,90.6,104.6,104.6,107.6,93.6,104.6,104.6,104.6,90.6,104.6,104.6,40,6,32,0.8,9,0.4762,28,0.7,466,96,41,568,2,27,14.2,138.1,5.5476,11.65,1.8768,0.05,16.6429,3.4286,1.4643,28,92.7844,92.7844,0.4762,9,4,2,5,4,2,0.0714,,
Jake Ferguson,DAL,TE,79,No,No,Yes,72,Yes,Yes,0.0417,14,0.2222,0.6389,0.0972,8.2,12.2,10.2,12.2,14.2,12.2,10.2,12.2,12.2,12.2,10.2,14.2,12.2,10,,5,0.5,1,0.1389,4,0.4,82,34,18,129,,9,12.9,69.6,1.1389,8.2,-1.2067,,20.5,8.5,4.5,3,19.2207,19.2207,0.1266,2,,,,,2,0.5,,
Davante Adams,NYJ,WR,91,No,No,No,90,No,Yes,,14,,0.4,0.6,39.9,56.9,48.4,56.9,56.9,59.9,51.4,56.9,56.9,56.9,48.4,56.9,56.9,29,4,20,0.6897,6,0.3222,17,0.5862,279,70,22,391,2,24,13.4828,99.6,3.1,9.6207,0.2923,0.069,16.4118,4.1176,1.2941,14,64.7363,64.7363,0.3187,7,3,1,2,2,,,,
Chris Brooks,GB,RB,10,No,No,No,7,No,Yes,0.8571,13,,,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,41,No,No,No,41,No,Yes,,15,0.0244,0.2439,0.7317,13.6,20.6,17.1,20.6,20.6,23.6,20.1,20.6,20.6,20.6,17.1,20.6,20.6,13,1,8,0.6154,2,0.3171,7,0.5385,136,29,4,195,,8,15,58.5,3.3171,10.4615,0.3504,,19.4286,4.1429,0.5714,7,33.7307,33.7307,0.3171,3,,1,,,,,,
Dallin Holker,NO,TE,4,No,Yes,Yes,3,No,Yes,,12,0.3333,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Holani,SEA,RB,1,No,Yes,No,1,No,Yes,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathon Brooks,CAR,RB,3,No,Yes,Yes,1,No,No,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Kennedy,DET,WR,4,No,No,No,4,No,No,,4,,0.25,0.75,,,,,,,,,,,,,,1,,,,,0.25,,,,,,12,,1,12,39.6,,,-9.0461,,,,,,1.4094,1.4094,0.25,,,,,,,,,
Anthony Firkser,KC,TE,2,No,Yes,No,2,No,Yes,,6,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justice Hill,BLT,RB,58,Yes,No,Yes,41,No,Yes,0.9512,16,0.0244,0.0244,,,,,,,,,,,,,,,1,1,1,1,,0.0244,,,,,,17,,1,17,,,,-5.186,,,,,,1.9275,1.9275,0.0172,,,,,,,,,
Tyler Conklin,NYJ,TE,90,No,No,No,77,No,Yes,,16,0.2857,0.5974,0.1169,22.5,30.5,26.5,30.5,34.5,33.5,29.5,30.5,30.5,30.5,26.5,34.5,30.5,15,1,10,0.6667,1,0.1948,8,0.5333,165,32,10,229,1,7,15.2667,114.6,2.1429,11,0.9237,0.0667,20.625,4,1.25,8,30.6864,30.6864,0.1667,2,1,1,1,,,,,
Sincere McCormick,LV,RB,8,No,No,No,5,Yes,Yes,1,4,,,,1.5,2.5,2,3,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,1,1,1,1,,0.2,1,1,15,2,,13,,,13,118.8,3,15,7.9524,,15,2,,1,1.2214,1.2214,0.125,,1,,,,,,,
K.J. Osborn,WAS,WR,12,No,Yes,Yes,12,No,No,,9,,0.1667,0.8333,,,,,,,,,,,,,,2,,1,0.5,1,0.1667,,,,,,34,,1,17,39.6,,,-11.6653,,,,,,4.6125,4.6125,0.1667,1,,,,,,,,
James Conner,ARZ,RB,59,Yes,No,No,40,No,No,0.775,16,,0.15,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Mingo,DAL,WR,51,No,No,Yes,51,Yes,Yes,0.0196,17,,0.2549,0.7255,3.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,12,,5,0.4167,,0.2353,3,0.25,36,-1,,172,1,9,14.3333,39.6,0.7059,3,-6.7207,0.0833,12,-0.3333,,2,20.2065,20.2065,0.2353,,,,,,,,,
Cooper Kupp,LA,WR,67,Yes,No,No,66,No,No,,12,,0.7727,0.2273,28.3,38.3,33.3,38.3,38.3,41.3,36.3,38.3,38.3,38.3,33.3,38.3,38.3,21,2,10,0.4762,6,0.3182,10,0.4762,163,19,3,308,,14,14.6667,105.9,2.4697,7.7619,-2.1771,,16.3,1.9,0.3,10,47.7272,47.7272,0.3134,6,2,1,2,2,,,,
