Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,ReceptionsHero,TouchdownsTotal,TargetsInEndzone,TouchdownsInEndzone
Jerry Jeudy,CLV,WR,278,No,No,Yes,273,62,No,No,51,0.8226,0.2271,45,0.7258,327,106,36,304,0.0037,0.3846,0.6044,56,4.9032,89.9,1.1978,5.2742,-1.1097,7.2667,2.3556,0.8,102.3018,102.3018,0.223,38.7,83.7,61.2,83.7,83.7,86.7,64.2,83.7,83.7,83.7,61.2,83.7,83.7,17,4,2,2,4,0.0889,,,0.0323,18,4,0.0073,,1,2,1
Jake Ferguson,DAL,TE,159,No,No,Yes,151,43,Yes,Yes,35,0.814,0.2848,32,0.7442,269,144,54,180,0.351,0.5695,0.0795,33,4.186,90.2,1.7815,6.2558,-0.2014,8.4062,4.5,1.6875,66.5268,66.5268,0.2704,25.9,57.9,41.9,57.9,73.9,60.9,43.9,56.9,56.9,56.9,40.9,73.9,56.9,14,4,3,2,4,0.125,,,0.0465,10,,,,,,
Davante Adams,NYJ,WR,191,No,No,Yes,190,66,No,Yes,51,0.7727,0.3474,43,0.6515,405,221,104,333,,0.4737,0.5263,57,5.0455,90.8,2.1316,6.1364,-0.254,9.4186,5.1395,2.4186,108.955,108.955,0.3455,58.5,101.5,80,101.5,101.5,104.5,83,101.5,101.5,101.5,80,101.5,101.5,14,7,3,3,8,0.186,1,0.0152,0.0455,22,11,,1,3,6,3
Ronnie Rivers,LA,RB,16,No,No,No,9,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,1,,,,
Amari Cooper,BUF,WR,133,No,Yes,No,133,44,No,Yes,34,0.7727,0.3308,26,0.5909,190,59,10,235,,0.188,0.812,38,5.3409,67.4,1.4286,4.3182,-2.2091,7.3077,2.2692,0.3846,67.5267,67.5267,0.3308,25,51,38,51,51,54,41,51,51,51,38,51,51,14,5,2,4,1,0.0385,,,0.0909,10,3,,1,1,1,1
Darius Slayton,NYG,WR,206,No,No,No,200,28,No,Yes,24,0.8571,0.14,22,0.7857,192,67,31,162,,0.255,0.745,23,5.7857,95.2,0.96,6.8571,0.2273,8.7273,3.0455,1.4091,43.8327,43.8327,0.1359,19.2,41.2,30.2,41.2,41.2,44.2,33.2,41.2,41.2,41.2,30.2,41.2,41.2,16,6,6,2,6,0.2727,,,0.0714,13,,,,,,
Jordan Whittington,LA,WR,46,No,No,No,46,12,No,No,9,0.75,0.2609,9,0.75,90,47,10,54,,0.3913,0.5652,7,4.5,95.8,1.9565,7.5,1.3606,10,5.2222,1.1111,17.467,17.467,0.2609,9,18,13.5,18,18,18,13.5,18,18,18,13.5,18,18,15,1,1,,1,0.1111,,,,3,1,0.0435,,,,
Josh Whyle,TEN,TE,67,No,No,No,59,21,No,Yes,19,0.9048,0.3559,18,0.8571,132,60,19,86,0.4915,0.339,0.1695,9,4.0952,92.9,2.2373,6.2857,-0.1614,7.3333,3.3333,1.0556,31.5198,31.5198,0.3134,13.2,31.2,22.2,31.2,40.2,34.2,25.2,31.2,31.2,31.2,22.2,40.2,31.2,17,1,1,1,,,,,0.0476,8,1,,,,,
Travis Etienne,JAX,RB,111,No,No,No,87,18,No,Yes,16,0.8889,0.2069,13,0.7222,101,66,17,53,,0.0115,0.046,2,2.9444,62.5,1.1609,5.6111,-0.8412,7.7692,5.0769,1.3077,26.0583,26.0583,0.1622,10.1,23.1,16.6,29.6,23.1,26.1,19.6,23.1,23.1,23.1,16.6,23.1,23.1,15,1,,1,1,0.0769,,,0.0556,5,3,0.9425,,,,
Samaje Perine,KC,RB,72,No,No,No,53,4,No,Yes,3,0.75,0.0755,3,0.75,88,54,4,15,0.0189,0.0566,0.0755,3,3.75,116.7,1.6604,22,11.9413,29.3333,18,1.3333,5.7539,5.7539,0.0556,8.8,11.8,10.3,13.3,11.8,11.8,10.3,11.8,11.8,11.8,10.3,11.8,11.8,17,,,,,,,,,3,,0.8491,,,,
J.K. Dobbins,LAC,RB,93,No,No,No,64,11,No,Yes,11,1,0.1719,10,0.9091,67,34,6,25,,0.0781,0.0625,,2.2727,92,1.0469,6.0909,-0.6092,6.7,3.4,0.6,18.6263,18.6263,0.1183,6.7,16.7,11.7,21.7,16.7,16.7,11.7,16.7,16.7,16.7,11.7,16.7,16.7,13,,,1,,,,,0.0909,1,1,0.8594,,,,
Emari Demercado,ARZ,RB,53,No,No,No,38,10,No,No,8,0.8,0.2632,8,0.8,51,21,7,38,,0.0263,0.1842,2,3.8,87.9,1.3421,5.1,-1.6,6.375,2.625,0.875,15.6816,15.6816,0.1887,5.1,13.1,9.1,17.1,13.1,13.1,9.1,13.1,13.1,13.1,9.1,13.1,13.1,13,,,,1,0.125,,,,,3,0.7895,,,,
Cody Thompson,TB,WR,1,No,No,Yes,1,,Yes,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Equanimeous St. Brown,NO,WR,5,No,No,No,5,,No,No,,,,,,,,,,,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,100,No,No,No,94,36,No,Yes,33,0.9167,0.383,30,0.8333,265,144,74,146,0.4362,0.3617,0.1915,21,4.0556,97.3,2.8191,7.3611,0.9156,8.8333,4.8,2.4667,52.7391,52.7391,0.36,26.5,56.5,41.5,56.5,71.5,59.5,44.5,56.5,56.5,56.5,41.5,71.5,56.5,15,4,2,2,4,0.1333,,,0.0556,13,3,0.0106,,,,
KhaDarel Hodge,ATL,WR,37,No,Yes,No,37,3,No,Yes,3,1,0.0811,2,0.6667,49,40,40,13,,0.2973,0.7027,2,4.3333,149.3,1.3243,16.3333,10.1792,24.5,20,20,4.5024,4.5024,0.0811,10.9,12.9,11.9,12.9,12.9,12.9,11.9,12.9,12.9,12.9,11.9,12.9,12.9,16,2,2,1,2,1,,,0.3333,2,1,,,1,,
Miles Sanders,CAR,RB,43,No,Yes,No,32,3,No,Yes,2,0.6667,0.0938,2,0.6667,14,8,1,11,,0.0938,0.1875,1,3.6667,77.1,0.4375,4.6667,-2.0965,7,4,0.5,4.3156,4.3156,0.0698,1.4,3.4,2.4,4.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,11,,,,,,,,,1,2,0.7188,,,,
