Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerTargetDropsTotal,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,ReceptionsHero,TouchdownsTotal,TargetsInEndzone,TouchdownsInEndzone
Luke Musgrave,GB,TE,23,Yes,No,No,22,5,No,Yes,5,1,0.2273,5,1,20,11,3,9,0.5455,0.2727,0.1818,3,1.8,83.3,0.9091,4,-2.1226,4,2.2,0.6,7.4478,7.4478,0.2174,2,7,4.5,7,9.5,7,4.5,7,7,7,4.5,9.5,7,7,,,,,,,,,1,1,,,,,
Christian Kirk,JAX,WR,81,No,No,No,77,17,No,No,14,0.8235,0.2208,11,0.6471,75,,13,98,,0.8052,0.1948,17,5.7647,94,0.974,4.4118,-2.2836,6.8182,,1.1818,34.7261,34.7261,0.2099,13.5,24.5,19,24.5,24.5,24.5,19,24.5,24.5,24.5,19,24.5,24.5,8,2,,1,,,,,0.0588,5,3,,1,1,1,
James Proche,CLV,WR,2,No,No,Yes,2,1,No,No,1,1,0.5,1,1,4,,,4,,1,,1,4,83.3,2,4,-2.0498,4,,,1.3967,1.3967,0.5,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,9,1,1,,,,,,,,,,,,,
Puka Nacua,LA,WR,118,No,No,Yes,117,41,Yes,Yes,35,0.8537,0.3504,30,0.7317,292,141,76,199,,0.3162,0.6838,33,4.8537,92.7,2.4957,7.122,0.8192,9.7333,4.7,2.5333,69.2013,69.2013,0.3475,29.2,59.2,44.2,59.2,59.2,62.2,47.2,59.2,59.2,59.2,44.2,59.2,59.2,11,4,1,2,5,0.1667,,,0.0488,15,5,,1,,1,
Joe Mixon,HST,RB,93,No,No,No,71,20,No,Yes,15,0.75,0.2817,12,0.6,93,53,9,71,,0.0845,0.0845,7,3.55,88.1,1.3099,4.65,-2.0935,7.75,4.4167,0.75,32.9076,32.9076,0.2151,15.3,27.3,21.3,33.3,27.3,27.3,21.3,27.3,27.3,27.3,21.3,27.3,27.3,14,1,,3,,,,,0.15,5,4,0.831,,1,,
Kristian Wilkerson,LV,WR,14,No,No,No,13,3,Yes,Yes,3,1,0.2308,2,0.6667,18,11,4,16,,0.1538,0.8462,2,5.3333,122.2,1.3846,6,-0.3179,9,5.5,2,6.1286,6.1286,0.2143,7.8,9.8,8.8,9.8,9.8,9.8,8.8,9.8,9.8,9.8,8.8,9.8,9.8,2,,,,,,,,,2,3,,,1,1,
Gus Edwards,LAC,RB,31,No,No,No,23,1,No,Yes,1,1,0.0435,1,1,1,,,1,,,,,1,79.2,0.0435,1,-4.7294,1,,,1.2849,1.2849,0.0323,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,11,,,,,,,,,,,1,,,,
Kadarius Toney,CLV,WR,2,No,No,No,2,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,49,No,Yes,Yes,45,22,No,Yes,19,0.8636,0.4889,16,0.7273,151,86,19,85,0.2,0.5111,0.2,16,3.8636,91.3,3.3556,6.8636,0.4341,9.4375,5.375,1.1875,32.3,32.3,0.449,14.1,30.1,22.1,30.1,38.1,33.1,24.1,29.1,29.1,29.1,21.1,38.1,29.1,8,1,,2,1,0.0625,,,0.0909,7,1,0.0889,,,,
Demario Douglas,NE,WR,176,No,No,Yes,175,43,No,Yes,38,0.8837,0.2457,35,0.814,323,152,63,220,,0.7886,0.2057,35,5.1163,105.7,1.8457,7.5116,1.1102,9.2286,4.3429,1.8,75.0385,75.0385,0.2443,38.3,73.3,55.8,73.3,73.3,76.3,58.8,73.3,73.3,73.3,55.8,73.3,73.3,17,1,,3,1,0.0286,1,0.0233,0.0698,18,4,0.0057,1,1,2,1
Sione Vaki,DET,RB,7,No,No,No,6,1,No,Yes,1,1,0.1667,1,1,8,3,1,5,,,0.1667,,5,100,1.3333,8,0.767,8,3,1,1.347,1.347,0.1429,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,11,,,,,,,,,,,0.8333,,,,
Alexander Mattison,LV,RB,107,No,No,No,84,20,No,Yes,16,0.8,0.2381,15,0.75,113,79,29,53,,0.0238,0.0833,1,2.65,67.3,1.3452,5.65,-0.7299,7.5333,5.2667,1.9333,34.5523,34.5523,0.1869,11.3,26.3,18.8,33.8,26.3,29.3,21.8,26.3,26.3,26.3,18.8,26.3,26.3,14,,,1,3,0.2,,,0.05,5,1,0.8929,,,,
Cade Otton,TB,TE,188,No,No,No,158,57,No,Yes,48,0.8421,0.3608,42,0.7368,373,179,79,260,0.5316,0.3228,0.1456,38,4.5614,101,2.3608,6.5439,0.0543,8.881,4.2619,1.881,99.1677,99.1677,0.3032,54.3,96.3,75.3,96.3,117.3,99.3,77.3,95.3,95.3,95.3,74.3,117.3,95.3,14,7,5,4,5,0.119,,,0.0702,22,10,,,3,6,3
James Mitchell,DET,TE,3,Yes,No,No,3,,No,Yes,,,,,,,,,,0.3333,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,211,No,No,No,210,72,No,Yes,64,0.8889,0.3429,56,0.7778,487,245,151,321,,0.3095,0.6905,69,4.4583,104.1,2.319,6.7639,0.6013,8.6964,4.375,2.6964,120.2724,120.2724,0.3412,60.7,116.7,88.7,116.7,116.7,119.7,91.7,116.7,116.7,116.7,88.7,116.7,116.7,15,7,5,6,15,0.2679,,,0.0833,20,7,,,2,4,1
Raheem Blackshear,CAR,RB,10,No,Yes,No,6,,No,Yes,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,0.5,,,,
Tank Dell,HST,WR,139,No,No,No,139,21,No,Yes,16,0.7619,0.1511,14,0.6667,129,48,6,125,,0.259,0.741,15,5.9524,63.4,0.9281,6.1429,-0.5432,9.2143,3.4286,0.4286,35.5953,35.5953,0.1511,12.9,26.9,19.9,26.9,26.9,29.9,22.9,26.9,26.9,26.9,19.9,26.9,26.9,14,2,1,1,,,,,0.0476,7,2,,,,,
Xavier Weaver,ARZ,WR,15,No,Yes,No,15,,No,No,,,,,,,,,,,0.2667,0.7333,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Chris Collier,LV,RB,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,1,,,,
Justyn Ross,KC,WR,7,Yes,No,No,7,,No,Yes,,,,,,,,,,,0.2857,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Ray-Ray McCloud,ATL,WR,204,No,Yes,No,200,29,No,Yes,24,0.8276,0.145,22,0.7586,202,82,34,154,,0.4,0.6,17,5.3103,80,1.01,6.9655,0.5339,9.1818,3.7273,1.5455,42.3862,42.3862,0.1422,19.2,41.2,30.2,41.2,41.2,44.2,32.2,40.2,40.2,40.2,29.2,41.2,40.2,17,2,1,1,1,0.0455,,,0.0345,7,2,,1,,,
Eric Saubert,SF,TE,76,No,Yes,No,70,10,No,No,9,0.9,0.1429,8,0.8,67,14,7,72,0.5143,0.3286,0.1429,6,7.2,127.9,0.9571,6.7,-0.4475,8.375,1.75,0.875,17.6128,17.6128,0.1316,12.7,20.7,16.7,20.7,24.7,20.7,16.7,20.7,20.7,20.7,16.7,24.7,20.7,17,,,,,,,,,5,2,0.0143,,1,2,1
Brian Robinson,WAS,RB,85,No,No,Yes,59,12,Yes,Yes,10,0.8333,0.2034,10,0.8333,103,74,36,39,,0.1864,0.1017,4,3.25,102.4,1.7458,8.5833,1.8485,10.3,7.4,3.6,17.4529,17.4529,0.1412,10.3,20.3,15.3,25.3,20.3,23.3,18.3,20.3,20.3,20.3,15.3,20.3,20.3,14,1,1,,3,0.3,1,0.0833,,3,1,0.7119,,,,
Alvin Kamara,NO,RB,128,No,No,No,110,36,No,Yes,29,0.8056,0.3273,23,0.6389,168,101,28,97,,0.2091,0.0455,12,2.6944,74.8,1.5273,4.6667,-1.7587,7.3043,4.3913,1.2174,53.1955,53.1955,0.2812,16.8,39.8,28.3,51.3,39.8,42.8,31.3,39.8,39.8,39.8,28.3,39.8,39.8,14,1,,5,2,0.087,,,0.1389,6,2,0.7455,1,,,
Aaron Shampklin,PIT,RB,5,No,No,No,5,,No,No,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,0.8,,,,
Tucker Fisk,LAC,TE,18,No,No,No,14,5,No,Yes,5,1,0.3571,4,0.8,31,12,4,28,1,,,1,5.6,92.5,2.2143,6.2,-0.3533,7.75,3,1,9.7408,9.7408,0.2778,3.1,7.1,5.1,7.1,9.1,7.1,5.1,7.1,7.1,7.1,5.1,9.1,7.1,9,1,,,1,0.25,,,,1,1,,,,1,
Erick All,CIN,TE,49,No,No,Yes,41,10,No,Yes,10,1,0.2439,10,1,69,45,21,24,0.6341,0.1951,0.1463,5,2.4,95.4,1.6829,6.9,0.588,6.9,4.5,2.1,13.8655,13.8655,0.2041,6.9,16.9,11.9,16.9,21.9,16.9,11.9,16.9,16.9,16.9,11.9,21.9,16.9,9,,,,,,,,,4,1,0.0244,,,,
Braxton Berrios,MIA,WR,26,No,No,No,25,3,No,Yes,1,0.3333,0.12,,,,,,19,,0.4,0.6,3,6.3333,39.6,,,-6.875,,,,6.6169,6.6169,0.1154,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,
Kendre Miller,NO,RB,21,No,No,No,17,5,No,Yes,4,0.8,0.2941,3,0.6,22,9,6,17,,0.1176,0.0588,,3.4,70.4,1.2941,4.4,-2.3339,7.3333,3,2,6.8132,6.8132,0.2381,2.2,5.2,3.7,6.7,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,6,,,1,1,0.3333,,,0.2,1,,0.8235,,,,
Diontae Johnson,HST,WR,94,No,No,No,93,29,No,Yes,22,0.7586,0.3118,16,0.5517,137,61,29,150,,0.2688,0.7312,27,5.1724,53.4,1.4731,4.7241,-1.6494,8.5625,3.8125,1.8125,53.7349,53.7349,0.3085,13.7,29.7,21.7,29.7,29.7,32.7,24.7,29.7,29.7,29.7,21.7,29.7,29.7,12,8,3,1,5,0.3125,,,0.0345,8,7,,,,3,
DK Metcalf,SEA,WR,205,No,No,No,202,38,No,No,35,0.9211,0.1881,30,0.7895,268,140,45,180,,0.1386,0.8614,33,4.7368,96.1,1.3267,7.0526,0.7574,8.9333,4.6667,1.5,65.7649,65.7649,0.1854,24.8,54.8,39.8,54.8,54.8,57.8,40.8,52.8,52.8,52.8,37.8,54.8,52.8,15,6,2,1,5,0.1667,2,0.0526,0.0263,6,3,,,,2,
Mark Andrews,BLT,TE,114,No,No,Yes,105,30,No,No,28,0.9333,0.2857,27,0.9,198,63,23,164,0.1905,0.6476,0.1619,20,5.4667,119.9,1.8857,6.6,-0.1923,7.3333,2.3333,0.8519,51.9983,51.9983,0.2632,43.8,70.8,57.3,70.8,84.3,73.8,60.3,70.8,70.8,70.8,57.3,84.3,70.8,17,2,1,1,2,0.0741,,,0.0333,15,6,,1,4,3,3
Parker Washington,JAX,WR,138,No,No,No,135,16,No,Yes,15,0.9375,0.1185,14,0.875,130,57,38,89,,0.2889,0.7111,15,5.5625,121.4,0.963,8.125,1.5643,9.2857,4.0714,2.7143,24.709,24.709,0.1159,19,33,26,33,33,36,29,33,33,33,26,33,33,17,,,1,5,0.3571,,,0.0625,6,3,,,1,,
MyCole Pruitt,PIT,TE,24,No,Yes,No,20,6,No,Yes,3,0.5,0.3,3,0.5,20,4,1,38,0.65,0.25,0.05,4,6.3333,57.6,1,3.3333,-3.7754,6.6667,1.3333,0.3333,11.9873,11.9873,0.25,8,11,9.5,11,12.5,11,9.5,11,11,11,9.5,12.5,11,12,,,,,,,,,1,1,0.05,,1,1,1
Tyquan Thornton,NE,WR,23,No,No,No,23,2,No,Yes,2,1,0.087,2,1,24,15,13,9,,0.1304,0.8696,2,4.5,116.7,1.0435,12,5.6842,12,7.5,6.5,4.2968,4.2968,0.087,2.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,5,,,,1,0.5,,,,1,1,,,,,
Allen Robinson,DET,WR,21,No,No,No,21,6,No,Yes,4,0.6667,0.2857,2,0.3333,9,2,,31,,0.381,0.619,4,5.1667,42.4,0.4286,1.5,-4.9452,4.5,1,,8.5975,8.5975,0.2857,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,12,3,1,1,,,,,0.1667,2,,,,,,
Breece Hall,NYJ,RB,175,No,No,Yes,126,27,No,Yes,24,0.8889,0.2143,20,0.7407,215,168,43,64,0.0159,0.0476,0.1587,10,2.3704,109.3,1.7063,7.963,1.6664,10.75,8.4,2.15,39.7466,39.7466,0.1543,27.5,47.5,37.5,57.5,47.5,50.5,40.5,47.5,47.5,47.5,37.5,47.5,47.5,16,,,4,7,0.35,,,0.1481,4,5,0.7778,,1,,
Trent Sherfield,MIN,WR,22,No,No,No,20,8,Yes,Yes,8,1,0.4,8,1,83,40,5,43,0.05,0.4,0.55,4,5.375,149.5,4.15,10.375,3.7829,10.375,5,0.625,13.044,13.044,0.3636,14.3,22.3,18.3,22.3,22.3,22.3,18.3,22.3,22.3,22.3,18.3,22.3,22.3,17,,,,,,,,,4,1,,,1,,
Dameon Pierce,HST,RB,26,No,No,No,19,1,No,Yes,,,0.0526,,,,,,3,,0.1579,0.1053,1,3,39.6,,,-6.5094,,,,1.3222,1.3222,0.0385,,,,,,,,,,,,,,11,,,,,,,,,,,0.7368,,,,
Blake Corum,LA,RB,22,No,No,No,13,5,No,No,5,1,0.3846,4,0.8,38,30,3,10,,,,1,2,98.3,2.9231,7.6,1.4255,9.5,7.5,0.75,7.2528,7.2528,0.2273,3.8,7.8,5.8,9.8,7.8,7.8,5.8,7.8,7.8,7.8,5.8,7.8,7.8,15,,,1,,,,,0.2,3,,1,,,,
Pierre Strong,CLV,RB,53,No,No,No,46,11,No,Yes,8,0.7273,0.2391,4,0.3636,29,14,4,47,0.0652,0.1522,0.2609,4,4.2727,44.9,0.6304,2.6364,-4.3608,7.25,3.5,1,16.1765,16.1765,0.2075,2.9,6.9,4.9,8.9,6.9,6.9,4.9,6.9,6.9,6.9,4.9,6.9,6.9,13,1,,3,,,,,0.2727,,,0.5217,,,,
Jacob Kibodi,CLV,RB,5,No,No,Yes,5,3,No,No,1,0.3333,0.6,1,0.3333,15,11,7,10,,,0.2,,3.3333,11.1,3,5,-1.5603,15,11,7,4.1724,4.1724,0.6,1.5,2.5,2,3,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,1,,,,,,,,,1,2,0.8,,,,
Jha'Quan Jackson,TEN,WR,4,No,Yes,Yes,4,1,No,Yes,1,1,0.25,1,1,8,3,,5,,0.75,0.25,1,5,100,2,8,1.6372,8,3,,1.603,1.603,0.25,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,12,,,,,,,,,1,,,,,,
Rakim Jarrett,TB,WR,29,No,No,Yes,28,5,No,Yes,5,1,0.1786,4,0.8,25,7,5,26,,0.3929,0.6071,5,5.2,87.5,0.8929,5,-1.4645,6.25,1.75,1.25,7.6905,7.6905,0.1724,2.5,6.5,4.5,6.5,6.5,6.5,4.5,6.5,6.5,6.5,4.5,6.5,6.5,10,2,1,,1,0.25,,,,,2,,,,1,
Julian Hill,MIA,TE,65,No,No,Yes,57,13,No,Yes,12,0.9231,0.2281,11,0.8462,96,53,29,53,0.6667,0.2456,0.0526,7,4.0769,97.4,1.6842,7.3846,0.889,8.7273,4.8182,2.6364,19.7899,19.7899,0.2,9.6,20.6,15.1,20.6,26.1,20.6,15.1,20.6,20.6,20.6,15.1,26.1,20.6,16,,,1,2,0.1818,,,0.0769,5,2,0.0351,,,,
Josh Palmer,LAC,WR,140,No,No,No,134,18,No,Yes,15,0.8333,0.1343,14,0.7778,87,13,5,92,,0.3507,0.6493,17,5.1111,86.8,0.6493,4.8333,-1.8535,6.2143,0.9286,0.3571,32.0718,32.0718,0.1286,8.7,22.7,15.7,22.7,22.7,22.7,15.7,22.7,22.7,22.7,15.7,22.7,22.7,15,2,1,,1,0.0714,1,0.0556,,3,3,,,,,
Antonio Gibson,NE,RB,84,No,No,Yes,61,12,No,Yes,12,1,0.1967,11,0.9167,135,106,36,29,0.0328,0.0328,0.1803,2,2.4167,113.5,2.2131,11.25,4.3986,12.2727,9.6364,3.2727,16.072,16.072,0.1429,13.5,24.5,19,30,24.5,27.5,22,24.5,24.5,24.5,19,24.5,24.5,17,1,1,1,4,0.3636,,,0.0833,7,1,0.7541,1,,,
Mason Kinsey,TEN,WR,11,No,No,No,11,1,No,Yes,1,1,0.0909,1,1,6,,,6,,1,,1,6,91.7,0.5455,6,-0.9491,6,,,1.7274,1.7274,0.0909,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,6,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,45,No,Yes,No,38,7,No,Yes,5,0.7143,0.1842,4,0.5714,28,13,3,20,0.5,0.3421,0.1579,3,2.8571,66.4,0.7368,4,-2.2437,7,3.25,0.75,10.6257,10.6257,0.1556,2.8,6.8,4.8,6.8,8.8,6.8,4.8,6.8,6.8,6.8,4.8,8.8,6.8,16,1,,,,,,,,2,,,,,,
David Moore,CAR,WR,105,No,Yes,No,103,22,No,Yes,19,0.8636,0.2136,16,0.7273,119,40,27,122,,0.3592,0.6408,19,5.5455,115.5,1.1553,5.4091,-1.165,7.4375,2.5,1.6875,42.3928,42.3928,0.2095,23.9,39.9,31.9,39.9,39.9,42.9,34.9,39.9,39.9,39.9,31.9,39.9,39.9,17,2,,1,1,0.0625,,,0.0455,4,6,,,2,2,1
Justin Shorter,LV,TE,5,No,No,No,5,,No,Yes,,,,,,,,,,0.6,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,221,No,No,No,219,76,Yes,Yes,71,0.9342,0.347,66,0.8684,478,252,54,372,,0.5388,0.4429,63,4.8947,119.2,2.1826,6.2895,-0.0693,7.2424,3.8182,0.8182,124.3759,124.3759,0.3455,88.08,154.08,121.08,154.08,154.08,157.08,124.08,154.08,154.08,154.08,121.08,154.15,154.15,17,11,7,1,13,0.197,,,0.0132,32,15,0.0183,,6,3,3
Isaiah Williams,CIN,WR,3,No,Yes,No,3,2,No,Yes,1,0.5,0.6667,1,0.5,4,,,12,,0.6667,0.3333,2,6,56.3,1.3333,2,-4.7802,4,,,2.9862,2.9862,0.6667,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,8,,,,,,,,,,,,,,,
Chris Moore,ARZ,WR,3,No,No,Yes,3,,No,Yes,,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,105,No,No,No,105,25,No,No,20,0.8,0.2381,18,0.72,135,49,9,130,,0.3238,0.6762,20,5.2,67.9,1.2857,5.4,-0.9963,7.5,2.7222,0.5,37.9945,37.9945,0.2381,13.5,31.5,22.5,31.5,31.5,34.5,25.5,31.5,31.5,31.5,22.5,31.5,31.5,17,2,1,1,1,0.0556,,,0.04,8,3,,,,,
Elijah Higgins,ARZ,TE,66,No,Yes,No,62,12,No,No,11,0.9167,0.1935,10,0.8333,62,30,12,42,0.5806,0.2903,0.129,5,3.5,88.2,1,5.1667,-1.1445,6.2,3,1.2,17.7916,17.7916,0.1818,6.2,16.2,11.2,16.2,21.2,16.2,11.2,16.2,16.2,16.2,11.2,21.2,16.2,17,,,,2,0.2,,,,3,1,,,,,
Dan Chisena,CAR,WR,6,No,Yes,No,6,3,No,Yes,2,0.6667,0.5,2,0.6667,14,1,1,15,,0.5,0.5,2,5,77.1,2.3333,4.6667,-1.736,7,0.5,0.5,4.4266,4.4266,0.5,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,5,,,,,,,,,1,,,,,,
Adam Thielen,CAR,WR,109,No,Yes,No,109,27,No,Yes,27,1,0.2477,26,0.963,227,97,22,134,,0.7064,0.2936,25,4.963,86.3,2.0826,8.4074,2.0321,8.7308,3.7308,0.8462,39.5805,39.5805,0.2477,22.7,48.7,35.7,48.7,48.7,51.7,38.7,48.7,48.7,48.7,35.7,48.7,48.7,10,2,1,1,2,0.0769,1,0.037,0.037,10,3,,,,,
Josiah Deguara,JAX,TE,8,No,No,No,6,2,No,Yes,2,1,0.3333,2,1,12,8,3,4,,0.5,0.5,,2,91.7,2,6,-0.3701,6,4,1.5,2.6689,2.6689,0.25,1.2,3.2,2.2,3.2,4.2,3.2,2.2,3.2,3.2,3.2,2.2,4.2,3.2,13,,,,,,,,,,1,,,,,
Braelon Allen,NYJ,RB,60,No,No,Yes,47,10,No,Yes,7,0.7,0.2128,7,0.7,65,47,18,26,,0.0638,0.1702,5,2.6,87.5,1.383,6.5,0.0972,9.2857,6.7143,2.5714,13.6969,13.6969,0.1667,6.5,13.5,10,17,13.5,13.5,10,13.5,13.5,13.5,10,13.5,13.5,17,,,,1,0.1429,,,,4,,0.766,,,,
Harrison Bryant,LV,TE,38,No,No,No,32,8,No,Yes,7,0.875,0.25,7,0.875,68,55,24,20,0.5312,0.3438,0.125,4,2.5,102.1,2.125,8.5,2.3415,9.7143,7.8571,3.4286,11.2033,11.2033,0.2105,6.8,13.8,10.3,13.8,17.3,13.8,10.3,13.8,13.8,13.8,10.3,17.3,13.8,13,,,,2,0.2857,,,,4,,,,,,
Tylan Wallace,BLT,WR,33,No,No,Yes,32,6,No,No,5,0.8333,0.1875,5,0.8333,130,98,87,40,,0.2812,0.7188,3,6.6667,158.3,4.0625,21.6667,14.6705,26,19.6,17.4,8.553,8.553,0.1818,19,24,21.5,24,24,27,24.5,24,24,24,21.5,24,24,17,,,,3,0.6,,,,2,,,,1,,
Jonnu Smith,MIA,TE,184,No,No,Yes,169,54,No,Yes,50,0.9259,0.3195,47,0.8704,433,206,104,268,0.2485,0.5089,0.2308,48,4.963,124.8,2.5621,8.0185,1.4093,9.2128,4.383,2.2128,84.8392,84.8392,0.2935,67.3,114.3,90.8,114.3,137.8,117.3,93.8,114.3,114.3,114.3,90.8,137.8,114.3,17,3,2,2,8,0.1702,1,0.0185,0.037,30,9,0.0118,,4,3,2
Johnny Wilson,PHI,WR,65,No,No,No,62,7,No,Yes,6,0.8571,0.1129,4,0.5714,33,15,10,31,0.0323,0.2581,0.6935,4,4.4286,69.3,0.5323,4.7143,-1.494,8.25,3.75,2.5,9.6159,9.6159,0.1077,3.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,16,1,,1,1,0.25,,,0.1429,2,,0.0161,,,,
Erik Ezukanma,MIA,WR,4,No,No,No,3,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,39,Yes,No,No,26,1,No,Yes,1,1,0.0385,1,1,2,,,2,0.0385,0.0385,0.1154,,2,79.2,0.0769,2,-4.3947,2,,,3.6762,3.6762,0.0256,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,17,,,,,,,,,1,1,0.8077,,,,
Blake Whiteheart,CLV,TE,37,No,No,Yes,29,5,No,No,4,0.8,0.1724,4,0.8,21,10,3,22,0.4828,0.2069,0.2069,2,4.4,123.8,0.7241,4.2,-2.4716,5.25,2.5,0.75,11.8375,11.8375,0.1351,8.1,12.1,10.1,12.1,14.1,12.1,10.1,12.1,12.1,12.1,10.1,14.1,12.1,11,,,,1,0.25,,,,1,2,0.1034,,1,1,1
Quentin Johnston,LAC,WR,137,No,No,No,134,35,No,Yes,32,0.9143,0.2612,28,0.8,263,150,63,158,,0.1119,0.8881,28,4.5143,117,1.9627,7.5143,1.3145,9.3929,5.3571,2.25,51.945,51.945,0.2555,38.3,66.3,52.3,66.3,66.3,69.3,55.3,66.3,66.3,66.3,52.3,66.3,66.3,15,4,2,3,8,0.2857,1,0.0286,0.0857,15,4,,,2,1,1
Chris Manhertz,NYG,TE,42,No,No,No,22,3,No,Yes,2,0.6667,0.1364,2,0.6667,28,19,7,14,0.5909,0.4091,,1,4.6667,96.5,1.2727,9.3333,2.614,14,9.5,3.5,5.6344,5.6344,0.0714,2.8,4.8,3.8,4.8,5.8,4.8,3.8,4.8,4.8,4.8,3.8,5.8,4.8,17,,,,,,,,,1,,,,,,
Garrett Wilson,NYJ,WR,247,No,No,Yes,243,71,No,Yes,63,0.8873,0.2922,55,0.7746,511,227,89,372,,0.3539,0.642,63,5.2394,89.6,2.1029,7.1972,0.7015,9.2909,4.1273,1.6182,116.1794,116.1794,0.2874,56.1,111.1,83.6,111.1,111.1,114.1,85.6,110.1,110.1,110.1,82.6,111.1,110.1,17,10,6,3,11,0.2,2,0.0282,0.0423,31,9,0.0041,,1,1,1
Jeff Wilson,MIA,RB,12,No,No,Yes,8,2,No,Yes,2,1,0.25,2,1,13,10,3,3,,0.25,0.125,,1.5,93.8,1.625,6.5,0.438,6.5,5,1.5,3.0151,3.0151,0.1667,1.3,3.3,2.3,4.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,9,,,,,,,,,,,0.625,,,,
Kenny McIntosh,SEA,RB,13,No,No,No,11,2,No,No,2,1,0.1818,2,1,20,15,7,5,,,0.3636,2,2.5,108.3,1.8182,10,3.548,10,7.5,3.5,2.8572,2.8572,0.1538,2,4,3,5,4,4,3,4,4,4,3,4,4,11,,,,,,,,,1,,0.6364,,,,
