Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,TargetsInEndzone,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,ReceptionsHero,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,TouchdownsInEndzone
Elijah Moore,CLV,WR,53,No,No,Yes,53,13,Yes,,Yes,3,0.2308,0.2453,2,,0.1538,74,385,0.6415,0.3396,10,29.6154,13,44.4,1.3962,5.6923,-6.7731,37,2,28.7597,28.7597,0.2453,13.4,15.4,14.4,15.4,15.4,15.4,14.4,15.4,15.4,15.4,14.4,15.4,15.4,17,,3,16,4,8,2,1,1,1,1,0.5,0.0189,0.0769,1,1
Derrick Henry,BLT,RB,27,No,No,Yes,21,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,1,,,
Brandon Powell,MIN,WR,11,No,No,Yes,11,1,No,,No,,,0.0909,,,,,21,0.4545,0.5455,1,21,1,39.6,,,-11.2393,,,1.6216,1.6216,0.0909,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,16,No,No,No,14,,No,,No,,,,,,,,,0.0714,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,0.7857,,,
Calvin Austin,PIT,WR,50,No,Yes,No,50,13,No,3,No,7,0.5385,0.26,6,2,0.4615,196,405,0.7,0.3,11,31.1538,13,132.2,3.92,15.0769,2.1496,32.6667,6,34.4306,34.4306,0.26,37.6,43.6,40.6,43.6,43.6,46.6,43.6,43.6,43.6,43.6,40.6,43.6,43.6,17,,3,13,2,2.1667,0.3333,2,3,,,,,,1,2
Ronnie Bell,SF,WR,7,No,No,Yes,7,1,No,,No,1,1,0.1429,,,,,32,0.1429,0.8571,1,32,1,39.6,,,-9.9663,,,1.8568,1.8568,0.1429,,,,,,,,,,,,,,8,,,,,,,,,1,,,,1,,
Jacob Cowing,SF,WR,4,No,No,No,4,2,Yes,,Yes,1,0.5,0.5,1,,0.5,41,63,0.25,0.75,2,31.5,2,56.3,10.25,20.5,8.8974,41,1,4.0768,4.0768,0.5,4.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,5.1,4.6,5.1,5.1,15,,,3,,3,,,,,,,,,,
Jalen Virgil,BUF,WR,1,No,No,No,1,,Yes,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Geoff Swaim,CLV,TE,8,No,No,No,3,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,51,No,No,No,31,1,No,1,No,1,1,0.0323,,,,,32,0.0645,,1,32,1,39.6,,,-6.6,,,2.0946,2.0946,0.0196,,,,,,,,,,,,,,17,,,,,,,,,,,,0.9355,,,
Jaleel McLaughlin,DEN,RB,18,No,No,Yes,17,,No,,Yes,,,,,,,,,,0.2353,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.0588,,,,,,,,,,,0.7059,,,
Jack Westover,NE,TE,1,No,No,No,1,,Yes,,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Isiah Pacheco,KC,RB,9,No,No,No,4,,No,,No,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,0.75,,,
Cordarrelle Patterson,PIT,RB,3,No,Yes,No,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,1,,,
Pat Freiermuth,PIT,TE,52,No,Yes,No,46,2,No,1,No,1,0.5,0.0435,1,1,0.5,21,43,0.7174,0.1087,1,21.5,2,47.9,0.4565,10.5,-1.2692,21,1,5.448,5.448,0.0385,2.1,3.1,2.6,3.1,3.6,3.1,2.6,3.1,3.1,3.1,2.6,3.6,3.1,17,0.1739,1,,,,,,,,,,,,1,
Rhamondre Stevenson,NE,RB,26,No,No,Yes,16,1,No,,Yes,,,0.0625,,,,,21,0.0625,0.125,,21,1,39.6,,,-9.3077,,,3.4345,3.4345,0.0385,,,,,,,,,,,,,,15,,1,,,,,,,,,,0.8125,,1,
Brenton Strange,JAX,TE,41,No,No,No,36,4,Yes,,Yes,2,0.5,0.1111,2,,0.5,56,106,0.4444,0.2222,3,26.5,4,95.8,1.5556,14,4.5381,28,2,11.8254,11.8254,0.0976,5.6,7.6,6.6,7.6,8.6,7.6,6.6,7.6,7.6,7.6,6.6,8.6,7.6,17,0.3333,2,7,1,3.5,0.5,,,,,,,,1,
Travis Kelce,KC,TE,42,No,No,No,39,8,No,1,No,3,0.375,0.2051,3,,0.375,88,203,0.4615,0.2821,3,25.375,8,39.6,2.2564,11,-0.7591,29.3333,3,13.8954,13.8954,0.1905,8.8,11.8,10.3,11.8,13.3,11.8,10.3,11.8,11.8,11.8,10.3,13.3,11.8,16,0.2564,,25,11,8.3333,3.6667,,,,,,,,,
Cole Kmet,CHI,TE,60,No,Yes,No,42,3,No,,Yes,2,0.6667,0.0714,2,,0.6667,50,69,0.6429,0.1667,2,23,3,70.1,1.1905,16.6667,4.0946,25,2,6.0794,6.0794,0.05,5,7,6,7,8,7,6,7,7,7,6,8,7,17,0.1667,,5,,2.5,,,,,,,0.0238,,,
Demarcus Robinson,LA,WR,53,No,Yes,No,53,20,No,5,Yes,11,0.55,0.3774,7,2,0.35,238,567,0.4151,0.5849,17,28.35,20,93.3,4.4906,11.9,-0.5473,34,7,49.6991,49.6991,0.3774,35.8,42.8,39.3,42.8,42.8,45.8,42.3,42.8,42.8,42.8,39.3,42.8,42.8,17,,3,35,15,5,2.1429,2,2,,1,0.1429,,,1,1
Tyreek Hill,MIA,WR,30,No,Yes,Yes,30,17,No,4,Yes,7,0.4118,0.5667,4,1,0.2353,159,513,0.3333,0.6667,15,30.1765,17,61.2,5.3,9.3529,-3.0609,39.75,4,38.1244,38.1244,0.5667,21.9,25.9,23.9,25.9,25.9,28.9,26.9,25.9,25.9,25.9,23.9,25.9,25.9,17,,2,59,4,14.75,1,,1,1,1,0.25,,0.0588,,
Zack Moss,CIN,RB,19,No,No,Yes,12,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.25,,,,,,,,,,,0.75,,,
Kimani Vidal,LAC,RB,11,No,No,No,7,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,1,,,
Mason Tipton,NO,WR,25,No,No,No,25,6,No,,Yes,1,0.1667,0.24,,,,,204,0.28,0.72,4,34,6,39.6,,,-12.4562,,,13.0173,13.0173,0.24,,,,,,,,,,,,,,11,,,,,,,,,1,,,,0.1667,,
Derius Davis,LAC,WR,7,No,No,No,7,4,No,,No,2,0.5,0.5714,2,,0.5,42,96,0.5714,0.4286,3,24,4,127.1,6,10.5,-1.2135,21,2,10.7943,10.7943,0.5714,16.2,18.2,17.2,18.2,18.2,18.2,17.2,18.2,18.2,18.2,17.2,18.2,18.2,15,,2,,,,,1,2,,,,,,1,2
Mike Williams,PIT,WR,36,No,Yes,No,36,10,No,2,No,5,0.5,0.2778,4,,0.4,101,300,0.0556,0.9444,8,30,10,71.3,2.8056,10.1,-2.3631,25.25,4,30.8878,30.8878,0.2778,16.1,20.1,18.1,20.1,20.1,23.1,21.1,20.1,20.1,20.1,18.1,20.1,20.1,18,,2,4,1,1,0.25,1,1,,,,,,,1
Devin Thompkins,CAR,WR,4,No,Yes,No,4,,No,,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Kylen Granson,IND,TE,35,No,No,No,33,5,Yes,1,Yes,3,0.6,0.1515,,,,,154,0.4848,0.1212,3,30.8,5,39.6,,,-10.7273,,,8.795,8.795,0.1429,,,,,,,,,,,,,,17,0.3939,,,,,,,,2,,,,0.4,,
John Ross,PHI,WR,1,No,No,No,1,1,No,,No,,,1,,,,,48,,1,1,48,1,39.6,,,-15,,,4.1091,4.1091,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
Terrace Marshall,LV,WR,6,No,No,No,6,1,No,,No,1,1,0.1667,1,,1,28,25,0.3333,0.6667,1,25,1,118.8,4.6667,28,16.5113,28,1,1.9113,1.9113,0.1667,2.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,7,,,3,3,3,3,,,,,,,,,
Brock Wright,DET,TE,17,No,No,Yes,10,1,No,,No,,,0.1,,,,,28,,0.1,1,28,1,39.6,,,-14.3091,,,2.0462,2.0462,0.0588,,,,,,,,,,,,,,17,0.8,1,,,,,,,,,,0.1,,,
Kenny Yeboah,NYJ,TE,5,No,Yes,Yes,4,,No,,Yes,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.75,,,,,,,,,,,,,,
A.J. Brown,PHI,WR,32,No,No,No,32,15,No,3,Yes,9,0.6,0.4688,7,1,0.4667,279,444,0.0938,0.9062,12,29.6,15,132.6,8.7188,18.6,6.3229,39.8571,7,40.0646,40.0646,0.4688,51.9,58.9,55.4,58.9,58.9,61.9,58.4,58.9,58.9,58.9,55.4,58.9,58.9,13,,6,67,9,9.5714,1.2857,1,4,,1,0.1429,,,2,2
Jamaal Williams,NO,RB,15,No,Yes,Yes,9,,No,,No,,,,,,,,,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,0.8889,,,
Luke McCaffrey,WAS,WR,21,Yes,Yes,No,21,1,No,,No,,,0.0476,,,,,28,0.7619,0.2381,1,28,1,39.6,,,-11.0769,,,1.6019,1.6019,0.0476,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Ke'Shawn Vaughn,SF,RB,1,No,No,Yes,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
Brandin Cooks,DAL,WR,29,Yes,Yes,No,28,10,No,3,No,4,0.4,0.3571,1,,0.1,21,297,0.25,0.75,9,29.7,10,33.3,0.75,2.1,-10.4371,21,1,23.0189,23.0189,0.3448,8.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,9.1,8.6,9.1,9.1,10,,1,1,,1,,,1,,,,,,1,
David Njoku,CLV,TE,36,No,No,No,33,3,No,1,No,2,0.6667,0.0909,1,,0.3333,23,70,0.2424,0.2727,2,23.3333,3,61.8,0.697,7.6667,-4.2717,23,1,7.0966,7.0966,0.0833,8.3,9.3,8.8,9.3,9.8,9.3,8.8,9.3,9.3,9.3,8.8,9.8,9.3,11,0.4848,1,2,1,2,1,,1,,,,,,1,
Brock Bowers,LV,TE,56,No,No,No,50,13,No,5,No,7,0.5385,0.26,5,1,0.3846,168,354,0.62,0.16,11,27.2308,13,93.8,3.36,12.9231,1.1661,33.6,5,25.5704,25.5704,0.2321,34.8,39.8,37.3,39.8,42.3,42.8,40.3,39.8,39.8,39.8,37.3,42.3,39.8,17,0.22,4,46,6,9.2,1.2,1,3,,,,,,1,1
Jalin Hyatt,NYG,WR,21,No,No,No,21,8,No,1,No,2,0.25,0.381,,,,,264,0.0952,0.9048,7,33,8,,,,-12.7124,,,16.1621,16.1621,0.381,,,,,,,,,,,,,,16,,,,,,,,,1,,,,0.125,,
Isaac Guerendo,SF,RB,13,No,No,No,12,2,Yes,,Yes,2,1,0.1667,2,,1,67,48,0.0833,,1,24,2,118.8,5.5833,33.5,24.8741,33.5,2,3.1813,3.1813,0.1538,6.7,8.7,7.7,9.7,8.7,8.7,7.7,8.7,8.7,8.7,7.7,8.7,8.7,16,,,19,9,9.5,4.5,,,,,,0.9167,,,
Ryan Miller,TB,WR,8,No,Yes,Yes,8,3,No,2,No,3,1,0.375,1,,0.3333,23,80,0.5,0.5,2,26.6667,3,22.2,2.875,7.6667,-4.082,23,,7.639,7.639,0.375,2.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,3.3,2.8,3.3,3.3,11,,,3,,3,,,,,,,,,,
Johnny Mundt,MIN,TE,21,No,No,Yes,19,,No,,No,,,,,,,,,0.3158,0.2632,,,,,,,,,,4.0581,4.0581,,,,,,,,,,,,,,,17,0.3684,,,,,,,,,,,0.0526,,,
Durham Smythe,MIA,TE,10,No,Yes,Yes,2,1,No,,Yes,1,1,0.5,,,,,23,0.5,,,23,1,39.6,,,-11.6992,,,0.9417,0.9417,0.1,,,,,,,,,,,,,,17,0.5,,,,,,,,,,,,,,
Xavier Legette,CAR,WR,47,No,No,No,47,21,No,4,No,11,0.5238,0.4468,5,,0.2381,137,620,0.2766,0.7234,15,29.5238,21,34.4,2.9149,6.5238,-5.8127,27.4,5,47.216,47.216,0.4468,13.7,18.7,16.2,18.7,18.7,21.7,19.2,18.7,18.7,18.7,16.2,18.7,18.7,16,,4,16,5,3.2,1,,,3,1,0.2,,0.1429,3,
J.J. Taylor,HST,RB,3,No,No,No,2,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,
Rashid Shaheed,NO,WR,24,Yes,Yes,Yes,24,14,No,4,No,7,0.5,0.5833,3,,0.2143,172,485,0.3333,0.6667,13,34.6429,14,78.3,7.1667,12.2857,-0.6041,57.3333,3,32.5261,32.5261,0.5833,35.2,38.2,36.7,38.2,38.2,41.2,39.7,38.2,38.2,38.2,36.7,38.2,38.2,6,,,36,,12,,,3,1,,,,0.0714,,
Justin Jefferson,MIN,WR,66,No,No,Yes,66,21,No,1,No,15,0.7143,0.3182,14,1,0.6667,507,626,0.2576,0.7424,15,29.8095,21,129.5,7.6818,24.1429,11.9854,36.2143,14,58.5743,58.5743,0.3182,74.7,88.7,81.7,88.7,88.7,91.7,84.7,88.7,88.7,88.7,81.7,88.7,88.7,17,,2,105,21,7.5,1.5,,4,1,3,0.2143,,0.0476,,1
Greg Dulcich,NYG,TE,10,No,No,No,10,1,No,,No,,,0.1,,,,,20,0.1,0.3,1,20,1,39.6,,,-11.7623,,,1.8649,1.8649,0.1,,,,,,,,,,,,,,9,0.6,,,,,,,,,,,,,,
Ray Davis,BUF,RB,16,No,No,No,14,1,Yes,1,No,1,1,0.0714,1,1,1,42,38,,0.0714,,38,1,118.8,3,42,13,42,1,1.9153,1.9153,0.0625,4.2,5.2,4.7,5.7,5.2,5.2,4.7,5.2,5.2,5.2,4.7,5.2,5.2,17,0.0714,,4,2,4,2,,,,,,0.8571,,,
DeeJay Dallas,ARZ,RB,3,No,No,No,2,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,1,,,
Tony Pollard,TEN,RB,38,No,Yes,No,30,2,No,1,Yes,2,1,0.0667,2,1,1,52,42,0.2,,2,21,2,118.8,1.7333,26,14.8976,26,2,3.4295,3.4295,0.0526,5.2,7.2,6.2,8.2,7.2,7.2,6.2,7.2,7.2,7.2,6.2,7.2,7.2,16,,,10,3,5,1.5,,,,,,0.8,,,
Romeo Doubs,GB,WR,54,No,No,No,54,14,No,2,No,5,0.3571,0.2593,4,1,0.2857,119,365,0.0926,0.9074,11,26.0714,14,86.3,2.2037,8.5,-3.2778,29.75,4,30.6412,30.6412,0.2593,17.9,21.9,19.9,21.9,21.9,24.9,22.9,21.9,21.9,21.9,19.9,21.9,21.9,13,,4,19,7,4.75,1.75,2,1,,,,,,1,1
JuJu Smith-Schuster,KC,WR,9,No,No,Yes,9,,No,,Yes,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
Ladd McConkey,LAC,WR,52,No,No,No,52,9,No,1,No,5,0.5556,0.1731,5,1,0.5556,175,243,0.8654,0.1346,8,27,9,140,3.3654,19.4444,6.9191,35,5,21.1071,21.1071,0.1731,29.5,34.5,32,34.5,34.5,37.5,35,34.5,34.5,34.5,32,34.5,34.5,16,,1,42,14,8.4,2.8,1,2,,1,0.2,,,,
Alex Bachman,LV,WR,4,No,No,Yes,4,,No,,Yes,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Austin Trammell,JAX,WR,1,No,No,No,1,,No,,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Kendric Pryor,CIN,WR,3,No,Yes,No,3,,No,,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Lucas Krull,DEN,TE,23,No,No,Yes,20,1,No,,Yes,,,0.05,,,,,20,0.25,0.3,1,20,1,39.6,,,-11.7623,,,1.8519,1.8519,0.0435,,,,,,,,,,,,,,13,0.45,,,,,,,,,,,,,,
Tyler Johnson,LA,WR,19,No,Yes,No,18,1,No,,Yes,,,0.0556,,,,,25,0.2222,0.7778,1,25,1,39.6,,,-11.4887,,,2.4571,2.4571,0.0526,,,,,,,,,,,,,,15,,1,,,,,,,,,,,,1,
Chig Okonkwo,TEN,TE,36,No,Yes,No,32,6,No,1,Yes,3,0.5,0.1875,2,1,0.3333,39,135,0.5,0.1562,6,22.5,6,56.9,1.2188,6.5,-8.3379,19.5,2,21.5374,21.5374,0.1667,9.9,11.9,10.9,11.9,12.9,11.9,10.9,11.9,11.9,11.9,10.9,12.9,11.9,17,0.3438,2,4,5,2,2.5,,1,,1,0.5,,,1,1
Gerald Everett,CHI,TE,16,No,Yes,No,14,1,No,,Yes,,,0.0714,,,,,20,0.5,0.0714,1,20,1,39.6,,,-11.7623,,,1.9348,1.9348,0.0625,,,,,,,,,,,,,,17,0.4286,1,,,,,,,,,,,,1,
C.J. Uzomah,PHI,TE,4,No,No,No,3,,No,,Yes,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.3333,,,,,,,,,,,,,,
Brenden Rice,LAC,WR,1,No,No,Yes,1,,Yes,,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Ko Kieft,TB,TE,3,No,Yes,Yes,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,1,,,
Isaiah Likely,BLT,TE,29,No,No,Yes,28,6,Yes,1,Yes,2,0.3333,0.2143,1,,0.1667,26,142,0.5,0.1429,6,23.6667,6,45.1,0.9286,4.3333,-7.1806,26,1,11.8847,11.8847,0.2069,2.6,3.6,3.1,3.6,4.1,3.6,3.1,3.6,3.6,3.6,3.1,4.1,3.6,16,0.3214,2,5,,5,,,,,,,0.0357,,2,
George Kittle,SF,TE,41,No,No,No,31,7,Yes,1,Yes,5,0.7143,0.2258,4,,0.5714,121,193,0.2581,0.1935,7,27.5714,7,101.8,3.9032,17.2857,6.7042,30.25,4,22.2692,22.2692,0.1707,12.1,16.1,14.1,16.1,18.1,19.1,17.1,16.1,16.1,16.1,14.1,18.1,16.1,15,0.5161,,22,11,5.5,2.75,,,,1,0.25,0.0323,,,
Keenan Allen,CHI,WR,56,No,Yes,No,55,20,No,4,Yes,8,0.4,0.3636,6,1,0.3,165,487,0.5091,0.4727,14,24.35,20,101,3,8.25,-3.3196,27.5,6,37.6406,37.6406,0.3571,34.5,40.5,37.5,40.5,40.5,43.5,40.5,40.5,40.5,40.5,37.5,40.5,40.5,15,,6,40,4,6.6667,0.6667,1,3,1,2,0.3333,0.0182,0.05,2,1
Dalton Schultz,HST,TE,50,No,Yes,No,41,7,No,1,Yes,4,0.5714,0.1707,2,,0.2857,51,189,0.2439,0.0488,3,27,7,17.9,1.2439,7.2857,-4.1216,25.5,2,14.918,14.918,0.14,5.1,7.1,6.1,7.1,8.1,7.1,6.1,7.1,7.1,7.1,6.1,8.1,7.1,17,0.6829,1,10,5,5,2.5,,,,,,0.0244,,,
Treylon Burks,TEN,WR,9,No,No,No,9,2,No,,Yes,,,0.2222,,,,,88,0.3333,0.6667,2,44,2,,,,-15,,,4.2037,4.2037,0.2222,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
James Cook,BUF,RB,21,No,No,No,21,1,Yes,,No,1,1,0.0476,,,,,25,0.0476,0.0476,1,25,1,39.6,,,-5.0667,,,2.9333,2.9333,0.0476,,,,,,,,,,,,,,16,,,,,,,,,1,,,0.9048,1,,
Jared Wiley,KC,TE,1,No,No,Yes,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,
Ja'Lynn Polk,NE,WR,22,No,No,Yes,20,7,No,2,Yes,3,0.4286,0.35,,,,,177,0.1,0.9,7,25.2857,7,39.6,,,-11.7656,,,15.8799,15.8799,0.3182,,,,,,,,,,,,,,15,,1,,,,,,,1,,,,0.1429,1,
Jordan Akins,CLV,TE,26,No,No,Yes,23,,Yes,,Yes,,,,,,,,,0.3043,0.1304,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5652,,,,,,,,,,,,,,
Nick Vannett,TEN,TE,14,No,Yes,No,10,,No,,Yes,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.9,,,,,,,,,,,,,,
Peyton Hendershot,KC,TE,3,No,No,Yes,3,,No,,Yes,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.6667,,,,,,,,,,,,,,
CeeDee Lamb,DAL,WR,49,No,No,No,49,16,No,5,Yes,10,0.625,0.3265,8,3,0.5,255,437,0.4082,0.5918,15,27.3125,16,116.7,5.2041,15.9375,4.5625,31.875,8,46.5034,46.5034,0.3265,31.5,39.5,35.5,39.5,39.5,42.5,38.5,39.5,39.5,39.5,35.5,39.5,39.5,16,,5,57,30,7.125,3.75,1,1,,2,0.25,,,2,1
Noah Fant,SEA,TE,38,No,Yes,No,33,1,No,,Yes,,,0.0303,,,,,25,0.6061,0.1515,1,25,1,39.6,,,-9.5556,,,6.3051,6.3051,0.0263,,,,,,,,,,,,,,14,0.2121,,,,,,,,,,,0.0303,,,
Velus Jones,CAR,WR,1,Yes,No,Yes,1,,No,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Will Mallory,IND,TE,6,No,No,No,6,,No,,No,,,,,,,,,0.8333,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
Mike Boone,CAR,RB,5,No,No,No,4,,No,,No,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,0.75,,,
Drake London,ATL,WR,54,No,No,No,53,18,No,7,No,12,0.6667,0.3396,8,3,0.4444,212,449,0.3208,0.6792,15,24.9444,18,125.2,4,11.7778,0.166,26.5,8,40.7444,40.7444,0.3333,33.2,41.2,37.2,41.2,41.2,44.2,40.2,41.2,41.2,41.2,37.2,41.2,41.2,17,,4,24,9,3,1.125,1,2,,,,,,3,1
Jalen Tolbert,DAL,WR,54,Yes,Yes,No,54,16,No,5,No,9,0.5625,0.2963,6,3,0.375,188,487,0.2778,0.7222,11,30.4375,16,63.5,3.4815,11.75,-0.2797,31.3333,6,39.0505,39.0505,0.2963,24.8,30.8,27.8,30.8,30.8,33.8,30.8,30.8,30.8,30.8,27.8,30.8,30.8,17,,2,29,5,4.8333,0.8333,2,1,1,,,,0.0625,1,1
Alec Pierce,IND,WR,67,No,No,No,67,29,Yes,7,Yes,18,0.6207,0.4328,12,3,0.4138,517,1034,0.0896,0.9104,27,35.6552,29,83.5,7.7164,17.8276,5.0018,43.0833,12,72.1611,72.1611,0.4328,69.7,81.7,75.7,81.7,81.7,84.7,78.7,81.7,81.7,81.7,75.7,81.7,81.7,16,,1,80,25,6.6667,2.0833,1,3,2,1,0.0833,,0.069,,
Bub Means,NO,WR,9,No,No,Yes,9,3,Yes,1,Yes,2,0.6667,0.3333,1,1,0.3333,36,77,0.3333,0.6667,3,25.6667,3,79.9,4,12,-0.0597,36,1,4.9291,4.9291,0.3333,3.6,4.6,4.1,4.6,4.6,4.6,4.1,4.6,4.6,4.6,4.1,4.6,4.6,7,,,1,,1,,,,,,,,,,
Bo Melton,GB,WR,14,No,Yes,No,14,6,No,,Yes,1,0.1667,0.4286,1,,0.1667,28,209,0.4286,0.5714,5,34.8333,6,46.5,2,4.6667,-8.9738,28,1,14.5478,14.5478,0.4286,2.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,3.8,3.3,3.8,3.8,17,,2,1,,1,,,,,,,,,,
Chris Rodriguez Jr.,WAS,RB,4,Yes,Yes,No,3,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,1,,,
Olamide Zaccheaus,WAS,WR,16,Yes,Yes,No,15,4,No,2,No,4,1,0.2667,2,1,0.5,71,106,0.5333,0.4667,4,26.5,4,95.8,4.7333,17.75,6.5185,35.5,2,7.933,7.933,0.25,7.1,9.1,8.1,9.1,9.1,9.1,8.1,9.1,9.1,9.1,8.1,9.1,9.1,17,,1,27,10,13.5,5,,,1,,,,0.25,,
Chris Blair,ATL,WR,1,No,No,No,1,1,No,,No,,,1,,,,,20,1,,1,20,1,,,,-10.8652,,,2.1383,2.1383,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Brycen Tremayne,WAS,WR,1,No,No,No,1,,No,,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Robert Woods,HST,WR,20,No,Yes,No,20,5,No,,Yes,2,0.4,0.25,2,,0.4,56,126,0.3,0.7,1,25.2,5,82.1,2.8,11.2,0.6713,28,1,13.6129,13.6129,0.25,4.6,6.6,5.6,6.6,6.6,6.6,4.6,5.6,5.6,5.6,4.6,6.6,5.6,15,,2,4,,2,,1,,,,,,,1,
Christian McCaffrey,SF,RB,1,No,Yes,No,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,
Sterling Shepard,TB,WR,25,No,Yes,Yes,25,5,No,1,No,1,0.2,0.2,1,1,0.2,30,140,0.28,0.72,5,28,5,52.1,1.2,6,-5.6634,30,1,7.939,7.939,0.2,3,4,3.5,4,4,4,3.5,4,4,4,3.5,4,4,14,,,3,,3,,,,,,,,,,
