Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero,TargetsContestedTotal,ReceptionsContested
Chris Collier,LV,RB,2,No,No,No,2,2,No,Yes,1,0.5,1,1,0.5,-4,,,-4,,,1,,,,,-2,56.3,-2,-2,-7.6985,-4,,,,3.2275,3.2275,1,-0.4,0.6,0.1,1.1,0.6,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,6,,,,,,,,,
Justyn Ross,KC,WR,1,Yes,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,
Ray-Ray McCloud,ATL,WR,86,Yes,No,No,57,23,No,Yes,22,0.9565,0.4035,20,0.8696,103,170,51,-75,3,0.15,,0.5439,20,18,0.7826,-3.2609,67.2,1.807,4.4783,-0.3835,5.15,8.5,2.55,3,35.3714,35.3714,0.2674,10.3,30.3,20.3,30.3,30.3,33.3,23.3,30.3,30.3,30.3,20.3,30.3,30.3,17,0.4561,1,0.0435,,1,,,,
Eric Saubert,SF,TE,12,No,No,No,8,2,No,Yes,2,1,0.25,2,1,-3,,,-3,,,,0.375,1,1,0.5,-1.5,79.2,-0.375,-1.5,-6.3763,-1.5,,,,3.6934,3.6934,0.1667,-0.3,1.7,0.7,1.7,2.7,1.7,0.7,1.7,1.7,1.7,0.7,2.7,1.7,17,0.125,,,,2,0.5,,,
DK Metcalf,SEA,WR,96,Yes,No,No,62,5,No,Yes,5,1,0.0806,5,1,14,19,8,-5,,,,0.1129,5,3,0.6,-1,79.2,0.2258,2.8,-3.0715,2.8,3.8,1.6,,9.2951,9.2951,0.0521,1.4,6.4,3.9,6.4,6.4,6.4,3.9,6.4,6.4,6.4,3.9,6.4,6.4,15,0.8871,,,,1,,,,
Mark Andrews,BLT,TE,57,No,No,Yes,29,4,No,Yes,4,1,0.1379,4,1,25,27,6,-2,,,,0.6552,1,1,0.25,-0.5,92.7,0.8621,6.25,1.1548,6.25,6.75,1.5,1,5.3972,5.3972,0.0702,2.5,6.5,4.5,6.5,8.5,6.5,4.5,6.5,6.5,6.5,4.5,8.5,6.5,17,0.2069,,,,,0.1379,,,
Parker Washington,JAX,WR,62,No,Yes,No,38,4,No,Yes,4,1,0.1053,3,0.75,10,18,5,-12,2,0.6667,,0.3684,3,3,0.75,-3,77.1,0.2632,2.5,-2.4665,3.3333,6,1.6667,,5.9758,5.9758,0.0645,1,4,2.5,4,4,4,2.5,4,4,4,2.5,4,4,17,0.6316,1,0.25,,,,,,
MyCole Pruitt,PIT,TE,22,No,Yes,No,7,3,Yes,Yes,2,0.6667,0.4286,2,0.6667,2,8,4,-12,,,0.1429,,,,,-4,70.1,0.2857,0.6667,-5.6157,1,4,2,,6.2754,6.2754,0.1364,0.2,2.2,1.2,2.2,3.2,2.2,1.2,2.2,2.2,2.2,1.2,3.2,2.2,12,0.1429,,,,,0.7143,,,
Braxton Berrios,MIA,WR,15,No,No,No,3,,No,Yes,,,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.3333,,,,,,,,
Erick All,CIN,TE,25,No,No,No,17,8,No,Yes,8,1,0.4706,7,0.875,24,30,15,-8,1,0.1429,,0.2353,5,1,0.125,-1,79.2,1.4118,3,-2.1609,3.4286,4.2857,2.1429,1,12.294,12.294,0.32,2.4,9.4,5.9,9.4,12.9,9.4,5.9,9.4,9.4,9.4,5.9,12.9,9.4,9,0.0588,1,0.125,,1,0.7059,,,
Allen Robinson,DET,WR,5,Yes,No,Yes,3,,No,Yes,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.6667,,,,,,,,
Kendre Miller,NO,RB,12,No,No,Yes,8,3,No,Yes,3,1,0.375,2,0.6667,11,23,6,-12,,,1,,,,,-4,72.9,1.375,3.6667,-1.6686,5.5,11.5,3,1,4.7517,4.7517,0.25,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,6,,1,0.3333,,,,,,
Diontae Johnson,HST,WR,50,No,No,No,45,6,No,No,4,0.6667,0.1333,4,0.6667,12,19,6,-14,,,,0.0889,6,5,0.8333,-2.3333,30.6,0.2667,2,-3.3676,3,4.75,1.5,,9.2967,9.2967,0.12,1.2,5.2,3.2,5.2,5.2,5.2,3.2,5.2,5.2,5.2,3.2,5.2,5.2,12,0.9111,,,,,,,,
Dameon Pierce,HST,RB,8,No,No,No,5,3,No,No,2,0.6667,0.6,2,0.6667,2,4,4,-6,2,1,1,,1,1,0.3333,-2,70.1,0.4,0.6667,-5.0693,1,2,2,,5.1391,5.1391,0.375,0.2,2.2,1.2,3.2,2.2,2.2,1.2,2.2,2.2,2.2,1.2,2.2,2.2,11,,,,,1,,,,
Blake Corum,LA,RB,12,Yes,No,No,4,3,No,Yes,3,1,0.75,3,1,20,35,9,-15,1,0.3333,0.75,0.25,1,1,0.3333,-5,94.4,5,6.6667,1.2341,6.6667,11.6667,3,2,4.0859,4.0859,0.25,2,5,3.5,6.5,5,5,3.5,5,5,5,3.5,5,5,15,,,,,,,,,
Pierre Strong,CLV,RB,24,No,No,No,19,10,No,Yes,10,1,0.5263,10,1,75,110,39,-35,2,0.2,0.5263,0.1053,8,7,0.7,-3.5,97.9,3.9474,7.5,1.7194,7.5,11,3.9,3,14.4935,14.4935,0.4167,7.5,17.5,12.5,22.5,17.5,17.5,12.5,17.5,17.5,17.5,12.5,17.5,17.5,13,0.2105,,,,1,0.1579,,,
Jacob Kibodi,CLV,RB,2,No,No,Yes,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Rakim Jarrett,TB,WR,31,No,No,No,16,,No,Yes,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.5,,,,,,,,
Julian Hill,MIA,TE,60,No,No,No,17,1,No,Yes,1,1,0.0588,1,1,4,7,-1,-3,,,,0.1176,1,1,1,-3,83.3,0.2353,4,-1.8652,4,7,-1,,2.2389,2.2389,0.0167,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,16,0.0588,,,,1,0.8235,,,
Tyquan Thornton,NE,WR,11,No,Yes,No,9,1,No,Yes,1,1,0.1111,1,1,6,8,3,-2,,,,0.1111,1,1,1,-2,91.7,0.6667,6,0.5009,6,8,3,,1.5102,1.5102,0.0909,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,5,0.8889,,,,,,,,
Breece Hall,NYJ,RB,97,No,No,No,65,43,No,Yes,38,0.8837,0.6615,35,0.814,218,331,95,-130,9,0.2571,0.8615,0.0769,25,18,0.4186,-3.0233,95.5,3.3538,5.0698,-0.7528,6.2286,9.4571,2.7143,9,70.5105,70.5105,0.4433,26.8,61.8,44.3,79.3,61.8,64.8,46.3,60.8,60.8,60.8,43.3,61.8,60.8,16,,3,0.0698,1,3,0.0615,1,,
Trent Sherfield,MIN,WR,12,No,No,No,3,,No,Yes,,,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.3333,,,,,,,,
Jha'Quan Jackson,TEN,WR,3,No,Yes,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,1.6815,1.6815,,,,,,,,,,,,,,,12,,,,,,,,,
Greg Dortch,ARZ,WR,52,No,No,No,34,18,No,Yes,17,0.9444,0.5294,16,0.8889,161,212,85,-52,10,0.625,0.0882,0.5882,12,10,0.5556,-2.8889,122.5,4.7353,8.9444,3.9635,10.0625,13.25,5.3125,5,28.3624,28.3624,0.3462,22.1,38.1,30.1,38.1,38.1,41.1,33.1,38.1,38.1,38.1,30.1,38.1,38.1,17,0.3235,,,1,2,,,1,
Terrell Jennings,NE,RB,2,No,No,No,1,1,No,Yes,,,1,,,,,,-6,,,1,,1,1,1,-6,39.6,,,-5.0893,,,,,2.0857,2.0857,0.5,,,,,,,,,,,,,,2,,,,,,,,,
Tip Reiman,ARZ,TE,40,No,No,No,18,3,No,Yes,3,1,0.1667,3,1,18,21,6,-3,1,0.3333,,0.0556,,,,-1,91.7,1,6,0.9862,6,7,2,1,5.9204,5.9204,0.075,1.8,4.8,3.3,4.8,6.3,4.8,3.3,4.8,4.8,4.8,3.3,6.3,4.8,17,0.0556,,,,,0.8889,,,
Javonte Williams,DEN,RB,72,Yes,No,No,50,36,No,Yes,34,0.9444,0.72,31,0.8611,182,317,83,-152,6,0.1935,0.92,,17,17,0.4722,-4.2222,87.7,3.64,5.0556,-0.449,5.871,10.2258,2.6774,7,55.0037,55.0037,0.5,18.2,49.2,33.7,64.7,49.2,52.2,36.7,49.2,49.2,49.2,33.7,49.2,49.2,17,,3,0.0833,,,0.08,,,
Tyrell Shavers,BUF,WR,2,No,No,Yes,1,1,No,Yes,1,1,1,1,1,69,71,61,-2,2,2,,1,1,1,1,-2,158.3,69,69,63.5009,69,71,61,1,1.5102,1.5102,0.5,12.9,13.9,13.4,13.9,13.9,13.9,13.4,13.9,13.9,13.9,13.4,13.9,13.9,3,,,,1,,,,,
Cam Akers,MIN,RB,32,No,No,No,19,12,No,Yes,10,0.8333,0.6316,10,0.8333,43,79,20,-41,,,0.8947,,10,6,0.5,-3.4167,121.2,2.2632,3.5833,-1.9624,4.3,7.9,2,3,21.0219,21.0219,0.375,16.3,26.3,21.3,31.3,26.3,26.3,21.3,26.3,26.3,26.3,21.3,26.3,26.3,16,0.0526,,,2,3,0.0526,,1,1
JaMycal Hasty,NE,RB,14,Yes,No,Yes,10,8,No,Yes,7,0.875,0.8,7,0.875,40,58,19,-18,5,0.7143,1,,3,2,0.25,-2.25,127.1,4,5,-0.7135,5.7143,8.2857,2.7143,1,12.4498,12.4498,0.5714,10,17,13.5,20.5,17,17,13.5,17,17,17,13.5,17,17,13,,,,1,1,,,,
Courtland Sutton,DEN,WR,123,Yes,No,No,64,5,No,Yes,5,1,0.0781,5,1,15,23,10,-8,,,,0.1562,3,3,0.6,-1.6,79.2,0.2344,3,-2.4916,3,4.6,2,2,7.9326,7.9326,0.0407,1.5,6.5,4,6.5,6.5,6.5,4,6.5,6.5,6.5,4,6.5,6.5,17,0.8438,,,,1,,,,
DJ Chark,LAC,WR,5,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,
Audric Estime,DEN,RB,15,Yes,No,No,8,5,No,Yes,5,1,0.625,5,1,27,38,15,-11,,,1,,,,,-2.2,89.2,3.375,5.4,-0.5669,5.4,7.6,3,2,9.286,9.286,0.3333,2.7,7.7,5.2,10.2,7.7,7.7,5.2,7.7,7.7,7.7,5.2,7.7,7.7,13,,,,,,,,,
Charlie Kolar,BLT,TE,12,No,No,Yes,5,2,No,Yes,2,1,0.4,2,1,39,40,4,-1,,,,,1,,,-0.5,118.8,7.8,19.5,14.4048,19.5,20,2,1,3.1897,3.1897,0.1667,3.9,5.9,4.9,5.9,6.9,5.9,4.9,5.9,5.9,5.9,4.9,6.9,5.9,13,0.2,,,,,0.8,,,
Darnell Washington,PIT,TE,44,No,Yes,No,15,5,Yes,Yes,4,0.8,0.3333,4,0.8,35,39,24,-8,3,0.75,,0.0667,3,2,0.4,-1.6,95.8,2.3333,7,1.4638,8.75,9.75,6,2,7.8632,7.8632,0.1136,3.5,7.5,5.5,7.5,9.5,7.5,5.5,7.5,7.5,7.5,5.5,9.5,7.5,17,0.1333,,,,,0.8,,,
Zach Ertz,WAS,TE,80,No,No,No,33,3,No,Yes,3,1,0.0909,3,1,10,17,3,-7,,,,0.5152,2,2,0.6667,-2.3333,80.6,0.303,3.3333,-1.5045,3.3333,5.6667,1,,4.4714,4.4714,0.0375,1,4,2.5,4,5.5,4,2.5,4,4,4,2.5,5.5,4,17,0.0909,,,,,0.3939,,,
Jonathan Taylor,IND,RB,42,No,Yes,No,24,18,No,Yes,14,0.7778,0.75,11,0.6111,83,116,54,-52,4,0.3636,0.9583,0.0417,10,9,0.5,-2.8889,49.1,3.4583,4.6111,-1.1094,7.5455,10.5455,4.9091,4,29.2118,29.2118,0.4286,8.3,19.3,13.8,24.8,19.3,19.3,13.8,19.3,19.3,19.3,13.8,19.3,19.3,14,,1,0.0556,,1,,,,
Davis Allen,LA,TE,24,Yes,No,No,10,2,No,Yes,,,0.2,,,,,,-7,,,,,2,1,0.5,-3.5,39.6,,,-4.6122,,,,,2.931,2.931,0.0833,,,,,,,,,,,,,,14,,,,,,1,,,
John Samuel Shenker,LV,TE,2,No,No,Yes,2,,No,Yes,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,0.5,,,
Troy Franklin,DEN,WR,57,Yes,No,No,45,16,No,Yes,16,1,0.3556,15,0.9375,79,126,46,-49,2,0.1333,,0.3556,14,11,0.6875,-3.0625,108.1,1.7556,4.9375,-0.0203,5.2667,8.4,3.0667,3,26.9116,26.9116,0.2807,13.9,28.9,21.4,28.9,28.9,28.9,21.4,28.9,28.9,28.9,21.4,28.9,28.9,16,0.6444,1,0.0625,1,5,,,,
Javon Baker,NE,WR,7,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,
River Cracraft,MIA,WR,13,No,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,
Tyler Goodson,IND,RB,15,No,Yes,No,11,7,No,Yes,5,0.7143,0.6364,5,0.7143,38,56,22,-22,3,0.6,0.8182,0.0909,5,4,0.5714,-3.1429,84.2,3.4545,5.4286,-0.0456,7.6,11.2,4.4,2,10.469,10.469,0.4667,3.8,8.8,6.3,11.3,8.8,8.8,6.3,8.8,8.8,8.8,6.3,8.8,8.8,16,0.0909,,,,1,,,,
Jordan Mason,SF,RB,15,No,No,No,7,2,No,Yes,1,0.5,0.2857,1,0.5,7,10,3,-3,,,1,,,,,-1.5,58.3,1,3.5,-2.4731,7,10,3,,2.6861,2.6861,0.1333,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,12,,,,,,,,,
Feleipe Franks,CAR,TE,4,Yes,No,No,3,,No,Yes,,,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,0.6667,,,
Tre Tucker,LV,WR,99,No,No,No,74,13,No,Yes,12,0.9231,0.1757,11,0.8462,50,76,22,-29,1,0.0909,,0.3378,12,11,0.8462,-2.2308,82.7,0.6757,3.8462,-1.5128,4.5455,6.9091,2,1,19.4972,19.4972,0.1313,5,16,10.5,16,16,16,10.5,16,16,16,10.5,16,16,17,0.6622,1,0.0769,,,,,,
Grant DuBose,MIA,WR,10,No,Yes,No,3,1,No,Yes,1,1,0.3333,1,1,-2,4,,-6,,,,0.3333,1,1,1,-6,79.2,-0.6667,-2,-5.7419,-2,4,,,2.0857,2.0857,0.1,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,3,0.6667,,,,,,,,
Tim Jones,JAX,WR,14,No,Yes,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,
Michael Pittman,IND,WR,64,No,Yes,No,41,12,No,Yes,11,0.9167,0.2927,11,0.9167,62,79,21,-18,,,,0.3171,12,11,0.9167,-1.5,88.2,1.5122,5.1667,-0.4954,5.6364,7.1818,1.9091,2,18.7878,18.7878,0.1875,6.2,17.2,11.7,17.2,17.2,17.2,11.7,17.2,17.2,17.2,11.7,17.2,17.2,16,0.6829,,,,1,,,,
Malik Washington,MIA,WR,59,No,No,No,33,10,No,Yes,10,1,0.303,9,0.9,58,87,34,-30,1,0.1111,,0.4848,10,10,1,-3,90.8,1.7576,5.8,0.804,6.4444,9.6667,3.7778,3,15.3527,15.3527,0.1695,5.8,14.8,10.3,14.8,14.8,14.8,10.3,14.8,14.8,14.8,10.3,14.8,14.8,14,0.5152,,,,2,,,1,
Eric Tomlinson,LAC,TE,8,No,No,No,6,2,No,Yes,2,1,0.3333,2,1,9,12,5,-3,1,0.5,,,,,,-1.5,85.4,1.5,4.5,-1.0771,4.5,6,2.5,,2.8994,2.8994,0.25,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,9,0.1667,,,,,0.8333,,,
Xavier Hutchinson,HST,WR,45,No,No,No,24,3,No,No,3,1,0.125,2,0.6667,8,17,9,-13,1,0.5,,0.375,3,2,0.6667,-4.3333,70.1,0.3333,2.6667,-1.7099,4,8.5,4.5,,4.6528,4.6528,0.0667,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,16,0.625,1,0.3333,,,,,,
Simi Fehoko,LAC,WR,21,No,No,No,14,,No,Yes,,,,,,,,,,,,,0.2143,,,,,,,,,,,,,1.349,1.349,,,,,,,,,,,,,,,8,0.7857,,,,,,,,
Ezekiel Elliott,DAL,RB,24,No,No,No,17,11,No,Yes,9,0.8182,0.6471,9,0.8182,60,92,15,-34,3,0.3333,0.7647,0.2353,6,3,0.2727,-3.0909,89.4,3.5294,5.4545,-0.3521,6.6667,10.2222,1.6667,3,16.9215,16.9215,0.4583,6,15,10.5,19.5,15,15,10.5,15,15,15,10.5,15,15,15,,,,,2,,,,
Stone Smartt,LAC,TE,14,No,No,No,7,2,No,Yes,2,1,0.2857,2,1,9,15,3,-6,,,,0.2857,2,1,0.5,-3,85.4,1.2857,4.5,-1.3652,4.5,7.5,1.5,,3.0995,3.0995,0.1429,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,14,0.2857,,,,,0.4286,,,
T.J. Hockenson,MIN,TE,42,No,No,No,20,,No,Yes,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.15,,,,,0.6,,,
Tim Patrick,DET,WR,65,No,No,No,37,3,No,Yes,3,1,0.0811,3,1,13,19,6,-6,1,0.3333,,0.1892,2,2,0.6667,-2,84.7,0.3514,4.3333,-1.2033,4.3333,6.3333,2,,5.3398,5.3398,0.0462,1.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,16,0.8108,,,,1,,,,
Josh Reynolds,JAX,WR,33,No,Yes,No,17,2,No,Yes,2,1,0.1176,1,0.5,3,7,3,-6,,,,0.2941,2,1,0.5,-3,56.3,0.1765,1.5,-3.4921,3,7,3,,3.0272,3.0272,0.0606,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,9,0.7059,1,0.5,,,,,,
Noah Gray,KC,TE,95,Yes,No,No,57,11,No,Yes,11,1,0.193,10,0.9091,63,77,16,-14,1,0.1,0.0351,0.1579,9,4,0.3636,-1.2727,90.5,1.1053,5.7273,0.3486,6.3,7.7,1.6,3,20.5217,20.5217,0.1158,6.3,16.3,11.3,16.3,21.3,16.3,11.3,16.3,16.3,16.3,11.3,21.3,16.3,17,0.1754,1,0.0909,,3,0.6316,,,
Brian Thomas,JAX,WR,82,No,Yes,No,64,17,No,Yes,17,1,0.2656,17,1,131,171,38,-40,3,0.1765,,0.2812,17,16,0.9412,-2.3529,98.8,2.0469,7.7059,2.3785,7.7059,10.0588,2.2353,7,29.2691,29.2691,0.2073,13.1,30.1,21.6,30.1,30.1,33.1,24.6,30.1,30.1,30.1,21.6,30.1,30.1,17,0.7188,,,,,,1,,
DeAndre Hopkins,KC,WR,54,No,No,No,40,2,No,Yes,2,1,0.05,2,1,5,6,2,-1,,,,0.35,2,1,0.5,-0.5,79.2,0.125,2.5,-3.6042,2.5,3,1,,2.9398,2.9398,0.037,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,16,0.65,,,,,,,,
Dalton Kincaid,BUF,TE,59,No,No,Yes,39,17,No,Yes,16,0.9412,0.4359,16,0.9412,94,132,57,-42,4,0.25,,0.4103,13,12,0.7059,-2.4706,89.7,2.4103,5.5294,-0.1172,5.875,8.25,3.5625,2,26.9701,26.9701,0.2881,9.4,25.4,17.4,25.4,33.4,25.4,17.4,25.4,25.4,25.4,17.4,33.4,25.4,13,0.1026,,,,2,0.4872,,,
Jakobi Meyers,LV,WR,95,No,No,No,74,8,No,Yes,8,1,0.1081,8,1,23,40,12,-17,,,,0.2297,8,7,0.875,-2.125,79.2,0.3108,2.875,-2.5231,2.875,5,1.5,1,14.7042,14.7042,0.0842,2.3,10.3,6.3,10.3,10.3,10.3,6.3,10.3,10.3,10.3,6.3,10.3,10.3,15,0.7703,,,,,,,,
Hunter Henry,NE,TE,76,Yes,No,Yes,44,9,No,Yes,8,0.8889,0.2045,8,0.8889,68,91,33,-25,2,0.25,0.0227,0.3864,6,5,0.5556,-2.7778,98.1,1.5455,7.5556,2.4263,8.5,11.375,4.125,3,14.2334,14.2334,0.1184,6.8,14.8,10.8,14.8,18.8,14.8,10.8,14.8,14.8,14.8,10.8,18.8,14.8,16,0.1591,,,,2,0.4318,,,
Nelson Agholor,BLT,WR,38,Yes,No,No,25,1,No,Yes,1,1,0.04,1,1,-2,2,,-4,,,,0.36,1,1,1,-4,79.2,-0.08,-2,-6.4851,-2,2,,,1.4329,1.4329,0.0263,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,14,0.64,,,,,,,,
Jahmyr Gibbs,DET,RB,74,No,No,No,50,39,No,Yes,36,0.9231,0.78,35,0.8974,301,446,58,-163,8,0.2286,0.86,0.1,26,21,0.5385,-4.1795,98.8,6.02,7.7179,2.0808,8.6,12.7429,1.6571,13,61.5997,61.5997,0.527,29.1,64.1,46.6,81.6,64.1,67.1,48.6,63.1,63.1,63.1,45.6,64.1,63.1,17,0.04,1,0.0256,,8,,,1,1
Gabe Davis,JAX,WR,38,No,Yes,Yes,18,1,No,Yes,,,0.0556,,,,,,,,,,0.3333,,,,,39.6,,,-6.0386,,,,,1.4339,1.4339,0.0263,,,,,,,,,,,,,,10,0.6667,,,,,,,,
Odell Beckham,MIA,WR,11,No,No,No,7,2,No,Yes,2,1,0.2857,2,1,4,5,1,-1,,,,0.8571,,,,-0.5,79.2,0.5714,2,-4.1042,2,2.5,0.5,,2.8343,2.8343,0.1818,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,9,0.1429,,,,,,,,
D.J. Turner,LV,WR,39,No,No,Yes,29,5,No,Yes,4,0.8,0.1724,4,0.8,37,49,12,-14,3,0.75,,0.8276,2,2,0.4,-2.8,97.5,1.2759,7.4,2.2298,9.25,12.25,3,1,7.462,7.462,0.1282,3.7,7.7,5.7,7.7,7.7,7.7,5.7,7.7,7.7,7.7,5.7,7.7,7.7,12,0.1724,,,,,,,,
Cody White,SEA,WR,5,No,No,Yes,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,
Ian Thomas,CAR,TE,10,No,No,No,6,1,No,No,1,1,0.1667,1,1,2,5,1,-3,,,,0.3333,1,,,-3,79.2,0.3333,2,-3.8652,2,5,1,,1.638,1.638,0.1,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,5,,,,,,0.6667,,,
Zay Flowers,BLT,WR,86,No,No,Yes,72,24,No,Yes,22,0.9167,0.3333,20,0.8333,168,227,47,-70,6,0.3,,0.5417,23,21,0.875,-2.9167,95.8,2.3333,7,1.9337,8.4,11.35,2.35,6,40.9957,40.9957,0.2791,16.8,36.8,26.8,36.8,36.8,39.8,29.8,36.8,36.8,36.8,26.8,36.8,36.8,17,0.4444,2,0.0833,,1,0.0139,,,
Michael Wilson,ARZ,WR,80,No,Yes,No,55,2,No,Yes,2,1,0.0364,2,1,5,10,3,-5,,,,0.3091,2,2,1,-2.5,79.2,0.0909,2.5,-2.72,2.5,5,1.5,,4.6542,4.6542,0.025,0.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,16,0.6909,,,,1,,,,
Austin Hooper,NE,TE,47,No,No,No,28,7,No,Yes,7,1,0.25,7,1,80,102,35,-22,3,0.4286,,0.0714,4,3,0.4286,-3.1429,114.3,2.8571,11.4286,5.8549,11.4286,14.5714,5,5,12.9473,12.9473,0.1489,8,15,11.5,15,18.5,15,11.5,15,15,15,11.5,18.5,15,17,0.1071,,,,,0.8214,,,
Justin Watson,KC,WR,98,Yes,No,No,56,2,No,Yes,2,1,0.0357,2,1,7,11,3,-4,,,,0.2679,2,1,0.5,-2,81.3,0.125,3.5,-1.9991,3.5,5.5,1.5,,3.7667,3.7667,0.0204,0.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,17,0.7143,,,,1,0.0179,,,
Rashee Rice,KC,WR,25,Yes,Yes,Yes,20,9,No,No,9,1,0.45,9,1,53,77,29,-24,4,0.4444,,0.5,9,8,0.8889,-2.6667,91.2,2.65,5.8889,0.7381,5.8889,8.5556,3.2222,3,14.2649,14.2649,0.36,5.3,14.3,9.8,14.3,14.3,14.3,9.8,14.3,14.3,14.3,9.8,14.3,14.3,4,0.5,,,,1,,,1,1
Ty Chandler,MIN,RB,8,Yes,No,No,6,5,No,Yes,5,1,0.8333,5,1,32,47,14,-15,,,1,,3,3,0.6,-3,93.3,5.3333,6.4,0.5928,6.4,9.4,2.8,1,8.7309,8.7309,0.625,3.2,8.2,5.7,10.7,8.2,8.2,5.7,8.2,8.2,8.2,5.7,8.2,8.2,15,,,,,1,,,,
