id,name,pos,team,catchableTargets,contestedReceptions,contestedTargets,createdCatches,drops,explosiveReceptions,explosiveTouchdowns,explosiveYards,firstReadTargets,missedTackles,success,dvoa,dyar,epa,endZoneTargets,endZoneTouchdowns,redZoneTargets,redZoneTouchdowns,airYards,catchableAirYards,droppedAirYards,prayerYards,deepReceptions,deepTargets,deepTouchdowns,deepYards,backfieldRoutes,backfieldYards,closingCoverage,emptyRouteCoverage,emptyRouteYards,inlineRoutes,inlineYards,manCoverage,manYards,offlineRoutes,offlineYards,openCoverage,outWideRoutes,outWideYards,singleHighRoutes,singleHighYards,slotRoutes,slotYards,stepSeparation,tightCoverage,twoHighRoutes,twoHighYards,wideOpen,zeroCoverageRoutes,zeroCoverageYards,zoneCoverage,zoneYards
00-0034829,Mike Gesicki,TE,CIN,30,5,11,1,0,2,0,69,31,0,24,0.1106,52.126999999999974,5.33,6,3,7,2,0,283,0,135,2,4,0,69,0,0,13,0,0,1,0,72,64,6,4,10,41,43,106,78,189,260,5,11,126,211,3,5,18,165,243
00-0033526,Samaje Perine,RB,CIN,18,0,1,0,1,0,0,0,0,5,9,-0.1468,-0.9360000000000004,-2.5920000000000005,0,0,1,0,0,-26,-4,-6,0,0,0,0,183,82,1,0,0,0,0,83,12,23,5,8,2,0,99,52,4,0,3,3,108,35,6,5,0,129,75
00-0033885,David Njoku,TE,LAC,34,6,9,4,1,2,0,43,29,3,23,-0.0251,13.423000000000009,-3.6149999999999975,4,3,9,4,0,137,4,116,0,2,0,0,0,0,5,0,0,76,101,105,55,91,69,17,41,34,156,114,89,89,6,15,135,178,4,6,1,192,238
00-0036407,Jerry Jeudy,WR,CLE,61,4,19,2,7,6,2,205,86,2,38,-0.3348,-164.38899999999995,-32.306,7,1,9,0,0,591,88,697,5,18,1,145,1,0,13,0,0,0,0,197,212,1,0,40,454,484,290,374,101,118,10,41,254,220,1,13,8,360,390
00-0035631,,,,16,1,2,0,0,1,0,27,4,1,8,-0.1491,-9.938,2.6520000000000006,0,0,1,1,0,-4,0,-3,0,0,0,0,64,14,4,0,0,52,23,88,41,138,69,9,13,0,146,22,20,0,1,2,134,84,3,7,0,199,65
00-0037267,,,,30,2,3,0,4,0,0,0,3,3,8,-0.4215,-46.19399999999998,-5.586999999999998,0,0,6,0,0,-47,4,-2,0,0,0,0,187,103,4,0,0,0,0,84,20,16,0,13,8,0,109,50,0,0,7,1,98,53,7,4,0,127,83
00-0039379,,,,10,2,3,0,0,3,0,66,12,1,6,-0.2143,-10.576,2.353,0,0,1,0,0,66,0,36,0,1,0,0,1,0,2,0,0,0,0,58,56,0,0,6,53,38,65,43,74,69,5,2,61,64,0,2,0,70,51
00-0040128,Tyler Warren,TE,IND,83,5,16,1,2,10,0,257,80,5,55,-0.0572,11.720999999999965,17.668999999999983,9,2,21,4,0,401,6,201,2,3,0,44,23,80,20,2,0,84,193,146,199,125,276,45,62,48,241,446,218,220,8,31,248,363,7,21,8,364,618
00-0036252,Michael Pittman Jr.,WR,PIT,88,4,13,4,5,5,3,113,86,5,62,0.0495,150.54100000000003,23.153999999999996,8,4,15,5,0,607,61,300,3,9,2,72,3,4,23,2,0,0,0,148,172,6,37,47,352,581,247,336,152,178,18,19,242,462,3,22,2,363,628
00-0037664,Alec Pierce,WR,IND,49,11,27,11,1,17,3,600,75,2,45,0.3258,292.8429999999999,55.777000000000015,10,5,9,4,0,830,4,763,10,25,3,416,0,0,5,2,0,0,0,145,266,0,0,22,393,911,218,574,57,92,12,43,210,429,2,20,0,303,737
