Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,ReceptionsHero
Drew Sample,CIN,TE,102,Yes,Yes,No,53,8,No,1,No,7,0.875,0.1509,6,0.75,23,33,11,-11,0.9623,0.0377,3,-1.375,77.1,0.434,2.875,-2.6136,3.8333,5.5,1.8333,1,11.7717,11.7717,0.0909,2.3,8.3,5.3,8.3,11.3,8.3,5.3,8.3,8.3,8.3,5.3,11.3,8.3,17,,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,128,Yes,No,Yes,55,12,No,3,Yes,10,0.8333,0.2182,8,0.6667,57,44,16,56,0.9818,0.0182,6,4.6667,70.5,1.0364,4.75,-2.0045,7.125,5.5,2,2,20.6426,20.6426,0.1101,11.7,19.7,15.7,19.7,23.7,19.7,15.7,19.7,19.7,19.7,15.7,23.7,19.7,17,1,1,1,1,2,0.1667,6,,,,,,,,
Ollie Gordon,MIA,RB,49,Yes,No,Yes,18,2,No,,Yes,2,1,0.1111,2,1,5,18,6,-13,,0.0556,2,-6.5,79.2,0.2778,2.5,-2.5493,2.5,9,3,,3.87,3.87,0.0444,0.5,2.5,1.5,3.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,17,,,,,,,1,2,1,0.9444,2,1,,,
Bryce Oliver,TEN,WR,6,Yes,No,No,4,,No,,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,0.75,,
Tyrone Tracy,NYG,RB,82,Yes,No,No,51,12,No,,Yes,10,0.8333,0.2353,9,0.75,101,100,28,7,,,4,0.5833,99.7,1.9804,8.4167,2.2482,11.2222,11.1111,3.1111,5,19.3233,19.3233,0.1967,10.1,19.1,14.6,23.6,19.1,22.1,17.6,19.1,19.1,19.1,14.6,19.1,19.1,15,,,,,1,0.0833,1,1,0.1111,1,2,0.1667,,,
Michael Mayer,LV,TE,88,Yes,Yes,Yes,57,19,No,4,No,16,0.8421,0.3333,14,0.7368,136,98,33,67,0.8421,0.0702,16,3.5263,93.3,2.386,7.1579,0.4598,9.7143,7,2.3571,8,29.594,29.594,0.2375,13.6,27.6,20.6,27.6,34.6,30.6,23.6,27.6,27.6,27.6,20.6,34.6,27.6,13,,2,,,,,2,1,0.0714,0.0702,3,0.1579,0.0175,1,
Ben Yurosek,MIN,TE,21,Yes,Yes,Yes,7,,No,,No,,,,,,,,,,0.7143,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,0.1429,,
Devin Culp,TB,TE,3,Yes,No,No,3,,No,,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
Jelani Woods,NYJ,TE,11,Yes,No,No,7,1,No,1,Yes,1,1,0.1429,1,1,4,2,1,2,1,,,2,83.3,0.5714,4,-2.3701,4,2,1,,1.3047,1.3047,0.125,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,4,,1,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,101,Yes,No,No,90,16,No,4,Yes,13,0.8125,0.1778,10,0.625,200,19,5,323,,0.0556,12,20.1875,127.1,2.2222,12.5,1.4916,20,1.9,0.5,9,33.1612,33.1612,0.2254,26,36,31,36,36,39,34,36,36,36,31,36,36,12,2,3,1,1,2,0.125,1,,,,1,0.0625,0.9444,6,1
Jaylen Wright,MIA,RB,15,Yes,No,Yes,10,3,No,1,Yes,3,1,0.3,2,0.6667,13,19,7,-11,,,1,-3.6667,75.7,1.3,4.3333,-1.2625,6.5,9.5,3.5,1,4.2427,4.2427,0.2308,1.3,3.3,2.3,4.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,10,,,,,1,0.3333,,,,0.9,1,0.3333,0.1,,
Austin Hooper,NE,TE,81,Yes,No,Yes,50,11,No,2,Yes,9,0.8182,0.22,9,0.8182,114,47,11,79,0.96,0.04,8,7.1818,140.2,2.28,10.3636,2.9359,12.6667,5.2222,1.2222,6,20.3627,20.3627,0.193,17.4,26.4,21.9,26.4,30.9,29.4,24.9,26.4,26.4,26.4,21.9,30.9,26.4,16,1,2,1,1,,,4,1,0.1111,,1,0.0909,,2,
Justin Watson,HST,WR,2,Yes,No,Yes,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,
Rashee Rice,KC,WR,53,Yes,No,Yes,46,22,No,,Yes,20,0.9091,0.4783,19,0.8636,180,176,24,22,,0.4565,20,1,97,3.913,8.1818,2.3452,9.4737,9.2632,1.2632,9,36.513,36.513,0.4783,24,43,33.5,43,43,46,36.5,43,43,43,33.5,43,43,8,1,,1,,,,3,4,0.2105,0.0435,14,0.6364,0.5,1,
Ty Chandler,MIN,RB,12,Yes,Yes,Yes,7,2,No,,No,1,0.5,0.2857,1,0.5,11,14,3,-7,,,2,-3.5,66.7,1.5714,5.5,-0.3445,11,14,3,1,3.1833,3.1833,0.25,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,3,,,,,,,1,,,1,2,1,,,
Britain Covey,PHI,WR,3,Yes,Yes,Yes,3,1,No,,No,1,1,0.3333,1,1,12,17,2,-5,,0.3333,1,-5,116.7,4,12,7.8404,12,17,2,1,1.6932,1.6932,0.5,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,6,,,,,,,,,,,1,1,0.6667,,
De'Von Achane,MIA,RB,106,Yes,No,No,55,18,No,,Yes,17,0.9444,0.3273,17,0.9444,96,142,19,-49,0.0182,0.2727,8,-2.7222,88.9,1.7455,5.3333,-0.5713,5.6471,8.3529,1.1176,5,29.5243,29.5243,0.1957,9.6,26.6,18.1,35.1,26.6,26.6,18.1,26.6,26.6,26.6,18.1,26.6,26.6,16,,,,,,,1,5,0.2941,0.6727,5,0.2778,0.0364,,
Mike Evans,TB,WR,42,Yes,No,Yes,38,15,No,8,Yes,11,0.7333,0.3947,6,0.4,81,3,,256,,0.0263,13,17.0667,97.5,2.1316,5.4,-4.2667,13.5,0.5,,6,36.8624,36.8624,0.4545,20.1,26.1,23.1,26.1,26.1,26.1,23.1,26.1,26.1,26.1,23.1,26.1,26.1,8,4,4,2,2,2,0.1333,5,,,,,,0.9737,4,
Xavier Smith,LA,WR,48,Yes,No,No,41,10,No,,Yes,7,0.7,0.2439,7,0.7,77,37,9,165,,0.7073,8,16.5,52.9,1.878,7.7,-1.3534,11,5.2857,1.2857,3,17.6793,17.6793,0.2439,7.7,14.7,11.2,14.7,14.7,14.7,11.2,14.7,14.7,14.7,11.2,14.7,14.7,16,,,,,,,3,,,,2,0.2,0.2927,4,1
Kenneth Walker,SEA,RB,85,Yes,No,Yes,41,10,No,,No,10,1,0.2439,8,0.8,118,132,31,-11,,,3,-1.1,115.8,2.878,11.8,5.8849,14.75,16.5,3.875,4,14.1889,14.1889,0.1408,11.8,19.8,15.8,23.8,19.8,22.8,18.8,19.8,19.8,19.8,15.8,19.8,19.8,17,,,,,2,0.2,,4,0.5,1,2,0.2,,,
Lil'Jordan Humphrey,DEN,WR,49,Yes,No,No,35,8,No,2,Yes,6,0.75,0.2286,5,0.625,42,13,4,58,0.0571,0.2286,6,7.25,76,1.2,5.25,-2.012,8.4,2.6,0.8,3,13.5679,13.5679,0.2162,4.2,9.2,6.7,9.2,9.2,9.2,6.7,9.2,9.2,9.2,6.7,9.2,9.2,10,1,1,,,,,1,,,,,,0.7143,,
Keon Coleman,BUF,WR,81,Yes,No,No,64,17,No,4,Yes,16,0.9412,0.2656,14,0.8235,169,44,8,162,0.0156,0.0469,14,9.5294,127.7,2.6406,9.9412,1.9898,12.0714,3.1429,0.5714,13,34.5145,34.5145,0.2429,22.9,36.9,29.9,36.9,36.9,39.9,32.9,36.9,36.9,36.9,29.9,36.9,36.9,13,2,2,1,1,1,0.0588,5,,,,,,0.9375,1,
Tyler Lockett,LV,WR,56,Yes,Yes,Yes,44,4,No,2,No,4,1,0.0909,3,0.75,12,6,3,18,,0.5909,3,4.5,77.1,0.2727,3,-4.2241,4,2,1,,6.2314,6.2314,0.0976,1.2,4.2,2.7,4.2,4.2,4.2,2.7,4.2,4.2,4.2,2.7,4.2,4.2,17,,1,,,,,,,,,2,0.5,0.4091,,
Jordan Addison,MIN,WR,115,Yes,Yes,Yes,99,23,No,5,No,13,0.5652,0.2323,9,0.3913,135,18,8,350,,0.2121,19,15.2174,73.6,1.3636,5.8696,-3.6025,15,2,0.8889,8,45.3236,45.3236,0.2584,19.5,28.5,24,28.5,28.5,31.5,27,28.5,28.5,28.5,24,28.5,28.5,14,3,1,1,1,3,0.1304,4,1,0.1111,,1,0.0435,0.7879,6,
Jordan Watkins,SF,WR,4,Yes,No,No,4,,No,,Yes,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,0.75,,
Tank Bigsby,PHI,RB,32,Yes,Yes,Yes,19,1,No,,No,1,1,0.0526,1,1,31,30,26,1,,,,1,118.8,1.6316,31,25.2706,31,30,26,1,1.3884,1.3884,0.0417,3.1,4.1,3.6,4.6,4.1,4.1,3.6,4.1,4.1,4.1,3.6,4.1,4.1,16,,,,,,,,2,2,1,,,,,
Treyton Welch,NO,TE,7,Yes,Yes,No,4,,No,,No,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Xavier Gipson,PHI,WR,1,Yes,Yes,Yes,1,,No,,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Cedrick Wilson,MIA,WR,28,Yes,No,Yes,23,6,No,1,Yes,3,0.5,0.2609,2,0.3333,13,7,1,77,0.0435,0.2174,3,12.8333,42.4,0.5652,2.1667,-6.9278,6.5,3.5,0.5,1,13.1957,13.1957,0.2308,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,10,2,,,,,,3,,,,,,0.7391,1,
Brashard Smith,KC,RB,32,Yes,Yes,Yes,25,14,No,,No,12,0.8571,0.56,11,0.7857,64,100,15,-36,,0.24,11,-2.5714,85.7,2.56,4.5714,-1.5589,5.8182,9.0909,1.3636,1,21.0199,21.0199,0.5385,6.4,17.4,11.9,22.9,17.4,17.4,11.9,17.4,17.4,17.4,11.9,17.4,17.4,17,,,,,,,2,,,0.4,10,0.7143,0.36,,
Sean Tucker,TB,RB,31,Yes,No,Yes,14,3,No,,Yes,3,1,0.2143,2,0.6667,-2,11,1,-18,,0.0714,1,-6,70.1,-0.1429,-0.6667,-5.8297,-1,5.5,0.5,,4.4884,4.4884,0.1154,-0.2,1.8,0.8,2.8,1.8,1.8,0.8,1.8,1.8,1.8,0.8,1.8,1.8,17,,,,,1,0.3333,1,,,0.9286,1,0.3333,,,
John FitzPatrick,GB,TE,67,Yes,Yes,Yes,44,9,Yes,,Yes,8,0.8889,0.2045,6,0.6667,42,33,12,18,0.8864,0.0227,2,2,114.1,0.9545,4.6667,-1.2248,7,5.5,2,4,21.0252,21.0252,0.1667,10.2,16.2,13.2,16.2,19.2,16.2,13.2,16.2,16.2,16.2,13.2,19.2,16.2,15,1,,1,1,2,0.2222,4,1,0.1667,0.0909,,,,,
Tyler Goodson,IND,RB,4,Yes,No,Yes,4,1,No,,Yes,1,1,0.25,1,1,,1,1,-1,,,1,-1,79.2,,,-5.819,,1,1,,1.5446,1.5446,0.25,,1,0.5,1.5,1,1,0.5,1,1,1,0.5,1,1,11,,,,,,,,,,1,,,,,
Jordan Mason,MIN,RB,78,Yes,Yes,Yes,30,5,No,,No,5,1,0.1667,4,0.8,27,38,9,-14,,,2,-2.8,89.2,0.9,5.4,-0.517,6.75,9.5,2.25,1,7.3513,7.3513,0.0847,2.7,6.7,4.7,8.7,6.7,6.7,4.7,6.7,6.7,6.7,4.7,6.7,6.7,16,,,,,1,0.2,,1,0.25,1,2,0.4,,,
Tre Tucker,LV,WR,151,Yes,Yes,Yes,141,40,No,6,No,29,0.725,0.2837,24,0.6,228,140,46,376,0.0355,0.1631,35,9.4,73.8,1.617,5.7,-2.254,9.5,5.8333,1.9167,12,68.7347,68.7347,0.3125,28.8,52.8,40.8,52.8,52.8,55.8,43.8,52.8,52.8,52.8,40.8,52.8,52.8,17,1,2,1,,1,0.025,4,5,0.2083,,7,0.175,0.8014,7,1
Michael Pittman,IND,WR,162,Yes,No,Yes,145,34,No,5,Yes,31,0.9118,0.2345,27,0.7941,263,136,59,178,0.0483,0.2483,31,5.2353,106.3,1.8138,7.7353,0.907,9.7407,5.037,2.1852,16,56.9217,56.9217,0.2537,38.3,65.3,51.8,65.3,65.3,68.3,54.8,65.3,65.3,65.3,51.8,65.3,65.3,17,2,2,2,1,1,0.0294,5,5,0.1852,0.0138,4,0.1176,0.6897,1,
Malik Washington,MIA,WR,80,Yes,No,Yes,71,19,No,,Yes,18,0.9474,0.2676,17,0.8947,99,132,44,34,0.0141,0.3803,17,1.7895,105.9,1.3944,5.2105,-0.8088,5.8235,7.7647,2.5882,6,39.6918,39.6918,0.2714,15.9,32.9,24.4,32.9,32.9,32.9,24.4,32.9,32.9,32.9,24.4,32.9,32.9,17,1,,1,1,,,4,7,0.4118,0.0423,11,0.5789,0.5634,2,
Jonathan Taylor,IND,RB,173,Yes,No,Yes,104,20,No,1,Yes,19,0.95,0.1923,18,0.9,172,187,39,-14,,0.0096,6,-0.7,102.5,1.6538,8.6,2.6864,9.5556,10.3889,2.1667,7,30.544,30.544,0.1351,17.2,35.2,26.2,44.2,35.2,38.2,29.2,35.2,35.2,35.2,26.2,35.2,35.2,17,,1,,,1,0.05,,3,0.1667,0.9904,4,0.2,,,
Troy Franklin,DEN,WR,125,Yes,No,No,110,41,No,3,Yes,36,0.878,0.3727,34,0.8293,353,121,60,433,,0.4273,35,10.561,118.8,3.2091,8.6098,0.3563,10.3824,3.5588,1.7647,19,77.9464,77.9464,0.3905,47.3,81.3,64.3,81.3,81.3,84.3,67.3,81.3,81.3,81.3,64.3,81.3,81.3,17,3,3,2,1,2,0.0488,8,6,0.1765,,17,0.4146,0.5727,6,1
Laquon Treadwell,IND,WR,6,Yes,No,Yes,5,,No,,Yes,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,0.6,,
Zach Ertz,WAS,TE,74,Yes,No,Yes,60,16,Yes,,Yes,12,0.75,0.2667,11,0.6875,155,74,15,132,0.6833,0.15,13,8.25,94.5,2.5833,9.6875,1.6743,14.0909,6.7273,1.3636,8,27.3322,27.3322,0.2857,21.5,32.5,27,32.5,38,35.5,30,32.5,32.5,32.5,27,38,32.5,13,,,1,,1,0.0625,1,2,0.1818,0.0167,,,0.15,,
Darnell Washington,PIT,TE,119,Yes,No,No,62,18,No,2,Yes,15,0.8333,0.2903,10,0.5556,91,61,9,81,0.7903,0.1129,12,4.5,64.8,1.4677,5.0556,-1.8278,9.1,6.1,0.9,6,32.0277,32.0277,0.1895,14.1,24.1,19.1,24.1,29.1,24.1,18.1,23.1,23.1,23.1,18.1,29.1,23.1,16,1,1,1,1,4,0.2222,4,5,0.5,,2,0.1111,0.0968,,
Audric Estime,NO,RB,19,Yes,Yes,No,13,1,No,,No,1,1,0.0769,1,1,8,6,1,2,,,1,2,100,0.6154,8,1.6053,8,6,1,,1.4493,1.4493,0.0556,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,6,,,,,,,,,,1,,,,,
Charlie Kolar,BLT,TE,72,Yes,No,No,52,10,No,1,Yes,9,0.9,0.1923,9,0.9,123,49,10,97,0.9615,0.0192,6,9.7,157.5,2.3654,12.3,4.1073,13.6667,5.4444,1.1111,8,17.3612,17.3612,0.1786,24.3,33.3,28.8,33.3,37.8,36.3,31.8,33.3,33.3,33.3,28.8,37.8,33.3,17,1,1,2,1,,,2,1,0.1111,,,,0.0192,1,
Davis Allen,LA,TE,145,Yes,No,No,90,25,No,4,Yes,22,0.88,0.2778,17,0.68,129,118,26,90,0.7,0.1222,19,3.6,119.8,1.4333,5.16,-1.4611,7.5882,6.9412,1.5294,9,50.186,50.186,0.188,30.9,47.9,39.4,47.9,56.4,50.9,42.4,47.9,47.9,47.9,39.4,56.4,47.9,17,3,1,3,2,2,0.08,7,1,0.0588,0.0222,2,0.08,0.1556,1,
Greg Dortch,ARZ,WR,37,Yes,No,No,36,8,No,,Yes,8,1,0.2222,8,1,37,59,12,-22,,0.8611,4,-2.75,85.9,1.0278,4.625,-0.2814,4.625,7.375,1.5,3,16.5388,16.5388,0.2353,3.7,11.7,7.7,11.7,11.7,11.7,7.7,11.7,11.7,11.7,7.7,11.7,11.7,12,,,,,,,1,2,0.25,0.0278,4,0.5,0.1111,,
Terrell Jennings,NE,RB,4,Yes,Yes,No,1,1,No,,No,1,1,1,1,1,9,7,3,2,,,,2,104.2,9,9,2.6053,9,7,3,,1.3529,1.3529,0.25,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,6,,,,,,,,,,1,,,,,
Tip Reiman,ARZ,TE,30,Yes,No,No,19,2,No,,Yes,1,0.5,0.1053,1,0.5,2,3,3,8,0.7368,0.0526,1,4,56.3,0.1053,1,-5.0805,2,3,3,,3.0101,3.0101,0.0952,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,4,,,,,,,,1,1,0.0526,,,0.1579,,
Javonte Williams,DAL,RB,130,Yes,No,Yes,68,13,No,1,Yes,12,0.9231,0.1912,11,0.8462,33,47,11,-18,,,3,-1.3846,104.8,0.4853,2.5385,-3.4222,3,4.2727,1,5,21.3996,21.3996,0.114,9.3,20.3,14.8,25.8,20.3,20.3,14.8,20.3,20.3,20.3,14.8,20.3,20.3,16,,,1,,,,3,3,0.2727,1,2,0.1538,,,
Courtland Sutton,DEN,WR,168,Yes,No,No,122,17,No,5,Yes,15,0.8824,0.1393,9,0.5294,169,41,9,278,,0.1148,14,16.3529,82.7,1.3852,9.9412,0.3099,18.7778,4.5556,1,8,36.2745,36.2745,0.125,22.9,31.9,27.4,31.9,31.9,34.9,30.4,31.9,31.9,31.9,27.4,31.9,31.9,17,3,,1,,1,0.0588,4,,,,,,0.8852,5,1
Ian Thomas,LV,TE,72,Yes,Yes,Yes,22,3,No,,No,3,1,0.1364,3,1,37,18,6,19,0.9545,,3,6.3333,118.1,1.6818,12.3333,4.5895,12.3333,6,2,1,4.2869,4.2869,0.0508,3.7,6.7,5.2,6.7,8.2,6.7,5.2,6.7,6.7,6.7,5.2,8.2,6.7,15,,,,,,,,,,0.0455,,,,,
Tyrell Shavers,BUF,WR,68,Yes,No,No,55,7,No,,Yes,6,0.8571,0.1273,6,0.8571,94,54,10,57,0.1455,0.2545,6,8.1429,118.8,1.7091,13.4286,5.755,15.6667,9,1.6667,4,11.185,11.185,0.1296,9.4,15.4,12.4,15.4,15.4,15.4,12.4,15.4,15.4,15.4,12.4,15.4,15.4,17,,,,,,,,,,,,,0.6,,
Zay Flowers,BLT,WR,113,Yes,No,No,110,34,No,2,Yes,33,0.9706,0.3091,30,0.8824,557,229,37,412,,0.3182,31,12.1176,138.4,5.0636,16.3824,7.2527,18.5667,7.6333,1.2333,20,59.8772,59.8772,0.3778,67.7,97.7,82.7,97.7,97.7,100.7,85.7,97.7,97.7,97.7,82.7,97.7,97.7,17,,1,2,,2,0.0588,1,7,0.2333,,8,0.2353,0.6818,7,1
Jakobie Keeney-James,GB,WR,6,Yes,Yes,Yes,6,1,No,1,No,1,1,0.1667,1,1,8,,,8,,,1,8,100,1.3333,8,0.4894,8,,,,1.3809,1.3809,0.25,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1,,1,,,,,,,,,,,1,,
Michael Wilson,ARZ,WR,133,Yes,No,No,124,14,No,3,Yes,11,0.7857,0.1129,9,0.6429,207,79,26,264,,0.3468,12,18.8571,131.5,1.6694,14.7857,4.3001,23,8.7778,2.8889,8,29.4743,29.4743,0.1414,26.7,35.7,31.2,35.7,35.7,38.7,34.2,35.7,35.7,35.7,31.2,35.7,35.7,17,,2,1,,1,0.0714,,2,0.2222,,,,0.6532,5,
Hunter Henry,NE,TE,130,Yes,No,Yes,78,27,No,2,Yes,26,0.963,0.3462,24,0.8889,347,230,52,165,0.7436,0.1282,19,6.1111,158.3,4.4487,12.8519,5.5367,14.4583,9.5833,2.1667,17,58.2633,58.2633,0.2755,64.7,88.7,76.7,88.7,100.7,91.7,79.7,88.7,88.7,88.7,76.7,100.7,88.7,17,3,1,5,2,1,0.037,9,1,0.0417,0.0385,4,0.1481,0.0897,2,
Dalton Kincaid,BUF,TE,36,Yes,No,No,32,14,No,,Yes,13,0.9286,0.4375,13,0.9286,193,127,34,76,0.6875,0.125,13,5.4286,118.8,6.0312,13.7857,6.2359,14.8462,9.7692,2.6154,9,22.1361,22.1361,0.4828,19.3,32.3,25.8,32.3,38.8,35.3,28.8,32.3,32.3,32.3,25.8,38.8,32.3,12,,,,,,,2,,,,4,0.2857,0.1875,,
Jakobi Meyers,JAX,WR,128,Yes,No,No,123,35,No,7,Yes,30,0.8571,0.2846,24,0.6857,345,120,37,384,,0.3902,26,10.9714,88.4,2.8049,9.8571,1.2927,14.375,5,1.5417,14,54.8783,54.8783,0.3153,34.5,58.5,46.5,58.5,58.5,61.5,49.5,58.5,58.5,58.5,46.5,58.5,58.5,16,1,4,,,3,0.0857,1,6,0.25,,,,0.6098,5,
Gabe Davis,BUF,WR,51,Yes,No,No,43,8,No,3,Yes,7,0.875,0.186,5,0.625,55,9,4,72,0.0698,0.1163,6,9,122.4,1.2791,6.875,-0.8678,11,1.8,0.8,4,19.0736,19.0736,0.1818,11.5,16.5,14,16.5,16.5,16.5,14,16.5,16.5,16.5,14,16.5,16.5,6,2,2,1,1,1,0.125,4,,,,,,0.814,,
Zavier Scott,MIN,RB,16,Yes,Yes,Yes,9,3,No,,No,3,1,0.3333,3,1,18,23,6,-5,,,2,-1.6667,91.7,2,6,0.1582,6,7.6667,2,2,4.6968,4.6968,0.2727,1.8,4.8,3.3,6.3,4.8,4.8,3.3,4.8,4.8,4.8,3.3,4.8,4.8,11,,,,,,,1,,,1,1,0.3333,,,
Jahmyr Gibbs,DET,RB,100,Yes,Yes,Yes,65,17,No,,Yes,14,0.8235,0.2615,13,0.7647,118,139,18,-15,,0.0769,9,-0.8824,114.3,1.8154,6.9412,1.079,9.0769,10.6923,1.3846,6,26.7619,26.7619,0.1977,17.8,30.8,24.3,37.3,30.8,33.8,27.3,30.8,30.8,30.8,24.3,30.8,30.8,17,,,1,,1,0.0588,1,7,0.5385,0.8923,4,0.2353,0.0308,,
Cody White,SEA,WR,10,Yes,No,Yes,10,1,No,1,Yes,1,1,0.1,1,1,60,43,39,17,,0.3,1,17,158.3,6,60,48.3347,60,43,39,1,1.9275,1.9275,0.125,12,13,12.5,13,13,13,12.5,13,13,13,12.5,13,13,9,,1,1,,,,,1,1,,,,0.7,,
Tay Martin,WAS,WR,7,Yes,Yes,Yes,5,1,No,,No,1,1,0.2,1,1,14,1,1,13,,,1,13,118.8,2.8,14,5.0855,14,1,1,1,1.275,1.275,0.25,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,3,,,,,,,,,,,,,1,,
Tim Patrick,JAX,WR,43,Yes,No,No,31,11,No,1,Yes,9,0.8182,0.3548,7,0.6364,60,37,8,103,,0.3871,8,9.3636,108.1,1.9355,5.4545,-2.8502,8.5714,5.2857,1.1429,4,24.444,24.444,0.3235,12,19,15.5,19,19,19,15.5,19,19,19,15.5,19,19,16,3,,1,1,2,0.1818,5,1,0.1429,,1,0.0909,0.6129,1,
Brian Thomas,JAX,WR,110,Yes,No,No,102,22,No,8,Yes,18,0.8182,0.2157,10,0.4545,179,58,7,356,,0.1275,18,16.1818,104.2,1.7549,8.1364,-1.7754,17.9,5.8,0.7,10,43.1445,43.1445,0.2391,29.9,39.9,34.9,39.9,39.9,42.9,37.9,39.9,39.9,39.9,34.9,39.9,39.9,14,4,1,2,1,1,0.0455,4,1,0.1,,,,0.8725,6,
DeAndre Hopkins,BLT,WR,25,Yes,No,No,20,3,No,2,Yes,3,1,0.15,3,1,57,29,33,28,,0.4,3,9.3333,118.8,2.85,19,10.8589,19,9.6667,11,2,4.393,4.393,0.1364,5.7,8.7,7.2,8.7,8.7,8.7,7.2,8.7,8.7,8.7,7.2,8.7,8.7,17,,2,,,,,,,,,,,0.6,,
Josh Reynolds,NYJ,WR,27,Yes,Yes,Yes,23,1,No,,No,,,0.0435,,,,,,43,,0.2174,1,43,,,,-15,,,,,3.9789,3.9789,0.0667,,,,,,,,,,,,,,5,1,,,,,,,,,,,,0.7826,1,
Noah Gray,KC,TE,113,Yes,Yes,Yes,57,12,No,2,No,10,0.8333,0.2105,10,0.8333,49,42,17,30,0.7368,0.1228,10,2.5,83.7,0.8596,4.0833,-2.6369,4.9,4.2,1.7,4,22.0812,22.0812,0.1429,4.9,14.9,9.9,14.9,19.9,14.9,9.9,14.9,14.9,14.9,9.9,19.9,14.9,16,1,2,,,,,2,1,0.1,0.0526,3,0.25,0.0877,,
Chimere Dike,TEN,WR,90,Yes,No,No,73,23,No,1,Yes,16,0.6957,0.3151,16,0.6957,106,95,13,112,,0.6301,18,4.8696,93.8,1.4521,4.6087,-2.2016,6.625,5.9375,0.8125,4,41.5502,41.5502,0.3194,16.6,32.6,24.6,32.6,32.6,35.6,27.6,32.6,32.6,32.6,24.6,32.6,32.6,17,,1,1,,,,3,1,0.0625,0.0137,14,0.6087,0.3562,3,
Simi Fehoko,ARZ,WR,6,Yes,No,No,4,,No,,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,0.5,,
