Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,ReceptionsHero
Matthew Golden,GB,WR,69,Yes,Yes,Yes,59,10,No,1,No,7,0.7,0.1695,7,0.7,36,21,,113,0.0508,0.3898,9,11.3,75.4,0.6102,3.6,-4.66,5.1429,3,,2,15.7076,15.7076,0.1754,3.6,10.6,7.1,10.6,10.6,10.6,7.1,10.6,10.6,10.6,7.1,10.6,10.6,14,,,,,,,1,2,0.2857,,4,0.4,0.5593,3,
Josh Jacobs,GB,RB,103,Yes,Yes,No,45,9,No,1,No,7,0.7778,0.2,7,0.7778,47,44,17,-4,,,3,-0.4444,88.4,1.0444,5.2222,-0.8452,6.7143,6.2857,2.4286,1,12.9976,12.9976,0.1011,4.7,11.7,8.2,15.2,11.7,11.7,8.2,11.7,11.7,11.7,8.2,11.7,11.7,15,,1,,,,,,2,0.2857,1,1,0.1111,,,
Cade Stover,HST,TE,39,Yes,No,Yes,30,10,No,1,Yes,10,1,0.3333,8,0.8,59,46,18,13,0.9,0.0333,9,1.3,91.3,1.9667,5.9,0.262,7.375,5.75,2.25,3,15.8096,15.8096,0.2941,5.9,13.9,9.9,13.9,17.9,13.9,9.9,13.9,13.9,13.9,9.9,17.9,13.9,9,,1,,,1,0.1,3,,,0.0333,,,0.0333,,
Stephen Carlson,CHI,TE,3,Yes,No,No,1,,No,,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,114,Yes,No,No,105,33,No,2,Yes,24,0.7273,0.3143,24,0.7273,438,137,41,499,,0.1238,28,15.1212,129.1,4.1714,13.2727,3.7371,18.25,5.7083,1.7083,21,66.7245,66.7245,0.3367,68.12,92.12,80.12,92.12,92.12,95.12,83.12,92.12,92.12,92.12,80.12,92.2,92.2,16,2,2,4,2,,,2,3,0.125,,1,0.0303,0.8762,6,
Tee Higgins,CIN,WR,88,Yes,Yes,No,71,8,No,3,No,6,0.75,0.1127,4,0.5,87,14,5,159,,0.0563,8,19.875,128.6,1.2254,10.875,0.3614,21.75,3.5,1.25,3,12.7473,12.7473,0.1,14.7,18.7,16.7,18.7,18.7,18.7,16.7,18.7,18.7,18.7,16.7,18.7,18.7,15,,,1,,,,,,,0.0141,,,0.9296,4,
Scott Miller,PIT,WR,22,Yes,No,No,18,4,No,,Yes,4,1,0.2222,4,1,19,25,8,-6,,0.1667,4,-1.5,86.5,1.0556,4.75,-1.0845,4.75,6.25,2,,6.0589,6.0589,0.2105,1.9,5.9,3.9,5.9,5.9,5.9,3.9,5.9,5.9,5.9,3.9,5.9,5.9,13,,,,,,,1,1,0.25,,3,0.75,0.8333,,
Rashod Bateman,BLT,WR,74,Yes,Yes,No,66,9,No,,No,8,0.8889,0.1364,7,0.7778,71,10,,94,,0.0455,4,10.4444,139.1,1.0758,7.8889,-0.4872,10.1429,1.4286,,5,18.691,18.691,0.1475,19.1,26.1,22.6,26.1,26.1,26.1,22.6,26.1,26.1,26.1,22.6,26.1,26.1,13,3,,2,2,1,0.1111,5,,,,,,0.9545,,
Grant Calcaterra,PHI,TE,61,Yes,Yes,Yes,26,5,No,1,No,4,0.8,0.1923,3,0.6,21,12,1,31,0.9615,0.0385,5,6.2,69.6,0.8077,4.2,-2.9766,7,4,0.3333,1,7.1445,7.1445,0.098,2.1,5.1,3.6,5.1,6.6,5.1,3.6,5.1,5.1,5.1,3.6,6.6,5.1,15,,,,,,,1,,,,,,,,
Pharaoh Brown,ARZ,TE,17,Yes,No,No,11,2,No,,Yes,2,1,0.1818,2,1,1,2,,-1,0.9091,,2,-0.5,79.2,0.0909,0.5,-4.8133,0.5,1,,,5.6542,5.6542,0.1538,0.1,2.1,1.1,2.1,3.1,2.1,1.1,2.1,2.1,2.1,1.1,3.1,2.1,7,,,,,,,1,,,0.0909,,,,,
