,I Did It Myself Score,,,,,,,,,,,,,,,,,,,,
,Name,Team,RTE,TGT,REC,YPRR,MTF/REC,DESIGN,CC,CC %,HERO,YPTOE,WIDE RTE %,SLOT RTE %,MOTION RTE,MOTION %,MOTION % RK,DESIGN %,DESIGN % RK,IDIM Score,IDIM Rank
,Wan'Dale Robinson,NYG,523,132,92,1.94,0.13,22,8,38.1,0,0.1,31.4,67.5,217,41.49,2,16.7,97,49.5,47
,Quentin Johnston,LAC,470,79,51,1.56,0.25,7,5,38.5,2,0.7,85.1,14.9,240,51.06,31,8.9,69,50,48
,Calvin Austin,PIT,282,54,31,1.32,0.13,8,9,75,1,-1.3,48.6,50.7,128,45.39,7,14.8,94,50.5,49
,DeMario Douglas,NE,215,44,31,2.08,0.16,6,3,75,2,2.4,17.7,80.5,100,46.51,14,13.6,90,52,50
,Marquez Valdes-Scantling,"SF, PIT",214,29,14,0.56,,3,5,55.6,0,-4.5,72.9,27.1,105,49.07,25,10.3,79,52,50
,Brian Thomas,JAX,436,88,48,1.62,0.08,1,5,27.8,1,-1,75.5,24.5,269,61.7,84,1.1,21,52.5,52
,Rome Odunze,CHI,361,88,44,1.83,0.09,2,7,35,0,-1.6,61.2,38.5,215,59.56,75,2.3,32,53.5,53
,Josh Palmer,BUF,220,37,22,1.38,,0,4,66.7,0,-0.1,79.5,19.5,164,74.55,107,0,1,54,54
,Chimere Dike,TEN,376,72,48,1.13,0.06,23,4,80,1,-1.5,27.7,71.8,163,43.35,4,31.9,105,54.5,55
,Jauan Jennings,SF,427,86,55,1.51,0.09,0,17,70.8,0,-0.6,70,30,319,74.71,108,0,1,54.5,55
,Isaiah Bond,CLV,325,41,18,1.04,0.06,4,4,44.4,0,-1.4,55.4,44.3,169,52,36,9.8,77,56.5,57
,Drake London,ATL,352,108,68,2.61,0.04,1,13,48.1,5,0.2,67.3,32.4,228,64.77,95,0.9,19,57,58
