player,pos,team,age,posRank_fpg,ceilingRank,floor,p25,median,p75,ceiling
Ty Johnson,RB,BUF,28,RB50 · 6.0,RB53,3.1,4.8,6.0,6.8,7.8
John Metchie III,WR,NYJ,25,WR97 · 4.4,WR97,1.1,3.1,4.4,5.7,7.7
Gabe Davis,WR,BUF,27,WR98 · 4.3,WR98,1.0,3.0,4.3,5.6,7.6
Jack Bech,WR,LV,23,WR99 · 4.3,WR99,1.0,3.0,4.3,5.6,7.6
Jaydon Blue,RB,DAL,22,RB54 · 5.2,RB54,2.8,4.2,5.2,6.2,7.6
Tory Horton,WR,SEA,23,WR100 · 3.9,WR100,0.6,2.6,3.9,5.2,7.2
De'Zhaun Stribling,,,,WR · SF · Age 22,WR101 · 3.9 FP/G,0.6,2.6,3.9,5.2,7.2
Darnell Washington,TE,PIT,24,TE34 · 4.7,TE34,2.2,3.7,4.7,5.7,7.2
Noah Gray,TE,KC,26,TE35 · 4.7,TE35,2.2,3.7,4.7,5.7,7.2
Jahan Dotson,WR,ATL,25,WR102 · 3.8,WR102,0.5,2.5,3.8,5.1,7.1
Kalif Raymond,WR,CHI,31,WR103 · 3.8,WR103,0.5,2.5,3.8,5.1,7.1
Ted Hurst,,,,WR · TB · Age 22,WR104 · 3.8 FP/G,0.5,2.5,3.8,5.1,7.1
Zach Ertz,TE,WAS,35,TE36 · 4.6,TE36,2.1,3.6,4.6,5.6,7.1
Jalen Tolbert,WR,MIA,27,WR105 · 3.7,WR105,0.4,2.4,3.7,5.0,7.0
Jaylin Noel,WR,HOU,23,WR106 · 3.7,WR106,0.4,2.4,3.7,5.0,7.0
Greg Dortch,WR,ARI,27,WR107 · 3.6,WR107,0.3,2.3,3.6,4.9,6.9
Cole Kmet,TE,CHI,26,TE37 · 4.4,TE37,1.9,3.4,4.4,5.4,6.9
Devaughn Vele,WR,NO,28,WR108 · 3.5,WR108,0.2,2.2,3.5,4.8,6.8
Elijah Sarratt,,,,WR · BAL · Age 22,WR109 · 3.5 FP/G,0.2,2.2,3.5,4.8,6.8
Cedric Tillman,WR,CLE,25,WR110 · 3.4,WR110,0.1,2.1,3.4,4.7,6.7
KaVontae Turpin,WR,DAL,29,WR111 · 3.4,WR111,0.1,2.1,3.4,4.7,6.7
Sterling Shepard,WR,TB,33,WR112 · 3.3,WR112,0.0,2.0,3.3,4.6,6.6
Theo Johnson,TE,NYG,25,TE38 · 4.1,TE38,1.6,3.1,4.1,5.1,6.6
Tommy Tremble,TE,CAR,25,TE39 · 4.1,TE39,1.6,3.1,4.1,5.1,6.6
Darius Slayton,WR,NYG,29,WR113 · 3.2,WR113,0.0,1.9,3.2,4.5,6.5
Zachariah Branch,,,,WR · ATL · Age 22,WR114 · 3.2 FP/G,0.0,1.9,3.2,4.5,6.5
Devin Neal,RB,NO,22,RB55 · 4.1,RB55,1.7,3.1,4.1,5.1,6.5
Dawson Knox,TE,BUF,29,TE40 · 3.9,TE40,1.4,2.9,3.9,4.9,6.4
JuJu Smith-Schuster,WR,KC,29,WR115 · 3.0,WR115,0.0,1.7,3.0,4.3,6.3
Kyle Williams,WR,NE,23,WR116 · 3.0,WR116,0.0,1.7,3.0,4.3,6.3
Mason Taylor,TE,NYJ,21,TE41 · 3.8,TE41,1.3,2.8,3.8,4.8,6.3
Kendrick Bourne,WR,SF,30,WR117 · 2.9,WR117,0.0,1.6,2.9,4.2,6.2
Mike Washington Jr.,,,,RB · LV · Age 22,RB58 · 3.8 FP/G,1.4,2.8,3.8,4.8,6.2
Ray Davis,RB,BUF,26,RB56 · 3.9,RB57,1.4,2.9,3.9,4.8,6.1
Elic Ayomanor,WR,TEN,22,WR118 · 2.8,WR118,0.0,1.5,2.8,4.1,6.1
Isaiah Bond,WR,CLE,21,WR119 · 2.8,WR119,0.0,1.5,2.8,4.1,6.1
Mack Hollins,WR,NE,32,WR120 · 2.8,WR120,0.0,1.5,2.8,4.1,6.1
Emanuel Wilson,RB,SEA,26,RB57 · 3.8,RB58,1.3,2.8,3.8,4.7,6.0
Tank Bigsby,RB,PHI,23,RB59 · 3.6,RB59,1.2,2.6,3.6,4.6,6.0
Isaiah Hodgins,WR,NYG,27,WR121 · 2.6,WR121,0.0,1.3,2.6,3.9,5.9
Brandin Cooks,WR,BUF,32,WR122 · 2.5,WR122,0.0,1.2,2.5,3.8,5.8
Tez Johnson,WR,TB,23,WR123 · 2.5,WR123,0.0,1.2,2.5,3.8,5.8
Xavier Hutchinson,WR,HOU,25,WR124 · 2.5,WR124,0.0,1.2,2.5,3.8,5.8
Emmett Johnson,,,,RB · KC · Age 22,RB60 · 3.4 FP/G,1.0,2.4,3.4,4.4,5.8
Dont'e Thornton Jr.,WR,LV,23,WR125 · 2.4,WR125,0.0,1.1,2.4,3.7,5.7
David Njoku,TE,LAC,29,TE42 · 3.2,TE42,0.7,2.2,3.2,4.2,5.7
Jake Tonges,TE,SF,26,TE43 · 3.2,TE43,0.7,2.2,3.2,4.2,5.7
Chimere Dike,WR,TEN,24,WR126 · 2.3,WR126,0.0,1.0,2.3,3.6,5.6
Jonnu Smith,TE,PIT,30,TE44 · 2.9,TE44,0.4,1.9,2.9,3.9,5.4
Ollie Gordon,RB,MIA,22,RB62 · 2.9,RB61,0.6,1.9,2.9,3.9,5.3
Elijah Higgins,TE,ARI,25,TE45 · 2.8,TE45,0.3,1.8,2.8,3.8,5.3
Marquez Valdes-Scantling,WR,PIT,31,WR127 · 1.8,WR127,0.0,0.5,1.8,3.1,5.1
