,2025 WAR by FP/G and Total FP,,,,,,,,,,,,,,2025 Surplus WAR (War Over Expected),,,,,,,,,FP/G,Total FP,,,FP/G,Total FP,,Expected War By Round,
,Player,Position,FP/G,Total FP,GP,Rep. FP/G,Rep. FP,SD FP/G > Repl.,SD FP > Repl.,Weekly FP/G WPA,Weekly FP WPA,Total FP/G WPA (WAR),Total FP WPA (WAR),,Player,ADP,Actual War,ADP Round,ADP Slope,Expected WAR,Surplus WAR,,SD_Team,22,484,,QB,18,282.9,,Slope,Intercept
,Jalen Hurts,QB,19.1,305.1,16,18.00,282.90,1.10,22.20,0.01,0.01,0.24,0.22,,A.J. Brown,20.3,0.91,2,3.01,0.86,0.05,,,,,,,,,,,
,Jared Goff,QB,17.9,305.1,17,18.00,282.90,0.00,22.20,0.00,0.01,0.00,0.22,,New Orleans Saints,282,0,24,5.64,-0.05,0.05,,,,,,,,,,,
,Woody Marks,RB,9.4,151.1,16,9.10,128.90,0.30,22.20,0.00,0.01,0.07,0.22,,Joe Flacco,278.8,0.00,24,5.63,-0.04,0.04,,,,,,,,,,,
,Rashee Rice,WR,18.8,150.1,8,8.90,127.90,9.90,22.20,0.12,0.01,2.12,0.22,,Darius Slayton,278,0.00,24,5.63,-0.04,0.04,,,,,,,,,,,
,AJ Barner,TE,8.7,147.3,17,9.80,127.80,0.00,19.50,0.00,0.01,0.00,0.19,,Trevor Etienne,276.8,0.00,24,5.62,-0.04,0.04,,,,,,,,,,,
,Rome Odunze,WR,12.2,146.1,12,8.90,127.90,3.30,18.20,0.04,0.01,0.72,0.18,,Josh Allen,20.2,0.91,2,3.01,0.86,0.04,,,,,,,,,,,
,Kyle Monangai,RB,8.6,146.7,17,9.10,128.90,0.00,17.80,0.00,0.01,0.00,0.18,,Chris Rodriguez Jr.,274,0.00,23,5.61,-0.04,0.04,,,,,,,,,,,
,Justin Herbert,QB,18.7,299.9,16,18.00,282.90,0.70,17.00,0.01,0.01,0.15,0.17,,Brashard Smith,273.8,0.00,23,5.61,-0.04,0.04,,,,,,,,,,,
,Kareem Hunt,RB,8.6,145.4,17,9.10,128.90,0.00,16.50,0.00,0.01,0.00,0.16,,Andrei Iosivas,273.7,0.00,23,5.61,-0.04,0.04,,,,,,,,,,,
,Rachaad White,RB,8.4,143.0,17,9.10,128.90,0.00,14.10,0.00,0.01,0.00,0.14,,Graham Gano,269.7,0,23,5.60,-0.03,0.03,,,,,,,,,,,
