team,week,opp,isHome,isBye,isDome,teamImplied,oppImplied,total,spread
BAL,2,NO,true,false,false,27.5,19.5,47,-7.5
BAL,3,DAL,false,false,false,26.5,26,52.5,-0.5
BAL,4,TEN,true,false,false,28,19,47,-9.5
BAL,5,ATL,false,false,true,26.5,21.5,47.5,-5
BAL,6,CLE,false,false,false,24.5,19,43.5,-5.5
BAL,7,CIN,true,false,false,27,24,51,-3
BAL,8,BUF,false,false,false,24.5,26,51,1.5
BAL,9,JAX,true,false,false,27,21.5,48.5,-5.5
BAL,10,LAC,true,false,false,25.5,22,47.5,-3.5
BAL,11,CAR,false,false,false,25,21,46,-4.5
BAL,12,HOU,false,false,true,22.5,23,45.5,0
BAL,13,,,true,,,,,
BAL,14,TB,true,false,false,27.5,21.5,49,-6
BAL,15,PIT,false,false,false,24,21.5,45.5,-2.5
BAL,16,CLE,true,false,false,26.5,17,43.5,-9.5
BAL,17,CIN,false,false,false,25,26,51,1
BAL,18,PIT,true,false,false,26,19.5,45.5,-6.5
BUF,1,HOU,false,false,true,23,23.5,46.5,0.5
BUF,2,DET,true,false,false,26.5,24.5,51.5,-2
BUF,3,LAC,true,false,false,25.5,22.5,48,-3
BUF,4,NE,true,false,false,25.5,22.5,48,-3
BUF,5,LAR,false,false,false,24,27,51.5,3
BUF,6,LV,false,false,true,26,20,46,-6
BUF,7,,,true,,,,,
BUF,8,BAL,true,false,false,26,24.5,51,-1.5
BUF,9,MIN,false,false,true,24.5,23,48,-1.5
BUF,10,NYJ,false,false,false,25.5,19,45,-6.5
BUF,11,MIA,true,false,false,30,17.5,48,-12.5
BUF,12,KC,true,false,false,25.5,22.5,48,-2.5
BUF,13,NE,false,false,false,23.5,24.5,48,1
BUF,14,GB,false,false,false,24,25.5,49.5,1.5
BUF,15,CHI,true,false,false,27,23,50.5,-4
BUF,16,DEN,false,false,false,23,23,46,0
BUF,17,MIA,false,false,false,28,19.5,48,-8.5
BUF,18,NYJ,true,false,false,27.5,17,45,-10.5
CAR,1,CHI,true,false,false,21.5,24,45.5,2
CAR,2,ATL,false,false,true,21,22.5,43.5,1.5
CAR,3,CLE,false,false,false,19.5,20,39.5,1
CAR,4,DET,true,false,false,21.5,25.5,46.5,4
CAR,5,,,true,,,,,
CAR,6,PHI,false,false,false,17.5,25,43,7.5
CAR,7,TB,true,false,false,22,22.5,45,0.5
CAR,8,GB,false,false,false,19,26,45,7.5
CAR,9,DEN,true,false,false,19.5,21.5,41,2
CAR,10,NO,false,false,true,20,23,43,2.5
CAR,11,BAL,true,false,false,21,25,46,4.5
CAR,12,TB,false,false,false,20,24.5,45,4.5
CAR,13,MIN,false,false,true,19,23.5,43,4.5
CAR,14,NO,true,false,false,22,21,43,-1.5
CAR,15,CIN,true,false,false,22,25,47,3.5
CAR,16,PIT,false,false,false,19,22.5,41.5,4
CAR,17,SEA,true,false,false,19.5,24,43.5,4.5
CAR,18,ATL,true,false,false,23,20.5,43.5,-2.5
CHI,1,CAR,false,false,false,24,21.5,45.5,-2
CHI,2,MIN,true,false,false,25,21.5,46.5,-3.5
CHI,3,PHI,true,false,false,23.5,23,46.5,-0.5
CHI,4,NYJ,true,false,false,26,17.5,43.5,-8.5
CHI,5,GB,false,false,false,22.5,26,48.5,3.5
CHI,6,ATL,false,false,true,25,22,47,-2.5
CHI,7,NE,true,false,false,24,23,46.5,-1
CHI,8,SEA,false,false,false,21.5,26,47,4.5
CHI,9,TB,true,false,false,26,22.5,48.5,-3.5
CHI,10,,,true,,,,,
CHI,11,NO,true,false,false,26,20.5,46.5,-5.5
CHI,12,DET,false,false,true,23,27,50,4
CHI,13,JAX,true,false,false,25.5,22.5,48,-3
CHI,14,MIA,false,false,false,26.5,20,46.5,-6.5
CHI,15,BUF,false,false,false,23,27,50.5,4
CHI,16,GB,true,false,false,24.5,24,48.5,-0.5
CHI,17,DET,true,false,false,25,25,50,0
CHI,18,MIN,false,false,true,23,23.5,46.5,0.5
CIN,1,TB,true,false,false,27.5,22.5,50,-5
CIN,2,HOU,false,false,true,23,24,46.5,1
CIN,3,PIT,false,false,false,24,22.5,46.5,-1.5
CIN,4,JAX,true,false,false,27,22.5,49.5,-4.5
CIN,5,MIA,false,false,false,28,20,48,-7.5
CIN,6,,,true,,,,,
CIN,7,BAL,false,false,false,24,27,51,3
CIN,8,TEN,true,false,false,28,20,48,-8.5
CIN,9,ATL,false,false,true,26.5,22.5,48.5,-4
CIN,10,PIT,true,false,false,26,20.5,46.5,-5.5
CIN,11,WAS,false,false,false,27,24.5,51.5,-2.5
