rank,name,team,position,adp,adpHalf,adpStd,adpPpr,passCatcher,volumeWr,volumeTe,topOffense
42,Bucky Irving,TB,RB,54,54,53,54,true,false,false,false
43,Emeka Egbuka,TB,WR,38,38,41,41,false,false,false,false
44,Kyren Williams,LAR,RB,28,28,31,32,false,false,false,false
45,Mike Evans,SF,WR,52,52,44,56,false,false,false,false
46,Davante Adams,LAR,WR,53,53,51,47,false,true,false,false
47,Bhayshul Tuten,JAX,RB,63,63,61,60,true,false,false,false
48,Tetairoa McMillan,CAR,WR,40,40,38,40,false,false,false,false
49,Jameson Williams,DET,WR,57,57,47,51,false,false,false,true
50,D'Andre Swift,CHI,RB,59,59,52,50,true,false,false,false
51,Jayden Daniels,WAS,QB,61,61,66,65,false,false,false,false
52,Drake Maye,NE,QB,56,56,68,61,false,false,false,false
53,David Montgomery,HOU,RB,49,49,50,46,false,false,false,false
54,Cam Skattebo,NYG,RB,41,41,43,44,false,false,false,false
55,Lamar Jackson,BAL,QB,43,43,56,52,false,false,false,false
56,Terry McLaurin,WAS,WR,55,55,45,45,false,true,false,true
57,Carnell Tate,TEN,WR,69,69,60,62,false,false,false,false
