name,team,pos,mean,rankNum,spikeRank,spikeWeeks,priorFPG,age,carries,tgtShare
Kyle Pitts,ATL,TE,10.8,7,4,3.28,12.4,25,0,0
Mark Andrews,BAL,TE,9.3,15,13,2,7.7,30,0,0
Mason Taylor,NYJ,TE,3.8,40,38,1.09,6.8,21,0,0
Michael Mayer,LV,TE,5.5,29,24,1.54,5.7,24,0,0
Mike Gesicki,CIN,TE,6.6,27,33,1.35,5.4,30,0,0
Noah Gray,KC,TE,4.7,33,32,1.37,2.4,26,0,0
Oronde Gadsden,LAC,TE,7.5,22,22,1.57,8.8,22,0,0
Pat Freiermuth,PIT,TE,8.7,18,17,1.9,6.7,27,0,0
Sam LaPorta,DET,TE,10.8,6,5,3.23,11.9,25,0,0
T.J. Hockenson,MIN,TE,10.1,10,25,1.5,7.5,28,0,0
Terrance Ferguson,LA,TE,5.4,32,30,1.41,4,22,0,0
Theo Johnson,NYG,TE,4.1,38,37,1.18,8.5,25,0,0
Tommy Tremble,CAR,TE,4.1,37,28,1.48,3.8,25,0,0
Travis Kelce,KC,TE,11.2,5,15,1.94,11.4,36,0,0
Trey McBride,ARI,TE,15.1,1,1,4.19,18.6,26,0,0
Tucker Kraft,GB,TE,9.3,14,3,3.46,14.7,25,0,0
Tyler Warren,IND,TE,10.7,9,7,2.84,11.1,23,0,0
Zach Ertz,WAS,TE,4.6,35,45,0.31,9.7,35,0,0
