Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentInlineRoutesPercentage,TargetsContestedTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsContested,ReceptionsHero
KaVontae Turpin,DAL,WR,22,No,No,No,18,No,Yes,0.7778,0.2222,17,14,14,1,0.7778,12,0.8571,116,142,39,-30,3,0.25,,14,14,1,-2.1429,101.2,6.4444,8.2857,3.0634,9.6667,11.8333,3.25,6,20.5653,20.5653,0.6364,11.6,23.6,17.6,23.6,23.6,26.6,20.6,23.6,23.6,23.6,17.6,23.6,23.6,,,,,2,0.1429,,
Ashton Dulin,IND,WR,5,Yes,No,No,1,No,No,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,31,No,No,No,9,No,Yes,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,19,No,No,No,5,No,Yes,0.8,,16,1,1,1,0.2,1,1,4,7,,-3,,,,1,1,1,-3,83.3,0.8,4,-1.8652,4,7,,,1.858,1.858,0.0526,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,0.2,,,,,,,
Quintin Morris,BUF,TE,14,Yes,No,No,2,No,Yes,0.5,,16,1,1,1,0.5,1,1,5,8,2,-3,,,,1,1,1,-3,87.5,2.5,5,-0.8652,5,8,2,1,1.5583,1.5583,0.0714,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,0.5,,,,,,,
Juwan Johnson,NO,TE,27,No,No,No,5,No,Yes,0.6,0.2,17,4,4,1,0.8,4,1,13,30,5,-17,1,0.25,,4,4,1,-4.25,80.2,2.6,3.25,-2.5956,3.25,7.5,1.25,,6.6598,6.6598,0.1481,1.3,5.3,3.3,5.3,7.3,5.3,3.3,5.3,5.3,5.3,3.3,7.3,5.3,0.2,,,1,,,,
David Montgomery,DET,RB,16,Yes,No,Yes,10,No,Yes,,,14,10,10,1,1,10,1,108,155,55,-47,2,0.2,1,10,10,1,-4.7,111.7,10.8,10.8,5.2366,10.8,15.5,5.5,5,15.9907,15.9907,0.625,10.8,20.8,15.8,25.8,20.8,23.8,18.8,20.8,20.8,20.8,15.8,20.8,20.8,,,,,,,,
Mack Hollins,BUF,WR,51,Yes,No,No,5,No,Yes,0.2,0.8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Boyd,TEN,WR,34,No,No,No,15,No,Yes,0.6,0.4,16,9,9,1,0.6,9,1,36,63,19,-27,,,,9,9,1,-3,83.3,2.4,4,-0.9636,4,7,2.1111,2,14.1162,14.1162,0.2727,3.6,12.6,8.1,12.6,12.6,12.6,8.1,12.6,12.6,12.6,8.1,12.6,12.6,,,,1,,,,
Dareke Young,SEA,WR,3,Yes,No,No,2,No,Yes,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
