Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsInEndzone,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsInside20ReceivingTargetsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal
Darius Cooper,PHI,WR,5,No,Yes,No,5,No,No,,,13,,,,,0.2,0.8,,,,,,,,,,,,
Jack Stoll,NO,TE,3,No,No,No,2,No,No,,0.5,15,1,,0.5,4,0.5,,1,4,,39.6,-6.0667,1.4146,1.4146,0.3333,,,,
Russell Gage,SF,WR,1,No,No,No,1,No,No,,,1,,,,,1,,,,,,,1.5422,1.5422,,,,,
Giovanni Ricci,DET,TE,1,No,No,No,1,No,No,,1,3,1,,1,2,,,1,2,,39.6,-6.3701,3.4838,3.4838,1,1,,,
Jameson Williams,DET,WR,20,No,No,No,20,No,No,,,17,3,1,0.15,60,0.15,0.85,1,20,1,39.6,-11.1029,7.1238,7.1238,0.15,1,,,
E.J. Jenkins,PHI,TE,1,Yes,No,No,1,No,No,,1,2,,,,,,,,,,,,,,,,,,
Mitchell Evans,CAR,TE,3,Yes,No,No,1,No,No,,,17,,,,,1,,,,,,,,,,,,,
Jahan Dotson,PHI,WR,13,No,Yes,No,13,No,No,,,17,3,,0.2308,56,0.5385,0.4615,2,18.6667,1,39.6,-9.952,6.4843,6.4843,0.2308,,,,
DeVonta Smith,PHI,WR,19,No,Yes,No,19,No,No,,,17,2,,0.1053,35,0.5263,0.4737,2,17.5,1,39.6,-10.6375,4.6564,4.6564,0.1053,,,,
Theo Johnson,NYG,TE,15,No,Yes,No,14,No,No,0.0714,0.2857,15,3,1,0.2143,9,0.5,0.1429,3,3,,39.6,-6.6679,7.3588,7.3588,0.2,1,,,
Nyheim Hines,NO,RB,1,No,Yes,No,1,No,No,1,,4,,,,,,,,,,,,,,,,,,
Luke Musgrave,GB,TE,4,No,No,No,4,No,No,,0.25,17,,,,,0.5,0.25,,,,,,,,,,,,
Aaron Jones,MIN,RB,7,No,No,No,6,No,No,1,,12,1,,0.1667,10,,,1,10,,39.6,-7.1731,1.8875,1.8875,0.1429,1,,,
Luke Farrell,SF,TE,4,Yes,Yes,No,3,No,No,,1,17,,,,,,,,,,,,,,,,,,
Woody Marks,HST,RB,8,Yes,Yes,No,7,No,No,1,,16,1,,0.1429,9,,,,9,,39.6,-7.3944,1.6165,1.6165,0.125,,,,
Christian Kirk,HST,WR,7,Yes,Yes,No,7,No,No,,,13,2,,0.2857,14,0.5714,0.4286,2,7,,39.6,-6.7749,2.5776,2.5776,0.2857,,,,
James Proche,TEN,WR,6,No,Yes,No,6,No,No,,,9,1,,0.1667,7,0.3333,0.6667,,7,,39.6,-7.0645,1.3152,1.3152,0.1667,,,,
Puka Nacua,LA,WR,22,No,Yes,No,20,No,No,,,16,4,1,0.2,58,0.4,0.6,3,14.5,1,39.6,-8.1393,8.0422,8.0422,0.1818,1,,,
Colson Yankoff,WAS,TE,1,No,Yes,No,1,No,No,,,14,,,,,1,,,,,,,,,,,,,
Jason Brownlee,KC,WR,1,No,No,No,1,No,No,,,6,,,,,,1,,,,,,,,,,,,
Taysom Hill,NO,TE,2,No,Yes,No,1,No,No,,,13,1,,1,12,,1,1,12,,39.6,-8.6661,1.716,1.716,1,,,,
Cade Otton,TB,TE,16,Yes,No,No,14,No,No,,0.3571,16,1,,0.0714,4,0.4286,0.2143,,4,,39.6,-6.0667,1.3155,1.3155,0.0625,,,,
DeMario Douglas,NE,WR,4,Yes,Yes,Yes,4,No,No,,,17,1,1,0.25,11,1,,,11,,39.6,-8.3152,3.8919,3.8919,0.25,1,,,
Xavier Weaver,ARZ,WR,8,No,Yes,No,8,No,No,,,9,,,,,0.5,0.5,,,,,,,,,,,,
Malik Nabers,NYG,WR,2,Yes,Yes,Yes,2,No,No,,,4,1,,0.5,15,,1,1,15,,39.6,-10.4097,1.9442,1.9442,0.5,,,,
Eric Saubert,SEA,TE,6,Yes,Yes,No,5,No,No,,1,11,1,,0.2,15,,,,15,,39.6,-10.6391,2.0458,2.0458,0.1667,1,,,
Ray-Ray McCloud,NYG,WR,3,No,No,Yes,3,No,No,,,6,1,1,0.3333,16,0.6667,0.3333,1,16,,39.6,-10.0952,3.8636,3.8636,0.3333,1,,,
Jimmy Horn,CAR,WR,1,Yes,No,No,1,No,No,,,13,1,,1,15,1,,1,15,,39.6,-10.4097,1.7196,1.7196,1,,,,
Brian Robinson,SF,RB,2,Yes,Yes,No,2,No,No,1,,17,1,,0.5,-1,,,,-1,,39.6,-5.819,1.6964,1.6964,0.5,,,,
Alvin Kamara,NO,RB,6,No,Yes,Yes,3,Yes,No,0.6667,,11,,,,,,0.3333,,,,,,,,,,,,
Gunner Olszewski,NYG,WR,3,Yes,No,No,3,No,No,,,16,1,1,0.3333,22,0.3333,0.6667,,22,1,39.6,-11.9241,2.625,2.625,0.3333,1,,,1
Tucker Fisk,LAC,TE,2,No,No,No,1,No,No,,1,10,,,,,,,,,,,,,,,,,,
Thomas Fidone,NYG,TE,1,No,No,No,1,No,No,,,2,,,,,,1,,,,,,,,,,,,
Braxton Berrios,HST,WR,2,Yes,No,No,2,No,No,,,4,1,,0.5,4,,1,1,4,,39.6,-6.0498,1.4195,1.4195,0.5,,,,
Travis Hunter,JAX,WR,8,No,No,No,8,No,No,0.125,,7,3,,0.375,20,0.375,0.5,2,6.6667,,39.6,-7.1099,5.0058,5.0058,0.375,1,,,
Kendre Miller,NO,RB,1,No,Yes,No,1,No,No,1,,7,,,,,,,,,,,,,,,,,,
DK Metcalf,PIT,WR,12,No,No,No,12,No,No,,,15,4,1,0.3333,37,0.25,0.75,4,9.25,,39.6,-7.7773,7.4944,7.4944,0.3333,1,,,
Mark Andrews,BLT,TE,11,Yes,No,Yes,10,No,No,,0.1,17,5,2,0.5,58,0.8,0.1,1,11.6,1,39.6,-8.8241,10.7094,10.7094,0.4545,2,,,
Parker Washington,JAX,WR,15,No,Yes,No,15,No,No,,,16,9,,0.6,127,0.6,0.4,6,14.1111,3,39.6,-8.6877,14.1517,14.1517,0.6,,,,
Tyquan Thornton,KC,WR,6,Yes,No,Yes,6,No,No,,,14,,,,,0.1667,0.8333,,,,,,,,,,,,
Evan Hull,NO,RB,2,No,Yes,No,2,No,No,1,,6,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,9,No,Yes,No,4,No,No,1,,16,1,,0.25,9,,,,9,,39.6,-7.3944,1.3429,1.3429,0.1111,,,,
Trent Sherfield,ARZ,WR,1,No,No,No,1,No,No,,,12,,,,,1,,,,,,,,,,,,,
Blake Corum,LA,RB,10,No,Yes,No,5,No,No,0.8,,17,,,,,0.2,,,,,,,,,,,,,
Julian Hill,MIA,TE,7,Yes,Yes,Yes,1,No,No,,,14,1,,1,,1,,1,,,39.6,-5.289,1.4769,1.4769,0.1429,1,1,1,
Josh Palmer,BUF,WR,3,No,Yes,Yes,3,No,No,,,12,1,,0.3333,10,0.3333,0.6667,1,10,,39.6,-7.5,1.6704,1.6704,0.3333,,,,
Antonio Gibson,NE,RB,1,No,Yes,No,1,No,No,1,,5,,,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,10,No,Yes,No,5,No,No,0.6,0.2,17,,,,,,0.2,,,,,,,,,,,,
Mason Kinsey,TEN,WR,2,No,Yes,No,2,No,No,,,10,,,,,0.5,0.5,,,,,,,,,,,,
Omarion Hampton,LAC,RB,6,No,No,No,5,No,No,1,,9,1,,0.2,,,,1,,,39.6,-5.8271,1.316,1.316,0.1667,,,,
Amon-Ra St. Brown,DET,WR,19,No,No,No,19,No,No,,,17,10,,0.5263,76,0.5263,0.4737,9,7.6,,39.6,-7.2637,21.0503,21.0503,0.5263,4,,,
Chris Moore,WAS,WR,6,No,Yes,No,6,No,No,,,14,2,,0.3333,26,0.1667,0.8333,1,13,,39.6,-9.5596,3.538,3.538,0.3333,,,,
Tutu Atwell,LA,WR,7,No,Yes,No,7,No,No,,,10,2,1,0.2857,37,0.5714,0.4286,,18.5,1,39.6,-10.0154,5.2702,5.2702,0.2857,1,,,
Isaiah Williams,NYJ,WR,11,No,Yes,Yes,10,No,No,,,15,2,,0.2,11,0.5,0.5,2,5.5,,39.6,-6.656,2.9347,2.9347,0.1818,,,,
Adam Thielen,PIT,WR,5,Yes,No,Yes,5,No,No,,,16,2,,0.4,27,1,,2,13.5,,39.6,-9.7279,3.1033,3.1033,0.4,,,,
Elijah Higgins,ARZ,TE,11,No,Yes,No,9,No,No,,0.4444,17,1,,0.1111,3,0.3333,0.2222,1,3,,39.6,-6.3218,1.5175,1.5175,0.0909,1,,,
Harrison Bryant,HST,TE,7,Yes,Yes,No,4,No,No,,1,12,1,,0.25,24,,,1,24,1,39.6,-15.442,2.0167,2.0167,0.1429,,,,
Tylan Wallace,BLT,WR,1,Yes,No,Yes,1,No,No,,,14,,,,,1,,,,,,,,,,,,,
Jonnu Smith,PIT,TE,10,Yes,No,Yes,9,No,No,,0.5556,17,1,,0.1111,8,0.1111,0.3333,,8,,39.6,-7.7205,1.3809,1.3809,0.1,,,,
Mason Taylor,NYJ,TE,13,No,No,No,11,No,No,,0.0909,13,3,,0.2727,20,0.7273,0.1818,2,6.6667,,39.6,-7.385,3.9944,3.9944,0.2308,,,,1
Emanuel Wilson,GB,RB,2,No,No,No,2,No,No,1,,17,,,,,,,,,,,,,,,,,,
Quentin Johnston,LAC,WR,14,No,No,No,14,No,No,,,14,,,,,,1,,,,,,1.3304,1.3304,,,,,
Blake Whiteheart,CLV,TE,8,No,No,Yes,6,No,No,,0.8333,16,,,,,,0.1667,,,,,,,,,,,,
Chris Manhertz,NYG,TE,2,Yes,No,No,1,No,No,,1,17,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,6,No,No,No,6,No,No,,,7,2,,0.3333,30,0.3333,0.6667,2,15,1,39.6,-9.1826,4.6097,4.6097,0.3333,,,,
Kameron Johnson,TB,WR,1,Yes,No,No,1,No,No,,,17,,,,,,1,,,,,,,,,,,,
Dyami Brown,JAX,WR,6,No,Yes,No,5,No,No,,,14,1,,0.2,15,0.2,0.8,1,15,,39.6,-10.4097,1.6027,1.6027,0.1667,,,,
Luther Burden,CHI,WR,7,No,No,No,7,No,No,,,15,,,,,0.7143,0.2857,,,,,,,,,,,,
Ty Johnson,BUF,RB,3,No,Yes,Yes,3,No,No,0.6667,,17,1,,0.3333,-5,,0.3333,1,-5,,39.6,-5.8711,1.6405,1.6405,0.3333,,1,1,
Van Jefferson,TEN,WR,11,No,No,No,10,No,No,,,16,3,,0.3,46,0.1,0.9,1,15.3333,,39.6,-10.2932,5.5288,5.5288,0.2727,,,,
Elic Ayomanor,TEN,WR,25,No,Yes,No,24,No,No,,,16,7,,0.2917,49,0.125,0.875,7,7,,,-7.3236,10.345,10.345,0.28,,,,
Andre Baccellia,ARZ,WR,7,No,No,No,6,No,No,,,5,1,,0.1667,3,0.6667,0.3333,,3,,39.6,-5.4499,1.3675,1.3675,0.1429,1,,,
Derrick Henry,BLT,RB,4,Yes,No,Yes,4,No,No,1,,17,1,,0.25,3,,,,3,,39.6,-6.5094,1.2924,1.2924,0.25,,,,
Robert Tonyan,KC,TE,1,No,No,No,1,No,No,,,16,,,,,1,,,,,,,,,,,,,
Kareem Hunt,KC,RB,8,No,No,No,4,No,No,0.75,,17,1,,0.25,-1,0.25,,,-1,,39.6,-5.819,1.5667,1.5667,0.125,1,,,
AJ Barner,SEA,TE,24,Yes,Yes,No,21,No,No,,0.8571,17,3,1,0.1429,22,0.1429,,1,7.3333,,39.6,-7.1852,6.4239,6.4239,0.125,1,,,
Zach Charbonnet,SEA,RB,13,Yes,Yes,No,7,No,No,0.7143,,16,2,,0.2857,8,0.2857,,,4,,39.6,-6.5467,3.1994,3.1994,0.1538,,,,
Chuba Hubbard,CAR,RB,4,Yes,No,No,3,No,No,0.6667,,15,,,,,,0.3333,,,,,,,,,,,,
Jared Wayne,HST,WR,2,No,No,No,2,No,No,,,1,,,,,,1,,,,,,,,,,,,
Xavier Worthy,KC,WR,7,No,Yes,No,7,No,No,,,14,1,,0.1429,4,0.2857,0.7143,1,4,,39.6,-6.0498,1.2953,1.2953,0.1429,,,,
Rachaad White,TB,RB,10,Yes,No,No,7,No,No,0.5714,,17,1,1,0.1429,15,0.1429,0.2857,1,15,,39.6,-8.7692,2.255,2.255,0.1,1,,,
Cam Grandy,CIN,TE,1,No,Yes,No,1,No,No,,,5,,,,,,1,,,,,,,,,,,,
Elijah Moore,BUF,WR,3,No,No,No,3,No,No,,,9,1,,0.3333,17,0.3333,0.6667,1,17,,39.6,-11.6653,2.007,2.007,0.3333,,,,
Malachi Corley,CLV,WR,1,No,No,Yes,1,No,No,,,13,,,,,1,,,,,,,,,,,,,
Darren Waller,MIA,TE,2,Yes,No,No,2,No,No,,0.5,9,,,,,0.5,,,,,,,,,,,,,
Isiah Pacheco,KC,RB,5,No,Yes,No,4,No,No,0.5,,13,1,,0.25,-3,0.25,0.25,1,-3,,39.6,-6.1191,2.9227,2.9227,0.2,1,,,
Pat Freiermuth,PIT,TE,13,Yes,No,Yes,13,No,No,,0.2308,17,2,,0.1538,29,0.3846,0.3846,1,14.5,1,39.6,-10.961,4.5096,4.5096,0.1538,1,,,
Calvin Austin,PIT,WR,9,Yes,No,Yes,9,No,No,,,14,2,,0.2222,18,0.5556,0.4444,,9,,39.6,-7.6387,3.0296,3.0296,0.2222,,,,
Ronnie Bell,NO,WR,3,No,Yes,No,3,No,No,,,2,1,1,0.3333,23,0.6667,0.3333,1,23,1,39.6,-10.2174,3.4054,3.4054,0.3333,1,,,
Bijan Robinson,ATL,RB,24,No,Yes,No,19,No,No,0.7368,,17,3,,0.1579,20,0.1053,0.1579,1,6.6667,,39.6,-7.1812,4.6219,4.6219,0.125,,,,
LeQuint Allen,JAX,RB,8,No,Yes,No,5,No,No,1,,17,,,,,,,,,,,,,,,,,,
Colston Loveland,CHI,TE,20,No,No,No,20,No,No,,0.35,16,3,,0.15,35,0.45,0.2,3,11.6667,,39.6,-9.6022,4.9754,4.9754,0.15,,,,
Jaleel McLaughlin,DEN,RB,1,No,No,No,1,No,No,,,8,,,,,,1,,,,,,,,,,,,
Darnell Mooney,ATL,WR,23,No,Yes,No,23,No,No,,,15,8,1,0.3478,150,0.3043,0.6957,6,18.75,3,39.6,-10.7532,15.035,15.035,0.3478,1,,,
Jeremy Ruckert,NYJ,TE,10,No,Yes,Yes,7,No,No,,0.7143,17,1,1,0.1429,8,0.2857,,1,8,,39.6,-7.7205,2.4732,2.4732,0.1,1,,,
Kalif Raymond,DET,WR,7,No,No,No,7,No,No,,,15,1,,0.1429,4,0.5714,0.4286,,4,,39.6,-6.0498,1.4492,1.4492,0.1429,,,,
Andrei Iosivas,CIN,WR,16,No,No,Yes,16,No,No,,,17,1,,0.0625,5,0.8125,0.1875,1,5,,39.6,-6.3628,1.4355,1.4355,0.0625,,,,
Isaac TeSlaa,DET,WR,10,No,No,No,10,No,No,,,17,1,,0.1,16,0.2,0.8,1,16,,39.6,-10.0952,3.6368,3.6368,0.1,,,,
Allen Lazard,NYJ,WR,6,Yes,Yes,Yes,6,No,No,,,10,2,1,0.3333,36,0.1667,0.8333,1,18,1,,-10.3995,5.2299,5.2299,0.3333,1,,,
Hunter Renfrow,CAR,WR,2,No,Yes,No,2,No,No,,,6,1,,0.5,9,1,,,9,,39.6,-7.4539,1.381,1.381,0.5,,,,
Zay Jones,ARZ,WR,7,No,No,No,7,No,No,,,8,1,1,0.1429,12,0.4286,0.5714,,12,,39.6,-9.0461,3.1286,3.1286,0.1429,1,,,
Jaylin Noel,HST,WR,7,Yes,Yes,No,7,No,No,0.1429,,17,3,,0.4286,15,0.5714,0.2857,3,5,,39.6,-6.8139,5.6087,5.6087,0.4286,1,,,
Stefon Diggs,NE,WR,6,Yes,Yes,Yes,6,No,No,,,17,1,1,0.1667,15,0.3333,0.6667,,15,,39.6,-10.4097,2.255,2.255,0.1667,1,,,
Ashton Jeanty,LV,RB,11,No,No,No,8,No,No,1,,17,1,,0.125,-4,,,,-4,,39.6,-5.5699,1.6316,1.6316,0.0909,,,,
Kyle Monangai,CHI,RB,12,No,No,No,5,No,No,1,,17,1,,0.2,1,,,,1,,39.6,-5.7294,1.8493,1.8493,0.0833,1,,,
Ben Sinnott,WAS,TE,4,No,Yes,No,4,No,No,,0.25,16,2,,0.5,50,0.75,,1,25,2,39.6,-9.5556,3.0107,3.0107,0.5,,,,
Devontez Walker,BLT,WR,1,Yes,No,Yes,1,No,No,,,11,,,,,1,,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,10,Yes,No,No,9,No,No,,0.4444,16,,,,,0.3333,0.2222,,,,,,,,,,,,
Dylan Drummond,ATL,WR,2,No,Yes,No,2,No,No,,,9,,,,,0.5,0.5,,,,,,,,,,,,
Drew Sample,CIN,TE,9,No,No,Yes,7,No,No,0.4286,0.5714,17,,,,,,,,,,,,,,,,,,
Curtis Samuel,BUF,WR,6,No,Yes,Yes,5,No,No,,,6,1,,0.2,44,,1,,44,1,39.6,-15,2.0839,2.0839,0.1667,,,,
Tanner Hudson,CIN,TE,3,No,No,Yes,3,No,No,,0.3333,13,1,1,0.3333,20,0.6667,,1,20,1,39.6,-11.7623,2.2578,2.2578,0.3333,1,,,
Najee Harris,LAC,RB,1,No,Yes,No,1,No,No,1,,3,,,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,13,No,No,Yes,11,No,No,0.9091,,17,4,,0.3636,,,0.0909,1,,,39.6,-6.2151,6.8185,6.8185,0.3077,1,,,
Will Shipley,PHI,RB,4,No,Yes,No,4,No,No,1,,15,,,,,,,,,,,,,,,,,,
Kyren Williams,LA,RB,16,No,Yes,No,12,No,No,1,,17,1,,0.0833,3,,,,3,,39.6,-6.5094,1.3907,1.3907,0.0625,,,,
Payne Durham,TB,TE,4,Yes,No,No,2,No,No,,0.5,17,1,1,0.5,19,0.5,,,19,,39.6,-10.5955,4.0717,4.0717,0.25,1,,,
Tucker Kraft,GB,TE,8,No,No,Yes,7,No,No,,1,8,1,,0.1429,1,,,,1,,39.6,-5.7754,1.2775,1.2775,0.125,,,,
John Bates,WAS,TE,4,No,Yes,No,3,No,No,,0.3333,15,,,,,0.3333,0.3333,,,,,,,,,,,,
Trey McBride,ARZ,TE,28,No,Yes,No,28,No,No,,0.3571,17,7,2,0.25,57,0.5714,0.0714,6,8.1429,,39.6,-7.6959,15.5402,15.5402,0.25,3,1,0.1429,
Cam Skattebo,NYG,RB,4,No,Yes,No,4,No,No,0.75,,8,2,,0.5,-6,0.25,,1,-3,,39.6,-5.8451,3.1744,3.1744,0.5,,,,
Dont'e Thornton,LV,WR,6,No,No,No,6,No,No,,,15,1,,0.1667,15,0.3333,0.6667,1,15,,39.6,-10.4097,1.1588,1.1588,0.1667,,,,
Dawson Knox,BUF,TE,6,No,Yes,Yes,5,No,No,,0.8,17,,,,,0.2,,,,,,,,,,,,,
Noah Brown,WAS,WR,2,No,No,No,2,No,No,,,4,1,,0.5,4,,1,1,4,,39.6,-6.0498,1.1684,1.1684,0.5,1,,,
Emeka Egbuka,TB,WR,14,Yes,No,No,14,No,No,,,17,4,1,0.2857,37,0.2857,0.7143,2,9.25,,39.6,-8.3115,8.6248,8.6248,0.2857,1,,,
Dontayvion Wicks,GB,WR,5,No,Yes,No,5,Yes,No,,,14,1,,0.2,41,0.6,0.4,1,41,1,39.6,-15,2.125,2.125,0.2,,,,
TreVeyon Henderson,NE,RB,1,Yes,Yes,Yes,1,No,No,1,,17,,,,,,,,,,,,,,,,,,
Jayden Reed,GB,WR,4,No,No,No,4,No,No,,,7,,,,,0.75,0.25,,,,,,,,,,,,
Devin Neal,NO,RB,5,No,No,No,2,Yes,No,0.5,,9,,,,,,0.5,,,,,,,,,,,,
Oronde Gadsden,LAC,TE,11,No,No,No,10,No,No,0.1,0.1,15,2,1,0.2,28,0.6,0.2,,14,,39.6,-9.4285,8.7281,8.7281,0.1818,1,,,
Kyle Pitts,ATL,TE,25,No,Yes,No,25,No,No,,0.44,17,3,,0.12,50,0.32,0.24,1,16.6667,1,39.6,-12.1415,5.114,5.114,0.12,1,,,
Dante Pettis,NO,WR,4,No,Yes,No,4,No,No,,,8,,,,,0.5,0.5,,,,,,,,,,,,
Harold Fannin,CLV,TE,16,No,No,No,16,No,No,0.0625,0.5625,16,5,,0.3125,33,0.25,0.125,3,6.6,,39.6,-7.2169,7.3548,7.3548,0.3125,,,,
Chris Godwin,TB,WR,3,Yes,No,No,3,No,No,,,9,2,,0.6667,46,0.3333,0.6667,2,23,1,39.6,-9.6446,2.551,2.551,0.6667,,,,
Terry McLaurin,WAS,WR,6,No,Yes,No,6,No,No,,,10,1,,0.1667,11,0.3333,0.6667,1,11,,39.6,-8.3152,1.4027,1.4027,0.1667,,,,
Zach Horton,DET,TE,1,No,No,No,1,No,No,1,,2,,,,,,,,,,,,,,,,,,
Dallas Goedert,PHI,TE,17,No,No,No,15,No,No,,0.3333,15,5,,0.3333,57,0.5333,0.1333,2,11.4,,39.6,-8.9855,8.5102,8.5102,0.2941,,,,
Arian Smith,NYJ,WR,5,No,Yes,Yes,5,No,No,,,16,,,,,0.6,0.4,,,,,,,,,,,,
Marvin Mims,DEN,WR,7,No,No,No,7,No,No,,,15,4,,0.5714,40,0.5714,0.4286,3,10,1,39.6,-8.5103,6.819,6.819,0.5714,1,,,
Raheem Mostert,LV,RB,2,No,No,No,1,No,No,1,,12,,,,,,,,,,,,,,,,,,
Cedric Tillman,CLV,WR,13,No,No,Yes,13,No,No,,,13,3,,0.2308,23,0.4615,0.5385,2,7.6667,,39.6,-7.1245,4.8948,4.8948,0.2308,,,,
Calvin Ridley,TEN,WR,11,Yes,No,Yes,11,No,No,,,7,6,,0.5455,79,0.1818,0.8182,5,13.1667,,39.6,-9.4734,9.0926,9.0926,0.5455,,,,
Jalen Coker,CAR,WR,8,Yes,No,No,8,No,No,,,11,1,,0.125,16,0.625,0.375,1,16,,39.6,-10.0952,1.8248,1.8248,0.125,,,,
Jalen Tolbert,DAL,WR,6,Yes,No,No,6,No,No,,,13,3,,0.5,28,0.1667,0.8333,2,9.3333,,39.6,-8.5551,5.7855,5.7855,0.5,2,,,
Drake London,ATL,WR,17,No,Yes,No,17,No,No,,,12,5,1,0.2941,75,0.4118,0.5882,4,15,1,39.6,-9.8886,9.1299,9.1299,0.2941,2,,,1
Alec Pierce,IND,WR,14,Yes,Yes,No,13,No,No,,,15,2,,0.1538,26,0.0769,0.9231,2,13,,39.6,-9.4983,4.4196,4.4196,0.1429,,,,
LaJohntay Wester,BLT,WR,1,Yes,No,Yes,1,No,No,,,16,,,,,1,,,,,,,,,,,,,
Jaylin Lane,WAS,WR,6,Yes,No,No,6,No,No,,,15,3,1,0.5,56,0.5,0.5,1,18.6667,1,39.6,-10.1228,4.1536,4.1536,0.5,,,,
Bo Melton,GB,WR,2,No,No,No,2,No,No,,,9,1,,0.5,13,,1,1,13,,39.6,-8.9145,1.4017,1.4017,0.5,,,,
Chris Rodriguez,WAS,RB,2,No,Yes,No,2,No,No,0.5,,13,,,,,,0.5,,,,,,,,,,,,
Olamide Zaccheaus,CHI,WR,10,No,No,No,9,No,No,,,16,3,1,0.3333,40,0.3333,0.6667,2,13.3333,,39.6,-9.7636,6.398,6.398,0.3,1,,,
Theo Wease,MIA,WR,2,Yes,Yes,Yes,2,No,No,,,3,2,1,1,28,,1,2,14,,,-9.8134,5.0406,5.0406,1,1,,,
Raheim Sanders,CLV,RB,1,No,No,Yes,1,No,No,1,,4,1,,1,3,,,,3,,39.6,-6.5094,1.3793,1.3793,1,,,,
Tyler Warren,IND,TE,15,Yes,Yes,No,15,No,No,0.0667,0.4,17,2,,0.1333,16,0.4,0.1333,2,8,,39.6,-8.1434,3.0568,3.0568,0.1333,,,,
Dee Eskridge,MIA,WR,2,No,Yes,No,2,No,No,,,13,,,,,0.5,0.5,,,,,,,,,,,,
Ross Dwelley,DET,TE,1,No,No,No,1,No,No,,,10,,,,,1,,,,,,,,,,,,,
Jaxon Smith-Njigba,SEA,WR,22,Yes,Yes,No,22,No,No,,,17,9,,0.4091,105,0.0909,0.9091,9,11.6667,,39.6,-8.6882,19.2016,19.2016,0.4091,2,,,
Sam LaPorta,DET,TE,9,Yes,No,No,7,No,No,,,9,1,,0.1429,3,0.5714,0.4286,,3,,39.6,-6.3218,1.3675,1.3675,0.1111,1,,,
Jackson Hawes,BUF,TE,4,No,Yes,Yes,3,No,No,,0.3333,17,,,,,0.6667,,,,,,,,,,,,,
Mitchell Tinsley,CIN,WR,7,No,No,Yes,7,No,No,,,17,4,,0.5714,43,,1,3,10.75,1,39.6,-8.1562,5.49,5.49,0.5714,1,,,
Brycen Tremayne,CAR,WR,3,Yes,No,No,3,No,No,,,16,,,,,0.3333,0.6667,,,,,,1.5757,1.5757,,,,,
Tez Johnson,TB,WR,10,Yes,No,No,9,No,No,,,16,2,1,0.2222,36,0.5556,0.4444,2,18,1,39.6,-9.566,5.0772,5.0772,0.2,1,,,
Christian McCaffrey,SF,RB,14,Yes,Yes,No,13,No,No,0.7692,,17,1,,0.0769,1,0.1538,0.0769,,1,,39.6,-5.7294,1.3884,1.3884,0.0714,,,,
Sterling Shepard,TB,WR,11,No,Yes,No,10,No,No,,,13,1,,0.1,15,0.7,0.3,1,15,,39.6,-10.4097,1.8325,1.8325,0.0909,,,,
Khalil Shakir,BUF,WR,8,No,No,No,8,No,No,,,16,2,,0.25,17,0.75,0.25,2,8.5,,39.6,-8.7156,2.6266,2.6266,0.25,,1,0.5,
Rico Dowdle,CAR,RB,7,Yes,No,No,4,No,No,0.5,,17,1,1,0.25,14,,0.5,1,14,,39.6,-9.9318,2.5771,2.5771,0.1429,1,,,
Chris Olave,NO,WR,12,No,No,No,12,No,No,,,16,5,,0.4167,89,0.4167,0.5833,2,17.8,2,,-9.396,8.2103,8.2103,0.4167,2,,,1
Ricky Pearsall,SF,WR,7,No,No,No,7,No,No,,,9,2,,0.2857,31,,1,2,15.5,,,-10.2524,5.3382,5.3382,0.2857,,,,
Jeremy McNichols,WAS,RB,12,No,Yes,No,8,No,No,0.75,,17,,,,,0.125,0.125,,,,,,,,,,,,
Jerome Ford,CLV,RB,8,No,Yes,No,4,No,No,0.5,0.5,13,,,,,,,,,,,,,,,,,,
George Pickens,DAL,WR,8,Yes,No,No,8,No,No,,,17,3,1,0.375,84,0.125,0.875,3,28,2,39.6,-11.8407,8.3949,8.3949,0.375,1,,,
Josh Jacobs,GB,RB,9,No,Yes,No,6,Yes,No,1,,15,1,,0.1667,,,,,,,39.6,-5.8271,1.8273,1.8273,0.1111,1,,,
Cade Stover,HST,TE,3,Yes,Yes,No,2,No,No,,1,9,,,,,,,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,10,Yes,No,No,10,No,No,,,16,4,,0.4,55,,1,4,13.75,,39.6,-9.7071,8.1753,8.1753,0.4,1,,,
Tee Higgins,CIN,WR,12,No,No,Yes,12,No,No,,,15,4,1,0.3333,49,,1,3,12.25,1,39.6,-8.0416,8.5266,8.5266,0.3333,1,,,1
